SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
43000001,6.8,7.0,3.8,5.866666666666667,5.866666666666667
43000002,7.6,6.25,6.6,6.816666666666666,6.816666666666666
43000003,7.6,5.75,4.8,6.05,6.05
43000004,4.2,3.5,1.8,3.1666666666666665,3.1666666666666665
43000005,5.8,7.25,4.8,5.95,5.95
43000006,7.4,8.75,8.4,8.183333333333332,8.183333333333332
43000007,5.2,5.75,4.4,5.116666666666666,5.116666666666666
43000008,7.4,6.75,6.4,6.8500000000000005,6.8500000000000005
43000009,7.2,5.5,3.6,5.433333333333334,5.433333333333334
43000010,8.2,7.75,7.4,7.783333333333334,7.783333333333334
43000011,4.6,6.75,4.0,5.116666666666666,5.116666666666666
43000012,8.4,8.0,6.6,7.666666666666667,7.666666666666667
43000013,8.2,6.25,6.4,6.95,6.95
43000014,4.4,5.0,3.4,4.266666666666667,4.266666666666667
43000015,4.4,6.25,4.0,4.883333333333334,4.883333333333334
43000016,6.0,7.25,4.6,5.95,5.95
43000017,7.2,7.75,5.8,6.916666666666667,6.916666666666667
43000018,6.6,6.75,3.6,5.65,5.6499999999999995
43000019,7.6,8.25,6.4,7.416666666666667,7.416666666666667
43000020,7.6,7.5,4.8,6.633333333333333,6.633333333333333
43000021,8.2,6.0,5.4,6.533333333333334,6.533333333333334
43000022,7.2,8.25,7.2,7.55,7.55
43000023,7.8,6.5,8.0,7.433333333333334,7.433333333333334
43000024,4.2,6.5,4.8,5.166666666666667,5.166666666666667
43000025,5.0,6.0,6.8,5.933333333333334,5.933333333333334
43000026,6.4,6.5,4.6,5.833333333333333,5.833333333333333
43000027,6.0,8.0,6.6,6.866666666666667,6.866666666666667
43000028,7.8,8.0,4.2,6.666666666666667,6.666666666666667
43000029,7.6,5.75,6.4,6.583333333333333,6.583333333333333
43000030,5.8,5.25,3.4,4.816666666666667,4.816666666666667
43000031,6.8,7.25,5.4,6.483333333333334,6.483333333333334
43000032,7.0,6.25,4.0,5.75,5.75
43000033,5.8,6.5,3.8,5.366666666666667,5.366666666666667
43000034,7.6,7.25,6.6,7.15,7.1499999999999995
43000035,4.6,6.25,4.2,5.016666666666667,5.016666666666667
43000036,6.4,7.5,5.8,6.566666666666666,6.566666666666666
43000037,6.6,7.0,6.0,6.533333333333334,6.533333333333334
43000038,6.4,5.0,5.4,5.6000000000000005,5.6000000000000005
43000039,7.6,6.75,4.6,6.316666666666666,6.316666666666666
43000040,5.4,5.75,4.8,5.316666666666666,5.316666666666666
43000041,7.8,6.0,7.8,7.2,7.2
43000042,4.6,5.0,6.6,5.4,5.3999999999999995
43000043,6.4,5.75,4.2,5.45,5.45
43000044,7.4,5.5,3.0,5.3,5.3
43000045,5.4,4.5,7.6,5.833333333333333,5.833333333333333
43000046,8.2,5.5,6.0,6.566666666666666,6.566666666666666
43000047,6.4,7.0,5.4,6.266666666666667,6.266666666666667
43000048,5.0,6.25,3.0,4.75,4.75
43000049,7.4,7.5,6.4,7.1000000000000005,7.1000000000000005
43000050,6.8,6.5,7.8,7.033333333333334,7.033333333333334
43000051,5.2,6.5,4.2,5.3,5.3
43000052,8.8,6.75,7.0,7.516666666666667,7.516666666666667
43000053,8.4,5.75,8.0,7.383333333333333,7.383333333333333
43000054,6.4,5.5,3.6,5.166666666666667,5.166666666666667
