SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
22000001,4.2,8.0,7.6,6.599999999999999,6.599999999999999
22000002,7.0,8.25,6.4,7.216666666666666,7.216666666666666
22000003,8.4,3.5,8.0,6.633333333333333,6.633333333333333
22000005,7.2,7.25,8.0,7.483333333333333,7.483333333333333
22000006,7.4,8.25,8.4,8.016666666666667,8.016666666666667
22000007,8.0,3.5,7.0,6.166666666666667,6.166666666666667
22000008,9.2,7.5,8.2,8.299999999999999,8.299999999999999
22000009,8.0,5.0,6.2,6.4,6.3999999999999995
22000010,8.6,5.0,5.0,6.2,6.2
22000011,8.2,6.0,6.0,6.733333333333333,6.733333333333333
22000012,8.0,7.0,9.2,8.066666666666666,8.066666666666666
22000013,3.2,8.0,4.6,5.266666666666667,5.266666666666667
22000014,8.0,8.25,8.8,8.35,8.35
22000015,8.8,6.0,7.8,7.533333333333334,7.533333333333334
22000016,8.4,6.5,7.2,7.366666666666667,7.366666666666667
22000017,7.2,8.25,9.2,8.216666666666667,8.216666666666667
22000018,7.8,4.5,6.4,6.233333333333334,6.233333333333334
22000019,6.2,7.75,9.2,7.716666666666666,7.716666666666666
22000020,7.8,9.0,8.8,8.533333333333333,8.533333333333333
22000021,5.6,8.25,7.2,7.016666666666667,7.016666666666667
22000022,7.4,7.75,8.2,7.783333333333334,7.783333333333334
22000023,8.0,6.25,5.6,6.616666666666667,6.616666666666667
22000024,8.8,7.75,6.2,7.583333333333333,7.583333333333333
22000025,9.0,7.25,6.2,7.483333333333333,7.483333333333333
22000026,8.4,7.75,6.8,7.649999999999999,7.6499999999999995
22000027,8.6,7.0,8.6,8.066666666666666,8.066666666666666
22000028,6.8,7.0,9.0,7.6,7.6000000000000005
22000029,7.8,8.5,8.6,8.299999999999999,8.299999999999999
22000030,5.2,6.0,5.2,5.466666666666666,5.466666666666666
22000031,7.4,7.0,6.2,6.866666666666667,6.866666666666667
22000032,5.2,5.0,7.0,5.733333333333333,5.733333333333333
22000033,8.4,7.75,9.2,8.45,8.45
22000034,7.8,6.5,8.0,7.433333333333334,7.433333333333334
22000035,7.0,7.0,9.2,7.733333333333333,7.733333333333333
22000036,8.2,7.0,9.0,8.066666666666666,8.066666666666666
22000037,8.2,8.75,8.4,8.450000000000001,8.450000000000001
22000038,8.6,6.5,7.4,7.5,7.5
22000039,7.8,8.0,8.0,7.933333333333334,7.933333333333334
22000040,7.0,7.75,8.0,7.583333333333333,7.583333333333333
22000041,7.6,6.75,8.4,7.583333333333333,7.583333333333333
22000042,7.4,7.5,5.6,6.833333333333333,6.833333333333333
22000043,7.8,8.5,4.2,6.833333333333333,6.833333333333333
22000044,7.8,8.0,8.0,7.933333333333334,7.933333333333334
22000045,8.8,5.75,6.6,7.05,7.05
22000046,8.6,6.75,6.8,7.383333333333333,7.383333333333333
22000047,8.6,5.75,9.2,7.849999999999999,7.849999999999999
22000048,8.4,8.75,8.4,8.516666666666666,8.516666666666666
22000049,7.0,7.25,4.2,6.15,6.1499999999999995
22000050,9.0,7.0,9.0,8.333333333333334,8.333333333333334
22000051,9.2,7.5,9.2,8.633333333333333,8.633333333333333
22000052,8.0,6.0,7.2,7.066666666666666,7.066666666666666
22000053,8.2,5.75,6.6,6.849999999999999,6.849999999999999
22000054,5.0,7.25,0.0,4.083333333333333,4.083333333333333
22000055,8.2,8.25,8.0,8.15,8.15
22000056,7.6,7.75,9.0,8.116666666666667,8.116666666666667
22000057,8.2,8.0,8.2,8.133333333333333,8.133333333333333
22000058,7.6,8.75,7.8,8.05,8.05
22000059,9.4,6.75,5.6,7.25,7.25
22000060,8.8,6.0,8.4,7.733333333333334,7.733333333333334
22000061,8.8,6.75,8.6,8.049999999999999,8.049999999999999
22000062,7.4,6.25,9.0,7.55,7.55
22000063,8.8,6.25,9.6,8.216666666666667,8.216666666666667
22000064,8.8,6.5,5.6,6.966666666666666,6.966666666666666
22000065,7.8,5.25,8.4,7.150000000000001,7.150000000000001
22000066,8.8,5.25,7.8,7.283333333333334,7.283333333333334
22000067,6.2,6.5,8.6,7.099999999999999,7.099999999999999
22000068,8.6,4.5,4.0,5.7,5.7
22000069,5.6,8.5,5.8,6.633333333333333,6.633333333333333
22000070,8.8,6.0,5.8,6.866666666666667,6.866666666666667
22000071,8.2,6.75,9.6,8.183333333333332,8.183333333333332
22000072,9.0,5.0,7.0,7.0,7.0
22000073,9.2,5.5,7.4,7.366666666666667,7.366666666666667
22000074,8.6,7.0,8.4,8.0,8.0
22000075,6.4,7.25,7.2,6.95,6.95
