SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
54000001,6.0,5.5,5.2,5.566666666666666,5.566666666666666
54000002,6.8,6.25,4.0,5.683333333333334,5.683333333333334
54000003,8.2,6.5,4.8,6.5,6.5
54000004,2.0,5.0,3.6,3.533333333333333,3.533333333333333
54000005,5.8,5.75,3.2,4.916666666666667,4.916666666666667
54000006,3.2,6.5,2.6,4.1,4.1
54000007,6.2,5.0,4.2,5.133333333333333,5.133333333333333
54000008,4.6,5.75,2.4,4.25,4.25
54000009,4.8,5.0,3.6,4.466666666666667,4.466666666666667
54000010,4.2,6.75,4.6,5.183333333333333,5.183333333333333
54000011,6.8,6.5,6.4,6.566666666666667,6.566666666666667
54000012,4.8,4.25,2.2,3.75,3.75
54000013,6.0,8.25,4.2,6.15,6.1499999999999995
54000014,3.2,3.0,3.4,3.2,3.1999999999999997
54000015,5.8,5.5,5.0,5.433333333333334,5.433333333333334
54000016,6.6,7.5,5.6,6.566666666666666,6.566666666666666
54000017,1.6,6.5,2.6,3.5666666666666664,3.5666666666666664
54000018,7.4,6.75,4.4,6.183333333333334,6.183333333333334
54000019,6.0,5.75,4.2,5.316666666666666,5.316666666666666
54000020,4.4,6.25,3.6,4.75,4.75
54000021,5.6,5.5,3.6,4.9,4.8999999999999995
54000022,8.0,6.5,4.4,6.3,6.3
54000023,7.4,7.0,4.4,6.266666666666667,6.266666666666667
54000024,7.0,6.25,5.4,6.216666666666666,6.216666666666666
54000025,7.2,7.0,4.6,6.266666666666666,6.266666666666666
54000026,7.0,5.0,3.8,5.266666666666667,5.266666666666667
54000027,4.0,5.75,3.0,4.25,4.25
54000028,3.4,4.0,2.4,3.266666666666667,3.266666666666667
54000029,5.6,5.5,3.0,4.7,4.7
54000030,5.4,5.25,3.8,4.816666666666666,4.816666666666666
54000031,6.4,5.75,5.6,5.916666666666667,5.916666666666667
54000032,6.0,5.0,4.0,5.0,5.0
54000033,8.4,5.5,7.0,6.966666666666666,6.966666666666666
54000034,3.2,4.5,3.4,3.7,3.6999999999999997
54000035,8.0,7.0,4.2,6.4,6.3999999999999995
54000036,7.2,7.75,3.2,6.05,6.05
54000037,7.2,5.25,3.2,5.216666666666666,5.216666666666666
54000038,7.4,8.0,4.8,6.733333333333333,6.733333333333333
54000039,4.2,5.5,3.2,4.3,4.3
54000040,7.0,6.25,3.2,5.483333333333333,5.483333333333333
54000041,8.2,6.0,6.2,6.8,6.8
54000042,4.6,5.75,2.6,4.316666666666666,4.316666666666666
54000043,8.0,7.5,4.8,6.766666666666667,6.766666666666667
54000044,2.6,3.25,1.2,2.35,2.35
54000045,5.4,5.0,3.4,4.6000000000000005,4.6000000000000005
54000046,6.4,6.0,3.0,5.133333333333334,5.133333333333334
54000047,3.4,5.5,4.0,4.3,4.3
54000048,6.0,6.0,4.6,5.533333333333334,5.533333333333334
54000049,7.6,8.25,6.8,7.55,7.55
54000050,8.2,6.75,6.8,7.25,7.25
54000051,4.8,3.5,3.6,3.966666666666667,3.966666666666667
54000052,7.2,7.25,4.6,6.349999999999999,6.349999999999999
54000053,7.8,7.0,5.2,6.666666666666667,6.666666666666667
54000054,7.8,6.75,5.4,6.650000000000001,6.650000000000001
54000055,6.2,5.25,4.0,5.15,5.1499999999999995
54000056,4.0,6.5,3.6,4.7,4.7
54000057,6.2,3.25,2.4,3.95,3.9499999999999997
54000058,5.6,3.5,3.6,4.233333333333333,4.233333333333333
54000059,6.8,7.0,3.6,5.800000000000001,5.800000000000001
54000060,4.8,5.75,2.2,4.25,4.25
54000061,5.2,2.75,3.4,3.783333333333333,3.783333333333333
54000062,6.6,4.75,2.8,4.716666666666666,4.716666666666666
54000063,2.8,6.5,3.4,4.233333333333333,4.233333333333333
54000064,6.0,6.0,3.2,5.066666666666666,5.066666666666666
54000065,5.6,5.0,3.2,4.6000000000000005,4.6000000000000005
54000066,4.4,4.75,2.2,3.7833333333333337,3.7833333333333337
54000067,6.6,5.75,5.0,5.783333333333334,5.783333333333334
54000068,6.4,4.5,3.4,4.766666666666667,4.766666666666667
54000069,6.2,4.25,3.4,4.616666666666666,4.616666666666666
54000070,6.0,5.5,3.6,5.033333333333333,5.033333333333333
54000071,5.6,8.5,3.0,5.7,5.7
54000072,7.6,7.0,4.8,6.466666666666666,6.466666666666666
54000073,4.6,6.0,3.8,4.8,4.8
54000074,6.0,4.75,3.6,4.783333333333333,4.783333333333333
54000075,4.8,7.5,3.8,5.366666666666667,5.366666666666667
54000076,7.2,8.0,5.6,6.933333333333333,6.933333333333333
54000077,7.2,6.0,3.4,5.533333333333332,5.533333333333332
54000078,6.8,8.25,5.8,6.95,6.95
54000079,3.6,6.0,2.6,4.066666666666666,4.066666666666666
54000080,6.4,7.5,5.2,6.366666666666667,6.366666666666667
54000081,8.0,6.75,6.0,6.916666666666667,6.916666666666667
54000082,5.0,5.25,3.4,4.55,4.55
54000083,6.2,5.5,4.8,5.5,5.5
