SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
35000001,5.8,5.75,2.8,4.783333333333334,4.783333333333334
35000002,7.4,5.75,3.8,5.65,5.6499999999999995
35000003,6.6,8.5,4.8,6.633333333333333,6.633333333333333
35000004,8.2,7.5,5.6,7.099999999999999,7.099999999999999
35000005,6.8,7.75,3.8,6.116666666666667,6.116666666666667
35000006,7.6,7.0,3.4,6.0,6.0
35000007,7.4,5.0,2.0,4.8,4.8
35000008,8.4,5.5,4.4,6.1000000000000005,6.1000000000000005
35000009,5.8,8.0,5.2,6.333333333333333,6.333333333333333
35000010,5.6,5.0,3.0,4.533333333333333,4.533333333333333
35000011,7.2,5.25,6.4,6.283333333333334,6.283333333333334
35000012,9.0,7.25,5.8,7.35,7.3500000000000005
35000013,7.0,7.0,0.0,4.666666666666667,4.666666666666667
35000014,5.8,4.0,0.0,3.266666666666667,3.266666666666667
35000015,7.8,6.25,4.2,6.083333333333333,6.083333333333333
35000016,6.0,6.0,5.2,5.733333333333333,5.733333333333333
35000017,6.0,3.75,0.0,3.25,3.25
35000018,8.0,5.25,5.6,6.283333333333334,6.283333333333334
35000019,8.0,6.08,4.6,6.226666666666667,6.226666666666667
35000020,6.2,6.5,3.4,5.366666666666666,5.366666666666666
35000021,6.4,5.0,0.0,3.8,3.8000000000000003
35000022,8.4,7.5,3.6,6.5,6.5
35000023,8.8,7.25,7.2,7.75,7.75
35000024,8.0,6.5,5.0,6.5,6.5
35000025,5.8,5.0,2.8,4.533333333333334,4.533333333333334
35000026,6.8,6.5,0.0,4.433333333333334,4.433333333333334
35000027,8.2,9.25,7.0,8.15,8.15
35000028,2.6,2.5,0.0,1.7,1.7
35000029,8.2,6.25,6.0,6.816666666666666,6.816666666666666
35000030,6.8,8.0,5.6,6.8,6.8
35000031,7.8,8.0,4.0,6.6000000000000005,6.6000000000000005
35000032,5.2,6.75,3.0,4.983333333333333,4.983333333333333
35000033,5.0,6.75,3.8,5.183333333333334,5.183333333333334
35000034,8.0,4.5,4.8,5.766666666666667,5.766666666666667
35000035,6.6,5.75,3.8,5.383333333333333,5.383333333333333
35000036,7.6,6.0,4.2,5.933333333333334,5.933333333333334
35000037,7.8,5.75,6.0,6.516666666666667,6.516666666666667
35000038,8.4,7.25,6.0,7.216666666666666,7.216666666666666
35000039,7.8,6.58,3.4,5.926666666666666,5.926666666666666
35000040,6.0,5.0,0.0,3.6666666666666665,3.6666666666666665
35000041,6.6,6.08,4.4,5.6933333333333325,5.6933333333333325
35000042,4.8,6.25,3.2,4.75,4.75
35000043,5.6,8.0,5.0,6.2,6.2
35000044,7.2,7.75,5.4,6.783333333333334,6.783333333333334
35000045,2.8,5.25,3.2,3.75,3.75
35000046,8.2,7.25,6.8,7.416666666666667,7.416666666666667
35000047,2.6,6.0,4.6,4.4,4.3999999999999995
35000048,4.8,5.5,5.0,5.1000000000000005,5.1000000000000005
35000049,8.6,7.0,4.0,6.533333333333334,6.533333333333334
35000050,2.6,3.0,0.0,1.8666666666666665,1.8666666666666665
35000051,5.6,5.5,4.2,5.1000000000000005,5.1000000000000005
35000052,6.4,7.25,5.4,6.3500000000000005,6.3500000000000005
35000053,3.6,4.75,0.0,2.783333333333333,2.783333333333333
35000054,7.2,5.75,3.8,5.583333333333333,5.583333333333333
35000055,6.0,5.75,5.0,5.583333333333333,5.583333333333333
35000056,7.6,8.0,7.4,7.666666666666667,7.666666666666667
35000057,7.6,6.0,6.6,6.733333333333333,6.733333333333333
35000058,6.2,6.25,3.6,5.3500000000000005,5.3500000000000005
35000059,7.2,6.75,4.4,6.116666666666667,6.116666666666667
35000060,6.2,4.25,4.0,4.816666666666666,4.816666666666666
35000061,7.2,5.25,4.0,5.483333333333333,5.483333333333333
35000062,6.4,6.5,4.0,5.633333333333333,5.633333333333333
35000063,7.2,7.75,6.4,7.116666666666667,7.116666666666667
35000064,6.0,4.75,0.0,3.583333333333333,3.5833333333333335
35000065,8.0,5.75,3.0,5.583333333333333,5.583333333333333
35000066,6.0,7.0,3.6,5.533333333333334,5.533333333333334
35000067,6.6,7.25,3.0,5.616666666666667,5.616666666666667
35000068,7.4,6.75,3.2,5.783333333333334,5.783333333333334
35000069,8.2,6.75,4.6,6.516666666666666,6.516666666666666
35000070,4.8,3.5,0.0,2.766666666666667,2.766666666666667
35000071,2.2,5.5,0.0,2.566666666666667,2.566666666666667
35000072,6.2,6.5,2.2,4.966666666666666,4.966666666666666
35000073,7.0,8.0,5.4,6.8,6.8
35000074,7.6,8.0,5.8,7.133333333333333,7.133333333333333
35000075,5.8,6.5,6.4,6.233333333333334,6.233333333333334
35000076,6.6,8.25,6.0,6.95,6.95
35000077,6.6,5.75,3.4,5.25,5.25
35000078,7.8,7.5,4.6,6.633333333333333,6.633333333333333
35000079,6.6,7.0,3.4,5.666666666666667,5.666666666666667
35000080,4.0,4.0,4.4,4.133333333333334,4.133333333333334
35000081,7.6,4.75,3.6,5.316666666666666,5.316666666666666
35000082,8.4,6.0,5.2,6.533333333333334,6.533333333333334
35000083,8.0,6.5,4.4,6.3,6.3
35000084,7.0,7.5,5.0,6.5,6.5
35000085,7.4,6.25,2.6,5.416666666666667,5.416666666666667
35000086,8.0,7.5,6.6,7.366666666666667,7.366666666666667
35000087,7.0,6.0,4.6,5.866666666666667,5.866666666666667
35000088,8.2,8.75,6.8,7.916666666666667,7.916666666666667
35000089,8.8,6.75,6.2,7.25,7.25
35000090,7.6,9.0,9.0,8.533333333333333,8.533333333333333
35000091,6.4,7.5,3.4,5.766666666666667,5.766666666666667
35000092,6.6,7.25,5.4,6.416666666666667,6.416666666666667
35000093,6.2,6.41,4.2,5.603333333333333,5.603333333333333
35000094,8.0,7.5,9.2,8.233333333333333,8.233333333333333
35000095,5.4,6.25,5.6,5.75,5.75
35000096,6.8,6.0,0.0,4.266666666666667,4.266666666666667
35000097,5.0,5.5,0.0,3.5,3.5
35000098,5.0,7.25,0.0,4.083333333333333,4.083333333333333
35000099,7.6,6.75,5.0,6.45,6.45
35000100,7.8,7.75,4.6,6.716666666666666,6.716666666666666
35000101,8.4,7.0,5.4,6.933333333333334,6.933333333333334
35000102,6.2,7.5,4.0,5.9,5.8999999999999995
35000103,5.4,7.25,3.4,5.3500000000000005,5.3500000000000005
35000104,5.4,6.75,0.0,4.05,4.05
35000105,6.4,5.75,4.0,5.383333333333333,5.383333333333333
35000106,8.6,6.25,4.6,6.483333333333333,6.483333333333333
35000107,7.8,7.25,7.0,7.35,7.3500000000000005
35000108,8.6,6.25,7.2,7.35,7.3500000000000005
35000109,5.0,7.0,4.0,5.333333333333333,5.333333333333333
35000110,8.2,6.0,4.0,6.066666666666666,6.066666666666666
35000111,7.4,6.5,4.4,6.1000000000000005,6.1000000000000005
35000112,7.2,5.5,3.2,5.3,5.3
35000113,2.8,2.25,0.0,1.6833333333333331,1.6833333333333333
35000114,7.2,5.5,5.8,6.166666666666667,6.166666666666667
35000115,7.6,4.5,5.2,5.766666666666667,5.766666666666667
35000116,5.8,5.75,4.0,5.183333333333334,5.183333333333334
35000117,1.6,4.0,0.0,1.8666666666666665,1.8666666666666665
35000118,8.0,7.0,5.6,6.866666666666667,6.866666666666667
35000119,8.0,7.0,5.0,6.666666666666667,6.666666666666667
35000120,8.2,6.75,4.4,6.45,6.45
35000121,4.8,4.25,0.0,3.016666666666667,3.016666666666667
35000122,7.8,7.75,8.8,8.116666666666667,8.116666666666667
35000123,5.2,8.0,4.0,5.733333333333333,5.733333333333333
35000124,6.8,8.5,4.4,6.566666666666667,6.566666666666667
35000125,6.8,7.0,3.6,5.800000000000001,5.800000000000001
35000126,7.6,6.25,5.4,6.416666666666667,6.416666666666667
35000127,4.8,4.25,7.6,5.55,5.55
35000128,8.0,6.75,4.6,6.45,6.45
