SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
48000001,4.8,5.5,0.0,3.4333333333333336,3.4333333333333336
48000002,5.8,7.5,7.0,6.766666666666667,6.766666666666667
48000003,3.4,4.75,0.0,2.716666666666667,2.716666666666667
48000004,8.2,7.25,7.8,7.75,7.75
48000005,4.4,4.0,0.0,2.8000000000000003,2.8000000000000003
48000006,6.2,7.25,4.2,5.883333333333333,5.883333333333333
48000007,7.2,6.75,9.0,7.649999999999999,7.6499999999999995
48000008,6.6,6.5,6.2,6.433333333333334,6.433333333333334
48000009,7.0,5.75,0.0,4.25,4.25
48000010,4.0,5.0,1.8,3.6,3.6
48000011,4.6,6.0,3.6,4.733333333333333,4.733333333333333
48000012,7.2,4.25,3.2,4.883333333333333,4.883333333333333
48000013,4.6,5.75,0.0,3.45,3.4499999999999997
48000014,6.0,6.5,4.8,5.766666666666667,5.766666666666667
48000015,7.2,7.25,7.6,7.349999999999999,7.349999999999999
48000016,7.6,6.25,5.8,6.55,6.55
48000017,6.6,7.0,4.2,5.933333333333334,5.933333333333334
48000018,3.4,5.25,0.0,2.8833333333333333,2.8833333333333333
48000019,8.6,6.75,8.8,8.049999999999999,8.049999999999999
48000020,5.6,4.25,2.6,4.15,4.1499999999999995
48000021,7.4,4.75,5.8,5.983333333333333,5.983333333333333
48000022,5.6,7.0,6.0,6.2,6.2
48000023,5.4,6.75,6.2,6.116666666666667,6.116666666666667
48000024,3.8,4.5,5.2,4.5,4.5
48000025,6.8,5.25,3.8,5.283333333333334,5.283333333333334
48000026,5.4,4.75,3.6,4.583333333333333,4.583333333333333
48000027,7.8,6.75,4.0,6.183333333333334,6.183333333333334
48000028,4.6,5.0,0.0,3.2,3.1999999999999997
48000029,7.8,5.5,4.6,5.966666666666666,5.966666666666666
48000030,8.8,7.75,9.4,8.65,8.65
48000031,6.0,7.75,6.4,6.716666666666666,6.716666666666666
48000032,7.2,7.75,7.6,7.516666666666666,7.516666666666666
48000033,7.0,5.5,5.4,5.966666666666666,5.966666666666666
48000034,7.2,7.5,4.4,6.366666666666667,6.366666666666667
48000036,5.2,5.75,6.0,5.65,5.6499999999999995
48000037,8.6,8.75,8.4,8.583333333333334,8.583333333333334
48000038,7.8,4.75,4.2,5.583333333333333,5.583333333333333
48000039,8.0,3.0,6.4,5.8,5.8
48000040,7.8,6.25,5.8,6.616666666666667,6.616666666666667
48000041,7.8,6.0,5.0,6.266666666666667,6.266666666666667
48000042,7.2,6.75,5.6,6.516666666666666,6.516666666666666
48000043,8.4,4.5,5.6,6.166666666666667,6.166666666666667
48000044,3.0,6.0,3.8,4.266666666666667,4.266666666666667
48000045,7.4,5.25,4.0,5.55,5.55
48000046,8.6,8.75,9.0,8.783333333333333,8.783333333333333
48000047,7.0,4.25,1.8,4.3500000000000005,4.3500000000000005
48000048,4.0,4.25,0.0,2.75,2.75
48000049,7.2,6.0,5.4,6.2,6.2
48000050,8.0,7.0,8.4,7.8,7.8
48000051,4.4,5.25,3.2,4.283333333333334,4.283333333333334
48000052,9.2,8.75,8.8,8.916666666666666,8.916666666666666
48000053,4.8,8.25,4.8,5.95,5.95
48000054,7.2,6.5,5.8,6.5,6.5
48000055,8.0,5.0,5.2,6.066666666666666,6.066666666666666
48000056,7.0,6.0,6.2,6.4,6.3999999999999995
48000057,7.8,7.0,6.6,7.133333333333333,7.133333333333333
48000058,7.2,6.75,2.8,5.583333333333333,5.583333333333333
48000059,4.4,4.75,0.0,3.0500000000000003,3.0500000000000003
48000060,4.8,4.25,2.6,3.883333333333333,3.8833333333333333
48000061,8.0,6.0,4.0,6.0,6.0
48000062,4.6,6.0,0.0,3.533333333333333,3.533333333333333
48000063,7.2,5.0,4.4,5.533333333333334,5.533333333333334
48000064,7.4,7.5,8.0,7.633333333333333,7.633333333333333
48000065,6.6,6.75,8.8,7.383333333333333,7.383333333333333
48000066,5.4,8.5,6.8,6.9,6.8999999999999995
48000067,7.4,6.25,6.6,6.75,6.75
48000068,5.8,4.5,3.0,4.433333333333334,4.433333333333334
48000069,8.2,7.0,6.8,7.333333333333333,7.333333333333333
48000070,7.0,6.5,5.0,6.166666666666667,6.166666666666667
48000071,8.0,7.75,7.6,7.783333333333334,7.783333333333334
48000072,6.8,4.75,3.6,5.05,5.05
48000073,8.2,8.0,8.4,8.200000000000001,8.200000000000001
48000074,8.2,6.0,6.6,6.933333333333333,6.933333333333333
48000075,5.2,6.0,3.2,4.8,4.8
48000076,7.0,5.25,9.2,7.15,7.1499999999999995
48000077,6.0,4.5,7.4,5.966666666666666,5.966666666666666
48000078,7.8,6.75,4.8,6.45,6.45
48000079,0.0,4.0,0.0,1.3333333333333333,1.3333333333333333
48000080,2.8,4.5,0.0,2.433333333333333,2.433333333333333
48000081,6.8,7.0,7.8,7.2,7.2
48000082,4.8,5.75,2.0,4.183333333333334,4.183333333333334
48000083,6.6,6.75,9.6,7.649999999999999,7.6499999999999995
48000084,8.6,6.25,9.0,7.95,7.95
48000085,4.4,6.0,3.8,4.733333333333333,4.733333333333333
48000086,4.6,5.25,0.0,3.283333333333333,3.283333333333333
48000087,5.0,4.75,1.8,3.85,3.85
48000088,3.2,5.75,3.2,4.05,4.05
48000089,7.0,7.0,5.6,6.533333333333334,6.533333333333334
48000090,5.8,6.5,3.6,5.3,5.3
48000091,8.0,5.0,0.0,4.333333333333333,4.333333333333333
