SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
47000001,7.4,8.0,6.4,7.266666666666667,7.266666666666667
47000002,8.6,7.0,6.6,7.399999999999999,7.3999999999999995
47000003,7.0,7.0,8.4,7.466666666666666,7.466666666666666
47000004,6.4,5.75,5.2,5.783333333333334,5.783333333333334
47000005,4.2,3.0,0.0,2.4,2.4
47000006,7.0,8.5,5.8,7.1000000000000005,7.1000000000000005
47000007,7.8,7.0,9.2,8.0,8.0
47000008,2.2,4.25,0.0,2.15,2.15
47000009,6.8,7.0,6.6,6.8,6.8
47000010,6.6,7.5,5.0,6.366666666666667,6.366666666666667
47000011,5.4,6.0,6.4,5.933333333333334,5.933333333333334
47000012,7.0,7.0,8.8,7.6,7.6000000000000005
47000013,4.2,7.0,4.8,5.333333333333333,5.333333333333333
47000014,7.0,6.5,8.4,7.3,7.3
47000015,6.8,7.25,7.4,7.150000000000001,7.150000000000001
47000016,8.0,5.75,7.0,6.916666666666667,6.916666666666667
47000017,8.0,3.5,9.0,6.833333333333333,6.833333333333333
47000018,7.0,6.5,5.2,6.233333333333333,6.233333333333333
47000019,7.0,8.0,7.6,7.533333333333334,7.533333333333334
47000020,6.4,7.5,6.6,6.833333333333333,6.833333333333333
47000021,5.0,7.75,3.4,5.383333333333333,5.383333333333333
47000022,4.0,7.5,8.4,6.633333333333333,6.633333333333333
47000023,7.8,5.5,7.8,7.033333333333334,7.033333333333334
47000024,8.0,8.25,0.0,5.416666666666667,5.416666666666667
47000025,5.2,8.25,5.6,6.349999999999999,6.349999999999999
47000026,8.2,6.75,8.6,7.849999999999999,7.849999999999999
47000027,8.4,6.25,6.2,6.95,6.95
47000028,7.6,7.75,8.8,8.049999999999999,8.049999999999999
47000029,8.0,8.25,8.0,8.083333333333334,8.083333333333334
47000030,6.2,7.25,8.4,7.283333333333334,7.283333333333334
47000031,8.0,8.5,6.6,7.7,7.7
47000032,6.0,8.0,7.6,7.2,7.2
47000033,6.8,8.25,3.8,6.283333333333334,6.283333333333334
47000034,6.8,6.0,5.8,6.2,6.2
47000035,7.0,6.0,7.6,6.866666666666667,6.866666666666667
47000036,5.2,5.0,3.4,4.533333333333333,4.533333333333333
47000037,8.4,8.75,8.2,8.45,8.45
47000038,6.8,6.0,5.6,6.133333333333333,6.133333333333333
47000039,7.6,7.0,7.6,7.399999999999999,7.3999999999999995
47000040,7.8,5.75,7.2,6.916666666666667,6.916666666666667
47000041,8.4,5.25,6.6,6.75,6.75
47000042,6.6,6.0,6.8,6.466666666666666,6.466666666666666
47000043,7.6,6.5,9.0,7.7,7.7
47000044,8.8,7.75,7.0,7.85,7.8500000000000005
47000045,3.6,7.25,4.4,5.083333333333333,5.083333333333333
47000046,7.4,0.0,0.0,2.466666666666667,2.466666666666667
47000047,7.2,7.75,8.8,7.916666666666667,7.916666666666667
47000048,6.4,7.75,5.0,6.383333333333333,6.383333333333333
47000049,4.8,4.75,4.6,4.716666666666667,4.716666666666667
47000050,8.2,7.0,8.0,7.733333333333333,7.733333333333333
47000051,4.6,7.0,4.8,5.466666666666666,5.466666666666666
47000052,6.6,6.25,5.0,5.95,5.95
47000053,8.6,5.75,5.6,6.65,6.6499999999999995
47000054,8.2,7.25,8.8,8.083333333333334,8.083333333333334
47000055,8.2,6.25,8.8,7.75,7.75
47000056,7.8,7.75,8.2,7.916666666666667,7.916666666666667
47000057,8.0,7.5,9.0,8.166666666666666,8.166666666666666
47000058,8.4,6.5,8.0,7.633333333333333,7.633333333333333
47000059,8.0,4.0,8.2,6.733333333333333,6.733333333333333
47000060,5.4,6.5,5.2,5.7,5.7
47000061,7.2,7.0,5.8,6.666666666666667,6.666666666666667
47000062,7.8,7.75,7.8,7.783333333333334,7.783333333333334
47000063,2.4,6.25,0.0,2.8833333333333333,2.8833333333333333
47000064,7.4,6.25,7.8,7.15,7.1499999999999995
47000065,7.6,5.5,6.0,6.366666666666667,6.366666666666667
47000066,6.4,5.5,7.6,6.5,6.5
47000067,7.2,7.25,6.8,7.083333333333333,7.083333333333333
47000068,8.2,7.5,6.0,7.233333333333333,7.233333333333333
47000069,5.6,6.75,5.8,6.05,6.05
47000070,7.8,5.75,8.6,7.383333333333333,7.383333333333333
47000071,6.6,6.5,6.4,6.5,6.5
47000072,7.0,7.5,7.2,7.233333333333333,7.233333333333333
47000073,5.8,6.25,0.0,4.016666666666667,4.016666666666667
47000074,6.4,5.0,6.4,5.933333333333334,5.933333333333334
47000075,5.8,8.0,8.6,7.466666666666666,7.466666666666666
47000076,5.8,7.5,4.6,5.966666666666666,5.966666666666666
47000077,7.4,6.75,6.2,6.783333333333334,6.783333333333334
47000078,6.8,6.75,7.8,7.116666666666667,7.116666666666667
47000079,7.2,7.0,6.6,6.933333333333333,6.933333333333333
47000080,7.8,8.5,7.6,7.966666666666666,7.966666666666666
47000081,4.6,6.75,0.0,3.783333333333333,3.783333333333333
47000082,4.6,7.25,4.0,5.283333333333333,5.283333333333333
47000083,8.0,7.5,5.2,6.9,6.8999999999999995
47000084,7.2,7.5,7.8,7.5,7.5
47000085,5.6,6.75,4.0,5.45,5.45
47000086,7.8,6.5,7.6,7.3,7.3
47000087,6.2,7.0,4.8,6.0,6.0
47000088,8.0,5.25,6.6,6.616666666666667,6.616666666666667
47000089,6.6,4.75,4.0,5.116666666666666,5.116666666666666
47000090,7.0,4.5,2.8,4.766666666666667,4.766666666666667
47000091,7.2,7.25,6.4,6.95,6.95
47000092,8.0,8.0,6.6,7.533333333333334,7.533333333333334
47000093,7.8,6.25,8.0,7.35,7.3500000000000005
47000094,7.6,9.0,9.0,8.533333333333333,8.533333333333333
47000095,6.6,8.25,7.0,7.283333333333334,7.283333333333334
47000096,3.8,6.0,0.0,3.266666666666667,3.266666666666667
47000097,6.2,8.25,6.4,6.95,6.95
47000098,7.6,5.75,2.8,5.383333333333333,5.383333333333333
47000099,2.6,5.0,0.0,2.533333333333333,2.533333333333333
47000100,7.2,7.5,8.6,7.766666666666666,7.766666666666666
47000101,8.2,7.0,4.2,6.466666666666666,6.466666666666666
47000102,6.4,7.75,7.8,7.316666666666666,7.316666666666666
47000103,7.4,8.0,6.8,7.399999999999999,7.3999999999999995
47000104,8.0,7.25,8.8,8.016666666666667,8.016666666666667
47000105,7.6,6.5,6.2,6.766666666666667,6.766666666666667
47000106,7.2,7.25,5.4,6.616666666666667,6.616666666666667
47000107,7.4,5.75,5.4,6.183333333333334,6.183333333333334
47000108,2.6,5.5,0.0,2.7,2.6999999999999997
47000109,8.2,6.5,7.2,7.3,7.3
47000110,6.2,5.0,5.6,5.599999999999999,5.599999999999999
47000111,7.2,6.0,6.2,6.466666666666666,6.466666666666666
47000112,6.6,5.25,0.0,3.95,3.9499999999999997
47000113,7.2,6.25,5.0,6.15,6.1499999999999995
47000114,7.0,6.75,6.6,6.783333333333334,6.783333333333334
47000115,7.8,8.25,7.0,7.683333333333334,7.683333333333334
47000116,7.4,6.5,7.2,7.033333333333334,7.033333333333334
47000117,5.2,7.0,7.8,6.666666666666667,6.666666666666667
47000118,6.0,6.25,5.0,5.75,5.75
47000119,6.0,6.0,3.6,5.2,5.2
47000120,7.6,0.0,8.6,5.4,5.3999999999999995
47000121,7.2,5.75,3.6,5.516666666666667,5.516666666666667
47000122,7.6,7.0,7.8,7.466666666666666,7.466666666666666
47000123,6.4,5.75,5.8,5.983333333333333,5.983333333333333
47000124,7.6,6.5,7.8,7.3,7.3
47000125,7.0,7.75,8.4,7.716666666666666,7.716666666666666
47000126,7.8,8.5,8.0,8.1,8.1
47000127,7.6,4.75,5.2,5.8500000000000005,5.8500000000000005
47000128,6.0,6.5,5.0,5.833333333333333,5.833333333333333
47000129,7.6,6.75,7.2,7.183333333333334,7.183333333333334
47000130,4.8,8.0,6.2,6.333333333333333,6.333333333333333
47000131,8.2,8.0,6.8,7.666666666666667,7.666666666666667
47000132,6.4,7.0,5.0,6.133333333333333,6.133333333333333
47000133,5.8,7.25,5.8,6.283333333333334,6.283333333333334
47000134,7.0,6.5,4.6,6.033333333333334,6.033333333333334
47000135,6.2,6.75,7.2,6.716666666666666,6.716666666666666
47000136,7.2,5.0,7.8,6.666666666666667,6.666666666666667
47000137,7.2,6.25,3.8,5.75,5.75
47000138,3.2,6.75,0.0,3.3166666666666664,3.3166666666666664
47000139,7.8,7.0,8.2,7.666666666666667,7.666666666666667
47000140,8.2,6.0,8.8,7.666666666666667,7.666666666666667
47000141,7.0,6.25,5.2,6.15,6.1499999999999995
47000142,6.2,7.5,5.6,6.433333333333333,6.433333333333333
47000143,6.8,7.25,3.0,5.683333333333334,5.683333333333334
47000144,7.8,6.75,8.0,7.516666666666667,7.516666666666667
47000145,7.4,6.75,8.2,7.45,7.45
47000146,3.8,5.25,8.0,5.683333333333334,5.683333333333334
47000147,4.0,7.75,3.6,5.116666666666666,5.116666666666666
47000148,8.4,6.0,6.6,7.0,7.0
47000149,7.6,6.25,8.2,7.349999999999999,7.349999999999999
47000150,3.4,6.5,0.0,3.3000000000000003,3.3000000000000003
47000151,6.8,5.5,5.6,5.966666666666666,5.966666666666666
47000152,6.6,6.0,6.2,6.266666666666667,6.266666666666667
47000153,7.4,6.75,7.0,7.05,7.05
47000154,3.4,2.75,8.6,4.916666666666667,4.916666666666667
47000155,8.0,6.25,7.4,7.216666666666666,7.216666666666666
47000156,7.0,6.5,3.4,5.633333333333333,5.633333333333333
47000157,6.6,6.25,7.0,6.616666666666667,6.616666666666667
