SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
37000001,0.0,0.0,0.0,0.0,0.0
37000002,5.2,6.0,0.0,3.733333333333333,3.733333333333333
37000003,0.0,5.25,0.0,1.75,1.75
37000004,6.8,5.25,9.0,7.016666666666667,7.016666666666667
37000005,0.0,0.0,0.0,0.0,0.0
37000006,8.6,7.5,9.2,8.433333333333334,8.433333333333334
37000007,7.8,9.0,9.2,8.666666666666666,8.666666666666666
37000008,9.0,8.75,9.6,9.116666666666667,9.116666666666667
37000009,6.4,7.5,8.6,7.5,7.5
37000010,0.0,0.0,0.0,0.0,0.0
37000011,7.4,7.75,7.8,7.649999999999999,7.6499999999999995
37000012,0.0,3.75,0.0,1.25,1.25
37000013,4.4,7.5,8.2,6.7,6.7
37000014,8.0,0.0,9.0,5.666666666666667,5.666666666666667
37000015,9.0,0.0,0.0,3.0,3.0
37000016,8.6,7.75,8.4,8.25,8.25
37000017,8.6,4.0,8.8,7.133333333333333,7.133333333333333
37000018,6.8,8.0,7.0,7.266666666666667,7.266666666666667
37000019,7.6,0.0,0.0,2.533333333333333,2.533333333333333
37000020,3.8,6.75,6.4,5.650000000000001,5.650000000000001
37000021,8.0,7.75,9.6,8.450000000000001,8.450000000000001
37000022,7.4,7.5,9.4,8.1,8.1
37000023,7.8,8.75,9.6,8.716666666666667,8.716666666666667
37000024,8.2,7.0,9.4,8.200000000000001,8.200000000000001
37000025,6.2,6.25,9.4,7.283333333333334,7.283333333333334
37000026,8.6,6.5,9.8,8.299999999999999,8.299999999999999
37000027,8.0,7.0,9.6,8.200000000000001,8.200000000000001
37000028,6.8,6.0,7.2,6.666666666666667,6.666666666666667
37000029,0.0,3.25,0.0,1.0833333333333333,1.0833333333333333
37000030,0.0,6.75,0.0,2.25,2.25
37000031,8.0,6.25,8.4,7.55,7.55
37000032,7.4,3.75,9.0,6.716666666666666,6.716666666666666
37000033,0.0,4.0,0.0,1.3333333333333333,1.3333333333333333
37000034,7.4,4.25,8.8,6.816666666666667,6.816666666666667
37000035,8.6,7.25,8.6,8.15,8.15
37000036,6.4,8.0,0.0,4.8,4.8
37000037,7.8,7.0,7.6,7.466666666666666,7.466666666666666
37000038,7.6,7.25,0.0,4.95,4.95
37000039,0.0,6.5,0.0,2.1666666666666665,2.1666666666666665
37000040,0.0,0.0,0.0,0.0,0.0
37000041,9.0,6.0,8.4,7.8,7.8
37000042,0.0,0.0,0.0,0.0,0.0
37000043,7.8,4.25,5.4,5.816666666666667,5.816666666666667
37000044,5.8,0.0,7.4,4.4,4.3999999999999995
37000045,7.6,6.25,0.0,4.616666666666666,4.616666666666666
37000046,8.2,6.75,9.2,8.049999999999999,8.049999999999999
37000047,8.8,7.25,0.0,5.3500000000000005,5.3500000000000005
37000048,6.4,7.75,7.8,7.316666666666666,7.316666666666666
37000049,7.2,7.25,9.2,7.883333333333333,7.883333333333333
37000050,0.0,4.0,0.0,1.3333333333333333,1.3333333333333333
37000051,6.6,7.0,6.6,6.733333333333333,6.733333333333333
37000052,8.4,8.0,8.8,8.4,8.4
37000053,0.0,0.0,0.0,0.0,0.0
37000054,7.6,6.75,0.0,4.783333333333333,4.783333333333333
37000055,7.6,0.0,6.0,4.533333333333333,4.533333333333333
37000056,0.0,5.25,0.0,1.75,1.75
37000057,7.8,7.75,9.6,8.383333333333333,8.383333333333333
37000058,5.4,6.25,0.0,3.883333333333333,3.8833333333333333
37000059,8.4,6.0,7.6,7.333333333333333,7.333333333333333
37000060,8.8,6.5,9.4,8.233333333333334,8.233333333333334
37000061,7.6,6.0,8.6,7.399999999999999,7.3999999999999995
37000062,7.8,0.0,0.0,2.6,2.6
37000063,7.6,7.25,8.0,7.616666666666667,7.616666666666667
37000064,8.2,0.0,0.0,2.733333333333333,2.733333333333333
37000065,8.0,6.75,8.8,7.85,7.8500000000000005
37000066,7.0,0.0,0.0,2.333333333333333,2.3333333333333335
37000067,8.4,7.75,8.8,8.316666666666666,8.316666666666666
37000068,7.8,6.5,7.8,7.366666666666667,7.366666666666667
37000069,8.4,7.25,9.4,8.35,8.35
37000070,8.6,5.25,5.2,6.3500000000000005,6.3500000000000005
37000071,0.0,4.25,0.0,1.4166666666666667,1.4166666666666667
37000072,9.4,6.25,0.0,5.216666666666667,5.216666666666667
37000073,8.0,7.0,5.6,6.866666666666667,6.866666666666667
37000074,7.6,7.25,8.8,7.883333333333333,7.883333333333333
37000075,7.4,6.0,9.0,7.466666666666666,7.466666666666666
