SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
19000001,9.0,7.75,8.0,8.25,8.25
19000002,7.2,9.0,0.0,5.4,5.3999999999999995
19000003,8.4,9.5,9.4,9.1,9.1
19000004,6.8,8.0,6.4,7.066666666666667,7.066666666666667
19000005,4.4,9.25,9.2,7.616666666666667,7.616666666666667
19000006,9.2,7.75,7.2,8.049999999999999,8.049999999999999
19000007,7.0,9.25,5.6,7.283333333333334,7.283333333333334
19000008,7.0,7.5,6.2,6.9,6.8999999999999995
19000009,4.8,7.5,5.6,5.966666666666666,5.966666666666666
19000010,5.8,8.0,6.4,6.733333333333334,6.733333333333334
19000011,5.8,9.5,6.6,7.3,7.3
19000012,8.0,7.5,8.4,7.966666666666666,7.966666666666666
19000013,8.2,8.0,8.6,8.266666666666666,8.266666666666666
19000014,8.0,9.75,9.6,9.116666666666667,9.116666666666667
19000015,8.4,6.5,9.0,7.966666666666666,7.966666666666666
19000016,8.6,6.75,3.8,6.383333333333333,6.383333333333333
19000017,9.4,9.5,9.0,9.3,9.299999999999999
19000018,6.6,9.0,9.4,8.333333333333334,8.333333333333334
19000019,8.2,8.75,7.6,8.183333333333332,8.183333333333332
19000020,9.2,6.25,9.2,8.216666666666667,8.216666666666667
19000021,8.8,8.5,9.4,8.9,8.9
19000022,7.6,8.75,9.6,8.65,8.65
19000023,9.0,9.25,9.6,9.283333333333331,9.283333333333333
19000024,7.4,9.0,6.8,7.733333333333333,7.733333333333333
19000025,7.2,9.25,9.2,8.549999999999999,8.549999999999999
19000026,8.2,8.5,6.0,7.566666666666666,7.566666666666666
19000027,6.4,9.25,7.4,7.683333333333334,7.683333333333334
19000028,7.4,8.25,7.4,7.683333333333334,7.683333333333334
19000029,9.2,8.0,8.6,8.6,8.6
19000030,6.4,6.0,2.2,4.866666666666667,4.866666666666667
19000031,6.8,9.5,9.6,8.633333333333333,8.633333333333333
19000032,7.6,8.25,9.0,8.283333333333333,8.283333333333333
19000033,4.0,7.5,3.0,4.833333333333333,4.833333333333333
19000034,6.6,9.25,9.8,8.549999999999999,8.549999999999999
19000035,6.4,8.0,10.0,8.133333333333333,8.133333333333333
19000036,8.0,9.25,9.6,8.950000000000001,8.950000000000001
19000037,8.6,9.0,9.2,8.933333333333334,8.933333333333334
19000038,8.6,9.5,9.8,9.3,9.3
19000039,8.4,9.0,9.6,9.0,9.0
19000040,7.8,7.25,5.0,6.683333333333334,6.683333333333334
19000041,7.6,8.5,7.2,7.766666666666667,7.766666666666667
19000042,7.8,9.0,9.0,8.6,8.6
19000043,7.4,8.0,0.0,5.133333333333334,5.133333333333334
19000044,7.4,9.0,8.8,8.4,8.4
19000045,8.6,9.0,9.6,9.066666666666668,9.066666666666668
19000046,8.4,9.0,9.8,9.066666666666666,9.066666666666666
