SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
56000001,4.8,6.5,5.0,5.433333333333334,5.433333333333334
56000002,7.4,7.0,4.0,6.133333333333333,6.133333333333333
56000003,4.0,5.25,2.8,4.016666666666667,4.016666666666667
56000004,6.2,6.75,6.4,6.45,6.45
56000005,3.2,6.0,3.8,4.333333333333333,4.333333333333333
56000006,6.6,6.25,6.8,6.55,6.55
56000007,6.2,7.25,6.0,6.483333333333333,6.483333333333333
56000008,7.4,8.25,5.2,6.95,6.95
56000009,6.0,8.0,6.0,6.666666666666667,6.666666666666667
56000010,6.8,6.5,4.8,6.033333333333334,6.033333333333334
56000011,5.8,8.0,5.2,6.333333333333333,6.333333333333333
56000012,6.4,8.0,5.2,6.533333333333334,6.533333333333334
56000013,8.0,7.0,4.0,6.333333333333333,6.333333333333333
56000014,7.2,7.0,7.6,7.266666666666666,7.266666666666666
56000015,6.2,6.5,5.2,5.966666666666666,5.966666666666666
56000016,6.6,5.0,5.8,5.8,5.8
56000017,6.8,6.0,4.2,5.666666666666667,5.666666666666667
56000018,5.6,5.75,4.6,5.316666666666666,5.316666666666666
56000019,4.6,5.5,5.0,5.033333333333333,5.033333333333333
56000020,4.6,5.5,3.6,4.566666666666666,4.566666666666666
56000021,7.0,5.25,7.4,6.55,6.55
56000022,7.0,7.5,4.6,6.366666666666667,6.366666666666667
56000023,8.4,7.5,6.4,7.433333333333334,7.433333333333334
56000024,7.6,7.25,4.0,6.283333333333334,6.283333333333334
56000025,5.4,6.25,5.4,5.683333333333334,5.683333333333334
56000026,7.8,7.0,8.4,7.733333333333334,7.733333333333334
56000027,4.0,6.5,4.4,4.966666666666667,4.966666666666667
56000028,7.6,7.75,8.2,7.849999999999999,7.849999999999999
56000029,6.2,6.25,4.0,5.483333333333333,5.483333333333333
56000030,7.8,7.25,5.2,6.75,6.75
56000031,7.0,6.25,3.6,5.616666666666667,5.616666666666667
56000032,5.2,5.5,4.4,5.033333333333333,5.033333333333333
56000033,6.2,7.75,8.2,7.383333333333333,7.383333333333333
56000034,5.0,3.75,2.2,3.65,3.65
56000035,7.0,6.75,7.4,7.05,7.05
56000036,7.0,6.0,5.6,6.2,6.2
56000037,8.2,8.5,6.6,7.766666666666666,7.766666666666666
56000038,5.0,7.25,4.0,5.416666666666667,5.416666666666667
56000039,8.0,9.0,8.2,8.4,8.4
56000040,7.4,6.5,5.6,6.5,6.5
56000041,6.2,7.25,6.8,6.75,6.75
56000042,6.6,5.25,5.8,5.883333333333333,5.883333333333333
56000043,7.8,7.0,7.4,7.400000000000001,7.400000000000001
56000044,7.0,5.5,4.4,5.633333333333333,5.633333333333333
56000045,5.2,8.25,5.6,6.349999999999999,6.349999999999999
56000046,6.2,7.0,4.4,5.866666666666667,5.866666666666667
56000047,7.4,6.5,9.0,7.633333333333333,7.633333333333333
56000048,6.6,7.0,7.6,7.066666666666666,7.066666666666666
56000049,6.0,8.5,6.8,7.1000000000000005,7.1000000000000005
56000050,6.8,6.0,5.4,6.066666666666667,6.066666666666667
56000051,6.8,6.5,4.6,5.966666666666666,5.966666666666666
56000052,7.6,5.75,6.6,6.65,6.6499999999999995
56000053,8.0,8.0,0.0,5.333333333333333,5.333333333333333
56000054,7.0,6.5,4.4,5.966666666666666,5.966666666666666
56000055,4.8,4.25,4.4,4.483333333333333,4.483333333333333
56000056,6.4,4.75,2.2,4.45,4.45
56000057,8.8,6.5,7.8,7.7,7.7
56000058,7.2,5.25,3.6,5.3500000000000005,5.3500000000000005
56000059,6.8,8.0,5.4,6.733333333333334,6.733333333333334
56000060,7.6,8.0,7.2,7.6,7.6000000000000005
56000061,7.6,5.0,3.8,5.466666666666666,5.466666666666666
