SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
61000001,8.0,7.0,6.2,7.066666666666666,7.066666666666666
61000002,7.0,8.75,7.0,7.583333333333333,7.583333333333333
61000003,7.8,6.75,5.8,6.783333333333334,6.783333333333334
61000004,4.8,6.0,5.0,5.266666666666667,5.266666666666667
61000005,6.8,6.0,4.8,5.866666666666667,5.866666666666667
61000006,8.4,7.5,7.4,7.766666666666667,7.766666666666667
61000007,7.8,6.0,6.4,6.733333333333334,6.733333333333334
61000008,6.0,7.75,5.4,6.383333333333333,6.383333333333333
61000009,5.2,6.0,7.2,6.133333333333333,6.133333333333333
61000010,4.4,6.5,5.0,5.3,5.3
61000011,7.6,6.25,6.2,6.683333333333334,6.683333333333334
61000012,5.2,6.0,5.4,5.533333333333334,5.533333333333334
61000013,6.4,6.75,5.4,6.183333333333334,6.183333333333334
61000014,8.2,4.5,8.2,6.966666666666666,6.966666666666666
61000015,7.6,6.0,7.8,7.133333333333333,7.133333333333333
61000016,3.8,6.25,3.8,4.616666666666667,4.616666666666667
61000017,6.4,5.0,7.2,6.2,6.2
61000018,6.0,6.5,3.8,5.433333333333334,5.433333333333334
61000019,7.4,6.75,7.0,7.05,7.05
61000020,7.4,5.25,4.0,5.55,5.55
61000021,5.4,6.25,4.2,5.283333333333334,5.283333333333334
61000022,8.2,6.75,5.0,6.65,6.6499999999999995
61000023,6.6,7.75,9.6,7.983333333333333,7.983333333333333
61000024,5.2,5.75,3.4,4.783333333333333,4.783333333333333
61000025,4.6,5.0,5.4,5.0,5.0
61000026,7.6,6.5,8.4,7.5,7.5
61000027,8.4,6.25,7.6,7.416666666666667,7.416666666666667
61000028,5.8,8.5,7.0,7.1000000000000005,7.1000000000000005
61000029,7.6,8.75,8.2,8.183333333333334,8.183333333333334
61000030,7.4,8.0,8.2,7.866666666666667,7.866666666666667
61000031,6.0,7.5,7.0,6.833333333333333,6.833333333333333
61000032,6.6,6.75,4.0,5.783333333333334,5.783333333333334
61000033,8.6,7.92,9.0,8.506666666666666,8.506666666666666
61000034,7.2,7.75,2.2,5.716666666666666,5.716666666666666
61000035,4.4,4.25,3.4,4.016666666666667,4.016666666666667
61000036,5.8,6.5,2.6,4.966666666666667,4.966666666666667
61000037,8.0,5.0,7.0,6.666666666666667,6.666666666666667
61000038,5.0,5.75,3.6,4.783333333333333,4.783333333333333
61000039,6.0,7.25,4.6,5.95,5.95
61000040,7.8,7.5,8.8,8.033333333333333,8.033333333333333
61000041,7.4,6.25,6.8,6.816666666666666,6.816666666666666
