SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
24000001,8.4,8.0,6.2,7.533333333333332,7.533333333333332
24000002,7.2,8.5,10.0,8.566666666666666,8.566666666666666
24000003,8.2,8.5,9.4,8.700000000000001,8.700000000000001
24000004,7.0,8.75,9.0,8.25,8.25
24000005,8.4,6.75,8.2,7.783333333333334,7.783333333333334
24000006,7.4,8.5,9.0,8.299999999999999,8.299999999999999
24000007,8.8,9.0,9.2,9.0,9.0
24000008,8.0,8.5,8.4,8.299999999999999,8.299999999999999
24000009,8.0,8.0,6.6,7.533333333333334,7.533333333333334
24000010,7.8,7.75,6.2,7.25,7.25
24000011,7.4,9.25,8.2,8.283333333333333,8.283333333333333
24000012,7.0,9.0,9.0,8.333333333333334,8.333333333333334
24000013,6.4,9.25,7.2,7.616666666666667,7.616666666666667
24000014,5.0,9.0,7.6,7.2,7.2
24000015,7.8,8.5,8.4,8.233333333333334,8.233333333333334
24000016,7.4,9.5,6.6,7.833333333333333,7.833333333333333
24000017,7.4,8.0,5.8,7.066666666666666,7.066666666666666
24000018,8.6,9.0,9.4,9.0,9.0
24000019,7.6,7.5,7.0,7.366666666666667,7.366666666666667
24000020,7.6,9.0,9.8,8.8,8.8
24000021,7.6,8.75,8.6,8.316666666666668,8.316666666666668
24000022,7.8,8.5,8.0,8.1,8.1
24000023,8.2,7.75,9.0,8.316666666666666,8.316666666666666
24000024,8.2,9.0,7.4,8.200000000000001,8.200000000000001
24000025,8.2,8.5,9.4,8.700000000000001,8.700000000000001
24000026,7.8,9.25,7.8,8.283333333333333,8.283333333333333
24000027,7.0,9.0,9.0,8.333333333333334,8.333333333333334
24000028,8.2,7.75,3.2,6.383333333333333,6.383333333333333
24000029,7.8,9.25,7.8,8.283333333333333,8.283333333333333
24000030,8.2,7.25,7.0,7.483333333333333,7.483333333333333
24000031,9.0,8.75,5.6,7.783333333333334,7.783333333333334
24000032,8.0,6.75,8.4,7.716666666666666,7.716666666666666
24000033,8.2,6.5,9.2,7.966666666666666,7.966666666666666
24000034,8.2,9.0,9.2,8.799999999999999,8.799999999999999
24000035,8.6,9.0,9.0,8.866666666666667,8.866666666666667
24000036,9.4,8.75,8.8,8.983333333333333,8.983333333333333
24000037,7.4,7.5,6.6,7.166666666666667,7.166666666666667
24000038,8.4,8.25,9.2,8.616666666666665,8.616666666666665
24000039,8.2,7.0,7.8,7.666666666666667,7.666666666666667
24000040,8.8,8.25,6.6,7.883333333333333,7.883333333333333
24000041,8.4,9.0,8.8,8.733333333333333,8.733333333333333
24000042,7.6,9.25,9.2,8.683333333333334,8.683333333333334
24000043,6.6,9.0,7.2,7.6,7.6000000000000005
24000044,9.0,9.0,9.0,9.0,9.0
24000045,7.8,9.0,7.6,8.133333333333333,8.133333333333333
