SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
34000001,8.2,7.5,6.8,7.5,7.5
34000002,3.2,5.0,2.8,3.6666666666666665,3.6666666666666665
34000003,7.6,6.75,4.0,6.116666666666667,6.116666666666667
34000004,7.4,8.25,4.4,6.683333333333334,6.683333333333334
34000005,8.6,4.5,5.4,6.166666666666667,6.166666666666667
34000006,5.8,6.75,4.4,5.650000000000001,5.650000000000001
34000007,8.2,8.25,8.4,8.283333333333333,8.283333333333333
34000008,7.8,8.75,8.4,8.316666666666668,8.316666666666668
34000009,6.8,5.5,3.8,5.366666666666667,5.366666666666667
34000010,4.2,5.75,3.2,4.383333333333333,4.383333333333333
34000011,2.8,5.5,1.8,3.366666666666667,3.366666666666667
34000012,7.6,6.5,6.4,6.833333333333333,6.833333333333333
34000013,6.8,5.75,4.4,5.650000000000001,5.650000000000001
34000014,8.0,6.75,7.2,7.316666666666666,7.316666666666666
34000015,8.4,7.0,6.8,7.399999999999999,7.3999999999999995
34000016,7.6,6.25,3.2,5.683333333333334,5.683333333333334
34000017,5.4,6.25,2.6,4.75,4.75
34000018,8.0,5.75,5.6,6.45,6.45
34000019,2.6,3.25,2.6,2.8166666666666664,2.8166666666666664
34000020,5.8,6.5,2.8,5.033333333333334,5.033333333333334
34000021,8.4,7.25,9.2,8.283333333333333,8.283333333333333
34000022,6.8,6.0,3.0,5.266666666666667,5.266666666666667
34000023,6.2,7.0,5.0,6.066666666666666,6.066666666666666
34000024,5.8,5.5,6.0,5.766666666666667,5.766666666666667
34000025,6.4,6.25,6.6,6.416666666666667,6.416666666666667
34000026,8.0,8.25,7.6,7.95,7.95
34000027,8.0,5.0,4.4,5.8,5.8
34000028,4.6,6.25,4.8,5.216666666666666,5.216666666666666
34000029,7.6,5.75,5.0,6.116666666666667,6.116666666666667
34000030,8.0,7.25,4.0,6.416666666666667,6.416666666666667
34000031,4.8,5.5,3.8,4.7,4.7
34000032,6.0,5.0,5.8,5.6000000000000005,5.6000000000000005
34000033,4.4,5.0,4.8,4.733333333333333,4.733333333333333
34000034,6.2,4.5,6.4,5.7,5.7
34000035,6.6,4.5,5.0,5.366666666666667,5.366666666666667
34000036,4.2,8.0,2.6,4.933333333333333,4.933333333333333
34000037,4.8,3.5,3.4,3.9,3.9000000000000004
34000038,8.8,8.75,7.0,8.183333333333334,8.183333333333334
34000039,6.0,5.5,5.2,5.566666666666666,5.566666666666666
34000040,5.8,7.0,4.4,5.733333333333334,5.733333333333334
34000041,7.4,7.0,6.6,7.0,7.0
34000042,8.6,7.5,6.6,7.566666666666667,7.566666666666667
34000043,5.6,6.25,4.2,5.3500000000000005,5.3500000000000005
34000044,2.0,4.75,2.6,3.1166666666666667,3.1166666666666667
34000045,6.2,6.5,5.8,6.166666666666667,6.166666666666667
34000046,5.8,7.75,7.4,6.983333333333334,6.983333333333334
34000047,6.8,8.0,6.0,6.933333333333334,6.933333333333334
34000048,8.6,9.0,9.6,9.066666666666668,9.066666666666668
34000049,8.6,6.5,8.6,7.899999999999999,7.8999999999999995
34000050,7.0,8.75,6.6,7.45,7.45
34000051,6.4,6.0,6.4,6.266666666666667,6.266666666666667
34000052,6.4,5.5,5.6,5.833333333333333,5.833333333333333
34000053,4.6,5.0,5.4,5.0,5.0
34000054,7.6,5.5,6.0,6.366666666666667,6.366666666666667
34000055,7.2,6.0,6.4,6.533333333333334,6.533333333333334
34000056,5.0,7.0,5.2,5.733333333333333,5.733333333333333
34000057,6.8,6.0,6.6,6.466666666666666,6.466666666666666
34000058,1.4,3.25,5.2,3.2833333333333337,3.2833333333333337
34000059,4.6,7.25,6.6,6.15,6.1499999999999995
34000060,8.4,7.5,6.0,7.3,7.3
34000061,8.4,9.25,9.0,8.883333333333333,8.883333333333333
34000062,6.6,7.0,6.4,6.666666666666667,6.666666666666667
34000063,5.2,5.25,6.4,5.616666666666667,5.616666666666667
34000064,4.6,5.5,5.4,5.166666666666667,5.166666666666667
34000065,6.2,5.25,6.0,5.816666666666666,5.816666666666666
34000066,8.0,6.0,5.0,6.333333333333333,6.333333333333333
34000067,6.8,4.75,6.6,6.05,6.05
34000068,6.8,6.5,5.0,6.1000000000000005,6.1000000000000005
34000069,7.8,7.0,6.4,7.066666666666667,7.066666666666667
34000070,8.4,6.25,5.6,6.75,6.75
34000071,5.4,6.5,6.0,5.966666666666666,5.966666666666666
34000072,4.8,8.0,3.2,5.333333333333333,5.333333333333333
34000073,7.0,7.0,4.6,6.2,6.2
34000074,5.2,6.0,3.6,4.933333333333333,4.933333333333333
34000075,5.4,5.0,3.6,4.666666666666667,4.666666666666667
34000076,5.6,5.0,4.6,5.066666666666666,5.066666666666666
34000077,3.4,3.75,2.2,3.116666666666667,3.116666666666667
34000078,3.8,5.0,3.8,4.2,4.2
34000079,4.8,6.0,3.2,4.666666666666667,4.666666666666667
34000080,4.8,5.75,5.4,5.316666666666667,5.316666666666667
34000081,7.6,7.25,6.6,7.15,7.1499999999999995
34000082,6.8,7.25,5.8,6.616666666666667,6.616666666666667
34000083,8.2,6.5,5.6,6.766666666666666,6.766666666666666
34000084,7.2,7.25,5.0,6.483333333333333,6.483333333333333
34000085,7.0,4.75,3.2,4.983333333333333,4.983333333333333
34000086,7.6,8.5,7.2,7.766666666666667,7.766666666666667
34000087,6.6,6.0,3.8,5.466666666666666,5.466666666666666
34000088,8.6,8.25,8.6,8.483333333333334,8.483333333333334
34000089,6.0,8.5,8.8,7.766666666666667,7.766666666666667
34000090,5.4,6.5,3.2,5.033333333333334,5.033333333333334
34000091,4.8,6.5,4.4,5.233333333333333,5.233333333333333
34000092,5.4,6.75,5.4,5.8500000000000005,5.8500000000000005
34000093,6.6,7.25,6.0,6.616666666666667,6.616666666666667
34000094,7.2,5.75,5.8,6.25,6.25
34000095,6.8,6.0,4.4,5.733333333333334,5.733333333333334
34000096,8.0,5.25,4.6,5.95,5.95
34000097,7.6,6.5,5.0,6.366666666666667,6.366666666666667
34000098,7.0,5.25,5.4,5.883333333333333,5.883333333333333
34000099,5.6,5.5,3.0,4.7,4.7
34000100,7.2,5.25,3.8,5.416666666666667,5.416666666666667
34000101,6.4,6.0,4.6,5.666666666666667,5.666666666666667
34000102,2.8,6.0,4.6,4.466666666666667,4.466666666666667
34000103,4.6,5.75,5.6,5.316666666666666,5.316666666666666
34000104,7.4,6.0,6.0,6.466666666666666,6.466666666666666
34000105,8.2,6.75,9.2,8.049999999999999,8.049999999999999
34000106,5.2,5.25,6.6,5.683333333333333,5.683333333333333
34000107,4.6,4.75,4.8,4.716666666666666,4.716666666666666
34000108,6.8,6.75,8.0,7.183333333333334,7.183333333333334
34000109,9.0,3.75,5.4,6.05,6.05
34000110,6.2,5.75,4.6,5.516666666666666,5.516666666666666
34000111,6.4,6.0,4.8,5.733333333333333,5.733333333333333
34000112,4.8,7.25,6.8,6.283333333333334,6.283333333333334
34000113,5.4,7.25,4.8,5.816666666666666,5.816666666666666
34000114,4.0,8.5,5.4,5.966666666666666,5.966666666666666
34000115,6.0,5.25,5.0,5.416666666666667,5.416666666666667
34000116,6.6,8.25,5.4,6.75,6.75
34000117,3.4,5.25,3.6,4.083333333333333,4.083333333333333
34000118,3.6,5.0,4.0,4.2,4.2
34000119,3.6,6.75,3.8,4.716666666666666,4.716666666666666
34000120,6.0,5.58,6.6,6.06,6.06
34000121,6.6,9.25,6.4,7.416666666666667,7.416666666666667
34000122,8.0,8.75,7.0,7.916666666666667,7.916666666666667
34000123,3.6,7.25,3.8,4.883333333333333,4.883333333333333
34000124,6.2,8.0,6.2,6.8,6.8
34000125,3.0,6.25,2.8,4.016666666666667,4.016666666666667
34000126,6.0,6.75,5.8,6.183333333333334,6.183333333333334
34000127,6.6,8.5,5.4,6.833333333333333,6.833333333333333
34000128,3.0,4.0,2.2,3.0666666666666664,3.0666666666666664
34000129,6.0,7.5,3.6,5.7,5.7
34000130,8.6,6.5,8.8,7.966666666666666,7.966666666666666
34000131,6.8,5.25,2.8,4.95,4.95
34000132,7.2,7.25,6.4,6.95,6.95
34000133,7.2,8.5,6.6,7.433333333333333,7.433333333333333
34000134,4.8,7.5,3.2,5.166666666666667,5.166666666666667
34000135,6.0,7.5,6.0,6.5,6.5
34000136,4.6,5.0,4.8,4.8,4.8
34000137,3.0,5.75,2.6,3.783333333333333,3.783333333333333
34000138,7.2,7.0,7.0,7.066666666666666,7.066666666666666
34000139,4.6,7.0,4.4,5.333333333333333,5.333333333333333
34000140,5.6,6.0,3.6,5.066666666666666,5.066666666666666
34000141,3.2,8.5,2.8,4.833333333333333,4.833333333333333
34000142,7.6,8.75,7.0,7.783333333333334,7.783333333333334
34000143,4.6,6.75,4.0,5.116666666666666,5.116666666666666
34000144,6.0,8.75,8.0,7.583333333333333,7.583333333333333
34000145,4.6,6.0,3.4,4.666666666666667,4.666666666666667
34000146,5.2,6.5,5.8,5.833333333333333,5.833333333333333
34000147,7.0,7.5,4.8,6.433333333333334,6.433333333333334
34000148,7.8,7.75,9.0,8.183333333333334,8.183333333333334
34000149,5.4,7.33,4.2,5.6433333333333335,5.6433333333333335
34000150,7.2,8.5,6.0,7.233333333333333,7.233333333333333
34000151,8.4,6.5,6.4,7.1000000000000005,7.1000000000000005
34000152,6.4,5.75,5.2,5.783333333333334,5.783333333333334
34000153,7.2,7.0,6.0,6.733333333333333,6.733333333333333
34000154,4.8,6.75,2.4,4.65,4.65
34000155,8.2,7.75,6.6,7.516666666666666,7.516666666666666
34000156,6.8,5.75,6.8,6.45,6.45
34000157,4.4,6.25,5.0,5.216666666666667,5.216666666666667
34000158,8.8,8.75,9.4,8.983333333333334,8.983333333333334
34000159,7.8,8.5,8.8,8.366666666666667,8.366666666666667
34000160,8.0,8.25,9.8,8.683333333333334,8.683333333333334
34000161,7.4,7.75,8.0,7.716666666666666,7.716666666666666
34000162,7.4,4.5,6.8,6.233333333333333,6.233333333333333
34000163,7.0,6.75,7.2,6.983333333333333,6.983333333333333
34000164,5.6,5.5,4.4,5.166666666666667,5.166666666666667
34000165,4.6,5.5,5.6,5.233333333333333,5.233333333333333
34000166,6.4,5.0,5.6,5.666666666666667,5.666666666666667
34000167,6.4,5.25,3.4,5.016666666666667,5.016666666666667
34000168,5.2,6.0,3.0,4.733333333333333,4.733333333333333
34000169,5.2,5.25,5.2,5.216666666666666,5.216666666666666
34000170,4.4,6.25,4.2,4.95,4.95
34000171,6.6,5.25,4.4,5.416666666666667,5.416666666666667
34000172,8.2,9.25,8.8,8.75,8.75
34000173,5.4,6.0,3.4,4.933333333333334,4.933333333333334
34000174,6.8,5.5,6.0,6.1000000000000005,6.1000000000000005
34000175,7.4,8.0,4.6,6.666666666666667,6.666666666666667
34000176,8.2,7.25,6.8,7.416666666666667,7.416666666666667
34000177,7.8,6.5,8.4,7.566666666666667,7.566666666666667
34000178,8.0,7.0,7.0,7.333333333333333,7.333333333333333
34000179,4.8,6.5,6.2,5.833333333333333,5.833333333333333
34000180,7.6,5.75,6.6,6.65,6.6499999999999995
34000181,3.6,6.25,3.0,4.283333333333333,4.283333333333333
34000182,7.8,6.75,4.6,6.383333333333333,6.383333333333333
34000183,8.8,7.0,5.0,6.933333333333334,6.933333333333334
34000184,6.4,5.25,3.8,5.15,5.1499999999999995
34000185,4.8,5.75,1.8,4.116666666666667,4.116666666666667
34000186,4.2,6.75,3.2,4.716666666666666,4.716666666666666
34000187,7.0,7.75,4.4,6.383333333333333,6.383333333333333
34000188,5.0,7.5,4.4,5.633333333333333,5.633333333333333
34000189,4.6,7.0,5.6,5.733333333333333,5.733333333333333
34000190,4.4,7.0,4.2,5.2,5.2
34000191,7.4,7.0,3.6,6.0,6.0
34000192,6.2,8.0,6.4,6.866666666666667,6.866666666666667
