SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
46000001,7.4,8.0,8.0,7.8,7.8
46000002,7.2,8.0,7.0,7.399999999999999,7.3999999999999995
46000003,8.2,8.5,3.0,6.566666666666666,6.566666666666666
46000004,4.2,6.25,0.0,3.483333333333333,3.483333333333333
46000005,6.6,7.5,4.8,6.3,6.3
46000006,7.4,8.25,7.6,7.75,7.75
46000007,5.4,7.25,5.2,5.95,5.95
46000008,7.2,7.5,7.8,7.5,7.5
46000009,0.0,0.0,0.0,0.0,0.0
46000010,8.0,8.0,4.6,6.866666666666667,6.866666666666667
46000011,4.2,3.5,0.0,2.566666666666667,2.566666666666667
46000012,7.2,8.75,6.2,7.383333333333333,7.383333333333333
46000013,8.2,4.5,4.8,5.833333333333333,5.833333333333333
46000014,6.6,6.75,6.8,6.716666666666666,6.716666666666666
46000015,3.2,4.25,0.0,2.4833333333333334,2.4833333333333334
46000016,7.6,7.75,8.0,7.783333333333334,7.783333333333334
46000017,6.4,6.75,5.6,6.25,6.25
46000018,7.8,5.25,5.8,6.283333333333334,6.283333333333334
46000019,6.8,7.5,8.6,7.633333333333333,7.633333333333333
46000020,2.8,5.25,0.0,2.6833333333333336,2.6833333333333336
46000021,4.4,6.25,0.0,3.5500000000000003,3.5500000000000003
46000022,3.8,6.25,0.0,3.35,3.35
46000023,7.2,8.0,4.6,6.599999999999999,6.599999999999999
46000024,7.2,6.25,5.0,6.15,6.1499999999999995
46000025,0.0,6.0,0.0,2.0,2.0
46000026,0.0,5.25,0.0,1.75,1.75
46000027,0.0,0.0,0.0,0.0,0.0
46000028,4.2,5.75,3.2,4.383333333333333,4.383333333333333
46000029,5.8,8.25,4.4,6.150000000000001,6.150000000000001
46000030,6.0,8.25,4.2,6.15,6.1499999999999995
46000031,7.2,7.75,5.0,6.65,6.6499999999999995
46000032,5.6,7.5,6.4,6.5,6.5
46000033,6.6,8.5,6.4,7.166666666666667,7.166666666666667
46000034,7.0,8.25,6.6,7.283333333333334,7.283333333333334
46000035,5.8,8.75,5.4,6.650000000000001,6.650000000000001
46000036,4.8,8.5,2.6,5.3,5.3
46000037,8.0,5.0,9.0,7.333333333333333,7.333333333333333
46000038,8.2,9.0,8.4,8.533333333333333,8.533333333333333
46000039,2.8,5.25,0.0,2.6833333333333336,2.6833333333333336
46000040,4.0,6.25,0.0,3.4166666666666665,3.4166666666666665
46000041,5.6,8.5,6.4,6.833333333333333,6.833333333333333
46000042,7.2,5.5,6.0,6.233333333333333,6.233333333333333
46000043,6.2,6.0,8.2,6.8,6.8
46000044,8.0,7.0,9.2,8.066666666666666,8.066666666666666
46000045,8.0,6.0,4.2,6.066666666666666,6.066666666666666
46000046,6.2,6.25,6.0,6.15,6.1499999999999995
46000047,8.8,8.5,8.6,8.633333333333333,8.633333333333333
46000048,4.8,7.5,3.8,5.366666666666667,5.366666666666667
46000049,0.0,7.75,0.0,2.583333333333333,2.5833333333333335
46000050,9.0,7.25,8.8,8.35,8.35
46000051,7.6,8.0,7.4,7.666666666666667,7.666666666666667
46000052,7.2,8.25,7.4,7.616666666666667,7.616666666666667
46000053,7.2,7.75,7.6,7.516666666666666,7.516666666666666
46000054,6.4,7.0,7.0,6.8,6.8
46000055,6.8,5.75,8.6,7.05,7.05
46000056,7.0,8.25,5.2,6.816666666666666,6.816666666666666
46000057,6.0,7.0,6.2,6.4,6.3999999999999995
46000058,6.8,0.0,0.0,2.2666666666666666,2.2666666666666666
46000059,5.2,7.25,0.0,4.15,4.1499999999999995
46000060,7.0,5.25,5.4,5.883333333333333,5.883333333333333
46000061,7.2,7.75,6.2,7.05,7.05
46000062,7.0,6.25,5.0,6.083333333333333,6.083333333333333
46000063,5.4,6.75,5.6,5.916666666666667,5.916666666666667
46000064,5.8,7.75,5.6,6.383333333333333,6.383333333333333
46000065,7.4,6.0,7.8,7.066666666666666,7.066666666666666
46000066,3.6,4.5,0.0,2.7,2.6999999999999997
46000067,5.4,7.5,5.8,6.233333333333333,6.233333333333333
46000068,4.2,4.25,0.0,2.8166666666666664,2.8166666666666664
46000069,6.8,8.5,8.0,7.766666666666667,7.766666666666667
46000070,5.4,6.25,4.8,5.483333333333333,5.483333333333333
46000071,6.6,7.5,6.4,6.833333333333333,6.833333333333333
46000072,8.0,9.0,9.4,8.799999999999999,8.799999999999999
46000073,6.0,7.25,9.0,7.416666666666667,7.416666666666667
46000074,4.6,5.25,0.0,3.283333333333333,3.283333333333333
46000075,4.0,7.25,3.4,4.883333333333334,4.883333333333334
