Địa phương,Năm,Giá trị
Lạng Sơn,2018,4.753100000000001
TP. Cần Thơ,2018,4.723096666666667
Hà Nội,2018,5.885633333333333
Hải Phòng,2018,4.881866666666666
TP. Hồ Chí Minh,2018,5.9523166666666665
Đà Nẵng,2018,4.424093333333334
An Giang,2018,5.651483333333333
Bà Rịa - Vũng Tàu,2018,4.590566666666667
Bình Dương,2018,5.743216666666667
Bình Phước,2018,4.539033333333333
Bình Thuận,2018,5.330690000000001
Bình Định,2018,5.478199999999999
Bạc Liêu,2018,5.248953333333333
Bắc Giang,2018,4.310066666666667
Bắc Kạn,2018,3.8745333333333334
Bắc Ninh,2018,5.98825
Bến Tre,2018,5.005866666666667
Cao Bằng,2018,4.228533333333333
Cà Mau,2018,4.420716666666666
Gia Lai,2018,5.19562
Hà Giang,2018,4.069333333333333
Hà Nam,2018,5.282
Hà Tĩnh,2018,4.546123333333333
Hòa Bình,2018,5.194283333333333
Hưng Yên,2018,4.724266666666667
Hải Dương,2018,4.71825
Hậu Giang,2018,4.557103333333332
Khánh Hòa,2018,4.481649999999999
Kiên Giang,2018,4.144463333333333
Kon Tum,2018,5.45061
Lai Châu,2018,3.8245
Long An,2018,4.434166666666668
Lào Cai,2018,4.41745
Lâm Đồng,2018,5.286246666666666
Nam Định,2018,6.279850000000001
Nghệ An,2018,4.391016666666666
Ninh Bình,2018,4.508166666666666
Ninh Thuận,2018,4.830383333333333
Phú Thọ,2018,5.529866666666667
Phú Yên,2018,4.433983333333334
Quảng Bình,2018,4.221100000000001
Quảng Nam,2018,4.50058
Quảng Ngãi,2018,4.742266666666667
Quảng Ninh,2018,4.086333333333333
Quảng Trị,2018,4.484883333333333
Sóc Trăng,2018,5.042416666666667
Sơn La,2018,3.2698500000000004
Thanh Hóa,2018,4.229193333333334
Thái Bình,2018,3.815116666666667
Thái Nguyên,2018,4.575699999999999
Thừa Thiên - Huế,2018,4.319866666666667
Tiền Giang,2018,4.909683333333334
Trà Vinh,2018,4.212626666666667
Tuyên Quang,2018,4.836716666666667
Tây Ninh,2018,5.20525
Vĩnh Long,2018,4.57803
Vĩnh Phúc,2018,3.3091000000000004
Yên Bái,2018,5.036833333333334
Điện Biên,2018,4.5694
Đắk Lắk,2018,4.234143333333334
Đắk Nông,2018,4.315236666666666
Đồng Nai,2018,5.37975
Đồng Tháp,2018,5.063200000000001
Lạng Sơn,2019,4.277783333333334
TP. Cần Thơ,2019,5.225543333333333
Hà Nội,2019,5.261536666666667
Hải Phòng,2019,5.227600000000001
TP. Hồ Chí Minh,2019,6.3552833333333325
Đà Nẵng,2019,5.093550000000001
An Giang,2019,5.435603333333334
Bà Rịa - Vũng Tàu,2019,6.401866666666667
Bình Dương,2019,5.37149
Bình Phước,2019,5.22079
Bình Thuận,2019,5.663506666666666
Bình Định,2019,5.169616666666667
Bạc Liêu,2019,5.888296666666666
Bắc Giang,2019,4.322586666666666
Bắc Kạn,2019,3.9347399999999997
Bắc Ninh,2019,5.0113166666666675
Bến Tre,2019,5.213123333333333
Cao Bằng,2019,4.29728
Cà Mau,2019,4.60295
Gia Lai,2019,4.407576666666666
Hà Giang,2019,4.006766666666667
Hà Nam,2019,5.885096666666667
Hà Tĩnh,2019,4.8169933333333335
Hòa Bình,2019,6.247549019607843
Hưng Yên,2019,4.653266666666666
Hải Dương,2019,5.31325
Hậu Giang,2019,4.523476666666667
Khánh Hòa,2019,4.778933333333334
Kiên Giang,2019,4.48677
Kon Tum,2019,4.9283866666666665
Lai Châu,2019,4.335083333333334
Long An,2019,4.720236666666667
Lào Cai,2019,4.865696666666667
Lâm Đồng,2019,5.513093333333334
Nam Định,2019,6.856356245380636
Nghệ An,2019,5.090226666666666
Ninh Bình,2019,4.8472333333333335
Ninh Thuận,2019,4.5268999999999995
Phú Thọ,2019,6.310866666666667
Phú Yên,2019,4.67045
Quảng Bình,2019,4.0586
Quảng Nam,2019,4.7963233333333335
Quảng Ngãi,2019,4.992636666666666
Quảng Ninh,2019,3.706933333333333
Quảng Trị,2019,4.712
Sóc Trăng,2019,4.915743333333333
Sơn La,2019,3.325146666666667
Thanh Hóa,2019,4.993765206812652
Thái Bình,2019,5.395183333333333
Thái Nguyên,2019,4.9096
Thừa Thiên - Huế,2019,4.941809999999999
Tiền Giang,2019,5.180786666666667
Trà Vinh,2019,4.648383333333333
Tuyên Quang,2019,5.41525
Tây Ninh,2019,4.7520066666666665
Vĩnh Long,2019,5.544176666666666
Vĩnh Phúc,2019,5.9651499999999995
Yên Bái,2019,5.5596499999999995
Điện Biên,2019,4.902866666666667
Đắk Lắk,2019,4.288396666666667
Đắk Nông,2019,4.3607
Đồng Nai,2019,4.7094
Đồng Tháp,2019,5.302873333333333
Lạng Sơn,2020,5.584066666666667
TP. Cần Thơ,2020,6.145173333333333
Hà Nội,2020,6.363433333333332
Hải Phòng,2020,6.089700000000001
TP. Hồ Chí Minh,2020,7.027946666666667
Đà Nẵng,2020,6.2462333333333335
