Địa phương,Năm,Chi tiêu cho giáo dục
An Giang,2018,0.698327
An Giang,2019,0.770919
An Giang,2020,0.706612
An Giang,2021,0.715631
An Giang,2022,0.72287225
Bà Rịa - Vũng Tàu,2018,1.4431593333333332
Bà Rịa - Vũng Tàu,2019,1.4431593333333332
Bà Rịa - Vũng Tàu,2020,1.685634
Bà Rịa - Vũng Tàu,2021,1.239637
Bà Rịa - Vũng Tàu,2022,1.404207
Bắc Giang,2018,0.880775
Bắc Giang,2019,0.777001
Bắc Giang,2020,0.893298
Bắc Giang,2021,0.855066
Bắc Giang,2022,0.840194
Bắc Kạn,2018,0.308653
Bắc Kạn,2019,0.275112
Bắc Kạn,2020,0.308653
Bắc Kạn,2021,0.187094
Bắc Kạn,2022,0.463753
Bạc Liêu,2018,0.472639
Bạc Liêu,2019,0.880247
Bạc Liêu,2020,0.277847
Bạc Liêu,2021,0.367387
Bạc Liêu,2022,0.602971
Bắc Ninh,2018,1.322746
Bắc Ninh,2019,2.027226
Bắc Ninh,2020,1.277081
Bắc Ninh,2021,1.586982
Bắc Ninh,2022,1.473629
Bến Tre,2018,0.884822
Bến Tre,2019,1.110825
Bến Tre,2020,1.292151
Bến Tre,2021,1.268352
Bến Tre,2022,0.860173
Bình Định,2018,0.65171
Bình Định,2019,0.66713
Bình Định,2020,0.66713
Bình Định,2021,0.763223
Bình Định,2022,1e-06
Bình Dương,2018,1.912319
Bình Dương,2019,2.223083
Bình Dương,2020,3.103078
Bình Dương,2021,2.832295
Bình Dương,2022,2.026742
Cà Mau,2018,2.211146
Cà Mau,2019,0.389737
Cà Mau,2020,0.427844
Cà Mau,2021,0.438128
Cà Mau,2022,0.599171
TP. Cần Thơ,2018,0.507966492
TP. Cần Thơ,2019,0.768531
TP. Cần Thơ,2020,0.670077123
TP. Cần Thơ,2021,0.632888
TP. Cần Thơ,2022,0.770923
Cao Bằng,2018,0.750797
Cao Bằng,2019,0.704093
Cao Bằng,2020,0.78531
Cao Bằng,2021,0.646162
Cao Bằng,2022,0.80412
Đà Nẵng,2018,0.997468
Đà Nẵng,2019,1.170701
Đà Nẵng,2020,1.35499
Đà Nẵng,2021,1.849277
Đà Nẵng,2022,2.59497
Đắk Lắk,2018,0.940213
Đắk Lắk,2019,1.128455
Đắk Lắk,2020,1.261117
Đắk Lắk,2021,1.231596
Đắk Lắk,2022,1.423149
Đắk Nông,2018,0.486835
Đắk Nông,2019,0.464917
Đắk Nông,2020,0.420212
Đắk Nông,2021,0.420212
Đắk Nông,2022,0.448044
Điện Biên,2018,0.513999
Điện Biên,2019,0.577385
Điện Biên,2020,0.588423
Điện Biên,2021,0.518661
Điện Biên,2022,0.582842
Đồng Nai,2018,1.3527673333333332
Đồng Nai,2019,1.522966
Đồng Nai,2020,1.189047
Đồng Nai,2021,1.346289
Đồng Nai,2022,1.3527673333333332
Đồng Tháp,2018,1.2675964999999998
Đồng Tháp,2019,1.007791
Đồng Tháp,2020,1.085691
Đồng Tháp,2021,1.525314
Đồng Tháp,2022,1.45159
Gia Lai,2018,0.496307
Gia Lai,2019,0.59857025
Gia Lai,2020,0.614615
Gia Lai,2021,0.61724
Gia Lai,2022,0.666119
Hà Giang,2018,0.434603
Hà Giang,2019,0.485911
Hà Giang,2020,0.422106
Hà Giang,2021,0.474379
Hà Giang,2022,0.554896
Hà Nam,2018,0.47512025
Hà Nam,2019,0.676016
Hà Nam,2020,0.464156
Hà Nam,2021,0.444793
Hà Nam,2022,0.315516
Hà Nội,2018,2.943922
Hà Nội,2019,4.24497
Hà Nội,2020,3.406219
Hà Nội,2021,3.186683
Hà Nội,2022,3.4454485000000004
Hà Tĩnh,2018,1.105752
Hà Tĩnh,2019,1.159357
Hà Tĩnh,2020,0.960699
Hà Tĩnh,2021,1.04808025
Hà Tĩnh,2022,0.966513
Hải Dương,2018,0.6580524999999999
Hải Dương,2019,0.688952
Hải Dương,2020,0.627153
Hải Dương,2021,0.6580524999999999
Hải Dương,2022,0.6580524999999999
Hải Phòng,2018,0.68497
Hải Phòng,2019,0.759331
Hải Phòng,2020,1.067074
Hải Phòng,2021,1.066836
Hải Phòng,2022,1.208275
Hậu Giang,2018,0.247006
Hậu Giang,2019,0.263729
Hậu Giang,2020,0.302857
Hậu Giang,2021,0.306485
Hậu Giang,2022,0.348252
TP. Hồ Chí Minh,2018,4.245046
TP. Hồ Chí Minh,2019,3.848126
TP. Hồ Chí Minh,2020,2.719803
TP. Hồ Chí Minh,2021,3.262901
TP. Hồ Chí Minh,2022,10.30881
Hòa Bình,2018,0.734169
Hòa Bình,2019,0.81169425
Hòa Bình,2020,0.733744
Hòa Bình,2021,0.693926
Hòa Bình,2022,1.084938
Hưng Yên,2018,0.07971
Hưng Yên,2019,0.526943
Hưng Yên,2020,0.38614225
Hưng Yên,2021,0.404341
Hưng Yên,2022,0.533575
Khánh Hòa,2018,0.585555
Khánh Hòa,2019,0.827022
Khánh Hòa,2020,1.099534
Khánh Hòa,2021,0.519167
Khánh Hòa,2022,0.554712
Kiên Giang,2018,0.695219
Kiên Giang,2019,0.82049
Kiên Giang,2020,0.896287
Kiên Giang,2021,0.892162
Kiên Giang,2022,0.872321
Kon Tum,2018,0.452334
Kon Tum,2019,0.434371
Kon Tum,2020,0.389048
Kon Tum,2021,0.427666
Kon Tum,2022,0.411819
Lai Châu,2018,0.320331
Lai Châu,2019,0.422989
Lai Châu,2020,0.354376
Lai Châu,2021,0.277382
Lai Châu,2022,0.30045
Lâm Đồng,2018,0.7274514999999999
Lâm Đồng,2019,0.678787
Lâm Đồng,2020,0.743154
Lâm Đồng,2021,0.712304
Lâm Đồng,2022,0.775561
Lạng Sơn,2018,0.092488
Lạng Sơn,2019,0.209428
Lạng Sơn,2020,1e-06
Lạng Sơn,2021,0.068035
Lạng Sơn,2022,0.092488
Lào Cai,2018,1.023249
Lào Cai,2019,0.9382263333333333
Lào Cai,2020,0.9382263333333333
Lào Cai,2021,0.992163
Lào Cai,2022,0.799267
Long An,2018,0.682285
Long An,2019,0.7012860000000001
Long An,2020,0.720287
Long An,2021,0.7012860000000001
Long An,2022,0.7012860000000001
Nam Định,2018,0.833863
Nam Định,2019,0.830838
Nam Định,2020,0.809
Nam Định,2021,0.850081
Nam Định,2022,0.948163
Nghệ An,2018,1.1814986666666665
Nghệ An,2019,1.213115
Nghệ An,2020,1.205852
Nghệ An,2021,1.125529
Nghệ An,2022,1.1814986666666665
Ninh Bình,2018,0.569212
Ninh Bình,2019,0.621368
Ninh Bình,2020,0.704694
Ninh Bình,2021,0.888156
Ninh Bình,2022,0.588911
Ninh Thuận,2018,0.319241
Ninh Thuận,2019,0.31015
Ninh Thuận,2020,0.365234
Ninh Thuận,2021,0.329568
Ninh Thuận,2022,0.33104825000000004
Phú Yên,2018,0.430048
Phú Yên,2019,0.512595
Phú Yên,2020,0.629774
Phú Yên,2021,0.57798
Phú Yên,2022,0.594331
Quảng Bình,2018,0.027806
Quảng Bình,2019,0.4973176666666667
Quảng Bình,2020,0.772024
Quảng Bình,2021,0.692123
Quảng Bình,2022,0.4973176666666667
Quảng Nam,2018,1.2405042499999999
Quảng Nam,2019,1.32275
Quảng Nam,2020,1.395808
Quảng Nam,2021,1.259547
Quảng Nam,2022,0.983912
Quảng Ngãi,2018,0.681644
Quảng Ngãi,2019,1.004634
Quảng Ngãi,2020,1.004634
Quảng Ngãi,2021,0.893736
Quảng Ngãi,2022,0.719859
Quảng Ninh,2018,1.062769
Quảng Ninh,2019,1.313127
Quảng Ninh,2020,0.809019
Quảng Ninh,2021,1.135117
Quảng Ninh,2022,0.993813
Quảng Trị,2018,0.541708
Quảng Trị,2019,0.605088
Quảng Trị,2020,0.424106
Quảng Trị,2021,0.424106
Quảng Trị,2022,0.478714
Sóc Trăng,2018,0.521417
Sóc Trăng,2019,0.532776
Sóc Trăng,2020,0.639128
Sóc Trăng,2021,0.564978
Sóc Trăng,2022,0.743359
Sơn La,2018,0.8392879999999999
Sơn La,2019,0.819932
Sơn La,2020,0.84712
Sơn La,2021,0.850812
Sơn La,2022,0.8392879999999999
Tây Ninh,2018,0.92049
Tây Ninh,2019,0.54634
Tây Ninh,2020,0.68767
Tây Ninh,2021,0.62963
Tây Ninh,2022,0.6960325
Thái Bình,2018,0.561461
Thái Bình,2019,0.7778465
Thái Bình,2020,0.7778465
Thái Bình,2021,0.7778465
Thái Bình,2022,0.994232
Thái Nguyên,2018,0.85995525
Thái Nguyên,2019,1.011344
Thái Nguyên,2020,0.94668
Thái Nguyên,2021,0.730692
Thái Nguyên,2022,0.751105
Thanh Hóa,2018,2.39737
Thanh Hóa,2019,2.30467
Thanh Hóa,2020,2.593912
Thanh Hóa,2021,2.187197
Thanh Hóa,2022,2.818026
Tiền Giang,2018,0.873451
Tiền Giang,2019,0.633589
Tiền Giang,2020,0.945724
Tiền Giang,2021,0.94748
Tiền Giang,2022,0.967011
Trà Vinh,2018,0.6594405000000001
Trà Vinh,2019,0.770248
