Địa phương,2018,2019,2020
Hà Nội,"0,794","0,799","0,799"
Vĩnh Phúc,"0,736","0,749","0,751"
Bắc Ninh,"0,762","0,764","0,768"
Quảng Ninh,"0,757","0,769","0,769"
Hải Dương,"0,723","0,728","0,735"
Hải Phòng,"0,769","0,777","0,782"
Hưng Yên,"0,728","0,736","0,745"
Thái Bình,"0,694","0,706","0,711"
Hà Nam,"0,707","0,724","0,729"
Nam Định,"0,678","0,687","0,691"
Ninh Bình,"0,706","0,719","0,727"
Hà Giang,"0,565","0,579","0,591"
Cao Bằng,"0,624","0,633","0,641"
Bắc Kạn,"0,656","0,662","0,664"
Tuyên Quang,"0,66","0,666","0,673"
Lào Cai,"0,643","0,657","0,663"
Điện Biên,"0,588","0,589","0,602"
Lai Châu,"0,571","0,576","0,582"
Sơn La,"0,616","0,622","0,633"
Yên Bái,"0,632","0,637","0,649"
Hoà Bình,"0,686","0,692","0,697"
Thái Nguyên,"0,745","0,748","0,743"
Lạng Sơn,"0,667","0,668","0,674"
Bắc Giang,"0,691","0,702","0,714"
Phú Thọ,"0,691","0,697","0,703"
Thanh Hóa,"0,679","0,689","0,697"
Nghệ An,"0,683","0,686","0,696"
Hà Tĩnh,"0,703","0,712","0,713"
Quảng Bình,"0,676","0,681","0,69"
Quảng Trị,"0,659","0,664","0,671"
Thừa Thiên - Huế,"0,664","0,685","0,681"
Đà Nẵng,"0,773","0,788","0,779"
Quảng Nam,"0,696","0,702","0,703"
Quảng Ngãi,"0,693","0,696","0,694"
Bình Định,"0,681","0,691","0,702"
Phú Yên,"0,666","0,676","0,683"
Khánh Hòa,"0,702","0,712","0,707"
Ninh Thuận,"0,637","0,652","0,654"
Bình Thuận,"0,659","0,681","0,684"
Kon Tum,"0,61","0,624","0,64"
Gia Lai,"0,618","0,622","0,624"
Đắk Lắk,"0,636","0,654","0,648"
Đắk Nông,"0,643","0,646","0,657"
Lâm Đồng,"0,681","0,691","0,698"
Bình Phước,"0,664","0,678","0,686"
Tây Ninh,"0,668","0,681","0,685"
Bình Dương,"0,733","0,74","0,736"
Đồng Nai,"0,742","0,749","0,753"
Bà Rịa - Vũng Tàu (***),"0,789","0,799","0,793"
TP. Hồ Chí Minh,"0,786","0,798","0,795"
Long An,"0,691","0,698","0,702"
Tiền Giang,"0,673","0,678","0,679"
Bến Tre,"0,65","0,659","0,664"
Trà Vinh,"0,658","0,669","0,673"
Vĩnh Long,"0,685","0,694","0,699"
Đồng Tháp,"0,652","0,665","0,67"
An Giang,"0,636","0,643","0,651"
Kiên Giang,"0,65","0,656","0,658"
Cần Thơ,"0,704","0,724","0,719"
Hậu Giang,"0,654","0,664","0,674"
Sóc Trăng,"0,638","0,64","0,647"
Bạc Liêu,"0,642","0,648","0,652"
Cà Mau,"0,659","0,661","0,668"
