Địa phương,2018,2019,2020
Hà Nội,"0,852","0,854","0,853"
Vĩnh Phúc,"0,834","0,835","0,831"
Bắc Ninh,"0,835","0,835","0,832"
Quảng Ninh,"0,822","0,823","0,822"
Hải Dương,"0,842","0,843","0,843"
Hải Phòng,"0,84","0,842","0,839"
Hưng Yên,"0,838","0,84","0,842"
Thái Bình,"0,851","0,852","0,845"
Hà Nam,"0,84","0,842","0,842"
Nam Định,"0,837","0,838","0,839"
Ninh Bình,"0,826","0,828","0,833"
Hà Giang,"0,734","0,737","0,745"
Cao Bằng,"0,777","0,778","0,778"
Bắc Kạn,"0,808","0,809","0,809"
Tuyên Quang,"0,802","0,803","0,804"
Lào Cai,"0,754","0,757","0,758"
Điện Biên,"0,734","0,735","0,745"
Lai Châu,"0,703","0,705","0,718"
Sơn La,"0,782","0,783","0,784"
Yên Bái,"0,762","0,765","0,762"
Hoà Bình,"0,809","0,811","0,809"
Thái Nguyên,"0,823","0,825","0,826"
Lạng Sơn,"0,803","0,805","0,807"
Bắc Giang,"0,82","0,822","0,822"
Phú Thọ,"0,822","0,823","0,822"
Thanh Hóa,"0,82","0,82","0,822"
Nghệ An,"0,812","0,814","0,817"
Hà Tĩnh,"0,811","0,812","0,809"
Quảng Bình,"0,811","0,802","0,81"
Quảng Trị,"0,742","0,743","0,741"
Thừa Thiên - Huế,"0,795","0,797","0,796"
Đà Nẵng,"0,862","0,863","0,866"
Quảng Nam,"0,812","0,814","0,816"
Quảng Ngãi,"0,806","0,808","0,806"
Bình Định,"0,822","0,823","0,823"
Phú Yên,"0,822","0,823","0,824"
Khánh Hòa,"0,828","0,829","0,823"
Ninh Thuận,"0,814","0,815","0,814"
Bình Thuận,"0,837","0,838","0,839"
Kon Tum,"0,717","0,718","0,733"
Gia Lai,"0,765","0,768","0,77"
Đắk Lắk,"0,775","0,778","0,784"
Đắk Nông,"0,768","0,769","0,771"
Lâm Đồng,"0,814","0,815","0,82"
Bình Phước,"0,828","0,829","0,83"
Tây Ninh,"0,842","0,843","0,842"
Bình Dương,"0,862","0,842","0,842"
Đồng Nai,"0,871","0,872","0,866"
Bà Rịa - Vũng Tàu,"0,868","0,868","0,869"
TP. Hồ Chí Minh,"0,871","0,871","0,869"
Long An,"0,857","0,858","0,856"
Tiền Giang,"0,86","0,862","0,863"
Bến Tre,"0,855","0,857","0,856"
Trà Vinh,"0,838","0,84","0,843"
Vĩnh Long,"0,852","0,854","0,855"
Đồng Tháp,"0,842","0,842","0,844"
An Giang,"0,826","0,826","0,827"
Kiên Giang,"0,837","0,838","0,838"
Cần Thơ,"0,858","0,86","0,861"
Hậu Giang,"0,852","0,854","0,854"
Sóc Trăng,"0,834","0,834","0,836"
Bạc Liêu,"0,838","0,84","0,842"
Cà Mau,"0,845","0,846","0,851"
