Địa phương,2018,2019,2020
Hà Nội,"0,746","0,758","0,763"
Vĩnh Phúc,"0,733","0,744","0,753"
Bắc Ninh,"0,794","0,793","0,796"
Quảng Ninh,"0,772","0,794","0,811"
Hải Dương,"0,667","0,677","0,684"
Hải Phòng,"0,742","0,765","0,78"
Hưng Yên,"0,683","0,695","0,709"
Thái Bình,"0,604","0,621","0,635"
Hà Nam,"0,656","0,677","0,69"
Nam Định,"0,584","0,599","0,617"
Ninh Bình,"0,649","0,668","0,683"
Hà Giang,"0,532","0,545","0,555"
Cao Bằng,"0,56","0,57","0,584"
Bắc Kạn,"0,584","0,593","0,605"
Tuyên Quang,"0,585","0,601","0,618"
Lào Cai,"0,665","0,683","0,698"
Điện Biên,"0,557","0,566","0,571"
Lai Châu,"0,599","0,594","0,609"
Sơn La,"0,599","0,596","0,611"
Yên Bái,"0,575","0,588","0,604"
Hoà Bình,"0,646","0,65","0,663"
Thái Nguyên,"0,715","0,723","0,735"
Lạng Sơn,"0,59","0,605","0,616"
Bắc Giang,"0,64","0,657","0,681"
Phú Thọ,"0,614","0,626","0,642"
Thanh Hóa,"0,603","0,627","0,641"
Nghệ An,"0,59","0,6","0,617"
Hà Tĩnh,"0,646","0,662","0,67"
Quảng Bình,"0,597","0,612","0,622"
Quảng Trị,"0,621","0,636","0,65"
Thừa Thiên - Huế,"0,606","0,62","0,629"
Đà Nẵng,"0,719","0,731","0,716"
Quảng Nam,"0,664","0,675","0,671"
Quảng Ngãi,"0,685","0,687","0,681"
Bình Định,"0,636","0,65","0,665"
Phú Yên,"0,618","0,63","0,64"
Khánh Hòa,"0,668","0,685","0,676"
Ninh Thuận,"0,617","0,642","0,666"
Bình Thuận,"0,645","0,671","0,68"
Kon Tum,"0,59","0,601","0,619"
Gia Lai,"0,601","0,603","0,611"
Đắk Lắk,"0,598","0,607","0,622"
Đắk Nông,"0,617","0,62","0,628"
Lâm Đồng,"0,648","0,66","0,667"
Bình Phước,"0,65","0,667","0,685"
Tây Ninh,"0,669","0,686","0,699"
Bình Dương,"0,784","0,796","0,8"
Đồng Nai,"0,745","0,755","0,763"
Bà Rịa - Vũng Tàu,"0,906","0,901","0,883"
TP. Hồ Chí Minh,"0,777","0,791","0,792"
Long An,"0,677","0,691","0,701"
Tiền Giang,"0,639","0,648","0,654"
Bến Tre,"0,592","0,602","0,615"
Trà Vinh,"0,65","0,662","0,675"
Vĩnh Long,"0,633","0,65","0,66"
Đồng Tháp,"0,632","0,644","0,652"
An Giang,"0,604","0,617","0,628"
Kiên Giang,"0,642","0,647","0,658"
Cần Thơ,"0,68","0,69","0,69"
Hậu Giang,"0,622","0,638","0,648"
Sóc Trăng,"0,611","0,624","0,629"
Bạc Liêu,"0,618","0,622","0,634"
Cà Mau,"0,633","0,637","0,647"
