Địa phương,Dân số trung bình (Nghìn người) 2018,Mật độ dân số (Người/km2) 2018,Dân số trung bình (Nghìn người) 2019,Mật độ dân số (Người/km2) 2019,Dân số trung bình (Nghìn người) 2020,Mật độ dân số (Người/km2) 2020,Dân số trung bình (Nghìn người) 2021,Mật độ dân số (Người/km2) 2021,Dân số trung bình (Nghìn người) 2022,Mật độ dân số (Người/km2) 2022
Hà Nội,"7.914,50","2.356,49","8.093,90","2.410,00","8.246,54","2.454,00","8.330,83","2.480,00","8.435,65","2.511,00"
Vĩnh Phúc,"1.138,40","921,63","1.154,80","934,00","1.171,20","948,00","1.191,78","964,00","1.197,62","969,00"
Bắc Ninh,"1.337,30","1.625,50","1.378,60","1.676,00","1.419,13","1.725,00","1.462,95","1.778,00","1.488,20","1.809,00"
Quảng Ninh,"1.303,90","211,05","1.324,80","214,00","1.337,61","216,00","1.350,85","218,00","1.362,88","220,00"
Hải Dương,"1.877,70","1.125,58","1.896,90","1.137,00","1.916,77","1.149,00","1.936,78","1.161,00","1.946,82","1.167,00"
Hải Phòng,"2.016,40","1.291,07","2.033,30","1.302,00","2.053,49","1.345,00","2.072,39","1.358,00","2.088,02","1.368,00"
Hưng Yên,"1.242,40","1.335,63","1.255,80","1.350,00","1.269,09","1.364,00","1.284,55","1.381,00","1.290,85","1.388,00"
Thái Bình,"1.854,10","1.168,75","1.862,20","1.174,00","1.870,24","1.180,00","1.875,66","1.184,00","1.878,54","1.185,00"
Hà Nam,"847,10","982,83","854,50","991,00","861,83","1.000,00","875,22","1.015,00","878,00","1.019,00"
Nam Định,"1.784,20","1.069,34","1.780,90","1.067,00","1.780,33","1.067,00","1.836,27","1.100,00","1.876,85","1.125,00"
Ninh Bình,"974,70","702,84","984,50","710,00","993,92","717,00","1.007,57","714,00","1.010,70","716,00"
Hà Giang,"846,50","106,75","858,10","108,00","870,24","110,00","887,09","112,00","892,72","113,00"
Cao Bằng,"528,70","78,91","530,90","79,00","533,09","80,00","542,22","81,00","543,05","81,00"
Bắc Kạn,"312,00","64,20","314,40","65,00","316,46","65,00","323,71","67,00","324,35","67,00"
Tuyên Quang,"778,30","132,64","786,30","134,00","792,90","135,00","801,67","137,00","805,78","137,00"
Lào Cai,"720,80","113,26","733,30","115,00","746,36","117,00","761,89","120,00","770,59","121,00"
Yên Bái,"814,60","118,27","823,00","119,00","831,59","121,00","842,67","122,00","847,25","123,00"
Thái Nguyên,"1.273,60","361,14","1.290,90","366,00","1.307,87","371,00","1.323,15","376,00","1.335,99","379,00"
Lạng Sơn,"775,90","93,37","782,80","94,00","788,71","95,00","796,94","96,00","802,09","97,00"
Bắc Giang,"1.777,50","456,28","1.810,40","465,00","1.841,62","473,00","1.875,24","481,00","1.890,93","485,00"
Phú Thọ,"1.449,60","410,12","1.466,40","415,00","1.481,88","419,00","1.507,54","427,00","1.516,92","429,00"
Điện Biên,"590,50","61,89","601,70","63,00","613,48","64,00","625,09","66,00","635,92","67,00"
Lai Châu,"453,40","50,00","462,60","51,00","469,81","52,00","478,43","53,00","482,10","53,00"
Sơn La,"1.233,10","87,31","1.252,70","89,00","1.270,56","90,00","1.287,72","91,00","1.300,13","92,00"
Hoà Bình,"850,40","185,25","855,80","186,00","861,22","188,00","871,72","190,00","875,38","191,00"
Thanh Hoá,"3.631,30","326,71","3.645,80","328,00","3.664,94","330,00","3.716,43","334,00","3.722,06","335,00"
Nghệ An,"3.291,40","199,70","3.337,20","202,00","3.365,20","204,00","3.409,81","207,00","3.419,99","207,00"
Hà Tĩnh,"1.280,50","213,75","1.290,30","215,00","1.296,62","216,00","1.314,06","219,00","1.323,75","221,00"
Quảng Bình,"891,10","111,39","896,60","112,00","901,98","113,00","910,66","114,00","913,86","114,00"
Quảng Trị,"629,70","136,25","633,40","137,00","637,39","136,00","647,79","138,00","650,95","138,00"
Thừa Thiên Huế,"1.125,40","229,56","1.129,50","230,00","1.133,59","229,00","1.153,80","233,00","1.160,22","235,00"
Đà Nẵng,"1.114,40","867,30","1.141,10","888,00","1.169,48","910,00","1.195,49","931,00","1.220,19","950,00"
Quảng Nam,"1.490,80","140,98","1.497,50","142,00","1.505,04","142,00","1.518,48","144,00","1.519,38","144,00"
Quảng Ngãi,"1.230,50","238,66","1.231,90","239,00","1.233,40","239,00","1.244,13","241,00","1.245,65","242,00"
Bình Định,"1.487,80","245,26","1.487,80","245,00","1.487,90","245,00","1.508,32","249,00","1.504,29","248,00"
Phú Yên,"871,50","173,49","873,20","174,00","874,30","174,00","875,54","174,00","876,62","174,00"
Khánh Hoà,"1.224,50","238,33","1.232,80","240,00","1.240,44","239,00","1.248,06","240,00","1.253,97","241,00"
Ninh Thuận,"588,90","175,51","591,00","176,00","593,64","177,00","596,05","178,00","598,68","178,00"
Bình Thuận,"1.227,30","154,50","1.232,30","155,00","1.239,26","156,00","1.246,31","157,00","1.252,06","158,00"
Kon Tum,"532,40","55,03","543,40","56,00","555,64","57,00","568,78","59,00","579,91","60,00"
Gia Lai,"1.495,70","96,43","1.520,20","98,00","1.541,83","99,00","1.569,72","101,00","1.590,98","103,00"
Đắk Lắk,"1.861,50","142,86","1.872,60","144,00","1.886,94","144,00","1.909,00","146,00","1.918,44","147,00"
Đắk Nông,"615,40","94,54","625,80","96,00","637,91","98,00","664,42","102,00","670,56","103,00"
Lâm Đồng,"1.291,40","132,00","1.299,30","133,00","1.309,79","134,00","1.321,84","135,00","1.332,53","136,00"
Bình Phước,"984,90","143,22","997,80","145,00","1.011,08","147,00","1.024,29","149,00","1.034,67","151,00"
Tây Ninh,"1.160,70","287,21","1.171,70","290,00","1.178,33","292,00","1.181,91","292,00","1.188,76","294,00"
Bình Dương,"2.345,20","870,33","2.456,30","912,00","2.580,55","958,00","2.596,79","964,00","2.763,12","1.025,00"
Đồng Nai,"3.055,10","521,03","3.113,70","531,00","3.177,40","542,00","3.169,10","540,00","3.255,81","555,00"
Bà Rịa - Vũng Tàu,"1.138,30","574,61","1.152,20","582,00","1.167,94","589,00","1.176,08","593,00","1.178,70","595,00"
TP.Hồ Chí Minh,"8.843,20","4.289,90","9.038,60","4.385,00","9.227,60","4.404,00","9.166,84","4.375,00","9.389,72","4.481,00"
Long An,"1.678,90","373,51","1.695,10","377,00","1.713,66","381,00","1.725,75","384,00","1.734,26","386,00"
Tiền Giang,"1.759,10","700,67","1.766,30","704,00","1.772,54","693,00","1.779,42","696,00","1.785,24","698,00"
Bến Tre,"1.286,00","537,00","1.289,10","538,00","1.292,40","543,00","1.295,70","544,00","1.298,01","545,00"
Trà Vinh,"1.008,80","427,77","1.009,30","428,00","1.009,94","422,00","1.018,63","426,00","1.019,26","426,00"
Vĩnh Long,"1.022,70","670,32","1.022,60","670,00","1.022,97","670,00","1.029,02","674,00","1.028,82","674,00"
Đồng Tháp,"1.606,10","474,64","1.598,80","472,00","1.600,01","473,00","1.601,31","473,00","1.600,17","473,00"
An Giang,"1.931,00","545,99","1.907,40","539,00","1.904,53","538,00","1.909,51","540,00","1.905,52","539,00"
Kiên Giang,"1.718,10","270,62","1.723,70","272,00","1.728,87","272,00","1.752,32","276,00","1.751,76","276,00"
Cần Thơ,"1.227,70","853,16","1.236,00","859,00","1.240,73","861,00","1.246,99","866,00","1.252,35","869,00"
Hậu Giang,"734,90","453,17","732,20","451,00","729,78","450,00","729,89","450,00","729,47","450,00"
Sóc Trăng,"1.208,80","364,99","1.199,50","362,00","1.195,74","363,00","1.206,82","366,00","1.197,82","363,00"
Bạc Liêu,"903,00","338,33","908,20","340,00","913,48","342,00","918,51","344,00","921,81","346,00"
Cà Mau,"1.195,60","228,99","1.194,30","229,00","1.193,89","226,00","1.208,75","229,00","1.207,63","229,00"
