SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
02000001,6.6,6.0,6.0,6.2
02000002,6.6,5.5,5.6,5.8999999999999995
02000003,6.4,6.5,9.0,7.3
02000004,5.6,6.0,3.4,5.0
02000005,7.0,3.75,4.8,5.183333333333334
02000006,6.6,6.25,8.8,7.216666666666666
02000007,7.4,7.75,8.8,7.983333333333334
02000008,4.2,5.75,6.0,5.316666666666666
02000009,7.8,6.0,7.4,7.066666666666667
02000010,6.6,7.0,8.0,7.2
02000011,7.0,6.5,7.6,7.033333333333334
02000012,7.4,5.75,7.4,6.8500000000000005
02000013,6.4,3.5,5.0,4.966666666666667
02000014,7.2,6.5,5.8,6.5
02000015,7.2,5.5,9.0,7.233333333333333
02000016,5.4,6.5,8.6,6.833333333333333
02000017,6.8,3.75,7.8,6.116666666666667
02000018,6.0,7.25,7.0,6.75
02000019,6.2,7.0,7.0,6.733333333333333
02000020,6.4,6.5,3.8,5.566666666666666
02000021,5.2,4.25,6.8,5.416666666666667
02000022,7.8,5.75,5.2,6.25
02000023,7.2,6.75,8.8,7.583333333333333
02000024,5.8,6.5,6.6,6.3
02000025,6.8,7.25,8.2,7.416666666666667
02000026,5.8,6.25,8.0,6.683333333333334
02000027,7.2,6.25,8.2,7.216666666666666
02000028,6.8,6.25,7.4,6.816666666666667
02000029,6.4,7.25,9.0,7.55
02000030,6.4,6.75,9.4,7.516666666666667
02000031,6.6,7.0,8.6,7.3999999999999995
02000032,5.6,7.0,5.2,5.933333333333334
02000033,6.2,8.0,6.8,7.0
02000034,5.4,6.75,6.2,6.116666666666667
02000035,6.0,6.5,7.4,6.633333333333333
02000036,5.6,6.25,7.4,6.416666666666667
02000037,7.2,6.75,6.8,6.916666666666667
02000038,5.6,6.25,6.0,5.95
02000039,5.0,7.25,8.4,6.883333333333333
02000040,6.8,7.5,7.8,7.366666666666667
02000041,6.4,7.0,8.8,7.400000000000001
02000042,6.6,5.5,7.8,6.633333333333333
02000043,6.0,6.25,6.8,6.3500000000000005
02000044,5.0,5.75,4.8,5.183333333333334
02000045,7.8,5.25,7.8,6.95
02000046,5.2,2.5,4.4,4.033333333333334
02000047,5.6,5.25,5.0,5.283333333333333
02000048,6.2,7.0,8.2,7.133333333333333
02000049,4.2,6.5,5.6,5.433333333333333
02000050,6.0,8.0,8.4,7.466666666666666
02000051,6.2,6.5,5.2,5.966666666666666
02000052,4.6,5.75,6.8,5.716666666666666
02000053,7.4,6.75,7.8,7.316666666666666
02000054,6.0,6.25,8.6,6.95
02000055,7.4,5.5,7.2,6.7
02000056,4.4,5.25,6.4,5.3500000000000005
02000057,6.2,5.25,6.6,6.016666666666666
02000058,6.4,6.0,8.4,6.933333333333334
02000059,7.4,5.5,4.8,5.8999999999999995
02000060,6.0,3.5,4.4,4.633333333333334
02000061,6.2,3.75,8.2,6.05
