SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
04000001,3.2,5.0,2.0,3.4
04000002,4.0,4.5,3.6,4.033333333333333
04000003,5.0,3.25,2.8,3.6833333333333336
04000004,2.4,4.25,3.8,3.483333333333333
04000005,5.2,6.0,8.0,6.3999999999999995
04000006,2.4,5.0,4.2,3.866666666666667
04000007,3.8,3.25,2.6,3.216666666666667
04000008,3.2,3.25,2.8,3.0833333333333335
04000009,4.6,3.75,3.6,3.983333333333333
04000010,3.6,4.0,2.8,3.4666666666666663
04000011,4.0,6.0,4.2,4.733333333333333
04000012,3.8,4.5,3.2,3.8333333333333335
04000013,2.8,3.25,3.0,3.016666666666667
04000014,3.2,1.5,1.6,2.1
04000015,3.4,2.75,7.8,4.6499999999999995
04000016,2.0,3.25,1.8,2.35
04000017,3.6,5.0,3.2,3.9333333333333336
04000018,3.8,3.25,3.4,3.483333333333333
04000019,3.2,2.75,2.2,2.716666666666667
04000020,3.8,4.25,1.6,3.216666666666667
04000021,5.4,5.0,3.4,4.6000000000000005
04000022,3.4,2.25,2.8,2.8166666666666664
04000023,5.4,6.25,4.8,5.483333333333333
04000024,5.0,4.0,3.0,4.0
04000025,3.6,4.5,3.2,3.766666666666667
04000026,2.6,2.5,2.0,2.3666666666666667
04000027,3.4,4.0,2.8,3.4
04000028,4.4,2.5,3.0,3.3000000000000003
04000029,4.2,4.5,4.4,4.366666666666666
04000030,4.0,5.25,2.2,3.8166666666666664
04000031,2.8,4.0,3.0,3.266666666666667
04000032,3.4,4.5,3.4,3.766666666666667
04000033,3.8,4.5,2.6,3.6333333333333333
04000034,5.2,5.25,1.6,4.016666666666667
04000035,1.8,5.0,3.2,3.3333333333333335
04000036,2.2,2.0,2.6,2.266666666666667
04000037,3.2,3.75,1.8,2.9166666666666665
04000038,2.2,4.25,3.0,3.15
04000039,4.4,5.0,5.4,4.933333333333334
04000040,3.8,5.75,3.8,4.45
04000041,2.2,1.75,2.2,2.0500000000000003
04000042,5.0,3.0,3.0,3.6666666666666665
04000043,5.8,4.0,2.8,4.2
04000044,4.2,4.5,2.6,3.766666666666666
04000045,4.8,4.0,2.4,3.733333333333334
04000046,2.4,3.5,3.2,3.0333333333333337
04000047,4.0,4.75,2.4,3.716666666666667
04000048,2.0,4.25,2.6,2.9499999999999997
04000049,3.2,7.5,5.0,5.233333333333333
04000050,4.2,7.0,5.2,5.466666666666666
04000051,4.0,4.5,2.8,3.766666666666667
04000052,4.0,5.75,2.2,3.983333333333333
04000053,5.6,6.5,5.4,5.833333333333333
04000054,4.8,4.75,2.8,4.116666666666667
04000055,3.2,4.75,2.4,3.4499999999999997
04000056,5.8,6.0,3.0,4.933333333333334
04000057,4.8,7.5,6.6,6.3
04000058,4.0,4.0,3.2,3.733333333333333
04000059,3.8,3.0,2.2,3.0
04000060,4.2,4.0,3.2,3.7999999999999994
04000061,3.6,4.0,3.8,3.7999999999999994
04000062,3.6,5.75,3.6,4.316666666666666
04000063,4.4,5.5,3.8,4.566666666666666
04000064,4.8,6.5,3.0,4.766666666666667
04000065,5.8,6.0,3.4,5.066666666666667
04000066,4.2,3.75,4.4,4.116666666666667
04000067,4.8,5.75,2.6,4.383333333333334
04000068,2.0,3.5,2.2,2.566666666666667
04000069,5.2,5.25,2.2,4.216666666666666
04000070,2.4,2.25,3.6,2.75
04000071,3.0,5.0,2.2,3.4
04000072,5.0,6.75,5.8,5.8500000000000005
04000073,3.4,4.5,3.8,3.9
04000074,4.0,4.0,3.2,3.733333333333333
04000075,2.8,2.75,1.8,2.4499999999999997
04000076,4.4,5.25,1.6,3.75
04000077,3.6,4.25,3.0,3.6166666666666667
04000078,1.6,5.5,2.2,3.1
04000079,6.0,7.75,1.8,5.183333333333334
04000080,2.4,3.75,2.4,2.85
04000081,5.4,2.75,3.0,3.716666666666667
04000082,4.2,5.25,3.4,4.283333333333333
04000083,3.6,4.0,4.2,3.9333333333333336
04000084,5.0,7.5,2.6,5.033333333333333
04000085,4.4,4.75,3.4,4.183333333333334
04000086,4.4,3.75,3.4,3.85
04000087,5.4,4.5,2.0,3.966666666666667
04000088,6.2,5.0,3.8,5.0
04000089,3.0,2.5,2.2,2.566666666666667
04000090,0,0.75,0,0.25
04000091,1.2,2.5,2.2,1.9666666666666668
04000092,2.4,2.5,2.0,2.3000000000000003
04000093,3.8,7.25,2.2,4.416666666666667
04000094,3.6,4.75,2.8,3.7166666666666663
04000095,3.6,6.75,3.6,4.6499999999999995
04000096,5.6,4.5,3.2,4.433333333333334
04000097,4.0,4.5,2.6,3.6999999999999997
04000098,5.6,6.0,6.0,5.866666666666667
04000099,1.8,3.5,2.2,2.5
04000100,3.2,5.5,2.8,3.8333333333333335
04000101,4.4,5.0,2.0,3.8000000000000003
04000102,3.8,5.0,3.0,3.9333333333333336
04000103,4.0,3.75,3.6,3.783333333333333
04000104,3.8,4.0,2.6,3.466666666666667
04000105,4.2,5.5,4.4,4.7
04000106,3.2,4.5,1.8,3.1666666666666665
04000107,4.6,2.75,3.8,3.7166666666666663
04000108,3.4,3.75,2.2,3.116666666666667
04000109,4.0,4.5,1.8,3.4333333333333336
04000110,3.6,3.25,2.0,2.9499999999999997
04000111,3.6,3.75,2.2,3.1833333333333336
04000112,2.0,3.75,3.6,3.1166666666666667
04000113,3.0,3.5,1.8,2.766666666666667
04000114,3.8,3.25,3.4,3.483333333333333
04000115,3.8,4.25,2.0,3.35
04000116,2.6,3.5,3.0,3.033333333333333
04000117,2.6,5.0,3.4,3.6666666666666665
04000118,4.2,4.25,3.0,3.8166666666666664
04000119,4.0,3.75,3.2,3.65
04000120,3.0,2.25,2.6,2.6166666666666667
04000121,4.4,4.0,3.0,3.8000000000000003
04000122,3.2,3.25,1.8,2.75
04000123,4.2,5.5,2.6,4.1
04000124,5.8,4.0,2.4,4.066666666666667
04000125,3.0,1.75,3.4,2.716666666666667
04000126,6.6,8.75,7.0,7.45
04000127,2.2,2.5,1.0,1.9000000000000001
04000128,5.8,6.25,6.8,6.283333333333334
04000129,4.6,5.0,2.6,4.066666666666666
04000130,4.2,2.0,4.0,3.4
04000131,2.4,1.25,3.4,2.35
04000132,3.2,5.0,3.0,3.733333333333333
04000133,4.2,4.75,3.6,4.183333333333333
04000134,2.0,2.25,3.2,2.4833333333333334
04000135,4.8,5.5,4.4,4.9
04000136,2.8,4.5,3.2,3.5
04000137,4.4,6.0,3.6,4.666666666666667
04000138,3.0,2.75,3.0,2.9166666666666665
04000139,3.8,1.75,3.2,2.9166666666666665
04000140,3.0,4.5,3.6,3.6999999999999997
04000141,4.0,3.0,2.0,3.0
04000142,4.8,3.5,3.0,3.766666666666667
04000143,3.0,2.0,3.2,2.733333333333333
