SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
22000001,4.0,4.25,3.2,3.8166666666666664
22000002,5.0,6.75,8.2,6.6499999999999995
22000003,3.0,5.75,3.2,3.983333333333333
22000004,6.6,4.0,2.6,4.3999999999999995
22000005,2.4,6.25,2.6,3.75
22000006,2.4,5.5,3.2,3.7000000000000006
22000007,6.0,6.25,4.2,5.483333333333333
22000008,7.0,6.25,8.0,7.083333333333333
22000009,1.6,3.5,2.4,2.5
22000010,4.2,7.0,3.2,4.8
22000011,4.2,7.25,4.4,5.283333333333333
22000012,4.8,7.75,5.8,6.116666666666667
22000013,6.8,4.0,3.4,4.733333333333333
22000014,6.4,6.0,4.2,5.533333333333334
22000015,5.6,6.5,4.0,5.366666666666667
22000016,6.2,7.25,3.0,5.483333333333333
22000017,6.4,5.25,3.0,4.883333333333334
22000018,2.0,6.0,2.4,3.466666666666667
22000019,3.2,6.0,3.4,4.2
22000020,4.0,5.25,2.4,3.8833333333333333
22000021,5.6,6.25,6.0,5.95
22000022,4.6,5.75,4.8,5.05
22000023,4.6,6.0,3.4,4.666666666666667
22000024,6.4,5.5,5.2,5.7
22000025,5.6,4.75,2.4,4.25
22000026,6.4,6.25,5.4,6.016666666666667
22000027,3.4,6.0,3.0,4.133333333333334
22000028,6.6,4.5,6.4,5.833333333333333
22000029,6.6,4.75,5.6,5.6499999999999995
22000030,5.8,7.0,5.2,6.0
22000031,7.6,4.5,3.0,5.033333333333333
22000032,3.0,4.0,3.8,3.6
22000033,3.8,7.25,3.6,4.883333333333334
22000034,4.4,6.5,2.6,4.5
22000035,3.6,6.0,2.6,4.066666666666666
22000036,6.4,7.0,4.2,5.866666666666667
22000037,6.4,6.75,4.8,5.983333333333333
22000038,3.2,6.25,3.4,4.283333333333333
22000039,7.0,5.0,4.6,5.533333333333334
22000040,2.8,4.0,2.4,3.0666666666666664
22000041,6.8,6.25,4.2,5.75
22000042,6.0,5.75,3.8,5.183333333333334
22000043,4.0,5.75,2.4,4.05
22000044,4.0,6.5,3.6,4.7
22000045,6.6,6.75,5.8,6.383333333333333
22000046,7.2,7.75,7.0,7.316666666666666
22000047,6.2,7.25,4.4,5.95
22000048,3.8,5.25,3.0,4.016666666666667
22000049,5.2,7.0,7.8,6.666666666666667
22000050,4.6,7.0,4.4,5.333333333333333
22000051,3.4,2.75,3.6,3.25
22000052,3.6,4.5,2.4,3.5
22000053,5.0,4.0,2.4,3.8000000000000003
22000054,6.6,4.5,2.6,4.566666666666666
22000055,4.4,5.5,4.0,4.633333333333334
22000056,6.0,6.75,2.8,5.183333333333334
22000057,4.6,6.0,3.6,4.733333333333333
22000058,5.0,7.0,2.8,4.933333333333334
22000059,3.0,5.75,4.8,4.516666666666667
22000060,3.8,6.75,3.8,4.783333333333334
22000061,6.0,5.75,8.0,6.583333333333333
22000062,6.4,8.25,3.4,6.016666666666667
22000063,5.4,7.75,7.4,6.8500000000000005
22000064,6.8,4.75,3.6,5.05
22000065,6.6,4.75,5.4,5.583333333333333
22000066,6.2,6.0,6.6,6.266666666666666
22000067,6.0,7.0,6.0,6.333333333333333
22000068,3.8,4.75,2.2,3.5833333333333335
22000069,4.2,5.0,3.2,4.133333333333333
22000070,5.6,4.0,4.0,4.533333333333333
22000071,1.6,5.25,4.6,3.8166666666666664
22000072,6.8,3.25,4.8,4.95
22000073,7.0,4.5,2.6,4.7
22000074,2.8,2.5,3.0,2.766666666666667
22000075,3.4,5.5,3.2,4.033333333333334
22000076,5.6,8.0,7.4,7.0
22000077,4.4,3.75,2.0,3.3833333333333333
22000078,5.4,3.25,3.0,3.8833333333333333
22000079,2.4,2.75,2.8,2.65
22000080,7.0,7.75,6.6,7.116666666666667
22000081,5.4,4.75,2.4,4.183333333333334
22000082,3.6,4.75,2.0,3.4499999999999997
22000083,7.6,6.25,6.6,6.816666666666666
22000084,7.0,6.5,5.6,6.366666666666667
22000085,5.2,5.25,4.0,4.816666666666666
22000086,2.2,2.75,2.2,2.3833333333333333
22000087,3.4,4.75,3.6,3.9166666666666665
22000088,5.6,7.5,5.8,6.3
22000089,4.0,3.5,2.0,3.1666666666666665
22000090,3.0,5.0,2.8,3.6
22000091,3.0,6.75,3.6,4.45
22000092,5.6,7.5,5.6,6.233333333333333
22000093,3.0,5.5,3.2,3.9
22000094,4.6,4.5,2.6,3.9
22000095,5.6,5.0,3.2,4.6000000000000005
22000096,5.8,6.25,3.4,5.15
22000097,7.2,4.25,1.6,4.35
22000098,2.6,4.25,3.2,3.35
22000099,3.8,5.25,3.2,4.083333333333333
22000100,3.6,5.0,2.4,3.6666666666666665
22000101,4.2,5.25,2.4,3.9499999999999997
22000102,6.2,4.75,4.2,5.05
22000103,5.4,8.0,7.0,6.8
22000104,3.6,3.5,2.4,3.1666666666666665
22000105,3.8,4.0,2.8,3.533333333333333
22000106,6.6,5.75,4.8,5.716666666666666
22000107,5.8,6.0,2.8,4.866666666666667
22000108,8.6,3.75,4.4,5.583333333333333
22000109,1.0,3.5,3.4,2.6333333333333333
22000110,4.8,4.5,3.0,4.1000000000000005
22000111,1.2,3.5,3.0,2.566666666666667
22000112,2.4,2.25,1.8,2.15
22000113,5.6,7.25,6.0,6.283333333333334
22000114,5.0,3.5,4.2,4.233333333333333
22000115,2.8,6.25,3.4,4.15
22000116,4.8,5.0,2.4,4.066666666666667
22000117,6.2,4.5,5.2,5.3
22000118,3.6,4.25,2.0,3.283333333333333
22000119,7.6,4.75,4.4,5.583333333333333
22000120,5.4,6.5,4.0,5.3
22000121,5.8,8.0,4.4,6.066666666666667
22000122,5.8,3.5,2.8,4.033333333333334
22000123,6.0,6.5,6.4,6.3
22000124,3.8,4.5,3.2,3.8333333333333335
22000125,5.4,5.5,2.4,4.433333333333334
22000126,3.4,7.25,2.2,4.283333333333334
22000127,7.0,4.25,4.0,5.083333333333333
22000128,1.4,4.0,2.2,2.5333333333333337
22000129,3.6,4.5,2.0,3.3666666666666667
22000130,6.8,6.5,2.4,5.233333333333333
22000131,5.4,5.25,4.4,5.016666666666667
22000132,4.6,4.75,4.2,4.516666666666667
22000133,7.0,5.75,3.2,5.316666666666666
22000134,6.0,7.0,4.8,5.933333333333334
22000135,5.0,6.0,2.2,4.3999999999999995
22000136,5.8,6.75,3.6,5.383333333333334
22000137,3.6,6.75,3.6,4.6499999999999995
22000138,3.8,7.5,3.6,4.966666666666667
22000139,5.6,6.75,3.0,5.116666666666666
22000140,5.8,7.0,1.8,4.866666666666667
22000141,5.2,8.0,6.2,6.466666666666666
22000142,5.8,7.25,3.0,5.3500000000000005
22000143,4.2,7.5,3.2,4.966666666666666
22000144,4.4,6.75,2.4,4.516666666666667
22000145,7.4,7.0,7.2,7.2
22000146,6.4,6.75,3.0,5.383333333333333
22000147,6.6,6.5,5.8,6.3
22000148,5.6,6.5,2.8,4.966666666666666
22000149,4.6,4.75,3.6,4.316666666666666
22000150,5.2,6.75,6.4,6.116666666666667
22000151,5.0,5.25,3.4,4.55
22000152,5.6,5.5,2.0,4.366666666666666
22000153,5.6,5.75,2.4,4.583333333333333
22000154,5.6,6.75,4.4,5.583333333333333
22000155,3.4,1.75,4.0,3.0500000000000003
22000156,1.6,3.25,3.2,2.6833333333333336
22000157,4.4,4.5,4.2,4.366666666666667
22000158,6.0,8.0,7.8,7.266666666666667
22000159,5.0,6.0,4.4,5.133333333333334
22000160,5.2,5.0,2.8,4.333333333333333
22000161,5.8,5.25,6.4,5.816666666666667
22000162,4.6,3.0,3.8,3.7999999999999994
22000163,6.4,4.5,3.8,4.8999999999999995
22000164,5.4,4.5,2.4,4.1000000000000005
22000165,5.0,6.0,4.0,5.0
22000166,5.2,7.0,6.4,6.2
22000167,7.2,6.75,5.0,6.316666666666666
22000168,4.0,6.25,3.6,4.616666666666666
22000169,2.4,7.5,3.6,4.5
22000170,6.2,7.0,6.6,6.599999999999999
22000171,7.8,5.5,2.6,5.3
22000172,5.8,6.0,7.2,6.333333333333333
22000173,4.6,6.0,1.8,4.133333333333334
22000174,5.4,5.25,5.2,5.283333333333334
22000175,5.8,5.25,4.4,5.15
22000176,3.6,3.25,2.6,3.15
22000177,2.8,2.75,2.2,2.5833333333333335
22000178,3.4,5.25,1.4,3.35
22000179,3.2,5.5,2.0,3.5666666666666664
22000180,6.2,3.0,2.8,4.0
22000181,6.4,3.5,5.8,5.233333333333333
22000182,3.8,5.75,3.6,4.383333333333334
22000183,5.0,4.25,3.4,4.216666666666667
22000184,4.0,4.0,2.2,3.4
22000185,2.4,4.75,2.8,3.3166666666666664
22000186,5.8,6.25,3.2,5.083333333333333
22000187,4.6,7.5,2.6,4.8999999999999995
22000188,5.2,7.25,4.6,5.683333333333333
22000189,4.8,5.0,3.8,4.533333333333334
22000190,3.2,4.25,3.0,3.483333333333333
22000191,3.4,8.0,3.8,5.066666666666666
22000192,6.4,6.75,7.8,6.983333333333333
22000193,7.2,5.5,5.4,6.033333333333334
22000194,5.2,6.0,2.6,4.6
22000195,5.2,6.75,5.8,5.916666666666667
22000196,3.2,2.75,2.2,2.716666666666667
22000197,5.8,4.5,3.4,4.566666666666667
22000198,5.2,5.75,3.4,4.783333333333333
22000199,5.8,7.5,4.8,6.033333333333334
22000200,6.2,5.75,3.4,5.116666666666666
22000201,6.4,7.5,5.6,6.5
22000202,5.0,5.0,3.6,4.533333333333333
22000203,5.6,7.25,3.4,5.416666666666667
22000204,6.4,5.75,3.2,5.116666666666667
22000205,5.6,4.75,3.0,4.45
22000206,2.4,2.5,2.6,2.5
22000207,5.6,4.0,3.0,4.2
22000208,5.4,7.25,3.8,5.483333333333333
22000209,4.6,7.5,3.6,5.233333333333333
22000210,5.2,3.5,5.4,4.7
22000211,5.8,5.0,6.6,5.8
22000212,6.4,5.25,3.0,4.883333333333334
22000213,3.6,3.5,4.2,3.766666666666667
22000214,5.6,5.0,2.6,4.3999999999999995
22000215,3.0,3.0,2.6,2.8666666666666667
22000216,4.0,2.75,3.4,3.3833333333333333
22000217,6.0,5.5,4.8,5.433333333333334
22000218,5.0,5.5,5.6,5.366666666666667
22000219,5.6,3.75,3.6,4.316666666666666
22000220,6.2,4.25,3.8,4.75
22000221,6.2,5.75,3.6,5.183333333333333
22000222,3.6,4.75,3.2,3.85
22000223,5.2,7.0,3.4,5.2
22000224,4.2,7.25,3.4,4.95
22000225,2.2,3.75,4.4,3.4500000000000006
22000226,4.0,5.0,2.0,3.6666666666666665
22000227,6.4,8.25,6.2,6.95
22000228,5.8,7.0,7.6,6.8
22000229,6.6,7.5,7.4,7.166666666666667
22000230,7.0,6.75,3.8,5.8500000000000005
22000231,5.6,3.5,5.4,4.833333333333333
22000232,5.4,7.5,6.6,6.5
22000233,6.2,7.5,6.6,6.766666666666666
22000234,5.6,4.5,3.8,4.633333333333333
22000235,5.8,7.0,5.6,6.133333333333333
22000236,4.8,7.0,7.4,6.400000000000001
22000237,6.6,4.25,3.8,4.883333333333333
22000238,5.0,5.0,4.0,4.666666666666667
22000239,4.4,6.0,3.8,4.733333333333333
22000240,4.2,4.25,4.8,4.416666666666667
22000241,5.8,7.0,7.2,6.666666666666667
22000242,4.8,7.0,3.0,4.933333333333334
22000243,2.0,6.25,2.8,3.6833333333333336
22000244,5.2,6.5,7.4,6.366666666666667
22000245,5.6,7.0,7.0,6.533333333333334
22000246,5.2,7.0,6.2,6.133333333333333
22000247,6.2,8.25,7.2,7.216666666666666
22000248,5.8,4.0,6.6,5.466666666666666
22000249,7.0,8.0,8.0,7.666666666666667
22000250,5.2,5.75,4.0,4.983333333333333
22000251,2.8,6.5,3.2,4.166666666666667
22000252,3.2,6.25,3.8,4.416666666666667
22000253,3.0,3.75,2.0,2.9166666666666665
22000254,5.4,5.75,4.6,5.25
22000255,7.4,5.75,5.0,6.05
22000256,3.2,4.75,2.8,3.5833333333333335
22000257,6.0,5.25,2.4,4.55
22000258,5.4,5.5,5.4,5.433333333333334
22000259,3.8,3.5,4.2,3.8333333333333335
22000260,1.8,2.5,3.0,2.433333333333333
22000261,5.8,5.5,3.2,4.833333333333333
22000262,7.0,3.5,3.0,4.5
22000263,5.2,2.75,2.8,3.5833333333333335
22000264,3.8,3.5,4.0,3.766666666666667
22000265,7.4,5.0,2.8,5.066666666666666
