SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
29000001,3.6,5.5,2.4,3.8333333333333335
29000002,2.6,3.0,3.6,3.0666666666666664
29000003,7.2,7.25,6.6,7.016666666666666
29000004,7.6,5.0,3.0,5.2
29000005,5.4,5.75,4.0,5.05
29000006,6.0,7.5,3.8,5.766666666666667
29000007,2.8,4.25,2.6,3.216666666666667
29000008,3.4,5.5,1.6,3.5
29000009,3.8,6.5,3.2,4.5
29000010,3.8,3.75,3.4,3.65
29000011,6.2,7.5,5.8,6.5
29000012,5.2,6.25,5.0,5.483333333333333
29000013,1.8,5.0,2.8,3.1999999999999997
29000014,7.0,4.75,4.4,5.383333333333333
29000015,4.0,6.25,2.2,4.1499999999999995
29000016,6.0,5.5,4.8,5.433333333333334
29000017,3.8,5.75,2.4,3.983333333333334
29000018,2.6,6.75,4.2,4.516666666666667
29000019,3.8,7.0,3.8,4.866666666666667
29000020,4.0,3.5,2.8,3.4333333333333336
29000021,6.6,7.0,4.8,6.133333333333333
29000022,3.8,2.0,2.6,2.8000000000000003
29000023,3.6,5.0,1.8,3.466666666666667
29000024,3.6,4.75,2.4,3.5833333333333335
29000025,6.0,7.0,3.6,5.533333333333334
29000026,5.6,8.0,5.0,6.2
29000027,3.8,5.25,3.2,4.083333333333333
29000028,5.0,7.25,5.4,5.883333333333333
29000029,3.8,7.25,2.0,4.3500000000000005
29000030,8.2,7.75,3.0,6.316666666666666
29000031,7.6,8.5,8.4,8.166666666666666
29000032,6.0,7.75,5.4,6.383333333333333
29000033,4.0,6.0,2.6,4.2
29000034,3.4,6.0,3.6,4.333333333333333
29000035,5.0,8.0,3.0,5.333333333333333
29000036,5.0,7.75,5.6,6.116666666666667
29000037,3.4,5.5,2.0,3.6333333333333333
29000038,3.6,7.5,2.6,4.566666666666666
29000039,3.8,8.0,3.2,5.0
29000040,3.6,7.5,3.6,4.8999999999999995
29000041,3.2,4.5,1.8,3.1666666666666665
29000042,5.6,7.0,4.4,5.666666666666667
29000043,2.6,6.25,3.6,4.1499999999999995
29000044,3.0,5.0,1.8,3.266666666666667
29000045,3.0,5.75,3.8,4.183333333333334
29000046,2.8,5.5,2.2,3.5
29000047,4.2,6.0,2.0,4.066666666666666
29000048,5.2,7.75,3.4,5.449999999999999
29000049,4.4,6.75,4.0,5.05
29000050,5.6,7.5,3.8,5.633333333333333
29000051,2.4,7.25,2.8,4.1499999999999995
29000052,4.0,6.0,3.4,4.466666666666667
29000053,2.0,3.75,2.4,2.716666666666667
29000054,4.8,5.25,5.8,5.283333333333334
29000055,3.4,3.5,1.8,2.9000000000000004
29000056,3.4,3.0,2.2,2.866666666666667
29000057,5.6,5.25,3.4,4.75
29000058,7.4,6.0,1.6,5.0
29000059,7.4,7.0,7.4,7.266666666666667
29000060,4.8,4.75,4.6,4.716666666666667
29000061,2.8,4.0,2.6,3.1333333333333333
29000062,5.6,4.25,2.2,4.016666666666667
29000063,3.6,3.75,3.2,3.516666666666667
29000064,3.8,7.0,5.4,5.400000000000001
29000065,3.2,4.0,2.8,3.3333333333333335
29000066,7.4,4.0,8.6,6.666666666666667
29000067,3.0,3.0,3.4,3.1333333333333333
29000068,7.8,6.0,6.2,6.666666666666667
29000069,5.6,6.5,3.4,5.166666666666667
29000070,7.0,7.25,6.6,6.95
29000071,5.4,4.5,3.2,4.366666666666667
29000072,3.0,4.25,2.6,3.283333333333333
29000073,5.8,3.0,4.4,4.4
29000074,2.2,6.0,2.6,3.5999999999999996
29000075,3.2,3.75,2.4,3.1166666666666667
29000076,4.0,6.75,2.0,4.25
29000077,4.4,4.75,3.0,4.05
29000078,2.0,4.0,3.0,3.0
29000079,3.0,3.25,1.4,2.5500000000000003
29000080,5.6,4.75,4.0,4.783333333333333
29000081,3.0,3.5,2.8,3.1
29000082,3.0,3.25,4.0,3.4166666666666665
29000083,4.2,4.75,2.0,3.65
29000084,5.0,6.5,3.2,4.8999999999999995
29000085,5.2,6.75,2.8,4.916666666666667
29000086,3.0,5.75,2.4,3.716666666666667
29000087,3.2,7.75,2.2,4.383333333333333
29000088,4.8,7.25,2.6,4.883333333333334
29000089,1.4,2.25,2.2,1.95
29000090,4.0,5.5,1.8,3.766666666666667
29000091,7.2,6.0,3.6,5.6000000000000005
29000092,2.6,5.5,2.6,3.5666666666666664
29000093,2.0,3.5,3.2,2.9
29000094,9.0,4.5,2.8,5.433333333333334
29000095,2.6,3.75,2.2,2.85
29000096,5.0,3.5,2.2,3.5666666666666664
29000097,5.8,4.75,4.0,4.8500000000000005
29000098,3.2,4.25,3.4,3.6166666666666667
29000099,3.8,3.5,3.2,3.5
29000100,2.8,3.0,2.8,2.8666666666666667
29000101,5.2,6.5,3.6,5.1
29000102,3.6,6.25,1.6,3.8166666666666664
29000103,4.8,5.0,2.2,4.0
29000104,4.0,4.0,2.0,3.3333333333333335
29000105,6.8,8.0,4.6,6.466666666666666
29000106,4.0,5.0,3.6,4.2
29000107,6.2,7.0,8.2,7.133333333333333
