SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
32000001,4.0,6.0,2.8,4.266666666666667
32000002,4.4,7.0,2.8,4.733333333333333
32000003,3.2,7.0,2.6,4.266666666666667
32000004,5.2,6.25,5.2,5.55
32000005,3.8,5.25,3.2,4.083333333333333
32000006,4.0,5.75,2.8,4.183333333333334
32000007,4.2,7.25,3.8,5.083333333333333
32000008,3.8,6.0,3.0,4.266666666666667
32000009,5.4,7.25,4.4,5.683333333333334
32000010,5.2,6.25,2.8,4.75
32000011,4.6,6.5,3.6,4.8999999999999995
32000012,7.2,7.0,3.6,5.933333333333334
32000013,4.8,7.0,3.8,5.2
32000014,5.2,6.5,3.2,4.966666666666666
32000015,6.2,8.5,6.0,6.8999999999999995
32000016,6.0,6.5,2.8,5.1000000000000005
32000017,4.6,5.5,4.0,4.7
32000018,3.6,4.5,3.0,3.6999999999999997
32000019,6.8,5.0,3.0,4.933333333333334
32000020,5.6,4.0,4.2,4.6000000000000005
32000021,4.4,4.75,2.8,3.983333333333333
32000022,4.0,5.5,3.0,4.166666666666667
32000023,6.0,8.25,4.4,6.216666666666666
32000024,3.0,5.75,2.4,3.716666666666667
32000025,5.0,6.25,3.4,4.883333333333334
32000026,5.2,6.0,4.6,5.266666666666667
32000027,3.6,5.0,2.0,3.533333333333333
32000028,4.4,8.5,4.8,5.8999999999999995
32000029,5.8,7.25,4.2,5.75
32000030,4.6,5.0,2.8,4.133333333333333
32000031,3.4,4.5,2.6,3.5
32000032,5.8,4.5,3.4,4.566666666666667
32000033,5.8,6.5,2.8,5.033333333333334
32000034,6.0,5.75,3.6,5.116666666666666
32000035,3.6,5.0,3.0,3.8666666666666667
32000036,4.4,4.25,2.6,3.75
32000037,4.6,5.75,3.0,4.45
32000038,3.2,5.5,2.4,3.6999999999999997
32000039,5.0,7.75,5.2,5.983333333333333
32000040,6.0,6.5,2.2,4.8999999999999995
32000041,6.0,7.25,2.4,5.216666666666667
32000042,5.0,6.25,3.4,4.883333333333334
32000043,3.6,4.75,3.0,3.783333333333333
32000044,5.4,7.5,4.6,5.833333333333333
