SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
59000001,4.8,5.75,4.8,5.116666666666667
59000002,5.8,6.5,4.0,5.433333333333334
59000003,4.8,3.5,0,2.766666666666667
59000004,7.0,7.0,5.4,6.466666666666666
59000005,2.6,3.0,0,1.8666666666666665
59000006,5.4,7.0,4.4,5.6000000000000005
59000007,6.2,5.0,3.6,4.933333333333333
59000008,6.0,4.25,3.6,4.616666666666666
59000009,3.8,4.75,2.8,3.7833333333333337
59000010,6.4,2.5,0,2.966666666666667
59000011,5.0,6.5,4.4,5.3
59000012,5.6,6.0,7.0,6.2
59000013,5.8,6.0,6.0,5.933333333333334
59000014,4.8,4.0,3.6,4.133333333333334
59000015,4.0,6.5,3.6,4.7
59000016,5.4,4.75,5.6,5.25
59000017,5.6,4.5,3.8,4.633333333333333
59000018,6.0,6.5,5.6,6.033333333333334
59000019,6.2,6.5,3.6,5.433333333333334
59000020,6.2,6.0,4.0,5.3999999999999995
59000021,7.4,6.5,4.6,6.166666666666667
59000022,4.2,4.5,5.2,4.633333333333333
59000023,6.0,6.75,4.6,5.783333333333334
59000024,5.2,6.25,3.0,4.816666666666666
59000025,5.8,6.0,4.0,5.266666666666667
59000026,6.2,7.5,7.0,6.8999999999999995
59000027,6.0,7.75,5.2,6.316666666666666
59000028,7.2,5.25,6.8,6.416666666666667
59000029,5.6,6.5,4.2,5.433333333333334
59000030,6.4,5.0,4.4,5.266666666666667
59000031,4.2,5.5,0,3.233333333333333
59000032,5.6,5.0,4.6,5.066666666666666
59000033,7.2,5.5,3.4,5.366666666666666
59000034,5.2,5.5,2.6,4.433333333333333
59000035,5.4,7.0,8.8,7.066666666666667
59000036,2.2,4.25,0,2.15
59000037,3.4,5.75,0,3.0500000000000003
59000038,6.2,7.0,4.8,6.0
59000039,5.2,7.0,3.2,5.133333333333333
59000040,5.2,6.0,4.2,5.133333333333333
59000041,5.6,4.75,0,3.4499999999999997
59000042,3.6,6.0,1.8,3.8000000000000003
59000043,6.6,6.0,6.4,6.333333333333333
59000044,5.8,6.25,4.6,5.55
59000045,6.8,5.75,7.6,6.716666666666666
59000046,5.6,6.5,4.0,5.366666666666667
59000047,6.0,6.5,5.4,5.966666666666666
59000048,3.2,3.0,0,2.066666666666667
59000049,5.4,5.5,5.4,5.433333333333334
59000050,5.6,6.0,5.4,5.666666666666667
59000051,5.6,4.25,5.4,5.083333333333333
59000052,5.8,5.25,5.0,5.3500000000000005
59000053,5.6,5.75,3.6,4.983333333333333
59000054,5.6,4.5,2.6,4.233333333333333
59000055,5.4,4.5,2.0,3.966666666666667
59000056,3.4,4.75,3.2,3.7833333333333337
59000057,6.6,7.5,5.0,6.366666666666667
59000058,6.0,6.5,3.8,5.433333333333334
59000059,7.0,7.0,5.8,6.6000000000000005
59000060,4.6,5.0,5.8,5.133333333333333
59000061,7.8,6.0,7.6,7.133333333333333
59000062,5.6,6.0,6.6,6.066666666666666
59000063,6.4,4.75,4.2,5.116666666666667
59000064,5.4,5.25,3.4,4.683333333333334
