SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
26000001,6.8,0,7.0,4.6000000000000005
26000002,2.6,6.25,5.4,4.75
26000003,6.2,0,0,2.066666666666667
26000004,5.2,0,0,1.7333333333333334
26000005,5.8,6.25,7.4,6.483333333333334
26000006,5.2,6.75,0,3.983333333333333
26000007,3.8,5.5,7.4,5.566666666666667
26000008,2.2,4.0,0,2.066666666666667
26000009,4.0,0,0,1.3333333333333333
26000011,6.0,7.0,0,4.333333333333333
26000012,7.0,0,0,2.3333333333333335
26000013,6.2,6.75,0,4.316666666666666
26000015,6.2,0,0,2.066666666666667
26000016,7.0,0,8.0,5.0
26000017,6.4,0,0,2.1333333333333333
26000018,7.6,0,0,2.533333333333333
26000019,6.6,0,7.0,4.533333333333333
26000020,4.8,7.0,4.8,5.533333333333334
26000021,5.6,7.25,5.0,5.95
26000022,6.2,0,0,2.066666666666667
26000023,6.2,5.75,0,3.983333333333333
26000024,3.2,2.75,0,1.9833333333333334
26000025,5.2,7.5,5.0,5.8999999999999995
26000026,6.8,0,0,2.2666666666666666
26000027,8.0,0,0,2.6666666666666665
26000028,5.8,7.0,4.6,5.8
26000029,6.6,0,6.0,4.2
26000030,7.4,0,0,2.466666666666667
26000031,6.8,0,0,2.2666666666666666
26000032,7.0,0,0,2.3333333333333335
26000033,8.2,7.5,7.4,7.7
26000034,7.4,0,0,2.466666666666667
26000035,5.8,0,4.8,3.533333333333333
26000036,6.2,0,0,2.066666666666667
26000037,7.0,6.0,7.6,6.866666666666667
26000038,7.4,0,0,2.466666666666667
26000039,6.2,6.25,0,4.1499999999999995
26000040,3.0,0,0,1.0
26000041,4.6,0,0,1.5333333333333332
26000042,6.4,0,0,2.1333333333333333
26000043,6.0,0,0,2.0
26000044,0,7.0,0,2.3333333333333335
26000045,5.0,0,0,1.6666666666666667
26000046,5.0,0,0,1.6666666666666667
26000047,7.6,0,4.8,4.133333333333333
26000048,7.2,0,0,2.4
26000049,6.6,0,8.2,4.933333333333333
26000050,6.0,0,0,2.0
26000051,0,4.25,0,1.4166666666666667
26000052,5.6,0,0,1.8666666666666665
26000053,2.8,0,0,0.9333333333333332
26000055,7.6,0,0,2.533333333333333
26000056,7.8,6.25,0,4.683333333333334
26000057,4.2,0,0,1.4000000000000001
26000058,6.8,5.75,5.6,6.05
26000059,7.0,9.25,0,5.416666666666667
26000060,7.2,0,0,2.4
26000061,6.8,0,0,2.2666666666666666
26000062,6.0,0,0,2.0
26000063,0,5.5,0,1.8333333333333333
26000064,7.8,0,0,2.6
26000065,5.6,0,6.2,3.9333333333333336
26000066,5.2,0,0,1.7333333333333334
26000067,2.6,2.75,0,1.7833333333333332
26000068,2.4,0,0,0.7999999999999999
26000069,5.6,0,0,1.8666666666666665
26000070,5.0,0,0,1.6666666666666667
26000071,5.2,5.5,0,3.5666666666666664
26000072,3.4,0,0,1.1333333333333333
26000073,5.4,0,0,1.8
26000074,5.4,0,0,1.8
26000075,8.4,0,0,2.8000000000000003
26000076,3.2,0,3.6,2.266666666666667
26000077,7.2,6.25,7.2,6.883333333333333
26000078,4.4,7.5,3.6,5.166666666666667
26000079,6.8,6.25,5.8,6.283333333333334
26000081,2.4,0,0,0.7999999999999999
26000082,5.2,0,0,1.7333333333333334
26000083,8.0,0,0,2.6666666666666665
26000084,5.4,0,0,1.8
26000085,7.0,0,6.0,4.333333333333333
26000086,5.6,0,0,1.8666666666666665
26000087,7.2,7.75,6.4,7.116666666666667
26000088,6.4,0,0,2.1333333333333333
26000089,5.6,7.25,3.4,5.416666666666667
26000090,8.8,0,0,2.9333333333333336
26000091,2.2,2.5,0,1.5666666666666667
26000092,2.0,0,0,0.6666666666666666
26000093,7.2,0,0,2.4
26000095,6.4,0,0,2.1333333333333333
26000096,0,5.75,0,1.9166666666666667
26000097,5.8,7.25,0,4.3500000000000005
26000098,7.0,0,0,2.3333333333333335
26000099,7.0,0,0,2.3333333333333335
26000100,7.4,0,0,2.466666666666667
26000101,0,6.75,0,2.25
26000102,4.8,0,0,1.5999999999999999
26000103,4.4,5.25,6.6,5.416666666666667
26000104,0,7.0,0,2.3333333333333335
26000105,8.2,0,0,2.733333333333333
26000106,1.2,0,0,0.39999999999999997
26000107,6.2,0,0,2.066666666666667
26000109,0,5.75,0,1.9166666666666667
26000110,6.4,0,0,2.1333333333333333
26000111,5.8,5.75,0,3.85
26000113,6.2,0,0,2.066666666666667
26000114,5.2,0,0,1.7333333333333334
26000115,5.6,0,0,1.8666666666666665
26000116,5.2,0,0,1.7333333333333334
26000117,6.6,5.0,0,3.8666666666666667
26000119,3.2,2.5,0,1.9000000000000001
26000120,5.0,0,3.6,2.8666666666666667
26000121,5.4,0,0,1.8
26000122,7.4,0,0,2.466666666666667
26000124,5.0,2.75,0,2.5833333333333335
26000125,2.2,0,3.6,1.9333333333333336
26000126,4.8,0,0,1.5999999999999999
26000127,2.0,2.0,0,1.3333333333333333
26000129,6.4,6.5,6.2,6.366666666666667
26000130,6.4,6.25,7.0,6.55
26000131,8.2,6.5,0,4.8999999999999995
26000132,0,7.0,0,2.3333333333333335
26000133,6.4,6.25,0,4.216666666666667
26000134,4.4,6.0,0,3.466666666666667
26000135,7.0,5.5,6.8,6.433333333333334
26000136,5.4,0,0,1.8
26000137,7.0,0,0,2.3333333333333335
26000138,8.4,0,0,2.8000000000000003
26000139,5.0,3.5,2.6,3.6999999999999997
26000140,5.8,0,0,1.9333333333333333
26000141,5.2,0,0,1.7333333333333334
26000142,7.0,0,0,2.3333333333333335
26000143,5.0,0,0,1.6666666666666667
26000144,5.2,0,0,1.7333333333333334
26000145,4.0,3.0,0,2.3333333333333335
26000146,6.0,0,0,2.0
26000147,6.8,0,0,2.2666666666666666
26000148,7.0,0,0,2.3333333333333335
26000149,0,4.25,0,1.4166666666666667
26000150,5.4,0,0,1.8
26000151,3.4,0,0,1.1333333333333333
26000153,6.6,0,4.0,3.533333333333333
26000154,2.4,0,0,0.7999999999999999
26000156,6.4,0,0,2.1333333333333333
26000157,6.0,6.5,7.4,6.633333333333333
26000158,6.4,0,0,2.1333333333333333
26000159,0,3.5,4.4,2.6333333333333333
26000160,7.4,0,4.6,4.0
26000161,6.6,0,0,2.1999999999999997
26000163,6.0,0,0,2.0
26000164,7.4,7.75,7.2,7.45
26000165,5.6,0,0,1.8666666666666665
26000166,6.8,0,0,2.2666666666666666
26000167,6.4,0,0,2.1333333333333333
26000168,5.6,0,0,1.8666666666666665
26000169,4.4,3.75,0,2.716666666666667
26000170,2.6,5.0,0,2.533333333333333
26000171,4.8,0,0,1.5999999999999999
