SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
01000029,7.2,5.0,6.8,6.333333333333333
01000030,6.2,6.25,8.0,6.816666666666666
01000031,6.8,5.75,7.2,6.583333333333333
01000032,5.8,4.5,9.0,6.433333333333334
01000033,7.0,5.5,3.6,5.366666666666667
01000034,7.0,6.0,7.2,6.733333333333333
01000035,7.2,4.25,7.4,6.283333333333334
01000036,6.6,6.0,8.2,6.933333333333333
01000037,4.6,3.0,0,2.533333333333333
01000038,8.0,7.5,9.6,8.366666666666667
01000039,7.6,7.0,8.0,7.533333333333334
01000040,6.2,6.0,6.0,6.066666666666666
01000041,6.2,8.5,8.6,7.766666666666666
01000042,3.4,3.25,2.8,3.15
01000043,7.8,0,0,2.6
01000044,7.6,6.75,9.4,7.916666666666667
01000045,7.8,5.0,8.2,7.0
01000046,4.6,5.5,4.6,4.8999999999999995
01000047,0,7.25,6.6,4.616666666666666
01000048,6.8,6.5,8.0,7.1000000000000005
01000049,4.2,6.25,8.4,6.283333333333334
01000050,6.2,4.75,9.4,6.783333333333334
01000051,8.2,3.0,3.4,4.866666666666666
01000052,7.2,5.0,8.6,6.933333333333333
01000053,9.0,7.25,9.2,8.483333333333333
01000054,7.4,6.0,9.6,7.666666666666667
01000055,7.8,6.25,8.0,7.3500000000000005
01000056,8.0,4.0,9.4,7.133333333333333
01000057,7.0,7.0,6.2,6.733333333333333
01000058,4.2,6.25,4.0,4.816666666666666
01000059,7.2,6.0,8.8,7.333333333333333
01000060,7.4,4.25,7.6,6.416666666666667
01000061,6.8,5.0,0,3.9333333333333336
01000062,7.0,7.0,7.2,7.066666666666666
01000063,5.8,5.25,4.6,5.216666666666667
01000064,7.4,6.75,7.6,7.25
01000065,4.6,5.5,2.6,4.233333333333333
01000066,6.4,4.75,8.0,6.383333333333333
01000067,5.4,6.25,2.4,4.683333333333334
01000068,6.4,5.5,7.4,6.433333333333334
01000069,8.8,6.5,8.6,7.966666666666666
01000070,8.6,6.25,9.6,8.15
01000071,7.8,7.0,7.0,7.266666666666667
01000072,3.0,4.75,3.8,3.85
