SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
03000001,4.8,6.5,3.8,5.033333333333334
03000002,3.0,2.25,0,1.75
03000003,3.2,2.5,0,1.9000000000000001
03000004,5.8,3.25,0,3.016666666666667
03000005,6.8,6.0,8.6,7.133333333333333
03000006,7.6,5.75,7.2,6.8500000000000005
03000007,8.0,8.0,7.6,7.866666666666667
03000008,9.4,6.5,7.6,7.833333333333333
03000009,8.2,7.0,6.4,7.2
03000010,7.6,7.25,7.4,7.416666666666667
03000011,7.0,7.0,5.0,6.333333333333333
03000012,8.4,4.5,6.8,6.566666666666666
03000013,8.4,6.5,5.8,6.8999999999999995
03000014,8.2,6.5,8.0,7.566666666666666
03000015,6.4,6.0,4.6,5.666666666666667
03000016,8.0,7.0,4.2,6.3999999999999995
03000017,7.8,5.75,7.4,6.983333333333334
03000018,7.8,5.5,3.8,5.7
03000019,6.2,5.75,0,3.983333333333333
03000020,7.0,8.25,8.8,8.016666666666667
03000021,7.4,6.5,3.4,5.766666666666667
03000022,8.2,5.25,2.4,5.283333333333333
03000023,8.8,5.75,5.8,6.783333333333334
03000024,2.8,0.5,0,1.0999999999999999
03000025,5.8,6.75,5.0,5.8500000000000005
03000026,5.4,6.5,5.0,5.633333333333333
03000027,5.2,5.25,0,3.483333333333333
03000028,7.8,6.0,8.8,7.533333333333334
03000029,8.0,5.0,3.4,5.466666666666666
03000030,6.2,5.25,0,3.8166666666666664
03000031,4.8,6.5,5.2,5.5
03000032,6.2,6.25,3.0,5.1499999999999995
03000033,8.0,6.5,6.4,6.966666666666666
03000034,6.2,5.5,6.4,6.033333333333334
03000035,7.0,5.5,4.0,5.5
03000036,7.8,5.5,4.6,5.966666666666666
03000037,7.0,6.75,3.0,5.583333333333333
03000038,8.4,7.5,7.6,7.833333333333333
03000039,7.6,6.5,6.8,6.966666666666666
03000040,7.4,7.0,6.8,7.066666666666666
03000041,7.4,5.25,3.8,5.483333333333333
03000042,8.4,6.5,8.2,7.7
03000043,8.2,7.75,8.2,8.049999999999999
03000044,6.6,7.5,4.6,6.233333333333333
03000045,6.8,7.25,7.6,7.216666666666666
03000046,7.4,6.5,5.2,6.366666666666667
03000047,7.2,7.0,3.8,6.0
03000048,7.4,7.5,5.6,6.833333333333333
03000049,7.2,4.5,3.2,4.966666666666666
03000050,7.0,4.5,5.2,5.566666666666666
03000051,8.4,4.75,5.4,6.183333333333334
03000052,7.4,5.5,7.0,6.633333333333333
03000053,7.6,4.5,3.8,5.3
03000054,6.4,6.5,7.0,6.633333333333333
03000055,5.0,0.75,0,1.9166666666666667
03000056,8.2,6.5,7.4,7.366666666666667
03000057,8.0,6.25,5.2,6.483333333333333
03000058,7.2,6.0,3.2,5.466666666666666
03000059,6.4,6.75,5.8,6.316666666666666
03000060,8.0,6.25,7.8,7.3500000000000005
03000061,7.4,7.0,6.8,7.066666666666666
03000062,8.0,7.0,5.8,6.933333333333334
03000063,7.4,6.25,5.2,6.283333333333334
03000064,5.8,5.0,0,3.6
03000065,8.2,7.0,7.6,7.599999999999999
03000066,3.4,4.0,0,2.466666666666667
03000067,7.4,5.25,4.0,5.55
03000068,3.8,2.5,0,2.1
03000069,6.4,5.0,3.0,4.8
03000070,5.0,5.75,0,3.5833333333333335
03000071,8.2,5.25,3.4,5.616666666666666
03000072,5.4,6.0,3.0,4.8
03000073,5.0,3.25,0,2.75
03000074,6.8,6.5,4.6,5.966666666666666
03000075,5.4,6.25,3.8,5.1499999999999995
03000076,7.0,7.75,8.2,7.6499999999999995
03000077,8.2,7.25,7.4,7.616666666666667
03000078,7.2,7.75,7.2,7.383333333333333
03000079,5.4,3.75,0,3.0500000000000003
03000080,7.2,7.75,5.6,6.849999999999999
03000081,7.4,5.0,4.0,5.466666666666666
03000082,7.0,5.5,5.2,5.8999999999999995
03000083,6.6,4.5,5.8,5.633333333333333
03000084,6.6,4.5,0,3.6999999999999997
03000085,8.0,3.75,4.2,5.316666666666666
03000086,6.4,6.0,5.0,5.8
03000087,7.6,6.25,4.0,5.95
03000088,7.6,5.0,3.0,5.2
03000089,2.6,0.0,0,0.8666666666666667
