SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
51000001,2.2,5.75,0,2.65
51000002,5.2,6.75,5.2,5.716666666666666
51000003,7.2,6.75,4.4,6.116666666666667
51000004,2.2,3.75,0,1.9833333333333334
51000005,5.2,4.75,0,3.3166666666666664
51000006,6.0,4.75,2.8,4.516666666666667
51000007,5.6,4.5,2.2,4.1000000000000005
51000008,7.4,5.0,8.8,7.066666666666667
51000009,6.4,7.0,6.0,6.466666666666666
51000010,6.6,7.0,5.2,6.266666666666667
51000011,5.0,6.5,8.8,6.766666666666667
51000012,5.4,7.0,6.2,6.2
51000013,5.8,6.0,4.4,5.400000000000001
51000014,7.0,6.25,3.6,5.616666666666667
51000015,7.6,5.67,7.6,6.956666666666666
51000016,5.4,6.67,4.8,5.623333333333334
51000017,6.8,6.25,4.4,5.816666666666667
51000018,7.4,9.0,4.8,7.066666666666666
51000019,7.8,7.25,8.8,7.95
51000020,5.8,5.0,0,3.6
51000021,4.4,4.5,0,2.966666666666667
51000022,6.8,9.0,5.6,7.133333333333333
51000023,5.2,5.75,0,3.65
51000024,6.8,6.75,7.2,6.916666666666667
51000025,5.0,6.5,5.0,5.5
51000026,7.6,5.75,3.4,5.583333333333333
51000027,7.6,7.25,7.8,7.55
51000028,5.2,6.67,5.2,5.69
51000029,8.2,6.83,6.6,7.21
51000030,5.6,6.17,4.0,5.256666666666667
51000031,7.4,6.25,6.6,6.75
51000032,8.6,6.17,8.0,7.59
51000033,5.8,6.5,6.6,6.3
51000034,8.4,7.0,6.6,7.333333333333333
51000035,3.4,3.75,0,2.3833333333333333
51000036,6.2,7.5,7.8,7.166666666666667
51000037,7.0,5.5,9.4,7.3
51000038,6.0,6.33,4.8,5.71
51000039,6.4,6.5,5.0,5.966666666666666
51000040,7.4,6.5,5.4,6.433333333333334
51000041,8.2,6.75,7.8,7.583333333333333
51000042,0,4.25,0,1.4166666666666667
51000043,3.0,3.25,0,2.0833333333333335
51000044,5.6,7.0,7.4,6.666666666666667
51000045,4.0,6.75,5.6,5.45
51000046,6.8,7.5,7.2,7.166666666666667
51000047,7.2,5.75,5.2,6.05
51000048,7.4,6.0,4.2,5.866666666666667
51000049,6.0,6.25,5.0,5.75
51000050,7.8,5.25,6.2,6.416666666666667
51000051,7.8,6.0,5.2,6.333333333333333
51000052,5.4,6.0,4.6,5.333333333333333
51000053,4.6,5.0,0,3.1999999999999997
51000054,6.2,7.25,6.6,6.683333333333333
51000055,7.4,6.5,7.4,7.1000000000000005
51000056,4.6,7.25,5.6,5.816666666666666
51000057,7.6,6.25,6.4,6.75
51000058,4.8,0,0,1.5999999999999999
51000059,4.2,4.67,0,2.956666666666667
51000060,6.6,7.5,6.6,6.8999999999999995
51000061,4.4,4.0,4.8,4.3999999999999995
51000062,5.8,7.0,4.2,5.666666666666667
51000063,6.6,7.75,6.6,6.983333333333333
51000064,5.4,5.25,6.0,5.55
51000065,5.4,6.5,4.6,5.5
51000066,7.8,5.0,5.4,6.066666666666667
51000067,7.0,6.17,3.6,5.59
51000068,6.8,0,0,2.2666666666666666
51000069,6.2,4.75,4.8,5.25
51000070,5.4,4.0,4.0,4.466666666666667
51000071,5.4,7.0,0,4.133333333333334
51000072,7.0,5.0,3.8,5.266666666666667
51000073,6.2,6.5,5.2,5.966666666666666
51000074,7.2,6.75,6.4,6.783333333333334
51000075,7.2,8.0,5.4,6.866666666666667
51000076,4.6,7.5,6.2,6.1000000000000005
51000077,2.2,5.75,2.6,3.516666666666667
51000078,7.6,7.25,7.6,7.483333333333333
51000079,8.2,6.0,8.0,7.3999999999999995
51000080,6.8,7.5,6.8,7.033333333333334
51000081,7.6,7.25,6.2,7.016666666666667
51000082,7.2,5.5,6.6,6.433333333333333
51000083,7.8,9.0,7.4,8.066666666666668
51000084,2.0,2.75,1.6,2.1166666666666667
51000085,4.8,5.0,2.4,4.066666666666667
51000086,5.6,5.5,4.2,5.1000000000000005
51000087,6.8,5.0,8.8,6.866666666666667
51000088,6.0,7.0,6.0,6.333333333333333
51000089,5.8,4.25,3.2,4.416666666666667
51000090,7.6,6.17,4.6,6.123333333333332
51000091,5.6,3.5,5.0,4.7
51000092,5.0,4.75,1.6,3.783333333333333
51000093,5.8,0,0,1.9333333333333333
51000094,3.8,5.0,2.8,3.866666666666667
51000095,7.6,5.5,8.8,7.3
51000096,8.4,7.25,8.4,8.016666666666667
51000097,6.4,6.75,6.4,6.516666666666667
51000098,6.4,5.25,3.8,5.1499999999999995
51000099,8.4,5.25,3.8,5.816666666666666
51000100,6.2,5.75,4.2,5.383333333333333
51000101,3.4,4.0,0,2.466666666666667
51000102,5.6,6.25,6.4,6.083333333333333
51000103,7.0,6.75,6.0,6.583333333333333
51000104,0,5.0,0,1.6666666666666667
51000105,0,4.5,0,1.5
51000106,7.4,5.5,4.8,5.8999999999999995
51000107,7.8,5.5,5.6,6.3
51000108,6.4,7.5,7.4,7.1000000000000005
51000109,6.8,4.75,7.4,6.316666666666667
51000110,6.6,5.0,4.6,5.3999999999999995
51000111,7.8,6.0,7.2,7.0
51000112,4.6,4.0,4.4,4.333333333333333
51000113,5.2,3.75,0,2.983333333333333
51000114,6.0,5.75,5.2,5.6499999999999995
51000115,6.8,7.0,5.0,6.266666666666667
51000116,7.4,7.25,3.4,6.016666666666667
51000117,5.2,6.0,5.0,5.3999999999999995
51000118,4.6,5.25,2.6,4.1499999999999995
51000119,7.6,3.75,5.0,5.45
51000120,2.4,3.5,3.2,3.0333333333333337
51000121,6.4,3.5,0,3.3000000000000003
51000122,1.8,2.5,0,1.4333333333333333
51000123,8.2,8.0,6.0,7.3999999999999995
51000124,8.4,6.25,7.6,7.416666666666667
51000125,7.6,6.25,5.8,6.55
51000126,7.4,0,0,2.466666666666667
51000127,6.4,4.75,3.6,4.916666666666667
51000128,4.8,7.0,2.4,4.733333333333333
51000129,4.6,5.0,5.2,4.933333333333334
51000130,4.6,4.0,0,2.8666666666666667
51000131,4.0,5.75,0,3.25
51000132,8.2,7.75,4.4,6.783333333333334
