SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
44000001,6.0,6.75,4.0,5.583333333333333
44000002,6.8,7.0,5.6,6.466666666666666
44000003,6.8,6.75,7.2,6.916666666666667
44000004,6.0,8.0,5.0,6.333333333333333
44000005,6.8,7.5,7.4,7.233333333333334
44000006,3.8,4.75,3.0,3.85
44000007,6.4,5.5,3.2,5.033333333333334
44000008,8.2,6.5,8.4,7.7
44000009,8.2,7.25,7.2,7.55
44000010,7.0,6.25,6.6,6.616666666666667
44000011,5.0,6.0,4.2,5.066666666666666
44000012,8.4,5.75,5.8,6.6499999999999995
44000013,3.2,5.25,0,2.8166666666666664
44000014,7.2,6.5,6.8,6.833333333333333
44000015,6.0,7.5,4.4,5.966666666666666
44000016,6.0,5.0,6.8,5.933333333333334
44000017,6.8,7.25,3.6,5.883333333333334
44000018,6.0,5.0,7.8,6.266666666666667
44000019,7.8,0,0,2.6
44000020,8.8,7.5,6.4,7.566666666666667
44000021,7.0,7.25,7.4,7.216666666666666
44000022,6.4,6.0,5.0,5.8
44000023,5.6,6.5,3.8,5.3
44000024,2.8,6.75,4.0,4.516666666666667
44000025,6.8,7.25,5.0,6.3500000000000005
44000026,7.0,6.75,4.4,6.05
44000027,8.6,7.75,8.8,8.383333333333335
44000028,6.4,5.75,0,4.05
44000029,6.0,4.75,4.2,4.983333333333333
44000030,7.8,6.5,6.4,6.900000000000001
44000031,5.0,5.75,3.6,4.783333333333333
44000032,7.0,5.25,5.8,6.016666666666667
44000033,7.4,6.0,6.8,6.733333333333333
44000034,7.4,6.75,8.8,7.650000000000001
44000035,6.4,6.25,5.6,6.083333333333333
44000036,7.8,7.25,7.4,7.483333333333334
44000037,4.8,4.25,0,3.016666666666667
44000038,2.8,4.0,0,2.2666666666666666
44000039,5.8,6.25,7.4,6.483333333333334
44000040,2.6,5.25,3.8,3.883333333333333
44000041,7.2,7.0,6.4,6.866666666666667
44000042,6.2,7.25,5.2,6.216666666666666
44000043,6.0,6.75,8.4,7.05
44000044,5.8,5.0,5.0,5.266666666666667
44000045,7.4,6.0,4.8,6.066666666666666
44000046,8.0,8.75,7.2,7.983333333333333
44000047,7.2,6.75,6.4,6.783333333333334
44000048,9.2,5.5,8.8,7.833333333333333
44000049,5.0,5.0,7.2,5.733333333333333
44000050,8.6,7.75,8.8,8.383333333333335
44000051,8.0,6.5,5.6,6.7
44000052,7.8,7.0,8.0,7.6000000000000005
44000053,7.0,5.75,4.8,5.8500000000000005
44000054,5.0,6.0,0,3.6666666666666665
44000055,6.4,5.5,3.4,5.1000000000000005
44000056,7.6,8.0,6.8,7.466666666666666
44000057,8.0,5.75,4.8,6.183333333333334
44000058,7.8,7.0,7.0,7.266666666666667
44000059,7.2,6.5,8.0,7.233333333333333
44000060,7.2,6.75,4.8,6.25
44000062,7.2,5.5,4.4,5.7
44000063,8.6,7.75,9.6,8.65
44000064,4.6,7.25,3.6,5.1499999999999995
44000065,5.6,6.0,5.8,5.8
44000066,4.8,4.75,0,3.1833333333333336
44000067,5.4,0,0,1.8
44000068,5.6,6.0,3.0,4.866666666666666
44000069,8.2,5.75,7.8,7.25
44000070,7.0,6.0,4.6,5.866666666666667
44000071,6.8,7.25,8.8,7.616666666666667
44000072,7.4,8.25,9.8,8.483333333333334
44000073,7.4,7.25,6.8,7.1499999999999995
44000074,8.4,6.75,9.2,8.116666666666667
44000075,6.8,0,6.4,4.3999999999999995
44000076,5.8,5.5,4.6,5.3
44000077,6.6,7.25,6.2,6.683333333333334
44000078,5.2,4.25,0,3.15
44000079,4.4,7.0,4.6,5.333333333333333
44000080,6.0,6.5,5.4,5.966666666666666
44000081,8.0,6.25,8.8,7.683333333333334
44000082,6.6,7.5,5.6,6.566666666666666
44000083,5.4,6.5,4.6,5.5
