SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
19000001,7.0,5.0,3.0,5.0
19000002,7.4,6.75,5.8,6.6499999999999995
19000003,3.2,1.75,0,1.6500000000000001
19000004,4.2,2.5,2.8,3.1666666666666665
19000005,5.6,8.5,6.2,6.766666666666667
19000006,8.2,6.25,7.4,7.283333333333334
19000007,3.0,2.75,0,1.9166666666666667
19000008,8.4,8.25,9.2,8.616666666666665
19000009,8.4,7.25,9.0,8.216666666666667
19000010,6.4,8.25,8.6,7.75
19000011,8.0,0,0,2.6666666666666665
19000012,4.2,8.0,4.6,5.599999999999999
19000013,8.4,8.5,8.8,8.566666666666666
19000014,2.4,2.75,0,1.7166666666666668
19000015,4.2,5.25,3.0,4.1499999999999995
19000016,6.6,6.5,6.0,6.366666666666667
19000017,4.0,8.0,3.8,5.266666666666667
19000018,4.2,4.75,3.2,4.05
19000019,3.2,0.75,0,1.3166666666666667
19000020,2.0,2.5,0,1.5
19000021,3.2,8.25,4.8,5.416666666666667
19000022,5.8,6.75,3.8,5.45
19000023,5.8,5.5,5.0,5.433333333333334
19000024,7.8,4.5,4.4,5.566666666666667
19000025,5.2,6.0,4.0,5.066666666666666
19000026,6.0,3.75,5.4,5.05
19000027,2.4,1.75,0,1.3833333333333335
19000028,7.8,8.5,8.6,8.299999999999999
19000029,6.2,3.75,3.6,4.516666666666667
19000030,6.8,8.25,8.4,7.816666666666667
19000031,6.4,3.5,3.0,4.3
19000032,7.4,8.5,9.2,8.366666666666667
19000033,4.4,5.25,3.2,4.283333333333334
19000034,4.6,4.75,2.6,3.983333333333333
19000035,8.0,0,0,2.6666666666666665
19000036,5.8,6.0,3.2,5.0
19000037,5.0,5.0,5.6,5.2
19000038,3.6,5.0,2.6,3.733333333333333
19000039,2.0,1.5,0,1.1666666666666667
19000040,7.6,5.5,7.8,6.966666666666666
19000041,4.0,3.25,3.0,3.4166666666666665
19000042,2.4,1.75,0,1.3833333333333335
19000043,3.0,5.0,2.6,3.533333333333333
19000044,5.4,7.5,6.4,6.433333333333334
19000045,5.6,4.5,2.6,4.233333333333333
19000046,8.8,6.75,7.0,7.516666666666667
19000047,2.4,2.75,0,1.7166666666666668
19000048,6.6,5.75,3.0,5.116666666666666
19000049,2.6,2.0,0,1.5333333333333332
19000050,4.8,4.25,3.4,4.15
19000051,8.0,8.5,8.2,8.233333333333333
19000052,2.6,2.75,3.0,2.783333333333333
19000053,5.0,3.0,2.4,3.466666666666667
19000054,2.2,5.5,4.2,3.966666666666667
19000055,8.6,5.75,5.0,6.45
19000056,2.6,2.0,3.0,2.533333333333333
19000057,6.6,6.0,9.4,7.333333333333333
19000058,5.0,2.0,3.0,3.3333333333333335
19000059,7.2,8.5,9.4,8.366666666666667
19000060,8.6,7.75,9.2,8.516666666666667
19000061,7.8,7.75,8.2,7.916666666666667
19000062,2.6,5.5,0,2.6999999999999997
19000063,2.8,4.0,0,2.2666666666666666
19000064,4.0,3.25,3.8,3.6833333333333336
19000065,2.4,1.25,0,1.2166666666666666
19000066,3.4,6.75,3.8,4.6499999999999995
19000067,2.0,0.75,0,0.9166666666666666
19000068,2.8,0.5,0,1.0999999999999999
19000069,4.6,3.5,4.2,4.1000000000000005
19000070,5.0,4.75,2.0,3.9166666666666665
19000071,8.6,8.25,7.6,8.15
19000072,9.6,5.5,3.6,6.233333333333333
19000073,2.2,2.75,0,1.6500000000000001
19000074,5.0,4.0,2.6,3.8666666666666667
19000075,9.6,4.75,3.2,5.8500000000000005
19000076,6.2,5.25,4.0,5.1499999999999995
19000077,4.0,4.25,2.4,3.5500000000000003
19000078,4.6,2.25,3.0,3.283333333333333
19000079,8.0,8.0,9.2,8.4
19000080,8.8,8.0,8.0,8.266666666666667
19000081,7.0,7.0,3.8,5.933333333333334
19000082,0,7.75,8.0,5.25
19000083,7.6,6.5,7.2,7.1000000000000005
19000084,2.4,3.25,0,1.8833333333333335
19000085,9.0,7.0,8.6,8.200000000000001
19000086,3.4,2.75,0,2.0500000000000003
19000087,2.8,3.0,0,1.9333333333333333
19000088,8.0,3.25,3.8,5.016666666666667
19000089,3.8,4.0,3.2,3.6666666666666665
19000090,4.6,8.0,4.2,5.6000000000000005
19000091,5.0,8.25,5.6,6.283333333333334
19000092,2.6,2.75,0,1.7833333333333332
19000093,1.8,2.5,0,1.4333333333333333
19000094,3.2,2.25,0,1.8166666666666667
19000095,9.2,6.0,5.8,7.0
19000096,4.6,4.5,3.0,4.033333333333333
19000097,7.6,7.5,5.8,6.966666666666666
19000098,2.8,2.75,3.2,2.9166666666666665
19000099,2.4,2.75,0,1.7166666666666668
19000100,3.2,3.0,0,2.066666666666667
19000101,2.2,2.75,0,1.6500000000000001
19000102,3.4,3.25,2.6,3.0833333333333335
19000103,3.2,3.5,0,2.2333333333333334
19000104,9.6,5.25,5.6,6.816666666666666
19000105,3.6,2.0,0,1.8666666666666665
19000106,8.4,7.0,8.6,8.0
19000107,3.0,5.5,2.0,3.5
19000108,3.6,4.0,0,2.533333333333333
19000109,3.0,1.5,0,1.5
19000110,2.8,0.5,0,1.0999999999999999
19000111,1.2,3.5,0,1.5666666666666667
19000112,8.8,6.0,8.8,7.866666666666667
19000113,8.8,5.0,4.2,6.0
19000114,2.6,1.25,0,1.2833333333333334
19000115,5.4,7.25,6.4,6.3500000000000005
19000116,4.0,6.0,4.2,4.733333333333333
19000117,4.8,8.0,8.4,7.066666666666667
19000118,8.0,8.0,7.0,7.666666666666667
19000119,3.0,2.5,0,1.8333333333333333
19000120,4.6,5.0,2.8,4.133333333333333
19000121,2.4,1.25,0,1.2166666666666666
19000122,8.0,5.25,4.4,5.883333333333333
19000123,3.4,5.5,4.8,4.566666666666666
19000124,3.2,1.75,0,1.6500000000000001
19000125,3.6,3.5,1.8,2.966666666666667
19000126,3.8,7.25,5.2,5.416666666666667
19000127,4.4,3.5,4.2,4.033333333333334
19000128,2.2,3.25,0,1.8166666666666667
19000129,4.6,3.5,1.2,3.0999999999999996
19000130,2.6,2.25,0,1.6166666666666665
19000131,3.8,3.0,0,2.2666666666666666
19000132,9.0,5.5,4.4,6.3
19000133,2.4,2.25,0,1.55
19000134,8.6,7.5,7.4,7.833333333333333
19000135,6.4,5.25,3.8,5.1499999999999995
19000136,1.8,1.75,0,1.1833333333333333
19000137,6.4,4.25,3.0,4.55
19000138,4.8,4.5,5.2,4.833333333333333
