SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
05000001,7.6,6.5,3.0,5.7
05000002,3.6,4.75,3.0,3.783333333333333
05000003,2.2,0,3.0,1.7333333333333334
05000004,6.6,6.0,2.8,5.133333333333333
05000005,7.4,8.0,8.0,7.8
05000006,7.8,6.0,0,4.6000000000000005
05000007,5.8,6.5,3.8,5.366666666666667
05000008,4.0,0,1.8,1.9333333333333333
05000009,6.8,6.0,6.2,6.333333333333333
05000010,6.0,7.75,7.6,7.116666666666667
05000011,4.0,3.75,2.2,3.3166666666666664
05000012,7.4,4.75,6.2,6.116666666666667
05000013,6.6,3.25,3.8,4.55
05000014,3.2,4.0,3.4,3.533333333333333
05000015,5.2,3.0,2.6,3.5999999999999996
05000016,4.0,5.75,3.0,4.25
05000017,6.2,3.5,6.0,5.233333333333333
05000018,8.4,5.0,7.8,7.066666666666666
05000019,9.2,6.75,5.8,7.25
05000020,2.6,5.0,3.2,3.6
05000021,7.0,3.25,6.4,5.55
05000022,2.2,2.0,0,1.4000000000000001
05000023,2.4,5.0,1.8,3.066666666666667
05000024,9.0,6.25,7.8,7.683333333333334
05000025,3.8,4.0,2.8,3.533333333333333
05000026,6.4,4.75,5.6,5.583333333333333
05000027,7.6,4.0,1.8,4.466666666666667
05000028,2.0,3.75,2.8,2.85
05000029,4.4,5.0,2.2,3.866666666666667
05000030,3.6,5.0,3.4,4.0
05000031,7.6,3.75,6.6,5.983333333333333
05000032,3.6,5.25,2.4,3.75
05000033,2.2,2.0,2.8,2.3333333333333335
05000034,6.6,5.5,4.8,5.633333333333333
05000035,8.4,8.0,9.2,8.533333333333333
05000036,9.0,7.0,9.2,8.4
05000037,7.0,4.25,3.4,4.883333333333334
05000038,6.2,6.0,4.4,5.533333333333334
05000039,2.8,3.25,0,2.0166666666666666
05000040,7.0,3.75,4.2,4.983333333333333
05000041,6.4,5.0,5.0,5.466666666666666
05000042,7.0,3.5,4.6,5.033333333333333
