SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
23000001,6.6,8.5,9.2,8.1
23000002,6.4,7.0,6.0,6.466666666666666
23000003,6.2,7.5,9.6,7.766666666666666
23000004,8.2,8.5,9.0,8.566666666666666
23000005,8.2,8.25,9.6,8.683333333333332
23000006,4.8,4.5,4.2,4.5
23000007,6.6,8.25,5.2,6.683333333333334
23000008,6.8,8.25,6.4,7.150000000000001
23000009,7.6,6.5,4.8,6.3
23000010,6.8,5.75,1.8,4.783333333333334
23000011,6.8,6.5,5.4,6.233333333333334
23000012,8.8,5.5,5.8,6.7
23000013,5.8,5.5,2.8,4.7
23000014,4.4,7.75,5.4,5.8500000000000005
23000015,7.6,5.5,7.6,6.8999999999999995
23000016,8.0,5.75,2.8,5.516666666666667
23000017,8.4,6.75,4.6,6.583333333333333
23000018,6.8,7.0,8.8,7.533333333333334
23000019,4.4,7.75,4.2,5.45
23000020,5.0,6.75,4.4,5.383333333333333
23000021,7.0,4.0,5.6,5.533333333333334
23000022,7.8,3.75,2.8,4.783333333333334
23000023,7.0,5.5,4.2,5.566666666666666
23000024,6.0,6.25,4.6,5.616666666666667
23000025,6.2,6.75,4.0,5.6499999999999995
23000026,6.8,7.75,6.2,6.916666666666667
23000027,4.0,6.75,3.2,4.6499999999999995
23000028,5.4,7.5,4.4,5.766666666666667
23000029,3.4,7.25,4.6,5.083333333333333
23000030,5.2,6.5,3.6,5.1
23000031,7.8,7.75,7.2,7.583333333333333
23000032,7.6,7.5,6.6,7.233333333333333
23000033,7.2,8.0,7.2,7.466666666666666
23000034,7.0,6.25,3.6,5.616666666666667
