SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
21000001,7.0,7.5,9.0,7.833333333333333
21000002,7.8,4.75,3.8,5.45
21000003,6.0,6.25,3.0,5.083333333333333
21000004,8.0,8.0,7.8,7.933333333333334
21000005,8.2,7.5,8.8,8.166666666666666
21000006,6.2,6.5,9.4,7.366666666666667
21000007,6.0,5.75,3.8,5.183333333333334
21000008,7.2,7.0,5.0,6.3999999999999995
21000009,7.8,6.75,7.6,7.383333333333333
21000010,6.6,4.75,3.0,4.783333333333333
21000011,6.0,5.5,3.6,5.033333333333333
21000012,7.8,7.25,7.0,7.3500000000000005
21000013,8.2,7.5,9.2,8.299999999999999
21000014,7.2,6.25,6.8,6.75
21000015,3.4,3.5,2.8,3.233333333333333
21000016,6.2,6.25,3.2,5.216666666666666
21000017,9.0,4.5,7.8,7.1000000000000005
21000018,6.8,5.0,6.8,6.2
21000019,7.8,7.5,5.6,6.966666666666666
21000020,7.4,3.5,4.8,5.233333333333333
21000021,6.2,7.0,5.4,6.2
21000022,5.2,6.25,2.6,4.683333333333333
21000023,6.4,8.0,6.4,6.933333333333334
21000024,6.6,7.25,6.4,6.75
21000025,6.0,6.5,3.0,5.166666666666667
21000026,7.8,7.5,4.6,6.633333333333333
21000027,8.4,7.5,6.6,7.5
21000028,8.0,5.0,6.6,6.533333333333334
21000029,8.0,6.25,6.6,6.95
21000030,7.8,6.75,3.8,6.116666666666667
21000031,6.8,7.25,7.6,7.216666666666666
21000032,6.8,7.75,7.0,7.183333333333334
21000033,4.4,6.25,3.0,4.55
21000034,8.2,5.75,9.0,7.6499999999999995
21000035,7.4,5.75,3.4,5.516666666666667
21000036,7.8,7.25,7.6,7.55
21000037,8.2,7.0,7.8,7.666666666666667
21000038,7.0,7.25,5.8,6.683333333333334
21000039,4.2,6.75,3.2,4.716666666666666
21000040,8.2,8.0,8.8,8.333333333333334
21000041,8.2,7.25,4.8,6.75
21000042,8.6,7.25,7.8,7.883333333333333
21000043,7.8,7.25,5.8,6.95
21000044,7.4,6.0,7.0,6.8
21000045,7.4,7.5,7.8,7.566666666666666
21000046,7.6,5.5,3.8,5.633333333333333
21000047,7.0,7.25,4.6,6.283333333333334
21000048,7.8,8.0,5.2,7.0
21000049,9.2,4.5,3.0,5.566666666666666
21000050,5.8,4.25,2.2,4.083333333333333
21000051,6.8,5.25,2.8,4.95
21000052,7.4,6.75,3.2,5.783333333333334
21000053,8.0,6.5,3.8,6.1000000000000005
21000054,8.8,6.25,5.4,6.816666666666667
21000055,4.2,7.5,5.0,5.566666666666666
21000056,7.8,6.75,5.0,6.516666666666667
21000057,6.8,4.5,2.0,4.433333333333334
21000058,6.2,4.75,3.8,4.916666666666667
21000059,7.4,4.0,3.0,4.8
21000060,8.2,4.0,2.2,4.8
21000061,7.2,6.5,5.8,6.5
21000062,7.2,6.0,4.0,5.733333333333333
21000063,5.6,5.0,3.0,4.533333333333333
21000064,8.6,4.0,1.6,4.733333333333333
21000065,8.0,5.0,4.4,5.8
21000066,5.6,4.75,2.2,4.183333333333334
21000067,7.4,5.25,4.2,5.616666666666667
21000068,6.8,7.0,2.6,5.466666666666668
21000069,7.8,4.75,6.4,6.316666666666667
21000070,6.6,6.25,6.6,6.483333333333333
21000071,9.4,5.5,5.6,6.833333333333333
21000072,7.2,4.75,2.4,4.783333333333333
21000073,7.2,5.25,3.4,5.283333333333333
21000074,7.6,5.75,5.6,6.316666666666666
21000075,7.0,5.25,3.6,5.283333333333333
21000076,7.6,4.5,2.0,4.7
21000077,5.2,3.75,4.0,4.316666666666666
21000078,3.2,6.25,2.6,4.016666666666667
21000079,7.4,5.0,4.2,5.533333333333334
21000080,5.0,5.25,3.6,4.616666666666666
