SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
08000001,4.8,8.25,5.2,6.083333333333333
08000002,5.0,4.75,2.4,4.05
08000003,7.4,7.0,4.2,6.2
08000004,6.8,7.75,4.8,6.45
08000005,5.0,5.25,2.4,4.216666666666667
08000006,5.6,3.5,2.6,3.9
08000007,5.4,6.75,4.6,5.583333333333333
08000008,7.0,5.25,3.8,5.3500000000000005
08000009,4.2,6.25,2.8,4.416666666666667
08000010,4.8,3.75,4.6,4.383333333333334
08000011,6.2,5.75,7.2,6.383333333333333
08000012,5.2,5.0,3.6,4.6
08000013,2.4,3.0,2.4,2.6
08000014,5.2,5.0,3.8,4.666666666666667
08000015,5.6,6.0,3.4,5.0
08000016,4.6,6.75,3.2,4.8500000000000005
08000017,3.4,5.25,2.0,3.5500000000000003
08000018,7.6,7.25,5.8,6.883333333333333
08000019,6.0,5.25,3.2,4.816666666666666
08000020,3.8,4.0,2.8,3.533333333333333
08000021,7.0,6.5,3.8,5.766666666666667
08000022,8.2,6.5,3.8,6.166666666666667
08000023,7.6,7.75,6.2,7.183333333333334
08000024,7.4,5.5,4.0,5.633333333333333
08000025,4.6,6.25,2.0,4.283333333333333
08000026,6.0,5.0,2.6,4.533333333333333
08000027,4.6,5.25,3.4,4.416666666666667
08000028,6.4,6.0,3.4,5.266666666666667
08000029,6.2,7.25,2.8,5.416666666666667
08000030,6.2,7.0,3.6,5.6000000000000005
08000031,4.2,4.5,2.2,3.633333333333333
08000032,6.0,5.0,4.2,5.066666666666666
08000033,7.6,4.25,4.4,5.416666666666667
08000034,4.2,5.25,3.8,4.416666666666667
08000035,5.4,5.0,3.0,4.466666666666667
08000036,4.4,5.0,3.8,4.3999999999999995
08000037,4.0,5.0,3.4,4.133333333333334
08000038,6.4,5.5,2.4,4.766666666666667
08000039,5.6,4.0,3.0,4.2
08000040,3.8,4.25,1.8,3.2833333333333337
08000041,6.4,7.75,5.2,6.45
08000042,6.4,5.0,3.4,4.933333333333334
08000043,7.6,6.25,3.2,5.683333333333334
08000044,7.4,5.5,3.6,5.5
08000045,5.2,4.0,2.2,3.7999999999999994
08000046,3.8,4.25,3.4,3.816666666666667
08000047,2.6,4.0,4.0,3.533333333333333
08000048,2.8,4.25,1.8,2.9499999999999997
08000049,8.2,5.0,2.6,5.266666666666667
08000050,7.0,5.25,3.8,5.3500000000000005
08000051,6.6,3.75,3.4,4.583333333333333
08000052,7.2,5.75,2.4,5.116666666666666
08000053,5.0,4.25,2.4,3.8833333333333333
08000054,5.2,5.5,2.4,4.366666666666666
08000055,4.8,5.5,2.4,4.233333333333333
08000056,6.2,5.0,2.8,4.666666666666667
08000057,5.4,3.5,2.8,3.9
08000058,4.8,5.5,2.6,4.3
08000059,3.8,5.0,2.2,3.6666666666666665
