SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
25000001,8.0,6.0,3.8,5.933333333333334
25000002,8.6,8.25,9.0,8.616666666666667
25000004,5.8,7.25,6.6,6.55
25000005,8.4,7.25,9.4,8.35
25000006,7.2,7.0,8.0,7.3999999999999995
25000007,7.4,8.0,9.8,8.4
25000008,9.0,6.5,5.0,6.833333333333333
25000009,7.8,7.75,9.4,8.316666666666668
25000010,8.0,8.0,9.0,8.333333333333334
25000011,8.4,8.5,8.6,8.5
25000012,7.4,8.25,9.0,8.216666666666667
25000013,9.0,8.5,9.0,8.833333333333334
25000014,7.4,7.5,8.4,7.766666666666667
25000015,7.4,7.25,8.6,7.75
25000016,7.8,6.75,7.2,7.25
25000017,8.0,7.0,0,5.0
25000018,8.2,6.5,9.0,7.8999999999999995
25000019,8.2,8.25,8.8,8.416666666666666
25000020,8.4,6.0,8.8,7.733333333333334
25000021,8.8,6.0,9.2,8.0
25000022,8.4,7.0,5.8,7.066666666666666
25000023,7.6,7.5,9.2,8.1
25000024,7.6,5.25,7.6,6.816666666666666
25000025,5.6,6.0,5.6,5.733333333333333
25000026,7.6,8.5,8.6,8.233333333333334
25000027,8.0,7.5,8.0,7.833333333333333
25000028,7.4,6.75,9.2,7.783333333333334
25000029,8.4,8.25,8.8,8.483333333333333
25000030,8.2,6.0,9.6,7.933333333333333
25000031,4.0,6.0,7.8,5.933333333333334
25000032,6.8,6.0,5.8,6.2
25000033,8.2,7.25,8.6,8.016666666666666
25000034,7.4,7.5,5.6,6.833333333333333
25000035,5.6,7.25,7.2,6.683333333333334
25000036,7.4,5.25,7.8,6.816666666666666
25000037,7.2,7.75,9.0,7.983333333333333
25000038,8.4,8.25,9.8,8.816666666666666
25000039,7.6,6.25,9.4,7.75
25000040,8.8,6.75,9.0,8.183333333333334
25000041,8.0,6.5,7.0,7.166666666666667
25000042,8.6,6.75,7.2,7.516666666666667
25000043,8.4,6.5,8.2,7.7
25000044,8.6,5.75,8.6,7.6499999999999995
25000045,5.8,7.75,4.0,5.8500000000000005
25000046,8.0,8.75,8.8,8.516666666666667
25000047,8.4,6.75,9.0,8.049999999999999
25000048,8.8,5.0,5.2,6.333333333333333
25000049,8.0,6.0,6.0,6.666666666666667
25000050,6.2,6.75,5.6,6.183333333333333
25000051,9.0,5.75,7.2,7.316666666666666
25000052,7.2,6.5,6.4,6.7
25000053,7.8,7.5,9.2,8.166666666666666
25000054,7.6,7.25,9.8,8.216666666666667
25000055,7.2,8.0,8.8,8.0
25000056,8.4,7.75,9.2,8.45
25000057,7.4,6.75,7.8,7.316666666666666
25000058,7.2,8.25,9.2,8.216666666666667
25000059,8.6,7.5,9.2,8.433333333333334
25000060,9.0,6.25,8.2,7.816666666666666
25000061,8.0,6.5,9.0,7.833333333333333
25000062,8.0,7.5,7.2,7.566666666666666
25000063,8.0,4.75,9.8,7.516666666666667
25000064,8.4,5.0,5.0,6.133333333333333
25000065,6.8,7.25,5.8,6.616666666666667
25000066,9.0,6.75,9.0,8.25
25000067,8.0,5.75,5.2,6.316666666666666
25000068,9.6,7.75,9.4,8.916666666666666
25000069,7.6,6.0,8.8,7.466666666666666
25000070,5.8,6.75,7.0,6.516666666666667
25000071,7.4,6.25,6.6,6.75
25000072,8.2,7.0,7.2,7.466666666666666
25000073,8.4,7.25,6.6,7.416666666666667
25000074,8.2,6.0,9.0,7.733333333333333
25000075,7.2,7.5,8.8,7.833333333333333
25000076,5.8,6.25,6.0,6.016666666666667
25000077,6.6,6.75,5.0,6.116666666666667
25000078,8.8,6.0,4.8,6.533333333333334
25000079,8.6,6.0,8.6,7.733333333333333
25000080,8.6,7.25,9.0,8.283333333333333
25000081,7.6,6.0,6.2,6.6000000000000005
25000082,8.4,7.75,8.2,8.116666666666665
25000083,7.2,8.25,9.4,8.283333333333333
25000084,9.4,5.75,4.6,6.583333333333333
25000085,5.8,8.5,9.2,7.833333333333333
25000086,8.4,7.75,9.2,8.45
25000087,8.6,6.0,7.4,7.333333333333333
25000088,8.6,7.75,8.2,8.183333333333334
25000089,6.6,4.5,7.2,6.1000000000000005
25000090,8.6,5.25,8.8,7.55
25000091,8.6,4.5,7.0,6.7
25000092,6.8,6.5,3.2,5.5
25000093,8.4,7.5,9.4,8.433333333333334
25000094,8.0,7.0,10.0,8.333333333333334
25000095,8.6,5.25,9.2,7.683333333333333
25000096,9.4,5.5,7.4,7.433333333333334
25000097,8.8,5.25,9.0,7.683333333333334
25000098,8.2,6.25,9.2,7.883333333333333
25000099,6.2,6.0,4.8,5.666666666666667
25000100,6.8,6.25,8.6,7.216666666666666
25000101,7.6,7.75,9.0,8.116666666666667
25000102,7.4,6.75,8.0,7.383333333333333
25000103,6.6,6.5,4.8,5.966666666666666
25000104,8.4,5.5,5.6,6.5
25000105,7.2,6.75,8.2,7.383333333333333
