SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
31000001,1.6,3.0,2.8,2.4666666666666663
31000002,7.0,5.25,3.6,5.283333333333333
31000003,5.8,6.5,4.0,5.433333333333334
31000004,4.2,5.5,2.4,4.033333333333333
31000005,4.6,2.5,2.6,3.233333333333333
31000006,3.2,2.5,3.2,2.966666666666667
31000007,7.2,5.5,4.0,5.566666666666666
31000008,4.2,3.5,1.8,3.1666666666666665
31000009,3.4,1.25,0,1.55
31000010,4.4,4.5,0,2.966666666666667
31000011,4.8,4.75,2.2,3.9166666666666665
31000012,2.4,3.5,2.0,2.6333333333333333
31000013,4.0,3.5,3.8,3.766666666666667
31000014,5.4,5.25,2.6,4.416666666666667
31000015,3.4,3.75,1.2,2.783333333333333
31000016,5.2,3.5,4.2,4.3
31000017,5.6,5.5,4.4,5.166666666666667
31000018,5.0,5.5,3.2,4.566666666666666
31000019,5.4,3.75,2.0,3.716666666666667
31000020,2.6,2.5,1.8,2.3
31000021,4.0,4.75,2.4,3.716666666666667
31000022,2.4,6.0,2.6,3.6666666666666665
31000023,1.0,2.0,1.8,1.5999999999999999
31000024,5.4,5.75,3.8,4.983333333333333
31000025,3.0,4.75,3.6,3.783333333333333
31000026,5.0,4.25,2.8,4.016666666666667
31000027,4.4,4.5,2.2,3.7000000000000006
31000028,5.4,5.5,4.0,4.966666666666667
31000029,2.4,6.0,1.6,3.3333333333333335
31000030,2.6,5.25,0,2.6166666666666667
31000031,4.0,4.5,3.6,4.033333333333333
31000032,5.8,7.5,6.4,6.566666666666667
31000033,5.0,4.5,3.0,4.166666666666667
31000034,5.8,5.5,3.4,4.9
31000035,4.0,4.5,2.4,3.6333333333333333
31000036,3.0,1.25,0,1.4166666666666667
31000037,4.2,5.0,5.0,4.733333333333333
31000038,2.0,2.0,4.2,2.733333333333333
31000039,6.0,5.5,3.4,4.966666666666667
31000040,4.6,4.5,3.4,4.166666666666667
31000041,4.0,5.5,3.8,4.433333333333334
31000042,4.2,4.5,3.8,4.166666666666667
31000043,2.2,3.5,2.8,2.8333333333333335
31000044,2.6,2.5,3.2,2.766666666666667
31000045,4.8,4.0,3.0,3.9333333333333336
31000046,2.4,4.0,3.4,3.266666666666667
31000047,8.4,5.75,2.2,5.45
31000048,0,3.25,0,1.0833333333333333
31000049,3.0,2.5,2.2,2.566666666666667
31000050,3.0,3.5,0,2.1666666666666665
31000051,1.6,2.5,2.8,2.3
31000052,2.4,4.25,3.0,3.216666666666667
31000053,2.8,4.5,2.6,3.3000000000000003
