SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
35000001,5.0,5.25,5.4,5.216666666666667
35000002,5.2,4.25,2.4,3.9499999999999997
35000003,7.0,6.75,6.0,6.583333333333333
35000004,7.0,6.75,5.2,6.316666666666666
35000005,5.4,5.25,3.4,4.683333333333334
35000006,5.6,7.0,4.2,5.6000000000000005
35000007,8.0,6.25,6.2,6.816666666666666
35000008,5.8,5.5,4.6,5.3
35000009,7.2,5.25,4.4,5.616666666666667
35000010,6.6,7.0,6.2,6.6000000000000005
35000011,6.0,6.25,3.6,5.283333333333333
35000012,7.2,6.0,5.2,6.133333333333333
35000013,7.8,5.0,5.4,6.066666666666667
35000014,5.2,6.0,4.8,5.333333333333333
35000015,8.6,7.0,7.2,7.6000000000000005
35000016,7.6,7.75,8.0,7.783333333333334
35000017,7.4,5.25,3.4,5.3500000000000005
35000018,7.0,6.5,7.4,6.966666666666666
35000019,7.0,5.25,4.4,5.55
35000020,8.6,6.5,8.0,7.7
35000021,8.2,7.0,5.8,7.0
35000022,6.8,5.0,7.8,6.533333333333334
35000023,8.8,6.5,5.0,6.766666666666667
35000024,6.4,5.75,6.8,6.316666666666666
35000025,7.2,4.5,6.0,5.8999999999999995
35000026,6.8,4.5,3.6,4.966666666666667
35000027,7.2,5.5,3.2,5.3
35000028,8.0,4.75,3.2,5.316666666666666
35000029,7.6,6.25,4.4,6.083333333333333
35000030,8.4,5.25,5.4,6.3500000000000005
35000031,5.8,7.0,4.4,5.733333333333334
35000032,4.6,5.75,6.4,5.583333333333333
35000033,7.4,7.5,7.0,7.3
35000034,4.4,5.5,5.2,5.033333333333334
35000035,7.0,6.75,5.0,6.25
35000036,4.4,4.5,5.2,4.7
35000037,8.2,6.0,6.6,6.933333333333333
35000038,7.4,6.5,4.2,6.033333333333334
35000039,5.8,7.0,4.2,5.666666666666667
35000040,7.4,5.75,7.2,6.783333333333334
35000041,7.2,6.75,4.6,6.183333333333333
35000042,6.2,6.75,4.6,5.849999999999999
35000043,7.6,7.0,5.2,6.6000000000000005
35000044,5.8,6.25,6.4,6.150000000000001
35000045,7.8,7.75,6.6,7.383333333333333
35000046,5.8,4.0,2.8,4.2
35000047,7.6,6.5,6.0,6.7
35000048,5.4,3.0,2.8,3.733333333333333
35000049,7.0,4.5,2.6,4.7
35000050,9.0,5.0,3.6,5.866666666666667
35000051,8.2,4.5,2.8,5.166666666666667
35000052,7.6,4.25,5.2,5.683333333333334
35000053,8.0,5.0,4.2,5.733333333333333
35000054,7.4,5.25,6.0,6.216666666666666
35000055,8.6,6.0,7.6,7.3999999999999995
35000056,9.0,6.25,3.8,6.3500000000000005
35000057,7.0,5.75,4.6,5.783333333333334
35000058,8.0,4.5,5.4,5.966666666666666
35000059,7.4,4.75,7.4,6.516666666666667
35000060,6.8,4.5,2.4,4.566666666666667
35000061,5.0,7.0,4.2,5.3999999999999995
35000062,6.2,5.42,2.4,4.673333333333334
35000063,6.0,5.25,4.2,5.1499999999999995
35000064,8.6,5.5,3.4,5.833333333333333
35000065,8.8,6.0,6.6,7.133333333333333
35000066,9.2,5.25,4.2,6.216666666666666
35000067,7.4,6.0,4.8,6.066666666666666
35000068,5.6,6.0,4.0,5.2
35000069,8.6,7.25,6.0,7.283333333333334
35000070,6.6,6.5,4.4,5.833333333333333
35000071,7.0,7.75,7.0,7.25
35000072,7.6,6.25,5.8,6.55
35000073,6.2,6.0,5.8,6.0
35000074,6.8,0,0,2.2666666666666666
35000075,8.0,6.75,5.4,6.716666666666666
35000076,7.8,7.25,6.0,7.016666666666667
35000077,5.8,6.5,5.2,5.833333333333333
35000078,7.6,7.0,6.4,7.0
35000079,7.4,6.75,8.0,7.383333333333333
35000080,5.8,5.75,5.6,5.716666666666666
35000081,5.6,6.0,2.6,4.733333333333333
35000082,7.2,7.5,6.4,7.033333333333334
35000083,7.2,7.5,6.0,6.8999999999999995
35000084,7.2,5.0,4.8,5.666666666666667
35000085,6.8,6.0,3.0,5.266666666666667
35000086,7.4,5.75,7.4,6.8500000000000005
35000087,6.0,7.25,7.0,6.75
35000088,6.6,5.0,6.6,6.066666666666666
35000089,5.6,6.5,2.4,4.833333333333333
35000090,4.0,6.25,3.0,4.416666666666667
35000091,9.0,4.75,8.2,7.316666666666666
35000092,5.2,6.5,5.2,5.633333333333333
35000093,5.6,4.25,3.4,4.416666666666667
35000094,6.2,6.5,4.0,5.566666666666666
35000095,6.4,4.0,3.6,4.666666666666667
35000096,7.2,7.0,5.4,6.533333333333334
35000097,6.4,5.0,3.2,4.866666666666667
35000098,8.0,6.5,5.4,6.633333333333333
35000099,6.0,6.0,3.8,5.266666666666667
35000100,5.8,6.5,6.2,6.166666666666667
35000101,3.8,5.25,6.8,5.283333333333334
35000102,7.4,6.25,7.2,6.95
35000103,7.8,5.75,4.4,5.983333333333334
35000104,6.2,7.0,6.8,6.666666666666667
35000105,6.2,5.0,3.2,4.8
35000106,7.8,5.0,3.2,5.333333333333333
35000107,8.2,6.5,4.6,6.433333333333333
35000108,6.8,3.0,5.2,5.0
35000109,8.0,6.5,5.4,6.633333333333333
35000110,7.8,6.5,5.6,6.633333333333333
35000111,5.8,5.5,5.4,5.566666666666667
35000112,6.8,5.0,4.6,5.466666666666666
35000113,7.4,7.0,8.2,7.533333333333334
35000114,7.8,6.5,8.6,7.633333333333333
35000115,6.8,5.25,4.8,5.616666666666667
35000116,6.2,6.75,4.4,5.783333333333334
35000117,8.4,4.5,4.4,5.766666666666667
35000118,7.2,5.0,4.0,5.3999999999999995
35000119,4.6,4.25,2.8,3.883333333333333
35000120,9.4,7.0,7.8,8.066666666666666
35000121,5.0,2.25,2.0,3.0833333333333335
35000122,7.4,5.0,5.6,6.0
35000123,6.6,7.25,6.0,6.616666666666667
35000124,6.6,4.5,6.8,5.966666666666666
35000125,5.0,7.25,7.2,6.483333333333333
35000126,4.8,4.0,4.8,4.533333333333334
35000127,6.8,5.92,5.0,5.906666666666666
35000128,5.6,6.5,6.4,6.166666666666667
35000129,7.0,5.25,4.2,5.483333333333333
35000130,7.6,6.0,4.8,6.133333333333333
35000131,7.4,7.25,7.0,7.216666666666666
35000132,6.2,7.25,1.8,5.083333333333333
35000133,7.8,5.75,3.2,5.583333333333333
35000134,7.8,5.75,5.4,6.316666666666667
35000135,7.0,6.0,3.8,5.6000000000000005
35000136,5.4,7.25,6.2,6.283333333333334
35000137,9.2,5.0,3.2,5.8
35000138,5.8,6.75,6.2,6.25
35000139,6.8,5.0,6.0,5.933333333333334
35000140,6.0,4.5,7.2,5.8999999999999995
35000141,5.8,6.25,2.8,4.95
35000142,7.0,7.0,3.6,5.866666666666667
35000143,3.4,6.75,5.2,5.116666666666667
35000144,8.8,5.0,5.2,6.333333333333333
35000145,4.4,4.83,4.2,4.476666666666667
35000146,8.8,4.75,7.2,6.916666666666667
35000147,8.6,5.25,3.8,5.883333333333333
35000148,6.6,5.5,4.6,5.566666666666666
35000149,7.6,5.83,8.8,7.41
35000150,8.8,3.5,6.4,6.233333333333334
35000151,6.0,4.5,5.2,5.233333333333333
35000152,5.4,5.25,4.4,5.016666666666667
35000153,7.8,7.25,8.0,7.683333333333334
35000154,9.0,5.0,8.6,7.533333333333334
35000155,5.6,6.75,3.6,5.316666666666666
35000156,8.0,0,0,2.6666666666666665
35000157,4.0,4.75,4.2,4.316666666666666
35000158,8.2,4.75,9.4,7.45
35000159,6.2,7.5,5.6,6.433333333333333
35000160,5.0,6.5,4.2,5.233333333333333
35000161,3.0,3.5,3.8,3.4333333333333336
35000162,7.8,4.25,5.4,5.816666666666667
35000163,8.2,4.75,7.6,6.849999999999999
35000164,4.8,7.0,4.8,5.533333333333334
35000165,5.2,5.0,5.0,5.066666666666666
35000166,6.8,5.75,5.4,5.983333333333334
35000167,8.8,4.5,5.2,6.166666666666667
35000168,8.2,5.5,5.6,6.433333333333333
35000169,8.4,6.0,6.6,7.0
35000170,5.2,5.5,3.2,4.633333333333333
35000171,8.6,6.25,9.0,7.95
35000172,8.8,0,0,2.9333333333333336
35000173,6.2,4.25,4.2,4.883333333333333
35000174,4.8,6.25,4.2,5.083333333333333
35000175,4.2,7.0,4.0,5.066666666666666
35000176,7.4,7.25,5.8,6.816666666666666
35000177,8.6,5.5,9.0,7.7
35000178,7.4,5.5,4.2,5.7
35000179,6.8,7.25,6.2,6.75
35000180,5.2,6.25,2.6,4.683333333333333
35000181,6.4,7.25,4.8,6.1499999999999995
35000182,8.2,6.0,5.8,6.666666666666667
35000183,6.0,5.5,4.2,5.233333333333333
35000184,3.4,5.0,5.8,4.733333333333333
35000185,7.4,5.25,4.4,5.683333333333334
35000186,7.8,6.5,6.8,7.033333333333334
35000187,5.8,6.5,4.0,5.433333333333334
35000188,7.4,6.75,6.2,6.783333333333334
35000189,6.8,5.5,3.8,5.366666666666667
35000190,7.2,6.25,6.8,6.75
35000191,4.4,6.75,4.6,5.25
35000192,7.2,5.5,5.4,6.033333333333334
35000193,6.6,7.0,6.8,6.8
35000194,7.4,5.0,5.6,6.0
35000195,6.8,5.25,5.0,5.683333333333334
35000196,6.8,6.5,5.6,6.3
35000197,6.6,5.75,3.6,5.316666666666666
35000198,6.8,5.5,5.6,5.966666666666666
35000199,7.2,5.0,4.4,5.533333333333334
35000200,5.6,7.25,3.6,5.483333333333333
35000201,6.6,5.0,2.6,4.733333333333333
35000202,6.8,6.25,4.8,5.95
35000203,7.2,5.5,5.4,6.033333333333334
35000204,7.0,6.0,5.2,6.066666666666666
35000205,7.2,6.5,4.2,5.966666666666666
35000206,6.4,6.25,4.4,5.683333333333334
35000207,7.2,6.25,5.4,6.283333333333334
35000208,7.8,5.25,5.4,6.150000000000001
35000209,7.0,5.5,4.6,5.7
35000210,6.6,5.75,7.0,6.45
35000211,8.0,6.5,6.6,7.033333333333334
35000212,7.8,7.25,7.8,7.616666666666667
35000213,7.4,5.5,4.2,5.7
35000214,7.4,5.5,4.8,5.8999999999999995
35000215,8.4,6.0,4.4,6.266666666666667
35000216,6.2,4.5,3.8,4.833333333333333
35000217,7.6,4.75,8.2,6.849999999999999
35000218,7.8,5.25,4.8,5.95
35000219,6.8,6.75,4.6,6.05
