SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
17000001,2.6,1.75,2.4,2.25
17000002,2.6,3.5,2.4,2.8333333333333335
17000003,1.4,3.25,2.0,2.216666666666667
17000004,2.8,2.75,3.2,2.9166666666666665
17000005,3.4,3.0,2.8,3.0666666666666664
17000006,4.8,3.25,2.4,3.483333333333334
17000007,4.8,5.75,3.0,4.516666666666667
17000008,2.0,3.75,2.8,2.85
17000009,3.6,5.25,2.6,3.8166666666666664
17000010,2.6,4.25,3.2,3.35
17000011,3.6,4.25,3.2,3.6833333333333336
17000012,4.8,4.75,2.6,4.05
17000013,2.6,6.0,3.0,3.8666666666666667
17000014,3.0,3.5,2.4,2.966666666666667
17000015,4.2,4.25,4.4,4.283333333333333
17000016,4.2,4.0,3.4,3.8666666666666667
17000017,2.8,5.25,3.4,3.816666666666667
17000018,4.2,5.0,3.4,4.2
17000019,3.6,5.75,2.8,4.05
17000020,4.2,4.25,3.0,3.8166666666666664
17000021,2.6,4.5,4.4,3.8333333333333335
17000022,3.8,5.75,2.8,4.116666666666667
17000023,2.2,2.75,2.0,2.316666666666667
17000024,5.6,3.5,2.0,3.6999999999999997
17000025,3.0,2.25,3.4,2.8833333333333333
17000026,2.2,4.0,2.6,2.9333333333333336
17000027,3.2,3.5,1.8,2.8333333333333335
17000028,3.4,6.0,1.4,3.6
17000029,2.6,1.75,1.6,1.9833333333333332
17000030,2.2,2.0,2.6,2.266666666666667
17000031,2.4,4.75,2.8,3.3166666666666664
17000032,1.6,2.25,2.4,2.0833333333333335
17000033,2.8,2.25,2.8,2.6166666666666667
17000034,2.6,4.25,2.6,3.15
17000035,2.2,2.5,2.8,2.5
17000036,3.6,4.0,3.2,3.6
17000037,3.4,2.75,2.0,2.716666666666667
17000038,4.2,6.0,3.2,4.466666666666666
17000039,4.6,4.75,3.6,4.316666666666666
17000040,3.8,4.25,3.8,3.9500000000000006
17000041,5.2,5.5,2.4,4.366666666666666
17000042,1.6,2.25,2.8,2.216666666666667
17000043,5.4,3.75,2.2,3.7833333333333337
17000044,2.4,2.25,2.8,2.4833333333333334
17000045,3.2,4.25,2.2,3.216666666666667
