SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
09000001,7.8,8.5,7.2,7.833333333333333
09000002,7.0,7.5,6.6,7.033333333333334
09000003,5.8,6.25,6.6,6.216666666666666
09000004,5.8,7.0,2.2,5.0
09000005,6.6,6.75,8.8,7.383333333333333
09000006,3.8,7.25,4.2,5.083333333333333
09000007,6.4,7.5,4.2,6.033333333333334
09000008,6.6,6.5,3.4,5.5
09000009,5.6,6.25,4.6,5.483333333333333
09000010,9.2,7.25,5.0,7.1499999999999995
09000011,7.8,7.75,6.0,7.183333333333334
09000012,3.2,7.5,3.2,4.633333333333333
09000013,2.8,5.25,3.2,3.75
09000014,6.4,7.5,4.0,5.966666666666666
09000015,4.2,7.5,4.0,5.233333333333333
09000016,7.8,8.75,4.8,7.116666666666667
09000017,5.6,7.5,2.8,5.3
09000018,2.6,5.75,2.6,3.65
09000019,3.4,6.5,2.8,4.233333333333333
09000020,6.6,7.5,3.8,5.966666666666666
09000021,4.2,7.0,3.8,5.0
09000022,6.6,6.75,3.6,5.6499999999999995
09000023,7.6,7.75,3.6,6.316666666666666
09000024,4.0,7.0,2.6,4.533333333333333
09000025,6.4,5.75,5.2,5.783333333333334
09000026,7.4,8.0,4.6,6.666666666666667
09000027,5.6,8.5,6.0,6.7
09000028,4.2,5.75,3.0,4.316666666666666
09000029,5.6,6.25,3.4,5.083333333333333
09000030,4.6,7.75,4.2,5.516666666666667
09000031,7.4,7.5,3.8,6.233333333333333
09000032,4.2,6.5,3.2,4.633333333333333
09000033,5.6,6.25,4.4,5.416666666666667
09000034,4.4,4.5,2.4,3.766666666666667
09000035,5.4,6.0,4.6,5.333333333333333
09000036,8.6,5.25,5.2,6.3500000000000005
09000037,4.8,7.25,3.4,5.15
09000038,5.4,6.5,4.8,5.566666666666666
09000039,4.2,7.25,4.2,5.216666666666666
09000040,6.8,6.0,5.0,5.933333333333334
09000041,5.2,7.25,3.6,5.3500000000000005
09000042,7.0,7.5,6.8,7.1000000000000005
09000043,6.4,6.5,4.6,5.833333333333333
09000044,7.4,7.75,4.8,6.6499999999999995
09000045,5.4,7.25,4.2,5.616666666666667
09000046,4.4,7.0,4.0,5.133333333333334
09000047,3.0,7.0,3.4,4.466666666666667
09000048,7.8,7.75,6.6,7.383333333333333
09000049,6.4,8.0,3.0,5.8
09000050,6.6,7.75,2.8,5.716666666666666
09000051,5.8,7.75,2.4,5.316666666666667
09000052,4.6,7.25,5.0,5.616666666666667
09000053,7.4,7.25,7.0,7.216666666666666
09000054,5.4,7.0,3.4,5.266666666666667
09000055,4.4,6.0,4.0,4.8
09000056,6.6,6.5,4.0,5.7
09000057,6.6,8.5,3.6,6.233333333333333
09000058,6.4,7.0,3.2,5.533333333333334
09000059,4.6,6.75,2.6,4.6499999999999995
09000060,5.2,5.75,3.2,4.716666666666666
09000061,7.2,8.0,7.0,7.3999999999999995
09000062,8.2,6.75,8.4,7.783333333333334
09000063,6.6,6.75,3.4,5.583333333333333
09000064,5.0,7.0,4.4,5.466666666666666
09000065,4.6,7.75,4.2,5.516666666666667
09000066,8.2,7.0,2.6,5.933333333333334
09000067,7.8,8.5,5.4,7.233333333333334
09000068,5.4,8.25,3.8,5.816666666666666
09000069,5.0,7.25,4.6,5.616666666666667
09000070,6.0,6.5,3.2,5.233333333333333
09000071,7.2,8.25,5.0,6.816666666666666
09000072,8.0,8.5,4.2,6.8999999999999995
09000073,7.4,8.25,2.8,6.1499999999999995
09000074,6.4,7.75,2.0,5.383333333333333
09000075,7.0,7.5,5.8,6.766666666666667
09000076,3.2,6.0,2.4,3.8666666666666667
09000077,5.6,8.5,3.4,5.833333333333333
09000078,7.4,8.25,5.8,7.1499999999999995
09000079,4.8,6.5,3.4,4.9
09000080,6.6,6.25,2.0,4.95
09000081,5.8,7.5,4.4,5.900000000000001
09000082,5.4,7.75,3.2,5.45
09000083,4.6,6.0,4.4,5.0
09000084,8.4,6.25,3.0,5.883333333333333
09000085,6.4,7.75,4.2,6.116666666666667
09000086,5.2,7.0,3.2,5.133333333333333
09000087,4.6,7.0,3.4,5.0
09000088,3.8,8.0,4.2,5.333333333333333
09000089,8.4,6.5,6.8,7.233333333333333
09000090,7.2,6.0,3.4,5.533333333333332
09000091,7.2,8.25,4.8,6.75
09000092,7.6,5.0,3.8,5.466666666666666
09000093,4.0,6.25,2.6,4.283333333333333
09000094,6.4,7.0,5.0,6.133333333333333
09000095,8.0,7.5,3.4,6.3
09000096,8.8,7.0,4.0,6.6000000000000005
09000097,6.0,6.5,2.0,4.833333333333333
09000098,8.4,5.25,2.8,5.483333333333333
09000099,5.0,6.0,2.0,4.333333333333333
09000100,7.0,7.5,4.2,6.233333333333333
09000101,3.8,6.0,2.4,4.066666666666667
09000102,7.4,5.75,3.2,5.45
09000103,5.8,7.0,3.2,5.333333333333333
09000104,5.2,7.5,3.8,5.5
09000105,5.8,7.75,4.0,5.8500000000000005
09000106,7.2,8.0,8.2,7.8
09000107,6.6,8.5,5.8,6.966666666666666
09000108,3.8,6.0,3.0,4.266666666666667
09000109,5.6,4.75,3.0,4.45
09000110,6.2,7.75,5.0,6.316666666666666
09000111,7.0,8.0,5.2,6.733333333333333
09000112,6.0,8.25,4.2,6.1499999999999995
09000113,7.4,7.5,4.0,6.3
09000114,7.2,8.5,7.8,7.833333333333333
09000115,7.2,8.0,4.2,6.466666666666666
09000116,5.0,6.25,4.4,5.216666666666667
09000117,6.2,5.75,3.6,5.183333333333333
09000118,6.0,6.75,4.0,5.583333333333333
09000119,4.6,6.25,2.8,4.55
09000120,5.4,6.25,3.4,5.016666666666667
09000121,4.4,7.0,3.2,4.866666666666667
09000122,5.4,7.0,2.8,5.066666666666666
09000123,7.6,7.5,4.0,6.366666666666667
09000124,4.4,7.25,2.6,4.75
09000125,5.0,7.75,2.6,5.116666666666666
09000126,5.2,6.75,4.6,5.516666666666666
09000127,7.8,7.25,4.8,6.616666666666667
09000128,5.4,7.5,4.4,5.766666666666667
09000129,4.2,6.0,3.2,4.466666666666666
09000130,4.2,5.75,3.4,4.45
09000131,5.0,7.25,5.4,5.883333333333333
09000132,6.4,6.75,5.6,6.25
09000133,8.2,7.25,3.0,6.1499999999999995
09000134,5.2,7.0,3.8,5.333333333333333
09000135,5.4,6.5,3.0,4.966666666666667
09000136,6.8,7.5,8.2,7.5
09000137,7.4,6.5,5.4,6.433333333333334
09000138,5.2,8.0,3.0,5.3999999999999995
09000139,8.8,6.25,3.0,6.016666666666667
09000140,8.0,7.5,3.2,6.233333333333333
09000141,3.8,7.0,2.6,4.466666666666667
09000142,5.0,7.0,3.6,5.2
09000143,7.6,7.0,4.6,6.3999999999999995
09000144,6.8,7.0,3.4,5.733333333333333
09000145,5.8,7.0,2.0,4.933333333333334
09000146,3.8,5.0,3.8,4.2
09000147,8.2,7.75,2.8,6.25
09000148,4.8,6.0,2.8,4.533333333333334
09000149,5.6,6.75,2.6,4.983333333333333
09000150,3.4,5.75,3.0,4.05
09000151,5.2,7.0,4.8,5.666666666666667
09000152,6.0,6.75,3.2,5.316666666666666
09000153,8.0,7.5,6.6,7.366666666666667
09000154,3.4,6.5,2.6,4.166666666666667
09000155,5.2,5.25,2.4,4.283333333333333
09000156,8.2,7.5,7.0,7.566666666666666
09000157,6.2,8.0,5.4,6.533333333333334
09000158,3.0,6.5,2.0,3.8333333333333335
09000159,2.2,5.25,3.2,3.5500000000000003
09000160,8.0,6.75,5.0,6.583333333333333
09000161,8.6,7.5,2.8,6.300000000000001
09000162,4.6,6.5,3.2,4.766666666666667
09000163,4.4,7.75,4.8,5.6499999999999995
09000164,5.4,2.75,3.6,3.9166666666666665
09000165,3.8,6.25,2.0,4.016666666666667
09000166,7.4,5.5,3.6,5.5
09000167,7.6,8.25,4.2,6.683333333333334
09000168,4.6,7.5,2.6,4.8999999999999995
09000169,7.6,8.75,2.8,6.383333333333334
09000170,7.2,8.0,5.4,6.866666666666667
09000171,7.0,7.0,3.4,5.8
09000172,5.2,7.0,3.6,5.266666666666667
09000173,5.2,6.25,4.0,5.1499999999999995
09000174,5.4,7.5,7.8,6.8999999999999995
09000175,8.0,7.25,6.4,7.216666666666666
09000176,7.4,8.0,5.2,6.866666666666667
09000177,7.8,6.75,5.4,6.650000000000001
09000178,2.4,4.25,2.0,2.8833333333333333
09000179,5.8,5.25,3.6,4.883333333333334
09000180,5.4,5.75,5.0,5.383333333333333
09000181,4.6,6.5,3.6,4.8999999999999995
09000182,5.2,8.0,6.4,6.533333333333334
09000183,7.6,8.0,7.4,7.666666666666667
09000184,5.6,7.25,4.4,5.75
09000185,6.0,7.5,5.8,6.433333333333334
09000186,5.2,8.0,4.0,5.733333333333333
09000187,8.0,7.0,3.6,6.2
09000188,6.6,4.0,3.0,4.533333333333333
09000189,5.0,7.5,3.0,5.166666666666667
09000190,3.6,6.5,2.4,4.166666666666667
09000191,3.2,5.75,2.4,3.783333333333333
09000192,4.8,6.75,3.4,4.983333333333333
09000193,6.8,7.5,6.0,6.766666666666667
09000194,8.4,6.0,2.2,5.533333333333334
09000195,7.4,6.75,3.4,5.8500000000000005
09000196,5.6,8.25,4.4,6.083333333333333
09000197,7.2,8.0,3.8,6.333333333333333
09000198,6.2,7.25,3.6,5.683333333333334
09000199,4.6,7.75,3.2,5.183333333333334
09000200,4.8,7.0,4.8,5.533333333333334
09000201,4.4,6.25,3.0,4.55
09000202,5.0,7.75,4.8,5.8500000000000005
09000203,5.0,6.25,3.4,4.883333333333334
09000204,4.8,7.0,4.2,5.333333333333333
09000205,5.4,5.75,4.6,5.25
09000206,2.8,4.5,3.2,3.5
09000207,3.6,6.5,2.6,4.233333333333333
09000208,4.2,7.0,3.8,5.0
09000209,3.8,5.75,4.2,4.583333333333333
09000210,6.0,7.75,3.8,5.8500000000000005
09000211,7.0,8.0,6.6,7.2
09000212,6.2,6.0,3.4,5.2
09000213,8.6,6.25,4.0,6.283333333333334
09000214,7.8,7.5,6.6,7.3
09000215,6.4,7.75,7.4,7.183333333333334
09000216,7.6,6.5,8.8,7.633333333333333
09000217,8.8,5.5,7.2,7.166666666666667
09000218,7.8,7.5,3.4,6.233333333333333
09000219,7.8,7.5,5.4,6.900000000000001
09000220,8.8,7.25,6.8,7.616666666666667
09000221,7.8,7.75,4.0,6.516666666666667
09000222,8.6,6.5,8.2,7.766666666666666
09000223,6.8,8.0,6.0,6.933333333333334
09000224,6.0,7.5,4.0,5.833333333333333
09000225,8.8,7.0,5.6,7.133333333333333
09000226,8.2,6.75,3.0,5.983333333333333
09000227,7.4,7.5,4.8,6.566666666666666
09000228,8.0,6.5,7.4,7.3
09000229,8.4,6.5,6.6,7.166666666666667
09000230,7.4,6.75,8.8,7.650000000000001
09000231,6.8,7.25,7.6,7.216666666666666
09000232,6.2,6.0,7.4,6.533333333333334
09000233,5.0,6.25,4.8,5.3500000000000005
09000234,7.8,5.5,4.4,5.900000000000001
09000235,8.2,6.25,7.0,7.1499999999999995
09000236,7.4,5.25,6.8,6.483333333333333
09000237,7.8,6.25,6.6,6.883333333333333
09000238,6.8,6.25,6.0,6.3500000000000005
09000239,5.4,6.75,3.6,5.25
09000240,7.2,7.5,7.4,7.366666666666667
09000241,6.4,8.5,8.4,7.766666666666667
09000242,6.0,6.75,3.2,5.316666666666666
09000243,7.4,8.0,8.6,8.0
09000244,7.6,6.0,5.2,6.266666666666667
09000245,6.8,8.75,9.0,8.183333333333334
09000246,8.8,8.0,7.6,8.133333333333333
09000247,7.8,6.75,8.2,7.583333333333333
09000248,7.4,5.5,5.6,6.166666666666667
09000249,8.6,5.25,9.2,7.683333333333333
09000250,7.8,4.5,9.4,7.233333333333334
09000251,8.4,6.25,7.0,7.216666666666666
