SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
57000001,7.0,6.75,8.6,7.45
57000002,4.2,2.5,3.2,3.3000000000000003
57000003,7.8,5.25,6.8,6.616666666666667
57000004,6.6,7.25,6.0,6.616666666666667
57000005,7.8,6.75,6.8,7.116666666666667
57000006,8.6,4.5,8.4,7.166666666666667
57000007,7.4,6.0,7.2,6.866666666666667
57000008,4.8,5.5,3.2,4.5
57000009,6.8,6.5,7.4,6.900000000000001
57000010,3.0,4.25,2.4,3.216666666666667
57000011,5.8,0,0,1.9333333333333333
57000012,5.2,6.5,3.4,5.033333333333333
57000013,6.4,6.0,7.8,6.733333333333333
57000014,8.2,5.75,3.6,5.8500000000000005
57000015,6.4,5.75,3.4,5.183333333333334
57000016,5.6,7.0,3.2,5.266666666666667
57000017,6.4,6.5,4.8,5.8999999999999995
57000018,8.4,5.75,5.4,6.516666666666667
57000019,7.6,6.25,7.0,6.95
57000020,6.2,5.33,4.2,5.243333333333333
57000021,7.2,7.25,6.2,6.883333333333333
57000022,6.8,6.25,6.0,6.3500000000000005
57000023,5.0,5.75,5.4,5.383333333333333
57000024,8.6,6.25,8.2,7.683333333333333
57000025,8.0,7.25,6.4,7.216666666666666
57000026,8.0,6.25,9.2,7.816666666666666
57000027,6.0,5.5,5.2,5.566666666666666
57000028,5.8,6.25,5.6,5.883333333333333
57000029,7.6,7.25,4.8,6.55
57000030,8.6,8.5,9.6,8.9
57000031,5.8,0,0,1.9333333333333333
57000032,4.0,5.0,3.2,4.066666666666666
57000033,7.2,6.0,3.8,5.666666666666667
57000034,8.2,7.5,6.0,7.233333333333333
57000035,8.0,6.08,5.6,6.56
57000036,7.6,7.0,7.6,7.3999999999999995
57000037,5.6,6.5,4.6,5.566666666666666
57000038,6.2,5.0,5.2,5.466666666666666
57000039,8.2,6.0,5.2,6.466666666666666
57000040,9.0,6.0,6.6,7.2
57000041,6.4,4.5,4.6,5.166666666666667
57000042,4.0,5.0,2.6,3.8666666666666667
57000043,7.4,7.25,6.6,7.083333333333333
57000044,6.6,5.5,4.8,5.633333333333333
57000045,2.4,5.0,2.2,3.2000000000000006
57000046,7.8,4.75,6.8,6.45
57000047,3.8,5.08,1.8,3.56
57000048,7.2,5.25,4.8,5.75
57000049,9.0,6.25,8.2,7.816666666666666
57000050,5.2,3.0,2.6,3.5999999999999996
57000051,8.8,5.25,8.6,7.55
57000052,6.4,6.5,4.0,5.633333333333333
57000053,8.4,7.25,7.8,7.816666666666666
57000054,5.6,7.5,6.6,6.566666666666666
57000055,5.6,5.58,4.6,5.26
57000056,6.6,5.5,4.2,5.433333333333334
57000057,6.6,5.25,3.2,5.016666666666667
57000058,5.4,5.5,3.0,4.633333333333334
57000059,8.0,5.75,4.0,5.916666666666667
57000060,7.4,7.25,5.0,6.55
57000061,5.2,5.25,4.8,5.083333333333333
57000062,7.4,5.0,2.2,4.866666666666667
57000063,8.6,7.25,8.8,8.216666666666667
57000064,4.8,6.0,3.6,4.8
57000065,6.6,6.0,2.8,5.133333333333333
57000066,7.6,7.0,8.2,7.599999999999999
57000067,6.2,7.0,6.8,6.666666666666667
57000068,5.8,4.0,5.2,5.0
57000069,7.2,5.75,6.8,6.583333333333333
57000070,8.4,5.5,6.4,6.766666666666667
57000071,8.0,5.5,7.6,7.033333333333334
57000072,1.8,4.75,3.0,3.1833333333333336
57000073,6.8,8.0,9.6,8.133333333333333
57000074,8.2,6.5,7.4,7.366666666666667
57000075,8.6,5.5,7.4,7.166666666666667
57000076,4.8,6.75,5.4,5.650000000000001
