SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
13000001,8.2,5.75,8.4,7.45
13000002,7.8,6.25,6.2,6.75
13000003,8.4,7.0,9.4,8.266666666666667
13000004,7.8,8.0,9.6,8.466666666666667
13000005,8.0,3.25,8.2,6.483333333333333
13000006,8.2,8.0,8.0,8.066666666666666
13000007,5.2,4.5,5.2,4.966666666666666
13000008,7.8,4.75,3.2,5.25
13000009,7.2,8.0,5.6,6.933333333333333
13000010,8.6,4.25,5.6,6.1499999999999995
13000011,8.0,5.25,7.4,6.883333333333333
13000012,7.6,7.5,4.4,6.5
13000013,8.0,5.0,8.4,7.133333333333333
13000014,7.8,8.25,9.4,8.483333333333334
13000015,5.0,7.5,7.6,6.7
13000016,8.0,5.5,4.8,6.1000000000000005
13000017,8.8,7.0,8.4,8.066666666666668
13000018,7.6,6.0,7.6,7.066666666666666
13000019,7.2,8.5,8.4,8.033333333333333
13000020,7.2,6.5,6.2,6.633333333333333
13000021,7.0,7.75,9.2,7.983333333333333
13000022,9.0,6.25,4.0,6.416666666666667
13000023,8.6,6.5,6.4,7.166666666666667
13000024,8.4,6.5,8.6,7.833333333333333
13000025,6.0,6.75,5.4,6.05
13000026,7.0,7.0,5.6,6.533333333333334
13000027,7.4,8.0,8.8,8.066666666666668
13000028,8.4,5.75,5.6,6.583333333333333
13000029,8.4,5.0,8.4,7.266666666666667
13000030,6.6,6.25,5.0,5.95
13000031,8.2,6.0,6.0,6.733333333333333
13000032,7.8,6.25,7.0,7.016666666666667
13000033,6.8,5.5,5.2,5.833333333333333
13000034,8.0,4.5,4.8,5.766666666666667
13000035,8.6,7.25,3.0,6.283333333333334
13000036,8.2,6.5,7.8,7.5
13000037,9.2,4.75,4.2,6.05
13000038,7.8,5.5,6.4,6.566666666666667
13000039,7.0,6.0,5.6,6.2
13000040,8.2,8.25,8.8,8.416666666666666
13000041,9.0,5.5,5.0,6.5
13000042,7.6,6.5,4.8,6.3
13000043,8.2,5.0,6.2,6.466666666666666
13000044,8.0,5.25,5.0,6.083333333333333
13000045,8.8,6.5,7.8,7.7
13000046,9.4,6.0,8.0,7.8
