SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
10000001,9.2,5.75,5.8,6.916666666666667
10000002,8.6,8.75,6.8,8.05
10000003,6.6,6.75,7.0,6.783333333333334
10000004,9.6,5.5,5.0,6.7
10000005,3.0,7.0,2.8,4.266666666666667
10000006,7.4,8.5,8.6,8.166666666666666
10000007,2.0,7.0,4.2,4.3999999999999995
10000008,8.0,8.25,6.2,7.483333333333333
10000009,8.8,9.0,8.2,8.666666666666666
10000010,3.8,5.0,3.2,4.0
10000011,9.2,7.75,7.6,8.183333333333332
10000012,3.8,5.0,0,2.9333333333333336
10000013,7.6,8.0,7.0,7.533333333333334
10000014,5.8,6.75,6.0,6.183333333333334
10000015,8.2,8.25,5.2,7.216666666666666
10000016,9.2,7.5,6.0,7.566666666666666
10000017,8.6,6.5,6.8,7.3
10000018,7.0,7.25,6.2,6.816666666666666
10000019,9.0,5.5,3.4,5.966666666666666
10000020,8.2,5.5,9.0,7.566666666666666
10000021,7.4,7.75,7.0,7.383333333333333
10000022,8.6,8.5,8.6,8.566666666666668
10000023,8.4,5.0,5.0,6.133333333333333
10000024,8.0,6.5,5.2,6.566666666666666
10000025,4.0,6.25,4.6,4.95
10000026,7.8,7.25,6.4,7.150000000000001
10000027,6.2,6.75,6.8,6.583333333333333
10000028,9.6,6.75,9.2,8.516666666666667
10000029,5.8,8.5,4.6,6.3
10000030,8.6,8.25,7.8,8.216666666666667
10000031,3.2,5.75,0,2.983333333333333
10000032,7.0,8.0,4.4,6.466666666666666
10000033,4.0,3.25,0,2.4166666666666665
10000034,5.2,7.0,0,4.066666666666666
10000035,7.4,5.75,4.4,5.8500000000000005
10000036,5.2,5.5,0,3.5666666666666664
10000037,7.4,7.25,0,4.883333333333334
10000038,9.2,8.25,9.2,8.883333333333333
10000039,6.4,5.5,5.2,5.7
10000040,6.8,6.75,0,4.516666666666667
10000041,9.4,6.0,8.6,8.0
10000042,7.6,7.25,4.6,6.483333333333333
10000043,8.0,8.5,8.6,8.366666666666667
10000044,8.8,8.25,5.0,7.3500000000000005
10000045,8.2,8.25,4.6,7.016666666666666
10000046,9.2,5.5,4.8,6.5
10000047,9.4,8.0,8.2,8.533333333333333
10000048,5.6,5.75,2.6,4.6499999999999995
10000049,5.6,4.75,0,3.4499999999999997
10000050,7.8,5.25,0,4.3500000000000005
10000051,8.4,8.5,7.0,7.966666666666666
10000052,7.0,8.0,5.2,6.733333333333333
10000053,8.4,7.75,4.4,6.849999999999999
10000054,9.2,7.25,5.2,7.216666666666666
10000055,8.8,5.75,5.8,6.783333333333334
10000056,5.6,9.0,7.8,7.466666666666666
10000057,3.2,4.0,0,2.4
10000058,8.2,7.25,5.8,7.083333333333333
10000059,9.4,6.25,8.6,8.083333333333334
10000060,5.4,6.25,0,3.8833333333333333
10000061,3.8,4.25,0,2.6833333333333336
10000062,9.4,8.25,7.6,8.416666666666666
10000063,7.4,6.25,3.4,5.683333333333334
10000064,8.0,8.5,7.2,7.8999999999999995
10000065,8.2,5.75,5.4,6.45
10000066,2.4,3.75,0,2.0500000000000003
10000067,8.0,7.0,6.4,7.133333333333333
10000068,7.8,6.75,7.8,7.45
10000069,4.6,4.25,0,2.9499999999999997
10000070,5.0,3.75,0,2.9166666666666665
10000071,8.6,5.25,4.8,6.216666666666666
10000072,6.0,3.75,3.6,4.45
10000073,8.8,5.25,8.8,7.616666666666667
10000074,4.4,5.25,2.8,4.1499999999999995
10000075,8.6,5.75,8.2,7.516666666666666
10000076,5.6,5.25,0,3.6166666666666667
10000077,8.6,6.25,5.0,6.616666666666667
10000078,5.8,6.25,8.8,6.95
10000079,7.6,8.0,7.6,7.733333333333333
10000080,8.8,6.75,6.0,7.183333333333334
10000081,3.4,7.5,3.2,4.7
10000082,8.4,7.5,9.0,8.299999999999999
10000083,7.0,9.0,5.4,7.133333333333333
10000084,8.2,7.75,7.4,7.783333333333334
10000085,3.8,6.5,0,3.4333333333333336
10000086,8.2,8.25,7.2,7.883333333333333
10000087,5.2,5.25,0,3.483333333333333
10000088,2.0,4.5,0,2.1666666666666665
10000089,8.8,7.5,7.6,7.966666666666666
10000090,5.0,5.75,0,3.5833333333333335
10000091,7.6,7.75,7.0,7.45
10000092,8.2,8.25,8.2,8.216666666666667
10000093,8.8,5.5,7.4,7.233333333333334
10000094,6.4,7.0,0,4.466666666666667
10000095,8.4,8.75,6.0,7.716666666666666
10000096,8.4,6.25,3.2,5.95
10000097,6.8,8.0,6.4,7.066666666666667
10000098,9.0,8.0,8.8,8.6
10000099,2.8,6.75,7.0,5.516666666666667
10000100,4.6,8.0,4.8,5.8
10000101,8.2,8.0,5.0,7.066666666666666
10000102,5.4,7.75,7.0,6.716666666666666
10000103,7.6,8.25,5.6,7.1499999999999995
10000104,2.8,2.5,0,1.7666666666666666
10000105,8.0,6.25,7.4,7.216666666666666
10000106,7.6,7.25,3.8,6.216666666666666
10000107,7.8,7.0,5.4,6.733333333333334
10000108,3.8,5.0,0,2.9333333333333336
10000109,2.2,3.75,0,1.9833333333333334
10000110,8.8,5.75,6.2,6.916666666666667
10000111,8.2,5.5,5.0,6.233333333333333
10000112,8.8,6.5,6.2,7.166666666666667
10000113,7.2,8.5,5.4,7.033333333333334
10000114,9.2,8.0,6.0,7.733333333333333
10000115,8.6,8.75,6.6,7.983333333333334
10000116,7.4,7.75,5.2,6.783333333333334
10000117,8.2,7.75,8.0,7.983333333333333
10000118,8.4,7.75,5.6,7.25
10000119,8.6,7.0,7.8,7.8
10000120,7.8,7.5,7.6,7.633333333333333
10000121,2.8,4.5,0,2.433333333333333
10000122,9.0,7.25,8.0,8.083333333333334
10000123,6.4,3.25,0,3.216666666666667
10000124,8.0,7.0,6.6,7.2
10000125,4.0,5.75,2.6,4.116666666666666
10000126,2.8,7.0,0,3.266666666666667
10000127,5.2,3.25,0,2.8166666666666664
10000128,4.0,3.25,0,2.4166666666666665
10000129,8.0,6.5,6.4,6.966666666666666
10000130,7.6,8.5,9.2,8.433333333333334
10000131,6.0,7.0,6.4,6.466666666666666
10000132,8.0,7.75,8.4,8.049999999999999
10000133,5.6,6.0,3.2,4.933333333333334
10000134,8.6,6.5,9.4,8.166666666666666
10000135,9.0,8.75,8.4,8.716666666666667
10000136,5.4,5.75,0,3.716666666666667
10000137,8.6,4.75,8.6,7.316666666666666
10000138,8.8,8.5,8.8,8.700000000000001
10000139,6.2,6.0,0,4.066666666666666
10000140,6.2,5.75,5.8,5.916666666666667
10000141,7.2,8.25,5.2,6.883333333333333
10000142,5.2,5.75,0,3.65
10000143,5.8,5.5,2.6,4.633333333333334
10000144,9.8,7.75,9.6,9.049999999999999
10000145,8.8,7.5,6.2,7.5
10000146,6.8,8.25,0,5.016666666666667
10000147,4.0,5.25,2.4,3.8833333333333333
10000148,9.0,7.75,8.8,8.516666666666667
10000149,4.2,4.5,0,2.9
10000150,8.2,6.0,4.8,6.333333333333333
10000151,7.2,7.5,7.8,7.5
10000152,9.0,6.0,3.4,6.133333333333333
10000153,9.0,6.75,8.2,7.983333333333333
10000154,9.2,7.5,9.0,8.566666666666666
10000155,8.6,8.25,9.4,8.75
10000156,4.2,5.0,0,3.0666666666666664
10000157,6.4,7.5,3.8,5.8999999999999995
10000158,3.0,5.25,0,2.75
10000159,8.4,8.0,6.2,7.533333333333332
10000160,2.8,5.75,2.4,3.6500000000000004
10000161,8.8,8.0,8.8,8.533333333333333
10000162,9.2,7.25,8.6,8.35
10000163,7.0,6.75,4.4,6.05
10000164,9.2,5.0,7.8,7.333333333333333
10000165,8.2,7.0,5.8,7.0
10000166,2.8,6.0,0,2.9333333333333336
10000167,9.2,7.5,8.4,8.366666666666667
10000168,9.2,8.0,9.4,8.866666666666667
10000169,3.6,5.75,6.8,5.383333333333333
10000170,7.2,6.0,6.0,6.3999999999999995
10000171,6.6,5.0,0,3.8666666666666667
10000172,9.0,7.0,6.2,7.3999999999999995
10000173,8.4,6.25,4.2,6.283333333333334
10000174,8.0,6.5,3.4,5.966666666666666
10000175,9.2,8.25,8.6,8.683333333333332
10000176,8.4,5.5,4.8,6.233333333333333
10000177,7.0,7.25,8.4,7.55
10000178,7.0,6.5,4.6,6.033333333333334
10000179,9.6,7.0,9.0,8.533333333333333
10000180,5.8,8.25,5.0,6.3500000000000005
10000181,6.6,7.75,8.4,7.583333333333333
10000182,8.4,6.25,7.0,7.216666666666666
10000183,8.4,8.25,6.2,7.616666666666666
10000184,5.6,8.0,5.4,6.333333333333333
10000185,8.6,8.0,8.2,8.266666666666667
10000186,3.2,3.25,0,2.15
10000187,4.0,4.0,0,2.6666666666666665
10000188,3.4,5.25,0,2.8833333333333333
10000189,4.8,6.25,0,3.6833333333333336
10000190,8.4,8.25,9.6,8.75
10000191,8.6,8.5,6.4,7.833333333333333
10000192,8.6,6.25,7.6,7.483333333333333
10000193,6.6,7.5,4.8,6.3
10000194,7.6,8.75,6.4,7.583333333333333
10000195,5.4,8.25,3.6,5.75
10000196,5.0,7.25,2.2,4.816666666666666
10000197,5.8,4.5,5.4,5.233333333333333
10000198,7.4,6.5,8.0,7.3
10000199,9.0,7.75,8.6,8.450000000000001
10000200,8.8,6.25,4.8,6.616666666666667
10000201,7.0,4.5,0,3.8333333333333335
10000202,6.8,7.5,4.0,6.1000000000000005
10000203,8.4,7.0,8.4,7.933333333333334
10000204,8.0,6.25,5.8,6.683333333333334
10000205,9.0,6.0,8.0,7.666666666666667
10000206,5.8,4.0,0,3.266666666666667
10000207,5.6,4.75,0,3.4499999999999997
10000208,9.0,8.5,9.0,8.833333333333334
10000209,4.0,4.0,0,2.6666666666666665
10000210,7.0,8.0,2.8,5.933333333333334
10000211,8.8,7.0,8.8,8.200000000000001
10000212,5.2,7.25,3.0,5.1499999999999995
10000213,8.2,8.75,9.0,8.65
10000214,7.6,8.5,4.6,6.900000000000001
10000215,9.0,7.75,5.8,7.516666666666667
10000216,9.6,8.0,8.4,8.666666666666666
10000217,8.8,7.25,7.0,7.683333333333334
10000218,8.8,7.75,7.6,8.049999999999999
10000219,5.8,6.5,4.4,5.566666666666667
10000220,4.0,7.75,0,3.9166666666666665
10000221,2.8,3.75,1.6,2.716666666666667
10000222,8.4,7.75,7.8,7.983333333333333
10000223,6.2,5.75,0,3.983333333333333
10000224,2.6,6.75,2.2,3.85
10000225,8.4,6.75,7.4,7.516666666666667
10000226,5.6,3.5,3.6,4.233333333333333
10000227,5.8,6.75,6.8,6.45
10000228,9.0,7.25,7.0,7.75
10000229,7.8,8.0,9.4,8.4
10000230,9.0,4.75,7.4,7.05
10000231,8.2,7.25,9.0,8.15
10000232,7.6,8.75,7.8,8.05
10000233,4.2,5.5,3.2,4.3
10000234,8.6,8.5,7.4,8.166666666666666
10000235,8.6,8.5,7.8,8.3
10000236,7.2,7.25,7.0,7.1499999999999995
10000237,7.8,8.25,8.8,8.283333333333333
10000238,7.4,8.25,5.6,7.083333333333333
10000239,9.0,8.5,6.6,8.033333333333333
10000240,8.6,8.25,5.6,7.483333333333334
10000241,8.0,7.25,4.4,6.55
10000242,8.4,6.0,5.6,6.666666666666667
10000243,7.0,7.0,6.2,6.733333333333333
10000244,6.4,4.5,4.8,5.233333333333333
10000245,3.6,2.75,0,2.1166666666666667
10000246,8.6,6.5,6.8,7.3
10000247,9.0,7.5,6.0,7.5
10000248,7.6,8.25,4.6,6.816666666666666
10000249,9.0,6.25,8.0,7.75
10000250,8.0,8.5,8.8,8.433333333333334
10000251,8.0,8.5,5.0,7.166666666666667
10000252,7.0,8.25,5.6,6.95
10000253,8.8,7.25,5.0,7.016666666666667
10000254,7.0,8.25,6.2,7.1499999999999995
10000255,9.0,4.75,4.4,6.05
10000256,8.4,8.0,7.2,7.866666666666666
10000257,3.6,4.5,0,2.6999999999999997
10000258,9.4,6.5,5.6,7.166666666666667
10000259,4.4,7.0,7.6,6.333333333333333
10000260,6.8,8.5,7.2,7.5
10000261,8.0,4.0,5.4,5.8
10000262,5.0,4.75,0,3.25
10000263,9.2,7.5,7.8,8.166666666666666
10000264,7.0,8.5,5.4,6.966666666666666
10000265,7.0,6.5,3.6,5.7
10000266,8.0,9.0,7.8,8.266666666666667
10000267,3.4,5.5,0,2.966666666666667
10000268,9.0,7.0,7.8,7.933333333333334
10000269,2.2,4.0,1.8,2.6666666666666665
10000270,6.2,8.5,5.2,6.633333333333333
10000271,8.8,8.25,7.4,8.15
10000272,9.4,6.5,6.0,7.3
10000273,8.2,6.25,8.8,7.75
10000274,8.2,8.5,8.2,8.299999999999999
10000275,9.2,8.5,8.4,8.700000000000001
10000276,6.6,8.75,6.4,7.25
10000277,4.4,5.5,0,3.3000000000000003
10000278,7.8,6.25,6.0,6.683333333333334
10000279,6.6,6.0,4.6,5.733333333333333
10000280,8.2,8.5,7.6,8.1
10000281,7.2,8.75,5.6,7.183333333333333
10000282,6.8,8.25,9.8,8.283333333333333
10000283,8.6,9.0,8.0,8.533333333333333
10000284,3.8,7.5,3.8,5.033333333333334
10000285,3.4,4.75,3.0,3.716666666666667
10000286,8.2,9.0,7.4,8.200000000000001
10000287,7.6,7.75,5.4,6.916666666666667
10000288,7.0,5.0,0,4.0
10000289,8.0,7.75,9.2,8.316666666666666
10000290,3.6,3.5,0,2.3666666666666667
10000291,8.0,4.25,7.6,6.616666666666667
10000292,1.8,3.0,0,1.5999999999999999
10000293,3.6,4.5,0,2.6999999999999997
10000294,4.8,2.25,0,2.35
10000295,9.0,7.25,8.6,8.283333333333333
10000296,6.6,7.5,4.6,6.233333333333333
10000297,9.2,6.75,6.8,7.583333333333333
10000298,9.2,7.75,8.4,8.450000000000001
10000299,8.2,7.75,9.4,8.450000000000001
10000300,4.2,2.25,2.8,3.0833333333333335
10000301,7.0,7.75,9.6,8.116666666666667
10000302,7.2,7.25,8.0,7.483333333333333
10000303,8.6,7.0,7.6,7.733333333333333
10000304,9.2,8.25,7.6,8.35
10000306,8.6,8.0,8.8,8.466666666666667
10000307,4.2,5.75,3.2,4.383333333333333
10000308,9.2,6.75,6.6,7.516666666666666
10000309,9.0,6.0,8.2,7.733333333333333
10000310,7.0,6.25,3.6,5.616666666666667
10000311,7.4,5.0,7.0,6.466666666666666
10000312,8.6,8.25,8.6,8.483333333333334
10000313,8.6,5.75,5.2,6.516666666666667
10000314,9.4,6.0,3.8,6.3999999999999995
10000315,7.2,7.0,6.4,6.866666666666667
10000316,8.0,8.0,0,5.333333333333333
10000317,8.0,8.75,6.8,7.8500000000000005
10000318,9.0,6.25,6.0,7.083333333333333
10000319,7.6,8.5,7.8,7.966666666666668
10000320,9.2,7.0,5.8,7.333333333333333
10000321,8.8,7.0,8.0,7.933333333333334
10000322,7.8,7.25,8.4,7.816666666666667
10000323,7.2,8.5,4.0,6.566666666666666
10000324,6.2,5.0,3.2,4.8
10000325,6.0,6.0,6.4,6.133333333333333
10000326,6.4,8.25,8.8,7.816666666666667
