SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
56000001,7.0,5.5,4.4,5.633333333333333
56000002,5.4,5.75,4.0,5.05
56000003,4.2,6.0,0,3.4
56000004,8.4,7.5,4.8,6.8999999999999995
56000005,7.4,4.0,4.4,5.266666666666667
56000006,7.0,5.25,4.0,5.416666666666667
56000007,4.4,5.0,0,3.1333333333333333
56000008,6.4,6.5,3.6,5.5
56000009,6.4,4.25,3.8,4.816666666666666
56000010,7.4,7.5,7.0,7.3
56000011,6.2,6.25,3.2,5.216666666666666
56000012,5.4,6.25,3.6,5.083333333333333
56000013,8.4,6.75,4.4,6.516666666666667
56000014,8.2,6.5,4.6,6.433333333333333
56000015,6.6,6.75,4.0,5.783333333333334
56000016,8.0,8.25,6.8,7.683333333333334
56000017,8.4,5.5,5.4,6.433333333333334
56000018,7.0,6.75,5.0,6.25
56000019,3.2,5.5,0,2.9
56000020,4.8,4.5,0,3.1
56000021,8.2,5.0,4.6,5.933333333333333
56000022,7.0,6.25,3.8,5.683333333333334
56000023,4.2,6.0,3.4,4.533333333333333
56000024,7.2,5.75,4.0,5.6499999999999995
56000025,5.2,4.92,0,3.3733333333333335
56000026,8.4,6.92,6.2,7.173333333333333
56000027,6.8,7.0,3.8,5.866666666666667
56000028,6.6,6.75,6.2,6.516666666666667
56000029,9.2,8.5,7.2,8.299999999999999
56000030,6.6,7.75,5.2,6.516666666666667
56000031,8.0,7.25,6.0,7.083333333333333
56000032,8.8,6.75,5.4,6.983333333333334
56000033,8.2,8.0,5.6,7.266666666666666
56000034,7.4,5.25,4.0,5.55
56000035,9.0,7.0,8.6,8.200000000000001
56000036,6.2,6.0,3.8,5.333333333333333
56000037,8.2,6.83,5.0,6.676666666666667
56000038,7.8,8.5,5.0,7.1000000000000005
56000039,5.0,4.75,2.8,4.183333333333334
56000040,7.6,8.25,7.4,7.75
56000041,8.4,8.25,3.8,6.816666666666666
56000042,8.0,7.25,3.6,6.283333333333334
56000043,7.2,6.0,3.2,5.466666666666666
56000044,8.2,7.25,5.2,6.883333333333333
56000045,7.0,5.5,4.0,5.5
56000046,7.4,6.75,3.8,5.983333333333333
56000047,6.0,5.25,2.4,4.55
56000048,5.6,6.25,4.0,5.283333333333333
56000049,7.8,6.5,3.6,5.966666666666668
56000050,6.2,6.0,2.4,4.866666666666666
56000051,8.6,5.25,4.0,5.95
56000052,6.6,7.0,4.4,6.0
56000053,7.2,6.0,4.4,5.866666666666667
56000054,7.0,5.75,2.4,5.05
56000055,7.2,5.92,4.6,5.906666666666666
56000056,7.4,7.0,3.6,6.0
56000057,7.8,7.75,4.4,6.650000000000001
56000058,5.8,4.75,2.6,4.383333333333334
56000059,4.8,7.75,3.6,5.383333333333334
56000060,6.4,6.75,5.0,6.05
56000061,6.8,6.0,4.8,5.866666666666667
56000062,8.2,7.75,4.0,6.6499999999999995
56000063,4.0,6.42,2.2,4.206666666666667
56000064,7.4,7.25,5.4,6.683333333333334
56000065,8.6,8.0,5.2,7.266666666666667
56000066,7.0,6.75,3.0,5.583333333333333
56000067,7.8,7.5,6.2,7.166666666666667
56000068,7.6,7.25,4.2,6.3500000000000005
56000069,5.8,6.75,4.2,5.583333333333333
56000070,7.6,5.5,4.4,5.833333333333333
56000071,8.8,7.25,6.4,7.483333333333334
56000072,7.2,5.75,2.6,5.183333333333333
56000073,4.8,6.5,3.8,5.033333333333334
56000074,8.2,8.0,7.6,7.933333333333333
56000075,2.4,5.5,2.8,3.5666666666666664
56000076,8.6,7.5,6.2,7.433333333333334
56000077,4.6,5.75,2.8,4.383333333333333
56000078,5.6,4.5,3.2,4.433333333333334
56000079,8.4,7.5,6.6,7.5
56000080,6.2,5.5,2.4,4.7
56000081,9.0,7.5,5.6,7.366666666666667
56000082,8.6,7.25,6.6,7.483333333333333
56000083,9.0,7.25,8.2,8.15
56000084,8.0,5.42,3.6,5.673333333333333
56000085,8.4,6.75,6.0,7.05
56000086,9.6,8.5,8.8,8.966666666666667
56000087,5.4,5.5,2.8,4.566666666666666
56000088,8.4,8.25,6.8,7.816666666666666
56000089,5.8,5.5,4.6,5.3
56000090,8.2,6.75,4.4,6.45
56000091,6.4,0,0,2.1333333333333333
56000092,6.0,5.5,3.6,5.033333333333333
56000093,5.8,6.75,3.2,5.25
56000094,7.0,6.75,3.0,5.583333333333333
56000095,7.0,0,0,2.3333333333333335
56000096,7.6,6.0,4.0,5.866666666666667
56000097,8.2,8.0,5.6,7.266666666666666
56000098,8.2,7.75,9.0,8.316666666666666
56000099,8.0,6.5,4.6,6.366666666666667
56000100,8.2,8.5,6.8,7.833333333333333
56000101,7.8,7.5,4.6,6.633333333333333
56000102,6.6,8.0,0,4.866666666666666
56000103,3.0,3.5,0,2.1666666666666665
56000104,6.8,6.5,3.4,5.566666666666666
56000105,7.8,6.5,5.4,6.566666666666667
56000106,7.8,7.75,6.8,7.45
56000107,8.0,6.0,6.4,6.8
56000108,7.4,6.25,4.0,5.883333333333333
