SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
38000001,8.4,8.25,5.0,7.216666666666666
38000002,5.6,8.25,3.4,5.75
38000003,6.2,7.75,4.0,5.983333333333333
38000004,6.2,6.75,4.6,5.849999999999999
38000005,7.2,7.5,6.8,7.166666666666667
38000006,6.4,8.0,3.8,6.066666666666666
38000007,7.8,7.75,4.2,6.583333333333333
38000008,6.4,7.5,4.4,6.1000000000000005
38000009,5.2,6.25,3.0,4.816666666666666
38000010,7.4,6.75,3.8,5.983333333333333
38000011,5.8,7.0,4.2,5.666666666666667
38000012,4.6,7.75,3.4,5.25
38000013,6.0,7.0,3.8,5.6000000000000005
38000014,6.6,8.0,5.6,6.733333333333333
38000015,4.8,5.25,2.6,4.216666666666667
38000016,8.2,7.5,4.8,6.833333333333333
38000017,7.4,8.25,4.8,6.816666666666666
38000018,7.2,9.0,4.0,6.733333333333333
38000019,5.6,6.75,2.2,4.8500000000000005
38000020,7.6,6.75,5.2,6.516666666666667
38000021,8.0,7.75,7.8,7.8500000000000005
38000022,9.4,7.0,5.2,7.199999999999999
38000023,8.4,7.25,5.0,6.883333333333333
38000024,7.8,8.25,4.2,6.75
38000025,6.4,7.25,4.6,6.083333333333333
38000026,8.6,7.5,7.0,7.7
38000027,6.4,7.25,5.4,6.3500000000000005
38000028,5.4,8.25,3.4,5.683333333333334
38000029,7.4,8.25,6.0,7.216666666666666
38000030,4.6,6.25,3.4,4.75
38000031,5.2,6.5,3.6,5.1
38000032,6.4,8.25,4.6,6.416666666666667
38000033,4.8,5.75,3.2,4.583333333333333
38000034,7.0,7.25,4.6,6.283333333333334
38000035,6.2,6.0,3.8,5.333333333333333
38000036,7.6,6.25,4.2,6.016666666666667
38000037,8.4,6.75,5.4,6.8500000000000005
38000038,8.8,8.0,5.6,7.466666666666666
38000039,7.4,7.66,4.8,6.62
38000040,8.8,8.0,6.0,7.6000000000000005
38000041,5.8,9.0,5.2,6.666666666666667
38000042,8.2,8.75,6.2,7.716666666666666
38000043,7.2,9.0,3.8,6.666666666666667
38000044,6.8,7.83,3.8,6.1433333333333335
38000045,6.6,6.75,4.2,5.8500000000000005
38000046,5.4,4.75,2.6,4.25
38000047,6.4,7.25,3.0,5.55
38000048,7.2,8.0,3.8,6.333333333333333
38000049,6.8,8.75,3.6,6.383333333333334
38000050,8.4,7.5,6.0,7.3
38000051,7.4,7.5,4.8,6.566666666666666
38000052,6.6,7.75,3.6,5.983333333333333
38000053,8.0,8.0,7.4,7.8
38000054,5.6,6.5,4.0,5.366666666666667
38000055,6.0,8.75,4.8,6.516666666666667
38000056,7.4,7.25,4.2,6.283333333333334
38000057,5.4,6.0,2.0,4.466666666666667
38000058,8.4,6.5,4.8,6.566666666666666
38000059,8.6,7.25,5.2,7.016666666666667
38000060,7.4,8.25,5.4,7.016666666666667
38000061,7.2,8.25,3.8,6.416666666666667
38000062,5.2,7.5,3.2,5.3
38000063,6.6,6.75,4.8,6.05
38000064,5.4,7.5,4.2,5.7
38000065,8.2,8.0,7.0,7.733333333333333
38000066,7.8,7.5,5.0,6.766666666666667
38000067,7.6,8.5,4.0,6.7
38000068,6.6,8.25,3.8,6.216666666666666
38000069,8.0,7.75,3.4,6.383333333333333
38000070,7.0,8.0,5.0,6.666666666666667
38000071,7.4,6.5,4.8,6.233333333333333
38000072,6.6,7.67,4.0,6.09
38000073,6.0,8.0,4.6,6.2
38000074,4.8,6.67,3.0,4.823333333333333
38000075,6.2,8.75,4.6,6.516666666666666
38000076,6.4,7.0,3.8,5.733333333333333
38000077,7.8,7.5,4.6,6.633333333333333
38000078,7.6,9.0,5.0,7.2
38000079,7.2,6.5,4.0,5.8999999999999995
38000080,7.0,8.25,4.8,6.683333333333334
38000081,6.8,7.0,3.8,5.866666666666667
38000082,6.6,6.0,3.6,5.3999999999999995
38000083,5.8,7.5,3.8,5.7
38000084,7.4,6.5,4.2,6.033333333333334
38000085,6.8,7.5,5.6,6.633333333333333
38000086,7.0,7.25,6.4,6.883333333333333
38000087,5.2,8.5,4.8,6.166666666666667
38000088,7.0,7.75,3.8,6.183333333333334
38000089,7.4,8.25,5.4,7.016666666666667
38000090,4.6,7.5,3.2,5.1000000000000005
38000091,7.4,7.25,4.0,6.216666666666666
38000092,7.8,7.25,3.4,6.1499999999999995
38000093,7.0,7.75,4.0,6.25
38000094,7.2,6.75,4.2,6.05
38000095,6.4,7.5,4.6,6.166666666666667
38000096,8.0,7.25,7.4,7.55
38000097,7.2,6.5,4.6,6.099999999999999
38000098,8.0,7.25,4.2,6.483333333333333
38000099,9.0,7.25,7.8,8.016666666666667
38000100,5.4,6.5,3.2,5.033333333333334
38000101,5.6,7.5,3.6,5.566666666666666
38000102,8.4,8.0,5.8,7.3999999999999995
38000103,8.0,9.0,6.0,7.666666666666667
38000104,6.6,7.0,4.4,6.0
38000105,8.2,6.5,4.2,6.3
38000106,5.8,6.5,3.0,5.1000000000000005
38000107,8.4,8.25,6.2,7.616666666666666
38000108,8.0,7.5,5.0,6.833333333333333
38000109,7.8,7.75,4.8,6.783333333333334
38000110,6.6,6.5,4.2,5.766666666666667
38000111,8.2,7.0,5.8,7.0
38000112,7.8,7.75,5.0,6.8500000000000005
38000113,5.6,4.75,2.8,4.383333333333333
38000114,6.0,7.0,5.0,6.0
38000115,7.6,8.25,6.2,7.3500000000000005
38000116,8.4,7.5,4.4,6.766666666666667
38000117,7.2,7.75,3.6,6.183333333333334
38000118,6.8,7.25,3.6,5.883333333333334
38000119,8.4,8.0,6.4,7.599999999999999
38000120,8.6,6.75,4.4,6.583333333333333
38000121,7.2,8.0,7.0,7.3999999999999995
38000122,9.0,8.5,7.8,8.433333333333334
38000123,7.4,8.0,4.8,6.733333333333333
38000124,6.2,6.92,4.2,5.773333333333333
38000125,7.2,8.75,5.0,6.983333333333333
38000126,8.2,8.5,5.6,7.433333333333333
38000127,6.6,7.08,3.2,5.626666666666666
38000128,7.2,8.0,4.4,6.533333333333334
38000129,8.0,6.0,5.6,6.533333333333334
38000130,8.0,7.5,4.4,6.633333333333333
38000131,6.8,7.25,4.6,6.216666666666666
38000132,7.4,7.75,4.0,6.383333333333333
38000133,5.4,5.75,4.4,5.183333333333334
38000134,6.2,7.5,6.0,6.566666666666666
38000135,4.8,5.75,2.4,4.316666666666667
38000136,7.4,7.5,5.2,6.7
38000137,7.8,6.5,4.6,6.3
38000138,7.0,7.25,6.0,6.75
38000139,6.2,7.5,4.6,6.099999999999999
38000140,6.8,8.0,4.8,6.533333333333334
38000141,6.2,8.25,3.0,5.816666666666666
38000142,2.6,6.5,0,3.033333333333333
38000143,9.6,7.0,7.0,7.866666666666667
38000144,9.4,6.5,5.4,7.1000000000000005
38000145,8.2,5.75,4.6,6.183333333333333
38000146,9.0,9.0,8.2,8.733333333333333
38000147,8.2,6.75,7.4,7.45
38000148,9.4,8.0,6.2,7.866666666666666
38000149,9.2,6.25,8.0,7.816666666666666
38000150,8.2,6.0,6.6,6.933333333333333
38000151,7.8,7.5,3.6,6.300000000000001
38000152,9.0,7.25,9.2,8.483333333333333
38000153,9.2,7.5,5.4,7.366666666666667
38000154,8.6,8.25,8.6,8.483333333333334
38000155,9.2,7.0,5.2,7.133333333333333
38000156,8.0,7.5,9.2,8.233333333333333
38000157,9.0,6.42,6.0,7.140000000000001
38000158,8.8,7.0,4.0,6.6000000000000005
38000159,8.4,7.25,5.8,7.1499999999999995
38000160,8.8,6.75,7.0,7.516666666666667
38000161,9.6,7.25,5.2,7.3500000000000005
38000162,8.8,8.25,8.0,8.35
38000163,8.4,7.25,6.2,7.283333333333334
38000164,9.2,6.75,9.0,8.316666666666666
38000165,9.0,8.25,7.4,8.216666666666667
38000166,8.8,8.0,5.8,7.533333333333334
38000167,2.6,6.5,0,3.033333333333333
38000168,8.8,8.75,8.4,8.65
38000169,8.8,8.0,4.2,7.0
38000170,8.4,7.5,8.8,8.233333333333334
38000171,7.6,8.0,4.6,6.733333333333333
38000172,8.8,6.75,7.4,7.650000000000001
38000173,9.2,8.25,8.8,8.75
38000174,9.4,9.75,9.6,9.583333333333334
38000175,8.0,7.25,5.0,6.75
38000176,8.6,7.5,6.0,7.366666666666667
38000177,8.0,7.25,6.0,7.083333333333333
38000178,8.0,7.5,4.8,6.766666666666667
38000179,8.8,7.25,6.2,7.416666666666667
38000180,6.0,8.0,0,4.666666666666667
38000181,7.8,7.75,4.0,6.516666666666667
38000182,8.2,8.0,4.8,7.0
38000183,8.4,9.25,8.4,8.683333333333332
38000184,8.6,7.25,5.6,7.1499999999999995
38000185,9.0,9.25,7.8,8.683333333333334
38000186,9.4,8.0,8.6,8.666666666666666
38000187,3.0,5.25,0,2.75
38000188,5.2,6.25,0,3.8166666666666664
38000189,9.4,7.41,7.6,8.136666666666668
38000190,8.4,8.0,7.0,7.8
38000191,8.4,8.0,0,5.466666666666666
38000192,9.0,8.5,7.4,8.299999999999999
38000193,9.0,9.25,9.0,9.083333333333334
38000194,7.8,7.0,8.8,7.866666666666667
38000195,6.0,7.0,0,4.333333333333333
38000196,7.0,7.5,0,4.833333333333333
38000197,8.6,8.25,5.0,7.283333333333334
38000198,7.8,8.5,0,5.433333333333334
38000199,7.6,8.5,5.8,7.300000000000001
38000200,8.8,5.75,6.4,6.983333333333334
38000201,9.0,9.5,9.4,9.299999999999999
38000202,2.6,6.0,0,2.8666666666666667
38000203,9.2,7.0,2.8,6.333333333333333
38000204,2.4,4.75,0,2.3833333333333333
38000205,8.2,5.75,8.2,7.383333333333333
38000206,9.0,7.0,8.2,8.066666666666666
