SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
07000001,8.6,6.0,4.6,6.3999999999999995
07000002,9.4,7.5,6.8,7.8999999999999995
07000003,5.6,6.75,4.0,5.45
07000004,8.2,8.5,9.0,8.566666666666666
07000005,3.0,0,1.4,1.4666666666666668
07000006,8.4,6.5,8.0,7.633333333333333
07000007,7.0,6.0,4.2,5.733333333333333
07000008,6.4,7.5,5.8,6.566666666666666
07000009,6.0,4.0,3.0,4.333333333333333
07000010,8.6,5.5,7.4,7.166666666666667
07000011,7.8,6.25,6.0,6.683333333333334
07000012,7.8,7.5,6.6,7.3
07000013,6.2,6.5,4.2,5.633333333333333
07000014,9.0,6.0,7.0,7.333333333333333
07000015,5.8,6.0,4.2,5.333333333333333
07000016,4.8,5.75,3.8,4.783333333333334
07000017,8.0,6.5,3.2,5.8999999999999995
07000018,7.2,5.5,3.8,5.5
07000019,9.2,6.5,5.6,7.099999999999999
07000020,8.4,6.75,8.2,7.783333333333334
07000021,8.2,5.25,5.2,6.216666666666666
07000022,7.4,7.25,4.6,6.416666666666667
07000023,7.0,5.25,3.4,5.216666666666667
07000024,1.8,4.25,0,2.0166666666666666
07000025,9.2,7.25,9.0,8.483333333333333
07000026,5.8,6.0,7.2,6.333333333333333
07000027,8.2,6.25,4.0,6.1499999999999995
07000028,8.2,4.25,4.0,5.483333333333333
07000029,7.4,4.5,3.6,5.166666666666667
07000030,7.6,5.25,0,4.283333333333333
07000031,4.0,4.0,4.0,4.0
07000032,6.2,4.5,0,3.5666666666666664
07000033,3.2,3.5,0,2.2333333333333334
07000034,6.4,5.5,0,3.966666666666667
07000035,6.4,6.75,2.6,5.25
07000036,8.2,6.75,5.2,6.716666666666666
07000038,8.4,5.5,4.8,6.233333333333333
07000039,7.0,6.75,6.8,6.8500000000000005
07000040,7.8,6.0,8.2,7.333333333333333
07000041,7.8,6.25,4.6,6.216666666666666
07000042,0,6.5,0,2.1666666666666665
07000043,4.4,4.0,4.4,4.266666666666667
07000044,3.2,4.0,0,2.4
07000045,7.4,6.75,0,4.716666666666667
07000046,7.4,4.25,3.8,5.1499999999999995
07000047,4.2,3.5,0,2.566666666666667
07000048,1.6,3.25,0,1.6166666666666665
07000049,6.6,5.25,0,3.9499999999999997
07000050,6.2,6.25,4.8,5.75
07000051,0,4.75,0,1.5833333333333333
07000052,6.2,6.25,0,4.1499999999999995
07000053,5.8,4.75,0,3.516666666666667
07000054,5.0,4.0,3.8,4.266666666666667
07000055,7.0,6.25,4.4,5.883333333333333
07000056,3.8,3.25,3.8,3.6166666666666667
07000057,8.2,6.0,0,4.733333333333333
07000058,4.8,3.25,0,2.6833333333333336
07000059,4.0,2.75,0,2.25
07000060,6.0,5.5,0,3.8333333333333335
07000061,0,5.25,0,1.75
07000062,7.2,5.75,4.0,5.6499999999999995
07000063,8.8,5.25,7.2,7.083333333333333
07000064,7.2,4.25,3.8,5.083333333333333
07000065,6.4,5.5,0,3.966666666666667
07000066,8.0,3.75,0,3.9166666666666665
07000067,5.6,5.25,4.0,4.95
07000068,6.0,6.75,3.0,5.25
07000069,6.6,6.25,4.4,5.75
07000070,8.8,5.5,5.4,6.566666666666667
07000071,8.2,5.75,8.0,7.316666666666666
07000072,7.2,5.25,0,4.1499999999999995
07000073,8.0,4.5,5.0,5.833333333333333
07000074,4.2,2.25,0,2.15
07000075,2.0,2.5,0,1.5
07000076,6.6,3.75,3.6,4.6499999999999995
07000077,2.4,0,0,0.7999999999999999
07000078,2.4,0,0,0.7999999999999999
07000079,7.2,5.5,3.6,5.433333333333334
07000080,5.6,5.75,4.4,5.25
07000081,7.4,6.5,4.4,6.1000000000000005
07000082,2.0,2.75,0,1.5833333333333333
07000083,6.6,0,0,2.1999999999999997
07000084,7.8,7.75,5.2,6.916666666666667
07000085,6.6,7.0,6.0,6.533333333333334
07000086,5.4,5.25,3.4,4.683333333333334
07000087,6.8,5.5,4.8,5.7
07000088,5.6,5.5,4.0,5.033333333333333
07000089,5.4,4.0,0,3.1333333333333333
07000090,8.2,5.0,0,4.3999999999999995
07000091,8.6,5.25,3.8,5.883333333333333
07000092,5.4,5.0,2.2,4.2
07000093,7.0,2.25,0,3.0833333333333335
07000094,3.4,2.75,0,2.0500000000000003
07000095,4.2,3.75,1.8,3.25
07000096,6.8,4.5,5.0,5.433333333333334
07000097,7.6,5.75,3.6,5.6499999999999995
07000098,6.8,4.75,0,3.85
07000099,3.4,1.5,0,1.6333333333333335
07000100,8.0,6.0,5.4,6.466666666666666
07000101,4.4,3.0,0,2.466666666666667
07000102,7.0,6.0,6.4,6.466666666666666
07000103,7.8,7.25,0,5.016666666666667
07000104,7.2,4.75,6.4,6.116666666666667
07000105,5.6,4.75,3.4,4.583333333333333
07000106,7.4,5.0,5.2,5.866666666666667
07000107,8.4,6.75,2.4,5.8500000000000005
07000108,8.8,8.0,3.6,6.800000000000001
07000109,8.6,4.75,5.6,6.316666666666666
07000110,8.4,7.0,7.6,7.666666666666667
07000111,4.2,4.0,0,2.733333333333333
07000112,8.8,6.75,4.0,6.516666666666667
07000113,0,6.5,0,2.1666666666666665
07000114,6.8,5.75,3.4,5.316666666666667
07000116,5.8,4.75,0,3.516666666666667
07000117,5.4,4.5,2.2,4.033333333333334
07000118,8.6,4.25,7.8,6.883333333333333
07000119,6.4,5.0,2.0,4.466666666666667
07000120,6.2,5.5,3.2,4.966666666666666
07000121,7.8,4.0,5.8,5.866666666666667
07000122,8.8,8.25,5.2,7.416666666666667
07000123,8.6,5.75,7.0,7.116666666666667
07000124,8.4,0,9.2,5.866666666666667
07000125,8.6,8.5,9.0,8.700000000000001
07000126,7.2,5.0,5.8,6.0
07000127,7.2,7.25,5.2,6.55
07000128,7.6,6.5,4.4,6.166666666666667
07000129,6.4,3.75,5.4,5.183333333333334
07000130,8.2,5.75,5.2,6.383333333333333
07000131,5.0,6.0,2.8,4.6000000000000005
07000132,8.0,5.0,9.6,7.533333333333334
07000133,6.8,5.75,3.8,5.45
07000135,7.0,5.75,4.8,5.8500000000000005
07000136,6.2,6.0,3.4,5.2
07000137,7.6,8.0,7.6,7.733333333333333
07000138,6.0,5.5,3.6,5.033333333333333
07000139,5.6,7.75,4.0,5.783333333333334
07000140,9.0,4.5,6.6,6.7
07000141,6.4,6.5,4.4,5.766666666666667
07000142,7.8,3.75,6.6,6.05
07000143,0,4.25,0,1.4166666666666667
07000144,4.8,4.75,0,3.1833333333333336
07000145,6.2,7.25,7.4,6.95
07000146,5.6,7.0,3.6,5.3999999999999995
07000147,9.4,7.25,5.0,7.216666666666666
