SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
42000001,8.6,8.25,9.2,8.683333333333334
42000002,6.8,5.75,2.4,4.983333333333333
42000003,9.0,7.75,6.0,7.583333333333333
42000004,8.0,7.5,6.6,7.366666666666667
42000005,8.2,9.0,7.0,8.066666666666666
42000006,8.6,7.0,8.4,8.0
42000007,8.0,6.75,5.8,6.8500000000000005
42000008,7.6,6.25,4.0,5.95
42000009,9.4,8.0,8.4,8.6
42000010,7.8,8.25,6.2,7.416666666666667
42000011,8.2,7.5,7.0,7.566666666666666
42000012,5.4,5.0,4.0,4.8
42000013,6.8,6.25,3.2,5.416666666666667
42000014,9.4,6.75,7.0,7.716666666666666
42000015,8.2,7.5,7.2,7.633333333333333
42000016,6.4,6.75,0,4.383333333333334
42000017,7.4,7.0,6.4,6.933333333333334
42000018,7.6,7.75,5.6,6.983333333333333
42000019,8.4,7.75,6.8,7.6499999999999995
42000020,8.2,6.75,6.2,7.05
42000021,8.6,8.5,7.8,8.3
42000022,8.2,8.0,7.4,7.866666666666667
42000023,8.8,7.75,7.2,7.916666666666667
42000024,9.0,9.5,7.8,8.766666666666667
42000025,8.4,8.5,8.8,8.566666666666666
42000026,7.0,6.25,6.0,6.416666666666667
42000027,6.8,7.25,3.0,5.683333333333334
42000028,8.8,0,0,2.9333333333333336
42000029,8.4,8.5,7.8,8.233333333333333
42000030,8.0,8.0,5.8,7.266666666666667
42000031,6.8,5.25,5.8,5.95
42000032,6.2,0,0,2.066666666666667
42000033,8.4,8.5,5.6,7.5
42000034,8.8,6.25,4.8,6.616666666666667
42000035,7.6,0,5.4,4.333333333333333
42000036,8.8,6.75,5.2,6.916666666666667
42000037,7.0,7.25,7.0,7.083333333333333
42000038,8.2,7.25,5.6,7.016666666666666
42000039,8.8,7.5,0,5.433333333333334
42000040,7.6,7.5,0,5.033333333333333
42000041,2.6,5.75,0,2.783333333333333
42000042,9.6,9.5,0,6.366666666666667
42000043,7.8,7.5,4.6,6.633333333333333
42000044,7.6,6.25,5.8,6.55
42000045,8.0,6.0,6.4,6.8
42000046,7.8,6.75,4.8,6.45
42000047,7.4,6.25,5.4,6.3500000000000005
42000048,5.8,6.0,3.4,5.066666666666667
42000049,8.4,7.0,6.8,7.3999999999999995
42000050,8.4,6.25,5.4,6.683333333333334
42000051,7.4,7.25,5.4,6.683333333333334
42000052,8.2,0,0,2.733333333333333
42000053,5.0,0,3.4,2.8000000000000003
42000054,4.2,8.75,5.0,5.983333333333333
42000055,7.2,6.25,4.8,6.083333333333333
42000056,8.6,7.75,6.0,7.45
42000057,8.2,9.0,6.0,7.733333333333333
42000058,7.2,5.75,5.8,6.25
42000059,6.4,0,0,2.1333333333333333
42000060,7.0,8.25,6.4,7.216666666666666
42000061,6.8,6.0,3.4,5.3999999999999995
42000062,7.8,7.5,7.8,7.7
42000063,1.4,5.0,2.2,2.866666666666667
42000064,9.2,5.0,4.8,6.333333333333333
42000065,6.0,6.0,0,4.0
42000066,9.0,9.0,9.0,9.0
42000067,6.4,7.0,3.8,5.733333333333333
42000068,6.8,6.5,0,4.433333333333334
42000069,7.8,7.75,6.0,7.183333333333334
42000070,7.0,8.0,3.8,6.266666666666667
42000071,8.4,7.25,9.2,8.283333333333333
42000072,6.8,5.5,6.0,6.1000000000000005
42000073,7.4,8.0,8.2,7.866666666666667
42000074,7.0,8.08,3.8,6.293333333333333
42000075,3.2,5.0,0,2.733333333333333
42000076,5.0,4.0,0,3.0
42000077,7.4,6.5,6.6,6.833333333333333
42000078,8.0,7.5,5.0,6.833333333333333
42000079,4.4,5.25,3.8,4.483333333333333
42000080,8.6,7.0,4.4,6.666666666666667
42000081,8.4,6.75,6.2,7.116666666666667
42000082,8.2,7.75,0,5.316666666666666
42000083,9.4,8.75,0,6.05
42000084,6.0,7.5,6.2,6.566666666666666
42000085,8.0,6.25,8.6,7.616666666666667
42000086,8.0,6.5,6.0,6.833333333333333
42000087,6.8,0,6.4,4.3999999999999995
42000088,8.4,7.0,7.8,7.733333333333333
42000089,7.2,7.0,7.2,7.133333333333333
42000090,0,8.75,0,2.9166666666666665
42000091,7.8,6.75,7.4,7.316666666666667
42000092,9.0,8.5,0,5.833333333333333
42000093,6.8,6.75,4.4,5.983333333333334
42000094,7.4,7.25,5.8,6.816666666666666
42000095,8.4,8.5,8.6,8.5
42000096,6.6,7.0,5.6,6.3999999999999995
42000097,7.8,8.25,5.0,7.016666666666667
42000098,8.2,5.75,8.2,7.383333333333333
42000099,7.4,6.5,5.2,6.366666666666667
42000100,8.0,7.25,8.2,7.816666666666666
42000101,8.0,7.75,5.0,6.916666666666667
42000102,6.2,5.75,6.6,6.183333333333333
42000103,6.8,6.75,5.0,6.183333333333334
42000104,5.2,7.5,5.8,6.166666666666667
42000105,7.8,6.5,7.2,7.166666666666667
42000106,6.6,7.75,4.6,6.316666666666666
42000107,3.8,5.5,0,3.1
42000109,6.4,6.5,0,4.3
42000110,8.0,6.0,4.2,6.066666666666666
42000111,4.6,8.25,6.8,6.55
42000112,8.4,8.75,7.6,8.25
42000113,7.4,7.25,5.6,6.75
42000114,8.4,8.5,5.4,7.433333333333333
42000115,9.0,8.25,8.8,8.683333333333334
42000116,8.0,6.75,5.0,6.583333333333333
42000117,0,6.5,0,2.1666666666666665
42000118,8.6,7.5,7.0,7.7
42000119,0,8.5,0,2.8333333333333335
42000120,6.8,5.5,3.8,5.366666666666667
42000121,8.8,8.0,7.0,7.933333333333334
42000122,8.4,8.0,5.0,7.133333333333333
42000123,8.8,8.0,6.6,7.8
42000124,9.2,7.5,0,5.566666666666666
42000125,6.8,7.5,5.0,6.433333333333334
42000126,6.8,7.5,3.6,5.966666666666668
42000127,8.6,5.75,5.8,6.716666666666666
42000128,8.2,7.0,7.4,7.533333333333334
42000129,9.2,7.25,0,5.483333333333333
42000130,3.2,5.25,0,2.8166666666666664
42000131,7.8,7.5,0,5.1000000000000005
42000132,2.4,0,0,0.7999999999999999
42000133,8.2,6.0,8.8,7.666666666666667
42000134,8.2,7.0,4.8,6.666666666666667
42000135,8.6,6.75,5.8,7.05
42000136,6.6,7.0,4.6,6.066666666666666
42000137,7.0,6.5,5.6,6.366666666666667
42000138,9.0,8.25,7.0,8.083333333333334
42000139,8.2,7.5,5.4,7.033333333333334
42000140,7.0,6.75,4.8,6.183333333333334
42000141,6.6,7.25,8.0,7.283333333333334
42000142,7.4,7.0,5.0,6.466666666666666
42000143,8.0,5.5,3.8,5.766666666666667
42000144,7.6,6.5,5.0,6.366666666666667
42000145,7.4,6.0,6.6,6.666666666666667
42000146,8.0,6.75,7.0,7.25
42000147,8.2,0,0,2.733333333333333
42000148,5.0,7.0,0,4.0
42000149,7.4,0,0,2.466666666666667
42000150,7.4,7.0,5.8,6.733333333333333
42000151,8.4,7.0,8.0,7.8
42000152,7.2,6.75,0,4.6499999999999995
42000153,3.6,5.75,0,3.1166666666666667
42000154,8.4,6.75,5.0,6.716666666666666
42000155,5.2,7.0,5.2,5.8
42000156,6.2,5.0,1.8,4.333333333333333
42000157,8.0,0,7.4,5.133333333333334
42000158,9.0,7.5,8.4,8.299999999999999
42000159,9.4,8.0,6.2,7.866666666666666
42000160,8.8,6.75,5.0,6.8500000000000005
42000161,7.4,7.5,8.6,7.833333333333333
42000162,5.0,6.5,0,3.8333333333333335
42000164,8.0,0,7.4,5.133333333333334
42000165,6.8,7.0,7.8,7.2
42000166,8.4,5.75,4.2,6.116666666666667
42000167,8.4,7.0,5.0,6.8
42000169,7.2,7.5,5.4,6.7
42000170,2.8,5.0,0,2.6
42000171,5.6,4.75,4.2,4.8500000000000005
42000172,8.6,7.0,7.0,7.533333333333334
42000173,5.6,6.0,7.0,6.2
42000174,7.2,7.0,4.4,6.2
42000175,5.4,5.75,2.8,4.6499999999999995
42000176,8.4,6.92,7.4,7.573333333333333
42000177,7.8,6.5,2.8,5.7
42000178,3.6,6.75,0,3.4499999999999997
42000179,9.0,8.5,0,5.833333333333333
42000180,4.4,0,2.8,2.4
42000181,5.0,5.75,6.0,5.583333333333333
42000182,5.6,5.0,3.0,4.533333333333333
42000183,7.6,0,0,2.533333333333333
42000184,7.4,7.75,4.2,6.45
42000185,7.8,5.75,3.4,5.6499999999999995
42000186,6.6,7.0,7.6,7.066666666666666
42000187,7.2,6.0,6.8,6.666666666666667
42000188,8.2,6.0,5.4,6.533333333333334
42000189,7.8,0,0,2.6
42000190,8.4,0,0,2.8000000000000003
42000191,9.2,7.25,6.4,7.616666666666667
42000192,7.6,7.25,0,4.95
42000193,7.8,7.0,0,4.933333333333334
42000194,7.6,6.0,7.2,6.933333333333334
42000195,4.2,6.0,3.2,4.466666666666666
42000196,8.2,7.25,3.0,6.1499999999999995
42000197,5.2,5.5,3.8,4.833333333333333
42000198,7.2,7.5,5.6,6.766666666666666
42000199,8.4,7.0,5.2,6.866666666666667
42000200,8.0,5.25,7.2,6.816666666666666
42000201,7.4,7.0,7.0,7.133333333333333
42000202,7.2,7.5,5.4,6.7
42000203,8.4,7.0,6.0,7.133333333333333
42000204,5.4,7.5,8.0,6.966666666666666
42000205,8.6,0,8.4,5.666666666666667
42000206,8.8,6.75,7.6,7.716666666666666
42000207,8.6,7.0,8.2,7.933333333333333
42000208,6.4,7.5,4.8,6.233333333333333
42000209,8.4,8.0,7.8,8.066666666666666
42000210,7.4,8.0,6.6,7.333333333333333
42000211,7.2,6.0,4.2,5.8
42000212,6.4,6.25,3.8,5.483333333333333
42000213,8.0,7.0,6.2,7.066666666666666
