SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
34000001,7.8,7.0,5.8,6.866666666666667
34000002,6.2,5.5,3.6,5.1
34000003,8.2,8.0,5.2,7.133333333333333
34000004,8.2,7.75,7.6,7.849999999999999
34000005,6.2,7.5,3.2,5.633333333333333
34000006,5.6,6.0,3.8,5.133333333333333
34000007,9.0,7.0,6.0,7.333333333333333
34000008,5.4,5.0,2.6,4.333333333333333
34000009,7.4,5.75,4.6,5.916666666666667
34000010,6.6,6.5,4.0,5.7
34000011,6.4,7.0,5.6,6.333333333333333
34000012,7.6,6.5,5.8,6.633333333333333
34000013,5.0,6.0,4.4,5.133333333333334
34000014,7.8,7.0,5.2,6.666666666666667
34000015,8.6,6.75,8.6,7.983333333333333
34000016,3.8,7.0,5.0,5.266666666666667
34000017,6.0,7.0,3.6,5.533333333333334
34000018,8.6,4.75,7.4,6.916666666666667
34000019,6.0,6.75,4.8,5.8500000000000005
34000020,5.6,6.0,2.6,4.733333333333333
34000021,6.6,6.5,3.4,5.5
34000022,1.2,1.5,3.0,1.9000000000000001
34000023,9.0,7.25,5.8,7.3500000000000005
34000024,8.0,5.75,3.6,5.783333333333334
34000025,5.4,5.5,2.6,4.5
34000026,5.0,5.75,3.0,4.583333333333333
34000027,7.0,7.0,4.0,6.0
34000028,6.4,6.75,5.6,6.25
34000029,4.4,6.5,2.4,4.433333333333334
34000030,6.2,6.5,4.6,5.766666666666666
34000031,9.8,6.0,7.4,7.733333333333334
34000033,5.0,5.5,3.2,4.566666666666666
34000034,4.8,5.25,3.2,4.416666666666667
34000035,5.2,6.75,4.6,5.516666666666666
34000036,6.2,8.25,6.6,7.016666666666666
34000037,6.2,7.0,4.8,6.0
34000038,3.6,6.75,3.0,4.45
34000039,6.0,7.0,6.8,6.6000000000000005
34000040,7.6,7.25,8.0,7.616666666666667
34000041,3.4,3.25,3.0,3.216666666666667
34000042,9.0,8.75,7.2,8.316666666666666
34000043,8.6,6.5,7.4,7.5
34000044,8.6,7.0,6.4,7.333333333333333
34000045,3.4,3.5,2.6,3.1666666666666665
34000046,9.6,6.75,5.8,7.383333333333334
34000047,7.6,6.5,3.2,5.766666666666667
34000048,6.4,6.25,4.2,5.616666666666667
34000049,6.0,5.75,3.8,5.183333333333334
34000050,8.6,7.25,5.4,7.083333333333333
34000051,7.6,6.75,4.8,6.383333333333333
34000052,8.2,6.5,2.8,5.833333333333333
34000053,0,5.25,3.0,2.75
34000054,9.6,6.25,6.4,7.416666666666667
34000055,5.0,4.75,2.0,3.9166666666666665
34000056,9.0,5.5,5.6,6.7
34000057,8.6,7.5,9.0,8.366666666666667
34000058,8.8,4.0,5.6,6.133333333333333
34000059,7.8,6.5,7.0,7.1000000000000005
34000060,6.2,7.5,4.2,5.966666666666666
34000061,5.4,5.75,3.0,4.716666666666667
34000062,8.8,5.75,4.6,6.383333333333333
34000063,3.0,6.0,2.0,3.6666666666666665
34000064,3.6,5.0,1.8,3.466666666666667
34000065,7.4,4.5,5.0,5.633333333333333
34000066,6.2,6.0,4.4,5.533333333333334
34000067,9.0,9.0,7.0,8.333333333333334
34000068,6.6,7.25,3.0,5.616666666666667
34000069,6.8,6.0,3.0,5.266666666666667
34000070,6.6,6.75,2.0,5.116666666666666
34000071,7.8,7.75,5.6,7.05
34000072,5.6,5.5,3.0,4.7
34000073,6.0,7.25,4.2,5.816666666666666
34000074,6.0,5.0,3.4,4.8
34000075,3.4,4.75,3.0,3.716666666666667
34000076,5.2,6.5,3.8,5.166666666666667
34000077,7.6,8.0,5.6,7.066666666666666
34000078,7.4,7.0,3.0,5.8
34000079,5.4,6.0,2.2,4.533333333333334
34000080,4.6,6.0,5.2,5.266666666666667
34000081,8.4,9.0,9.2,8.866666666666665
34000082,4.4,6.0,3.0,4.466666666666667
34000083,6.8,7.75,2.8,5.783333333333334
34000084,6.8,7.25,2.4,5.483333333333333
34000085,6.8,6.5,5.2,6.166666666666667
34000086,5.4,6.25,4.0,5.216666666666667
34000087,6.4,6.75,2.8,5.316666666666666
34000088,7.8,7.75,5.4,6.983333333333334
34000089,7.0,6.5,4.0,5.833333333333333
34000090,5.6,7.0,3.4,5.333333333333333
34000091,7.0,6.5,3.2,5.566666666666666
34000092,8.6,7.75,8.2,8.183333333333334
34000093,7.8,5.5,3.6,5.633333333333334
34000094,6.4,6.75,4.6,5.916666666666667
34000095,4.0,4.75,1.8,3.516666666666667
34000096,8.4,7.5,7.2,7.7
34000097,4.8,6.0,4.2,5.0
34000098,7.0,5.5,4.8,5.766666666666667
34000099,9.0,7.0,6.6,7.533333333333334
34000100,7.8,6.0,4.8,6.2
34000101,8.0,6.0,2.8,5.6000000000000005
34000102,6.6,6.25,6.4,6.416666666666667
34000103,5.6,6.75,2.2,4.8500000000000005
34000104,4.2,6.0,3.6,4.6
34000105,6.4,6.75,3.2,5.45
34000106,8.6,6.5,5.2,6.766666666666667
34000107,8.8,8.5,5.6,7.633333333333333
34000108,7.0,7.5,5.4,6.633333333333333
34000109,7.8,8.0,5.2,7.0
34000110,5.2,4.75,3.8,4.583333333333333
34000111,8.8,7.0,7.0,7.6000000000000005
34000112,3.0,6.5,3.2,4.233333333333333
34000113,4.0,6.0,2.4,4.133333333333334
34000114,7.6,5.0,3.6,5.3999999999999995
34000115,4.8,6.0,3.8,4.866666666666667
34000116,4.0,6.5,3.6,4.7
34000117,9.4,6.25,9.0,8.216666666666667
34000118,4.6,5.0,3.0,4.2
34000119,7.6,3.25,2.4,4.416666666666667
34000120,5.6,5.25,4.8,5.216666666666666
34000121,8.4,6.75,6.2,7.116666666666667
34000122,6.0,6.0,4.8,5.6000000000000005
34000123,4.0,6.25,3.4,4.55
34000124,4.0,5.0,3.2,4.066666666666666
34000125,4.0,4.8,2.8,3.866666666666667
34000126,6.2,7.0,2.6,5.266666666666667
34000127,3.4,6.0,2.8,4.066666666666666
34000128,1.4,5.0,4.0,3.466666666666667
34000129,8.8,7.0,5.4,7.066666666666667
34000130,7.8,7.0,6.4,7.066666666666667
34000131,6.8,6.5,3.0,5.433333333333334
34000132,8.2,6.75,4.6,6.516666666666666
34000133,8.0,7.0,4.0,6.333333333333333
34000134,8.0,6.25,5.0,6.416666666666667
34000135,9.0,6.75,4.6,6.783333333333334
34000136,5.8,6.5,2.8,5.033333333333334
34000137,6.4,6.25,3.0,5.216666666666667
34000138,7.6,6.5,3.2,5.766666666666667
34000139,5.4,6.25,4.4,5.3500000000000005
34000140,5.4,6.5,4.4,5.433333333333334
34000141,6.4,6.5,6.4,6.433333333333334
34000142,8.2,8.0,7.6,7.933333333333333
34000143,7.8,7.25,6.0,7.016666666666667
34000144,8.4,7.0,4.8,6.733333333333333
