SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
16000001,9.0,6.75,5.4,7.05
16000002,8.2,8.0,7.0,7.733333333333333
16000003,7.4,8.25,8.6,8.083333333333334
16000004,8.8,7.5,6.2,7.5
16000005,9.6,8.0,7.2,8.266666666666667
16000006,8.0,7.5,7.4,7.633333333333333
16000007,8.8,7.75,6.4,7.650000000000001
16000008,9.2,7.75,5.2,7.383333333333333
16000009,8.4,8.5,5.4,7.433333333333333
16000010,9.0,8.5,9.0,8.833333333333334
16000011,8.8,8.25,5.8,7.616666666666667
16000012,8.4,8.5,4.6,7.166666666666667
16000013,9.0,7.25,6.0,7.416666666666667
16000014,9.0,8.75,9.4,9.049999999999999
16000015,9.0,9.0,7.0,8.333333333333334
16000016,8.6,9.0,9.2,8.933333333333334
16000017,8.6,7.0,9.2,8.266666666666666
16000018,9.0,8.5,7.8,8.433333333333334
16000019,9.2,8.0,6.6,7.933333333333333
16000020,9.0,7.25,7.0,7.75
16000021,8.2,9.0,8.4,8.533333333333333
16000022,6.0,7.5,3.0,5.5
16000023,9.4,6.75,8.4,8.183333333333332
16000024,9.4,7.0,5.0,7.133333333333333
16000025,8.2,7.0,6.0,7.066666666666666
16000026,7.0,8.25,5.6,6.95
16000027,8.4,8.25,8.8,8.483333333333333
16000028,8.8,7.0,6.2,7.333333333333333
16000029,8.2,6.5,6.6,7.099999999999999
16000030,7.6,8.0,0,5.2
16000031,8.4,8.75,8.4,8.516666666666666
16000032,8.8,7.75,6.6,7.716666666666666
16000033,9.4,9.0,9.0,9.133333333333333
16000034,8.6,8.5,8.6,8.566666666666668
16000035,8.6,9.0,7.0,8.200000000000001
16000036,7.8,8.25,8.4,8.15
16000037,8.8,8.0,6.0,7.6000000000000005
16000038,8.6,8.75,9.0,8.783333333333333
16000039,9.4,8.5,8.8,8.9
16000040,9.0,8.75,8.6,8.783333333333333
16000041,8.2,8.0,8.8,8.333333333333334
16000042,8.0,7.75,6.2,7.316666666666666
16000043,10.0,7.25,8.4,8.549999999999999
16000044,9.0,7.75,0,5.583333333333333
16000045,8.6,8.5,8.2,8.433333333333334
16000046,9.2,8.0,6.0,7.733333333333333
16000047,9.0,8.75,8.6,8.783333333333333
16000048,7.6,8.75,5.8,7.383333333333334
16000049,8.6,8.75,8.8,8.716666666666667
16000050,8.2,8.75,9.4,8.783333333333333
16000051,8.4,8.5,9.2,8.7
16000052,8.4,7.25,6.0,7.216666666666666
16000053,8.4,8.25,10.0,8.883333333333333
16000054,9.4,6.5,8.4,8.1
16000055,8.0,5.75,5.6,6.45
16000056,9.2,6.0,6.8,7.333333333333333
16000057,9.4,8.0,4.8,7.3999999999999995
16000058,9.2,8.5,5.6,7.766666666666666
16000059,7.4,7.25,6.0,6.883333333333333
16000060,9.0,8.5,9.0,8.833333333333334
16000061,9.4,8.5,9.4,9.1
16000062,9.4,7.75,7.2,8.116666666666665
16000063,8.8,7.0,7.6,7.8
16000064,9.6,7.5,6.6,7.900000000000001
16000065,9.0,7.5,0,5.5
16000066,9.4,7.0,6.4,7.599999999999999
16000067,8.6,7.25,5.0,6.95
16000068,9.2,7.75,7.0,7.983333333333333
16000069,9.4,6.75,8.8,8.316666666666666
16000070,9.0,7.75,6.4,7.716666666666666
16000071,7.8,9.0,5.4,7.400000000000001
16000072,4.0,8.75,6.4,6.383333333333333
16000073,9.0,7.75,7.8,8.183333333333334
16000074,9.0,6.5,8.4,7.966666666666666
16000075,8.2,8.5,8.0,8.233333333333333
16000076,7.2,7.0,0,4.733333333333333
16000077,8.2,8.75,9.4,8.783333333333333
16000078,8.4,7.5,7.4,7.766666666666667
16000079,8.4,7.5,6.4,7.433333333333334
16000080,9.0,8.5,9.2,8.9
16000081,8.8,8.25,8.0,8.35
16000082,9.0,8.0,0,5.666666666666667
16000083,9.4,8.0,9.0,8.799999999999999
16000085,8.6,8.5,6.6,7.900000000000001
16000086,9.2,8.5,5.4,7.7
16000087,9.2,7.75,6.2,7.716666666666666
16000088,8.6,6.0,9.6,8.066666666666666
16000090,9.8,7.0,6.0,7.6000000000000005
16000091,8.2,8.0,5.4,7.2
16000092,8.8,7.0,8.8,8.200000000000001
16000093,6.2,7.75,5.0,6.316666666666666
16000094,8.8,6.0,8.4,7.733333333333334
16000095,9.4,6.5,5.8,7.233333333333333
16000096,8.0,7.0,9.4,8.133333333333333
16000097,9.8,7.0,9.2,8.666666666666666
16000098,9.2,8.0,8.8,8.666666666666666
16000099,8.8,8.5,9.0,8.766666666666667
16000100,9.0,8.0,6.8,7.933333333333334
16000101,9.4,7.25,8.4,8.35
16000102,9.8,7.75,7.6,8.383333333333333
16000103,7.0,8.0,4.6,6.533333333333334
16000104,8.2,8.25,7.0,7.816666666666666
16000105,8.4,8.5,7.4,8.1
16000106,8.4,8.25,9.2,8.616666666666665
16000107,8.4,8.25,7.8,8.15
16000108,9.6,8.5,7.4,8.5
16000109,8.8,8.5,9.0,8.766666666666667
16000110,8.8,9.25,9.4,9.15
16000111,9.6,8.5,8.0,8.700000000000001
16000112,8.6,8.75,8.4,8.583333333333334
16000113,9.2,8.0,9.2,8.799999999999999
16000114,8.4,6.5,6.0,6.966666666666666
16000115,9.2,6.75,7.4,7.783333333333334
16000116,9.0,7.25,7.6,7.95
16000117,8.0,6.25,6.6,6.95
16000118,8.4,7.25,8.6,8.083333333333334
16000119,8.8,7.5,7.6,7.966666666666666
16000120,9.0,8.5,9.2,8.9
16000121,8.0,9.25,8.0,8.416666666666666
16000122,8.6,8.0,8.2,8.266666666666667
16000123,9.0,7.5,7.4,7.966666666666666
16000124,9.6,7.0,6.4,7.666666666666667
16000125,8.0,8.5,5.6,7.366666666666667
16000126,8.6,8.5,7.2,8.1
16000127,9.2,9.0,9.0,9.066666666666666
16000128,8.2,8.75,8.2,8.383333333333333
16000129,9.0,7.0,5.8,7.266666666666667
16000130,7.4,8.25,5.4,7.016666666666667
16000131,9.4,7.75,9.0,8.716666666666667
16000132,7.4,8.0,4.0,6.466666666666666
16000133,8.4,8.75,9.2,8.783333333333333
16000134,9.6,7.5,7.0,8.033333333333333
16000135,8.6,7.5,5.0,7.033333333333334
16000136,8.8,8.25,8.8,8.616666666666667
16000137,9.0,8.0,6.0,7.666666666666667
16000138,9.4,7.5,9.4,8.766666666666666
16000139,9.6,8.25,8.0,8.616666666666667
16000140,8.6,7.75,8.0,8.116666666666667
16000141,7.4,8.0,8.8,8.066666666666668
16000142,7.8,8.5,5.0,7.1000000000000005
16000143,9.2,8.0,6.4,7.866666666666667
16000144,8.6,8.75,9.6,8.983333333333334
16000145,9.6,8.5,4.6,7.566666666666667
16000146,8.2,8.5,8.0,8.233333333333333
16000147,9.6,7.5,6.4,7.833333333333333
16000148,8.2,8.0,5.4,7.2
16000149,8.2,6.75,6.2,7.05
16000150,9.4,6.25,8.2,7.95
16000151,7.0,8.5,8.0,7.833333333333333
16000152,8.0,6.25,2.8,5.683333333333334
16000153,9.4,7.25,8.6,8.416666666666666
16000154,8.8,8.25,8.8,8.616666666666667
16000155,8.4,7.25,3.6,6.416666666666667
16000156,8.0,7.75,5.6,7.116666666666667
16000158,8.8,8.75,8.8,8.783333333333333
16000159,9.2,8.0,8.8,8.666666666666666
16000160,9.0,7.25,7.2,7.816666666666666
16000161,8.0,7.5,5.6,7.033333333333334
16000162,8.2,8.25,7.6,8.016666666666666
16000163,9.6,7.75,6.2,7.8500000000000005
16000164,8.4,8.5,8.6,8.5
16000165,7.6,7.75,3.8,6.383333333333333
16000166,7.8,8.25,7.2,7.75
16000167,8.8,8.0,6.2,7.666666666666667
16000168,8.2,7.75,7.0,7.6499999999999995
16000169,9.0,6.75,7.0,7.583333333333333
16000170,8.2,8.5,6.4,7.7
16000171,9.0,8.75,8.4,8.716666666666667
16000172,8.8,8.5,8.6,8.633333333333333
16000173,7.4,8.5,4.0,6.633333333333333
16000174,7.8,8.25,5.0,7.016666666666667
16000175,8.8,7.25,5.0,7.016666666666667
16000176,9.0,7.0,8.4,8.133333333333333
16000177,9.6,7.75,5.0,7.45
16000178,9.6,8.0,8.2,8.6
16000179,7.4,8.25,5.0,6.883333333333333
16000180,9.6,7.0,6.6,7.733333333333334
16000181,9.4,7.25,8.4,8.35
16000182,9.2,6.75,4.6,6.849999999999999
16000184,8.8,8.0,9.6,8.799999999999999
16000185,8.8,6.5,6.2,7.166666666666667
16000186,8.4,7.0,7.8,7.733333333333333
16000187,8.2,8.75,9.6,8.85
16000188,9.0,7.5,9.0,8.5
16000189,9.4,6.75,5.6,7.25
16000190,8.6,7.0,6.8,7.466666666666666
16000191,9.0,8.5,8.8,8.766666666666667
16000192,7.8,8.5,8.2,8.166666666666666
16000193,7.6,8.0,10.0,8.533333333333333
16000194,9.2,7.5,8.6,8.433333333333332
16000195,9.2,8.5,9.2,8.966666666666667
16000196,8.8,9.0,9.2,9.0
16000197,9.2,7.75,7.2,8.049999999999999
16000198,9.2,7.5,8.4,8.366666666666667
16000199,8.6,7.75,5.8,7.383333333333334
16000200,9.4,8.25,9.0,8.883333333333333
16000201,8.8,6.25,4.6,6.55
16000202,9.2,8.0,9.4,8.866666666666667
16000203,8.8,8.5,7.8,8.366666666666667
16000204,8.4,7.0,6.2,7.2
16000205,9.6,9.25,9.0,9.283333333333333
16000206,8.6,8.0,8.8,8.466666666666667
16000207,9.4,9.5,8.6,9.166666666666666
16000208,8.2,9.5,7.8,8.5
16000209,9.2,8.75,8.0,8.65
16000210,9.0,9.0,9.6,9.200000000000001
16000211,7.8,8.5,8.8,8.366666666666667
16000212,9.6,8.75,9.4,9.25
16000214,10.0,8.0,9.6,9.200000000000001
16000215,9.0,8.0,6.0,7.666666666666667
16000216,6.6,7.75,4.4,6.25
16000217,9.6,8.75,8.8,9.05
16000218,9.0,8.0,6.6,7.866666666666667
16000219,9.0,7.5,9.0,8.5
16000220,8.6,9.0,8.0,8.533333333333333
16000221,9.2,8.0,7.4,8.200000000000001
16000222,9.4,8.25,8.6,8.75
16000223,9.4,8.25,9.0,8.883333333333333
16000224,8.0,8.0,8.4,8.133333333333333
16000225,8.4,8.25,7.8,8.15
16000226,8.4,8.5,8.4,8.433333333333332
16000227,8.0,8.75,9.2,8.65
16000228,9.2,8.5,9.2,8.966666666666667
16000229,8.4,7.0,5.2,6.866666666666667
16000230,8.6,8.5,7.6,8.233333333333334
16000231,8.8,7.5,6.6,7.633333333333333
