SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
50000001,8.6,8.5,4.4,7.166666666666667
50000002,7.2,8.0,4.4,6.533333333333334
50000003,6.2,7.75,5.0,6.316666666666666
50000004,5.8,8.0,4.2,6.0
50000005,8.4,9.0,6.0,7.8
50000006,3.6,6.0,4.2,4.6000000000000005
50000007,6.8,6.25,5.0,6.016666666666667
50000008,7.6,7.75,6.0,7.116666666666667
50000009,7.2,7.75,3.0,5.983333333333333
50000010,7.2,7.5,3.6,6.1000000000000005
50000011,7.6,7.5,4.2,6.433333333333334
50000012,6.8,8.0,5.2,6.666666666666667
50000013,7.8,8.25,4.0,6.683333333333334
50000014,7.8,8.0,4.6,6.8
50000015,8.2,8.0,3.6,6.6000000000000005
50000016,6.8,7.0,4.0,5.933333333333334
50000017,9.0,8.25,8.2,8.483333333333333
50000018,8.2,7.25,5.4,6.95
50000019,8.0,7.75,4.0,6.583333333333333
50000020,8.0,8.5,7.2,7.8999999999999995
50000021,8.6,8.25,5.6,7.483333333333334
50000022,7.2,7.0,5.6,6.599999999999999
50000023,6.8,7.0,3.4,5.733333333333333
50000024,6.8,6.0,3.8,5.533333333333334
50000025,5.8,7.5,3.8,5.7
50000026,8.4,7.42,4.2,6.673333333333333
50000027,7.8,6.0,2.0,5.266666666666667
50000028,5.6,5.5,3.0,4.7
50000029,6.4,8.0,4.0,6.133333333333333
50000030,7.4,7.0,3.0,5.8
50000031,8.2,8.75,8.8,8.583333333333334
50000032,7.4,6.0,4.0,5.8
50000033,6.4,8.0,3.6,6.0
50000034,7.0,7.5,2.8,5.766666666666667
50000035,6.4,6.5,2.4,5.1000000000000005
50000036,7.8,7.0,5.8,6.866666666666667
50000037,5.8,7.25,5.0,6.016666666666667
50000038,6.4,7.75,3.8,5.983333333333333
50000039,7.0,7.25,2.4,5.55
50000040,7.8,8.0,5.2,7.0
50000041,7.6,6.75,5.6,6.6499999999999995
50000042,6.2,7.0,4.4,5.866666666666667
50000043,8.2,8.0,4.8,7.0
50000044,8.2,6.5,5.6,6.766666666666666
50000045,5.0,7.25,3.8,5.3500000000000005
50000046,5.0,6.83,3.4,5.076666666666667
50000047,6.2,7.25,5.0,6.1499999999999995
50000048,7.8,7.25,5.2,6.75
50000049,7.4,7.75,3.8,6.316666666666666
50000050,8.6,7.0,7.0,7.533333333333334
