SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
52000001,6.8,4.0,0,3.6
52000002,7.4,7.5,7.2,7.366666666666667
52000003,5.8,5.0,0,3.6
52000004,6.0,7.25,0,4.416666666666667
52000005,7.8,7.25,8.6,7.883333333333333
52000006,7.0,7.25,5.4,6.55
52000007,7.0,6.0,7.8,6.933333333333334
52000008,8.0,6.75,8.0,7.583333333333333
52000009,7.0,7.5,7.8,7.433333333333334
52000010,7.8,6.25,7.8,7.283333333333334
52000011,6.2,7.41,6.0,6.536666666666666
52000012,7.4,8.0,8.8,8.066666666666668
52000013,7.0,6.0,6.2,6.3999999999999995
52000014,6.6,7.0,7.4,7.0
52000015,6.0,6.0,4.0,5.333333333333333
52000016,6.6,7.0,5.8,6.466666666666666
52000017,6.8,7.25,6.0,6.683333333333334
52000018,7.2,7.25,5.6,6.683333333333333
52000019,6.4,4.0,6.8,5.733333333333333
52000020,6.6,6.75,6.4,6.583333333333333
52000021,7.8,5.75,7.2,6.916666666666667
52000022,6.8,5.25,0,4.016666666666667
52000023,7.0,0,0,2.3333333333333335
52000024,5.2,5.75,4.8,5.25
52000025,6.6,4.75,4.2,5.183333333333334
52000026,6.6,6.25,4.0,5.616666666666667
52000027,7.2,6.5,8.0,7.233333333333333
52000028,8.8,7.25,8.0,8.016666666666667
52000029,5.4,7.25,6.2,6.283333333333334
52000030,7.4,8.25,7.6,7.75
52000031,5.4,7.25,4.8,5.816666666666666
52000032,7.0,7.25,7.2,7.1499999999999995
52000033,6.0,6.25,8.2,6.816666666666666
52000034,6.4,5.75,0,4.05
52000035,7.6,8.0,6.8,7.466666666666666
52000036,6.8,7.0,5.0,6.266666666666667
52000037,4.6,4.25,4.2,4.3500000000000005
52000038,8.0,7.0,6.0,7.0
52000039,7.6,8.75,9.4,8.583333333333334
52000040,7.4,7.25,5.8,6.816666666666666
52000041,6.8,6.75,5.6,6.383333333333333
52000042,7.4,7.25,0,4.883333333333334
52000043,5.8,5.75,6.2,5.916666666666667
52000044,7.2,6.75,4.0,5.983333333333333
52000045,7.8,7.5,4.0,6.433333333333334
52000046,6.8,8.0,8.8,7.866666666666667
52000047,6.4,7.0,5.8,6.3999999999999995
52000048,7.4,8.0,9.4,8.266666666666667
52000049,6.0,7.5,7.6,7.033333333333334
52000050,7.4,7.25,7.8,7.483333333333333
52000051,6.8,7.0,7.4,7.066666666666667
52000052,7.2,7.25,5.8,6.75
52000053,7.0,8.0,8.0,7.666666666666667
52000054,7.4,7.5,7.2,7.366666666666667
52000055,6.6,7.5,6.8,6.966666666666666
52000057,5.0,6.5,0,3.8333333333333335
52000058,6.6,6.75,5.8,6.383333333333333
52000059,8.6,7.5,9.0,8.366666666666667
52000060,6.4,4.83,0,3.7433333333333336
52000061,8.6,7.5,8.6,8.233333333333334
52000062,7.2,6.25,7.4,6.95
52000063,6.4,7.0,5.4,6.266666666666667
52000064,6.8,8.0,8.6,7.8
52000065,6.8,5.5,5.4,5.900000000000001
52000066,6.6,5.0,0,3.8666666666666667
52000067,6.2,5.0,0,3.733333333333333
52000068,6.6,5.5,0,4.033333333333333
52000069,6.6,6.5,7.2,6.766666666666667
52000070,7.2,7.0,9.0,7.733333333333333
52000071,6.6,7.0,8.4,7.333333333333333
52000072,6.8,7.25,8.2,7.416666666666667
52000073,7.6,7.75,8.8,8.049999999999999
52000074,6.0,7.25,6.8,6.683333333333334
52000075,7.0,5.5,8.8,7.1000000000000005
52000076,8.6,6.75,9.6,8.316666666666666
52000077,3.4,6.25,0,3.216666666666667
52000078,4.8,7.0,7.0,6.266666666666667
52000079,5.6,5.5,0,3.6999999999999997
52000080,6.4,7.5,4.4,6.1000000000000005
52000081,8.0,6.25,8.0,7.416666666666667
52000082,8.0,6.5,8.0,7.5
52000083,4.6,8.0,8.2,6.933333333333333
52000084,6.8,8.0,8.6,7.8
52000085,6.6,8.0,7.8,7.466666666666666
52000086,7.0,7.5,6.2,6.8999999999999995
52000087,8.4,6.25,8.6,7.75
52000088,7.6,7.75,0,5.116666666666666
52000089,7.8,8.5,9.6,8.633333333333333
52000090,7.0,7.75,8.6,7.783333333333334
52000091,7.8,7.25,6.2,7.083333333333333
52000092,5.6,6.25,4.2,5.3500000000000005
52000093,6.0,7.0,5.6,6.2
52000094,8.0,5.5,9.6,7.7
52000095,7.6,8.25,5.6,7.1499999999999995
52000096,6.2,6.0,5.6,5.933333333333333
52000097,4.8,4.0,5.0,4.6000000000000005
52000098,7.0,7.0,5.4,6.466666666666666
52000099,5.8,5.75,4.4,5.316666666666667
52000100,7.0,6.25,4.6,5.95
52000101,8.4,5.5,6.6,6.833333333333333
52000102,8.8,0,9.2,6.0
52000103,7.2,6.0,4.0,5.733333333333333
52000104,8.0,5.25,8.4,7.216666666666666
52000105,7.6,6.5,4.4,6.166666666666667
52000106,6.4,6.0,8.4,6.933333333333334
52000107,6.4,7.75,8.8,7.650000000000001
52000108,6.2,7.25,6.4,6.616666666666667
52000109,7.2,8.0,7.4,7.533333333333334
52000110,6.4,8.25,5.8,6.816666666666666
52000111,6.4,7.5,8.4,7.433333333333334
