SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
37000001,8.4,7.0,10.0,8.466666666666667
37000002,8.0,7.25,9.2,8.15
37000003,8.0,7.75,9.8,8.516666666666667
37000004,8.6,7.25,8.4,8.083333333333334
37000005,8.0,7.0,9.6,8.200000000000001
37000006,8.8,7.25,9.6,8.549999999999999
37000007,8.4,8.0,9.4,8.6
37000008,8.2,4.75,9.6,7.516666666666666
37000009,9.2,5.0,9.6,7.933333333333333
37000010,0,4.25,0,1.4166666666666667
37000011,8.8,5.25,9.8,7.95
37000012,9.2,6.5,9.4,8.366666666666667
37000013,8.4,6.75,9.6,8.25
37000014,8.4,5.25,9.4,7.683333333333334
37000015,8.8,4.25,8.8,7.283333333333334
37000016,7.4,5.0,0,4.133333333333334
37000017,7.2,4.5,9.4,7.033333333333334
37000018,8.8,4.75,6.8,6.783333333333334
37000019,8.4,8.0,9.2,8.533333333333333
37000020,9.6,4.5,8.6,7.566666666666666
37000021,8.6,4.5,10.0,7.7
37000022,9.4,4.5,9.8,7.900000000000001
37000023,8.6,8.75,8.8,8.716666666666667
37000024,8.6,3.75,9.4,7.25
37000025,8.6,5.5,8.8,7.633333333333333
37000026,9.0,6.5,9.6,8.366666666666667
37000027,8.2,8.75,9.8,8.916666666666666
37000028,8.8,6.75,9.8,8.450000000000001
37000029,8.2,7.75,9.6,8.516666666666666
37000030,6.4,6.25,9.6,7.416666666666667
37000031,8.2,6.0,9.6,7.933333333333333
37000032,0,6.0,0,2.0
37000033,0,6.5,8.8,5.1000000000000005
37000034,7.4,6.0,0,4.466666666666667
37000035,0,4.5,0,1.5
37000036,0,5.5,0,1.8333333333333333
37000037,8.4,6.25,9.8,8.15
37000038,8.4,0,7.6,5.333333333333333
37000039,7.6,5.75,9.0,7.45
37000040,9.4,7.5,7.6,8.166666666666666
37000041,8.0,7.0,9.6,8.200000000000001
37000042,7.0,4.5,9.0,6.833333333333333
37000043,6.0,7.5,0,4.5
37000044,8.2,6.25,9.8,8.083333333333334
37000045,3.2,0,3.2,2.1333333333333333
37000046,9.2,5.25,9.6,8.016666666666666
37000047,7.8,0,9.0,5.6000000000000005
37000048,8.8,4.0,8.2,7.0
