SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
06000001,0,4.25,0,1.4166666666666667
06000002,5.0,7.0,2.6,4.866666666666666
06000003,4.2,6.0,2.2,4.133333333333333
06000004,3.2,4.25,3.2,3.5500000000000003
06000005,4.2,8.0,4.0,5.3999999999999995
06000006,3.4,3.25,5.0,3.8833333333333333
06000007,7.8,7.25,9.4,8.15
06000008,6.6,5.75,0,4.116666666666666
06000009,0,5.0,0,1.6666666666666667
06000010,4.8,5.25,3.4,4.483333333333333
06000011,4.6,6.5,3.6,4.8999999999999995
06000012,7.2,6.5,4.0,5.8999999999999995
06000013,2.2,3.25,2.2,2.5500000000000003
06000014,6.6,4.5,2.2,4.433333333333334
06000015,3.2,3.75,0,2.316666666666667
06000016,4.2,4.5,2.0,3.5666666666666664
06000017,3.8,5.5,2.2,3.8333333333333335
06000018,5.4,8.0,3.8,5.733333333333333
06000019,4.6,5.75,2.4,4.25
06000020,3.8,0,0,1.2666666666666666
06000021,3.6,6.25,3.0,4.283333333333333
06000022,3.0,5.75,2.6,3.783333333333333
06000023,6.4,7.5,3.6,5.833333333333333
06000024,3.8,6.0,3.8,4.533333333333334
06000025,6.0,5.8,4.0,5.266666666666667
06000026,2.8,4.16,3.0,3.3200000000000003
06000027,5.0,5.09,3.2,4.43
06000028,2.4,2.5,0,1.6333333333333335
06000029,5.2,5.5,3.0,4.566666666666666
06000030,2.8,3.75,5.0,3.85
06000031,7.0,6.25,5.8,6.3500000000000005
06000032,8.0,0,0,2.6666666666666665
06000033,6.0,6.0,3.0,5.0
06000034,4.4,6.75,3.6,4.916666666666667
06000035,0,8.0,0,2.6666666666666665
06000036,3.6,4.5,2.0,3.3666666666666667
06000037,4.4,4.0,3.2,3.866666666666667
06000038,3.2,5.0,2.6,3.5999999999999996
06000039,6.2,6.75,3.6,5.516666666666667
06000040,4.4,5.75,3.0,4.383333333333334
06000041,6.2,6.5,2.8,5.166666666666667
06000042,1.8,3.5,2.6,2.6333333333333333
06000043,7.6,0,0,2.533333333333333
06000044,4.2,4.0,2.6,3.5999999999999996
06000045,4.4,2.0,0,2.1333333333333333
06000046,3.0,3.0,3.0,3.0
06000047,3.4,4.0,3.4,3.6
06000048,5.8,7.5,2.4,5.233333333333333
06000049,6.0,5.3,3.4,4.9
06000050,3.6,3.0,3.2,3.266666666666667
06000051,2.4,5.91,2.6,3.6366666666666667
06000052,3.2,5.5,3.6,4.1
06000053,3.0,3.75,3.4,3.3833333333333333
06000054,4.2,6.75,2.2,4.383333333333333
06000055,0,6.75,0,2.25
06000056,2.0,6.75,2.4,3.716666666666667
06000057,6.0,7.0,3.4,5.466666666666666
06000058,0,7.5,0,2.5
06000059,3.4,4.75,3.4,3.85
06000060,6.6,8.0,3.4,6.0
06000061,4.8,4.75,3.4,4.316666666666667
06000062,3.4,3.25,0,2.216666666666667
06000063,4.2,4.25,3.4,3.9499999999999997
06000064,4.0,4.5,3.6,4.033333333333333
06000065,2.6,2.5,0,1.7
06000066,4.0,5.75,3.2,4.316666666666666
06000067,2.6,2.75,2.4,2.5833333333333335
06000068,6.8,7.75,3.4,5.983333333333333
06000069,5.6,6.5,3.2,5.1000000000000005
06000070,3.6,3.25,3.2,3.35
06000071,4.8,5.75,3.2,4.583333333333333
06000072,4.4,6.5,5.0,5.3
06000073,2.6,5.75,2.0,3.4499999999999997
06000074,4.2,3.5,1.8,3.1666666666666665
06000075,3.2,6.0,2.8,4.0
06000076,3.8,4.25,2.4,3.483333333333334
06000077,7.4,8.0,3.6,6.333333333333333
06000078,3.2,4.75,3.4,3.783333333333333
06000079,3.2,5.25,3.0,3.8166666666666664
06000080,2.8,3.75,3.0,3.1833333333333336
06000081,6.0,6.5,4.6,5.7
06000082,0,3.75,0,1.25
06000083,5.2,5.75,4.0,4.983333333333333
06000084,0,3.75,0,1.25
06000085,2.8,4.0,0,2.2666666666666666
06000086,2.4,1.5,1.4,1.7666666666666666
06000087,2.4,4.0,0,2.1333333333333333
06000088,2.0,4.75,2.4,3.0500000000000003
06000089,5.2,6.25,3.4,4.95
06000090,3.6,5.75,1.8,3.716666666666667
06000091,5.4,3.5,3.4,4.1000000000000005
06000092,4.2,5.91,3.2,4.4366666666666665
06000093,3.6,5.34,3.0,3.98
06000094,5.8,7.0,2.6,5.133333333333334
06000095,3.2,3.0,3.0,3.0666666666666664
06000096,6.6,5.5,3.8,5.3
06000097,3.0,3.25,5.8,4.016666666666667
06000098,4.8,3.5,4.4,4.233333333333333
06000099,4.4,5.75,3.2,4.45
06000100,6.4,5.75,3.0,5.05
06000101,6.6,6.25,3.4,5.416666666666667
06000102,4.6,6.5,3.8,4.966666666666666
06000103,2.4,3.25,2.8,2.8166666666666664
06000104,3.8,4.75,3.2,3.9166666666666665
06000105,5.4,5.0,2.6,4.333333333333333
06000106,4.2,5.75,6.0,5.316666666666666
06000107,5.6,3.75,3.8,4.383333333333333
06000108,6.6,6.75,9.0,7.45
06000109,3.0,2.75,6.8,4.183333333333334
06000110,4.8,4.5,3.2,4.166666666666667
06000111,3.8,5.25,2.4,3.816666666666667
06000112,3.6,5.75,2.2,3.85
06000113,0,3.5,0,1.1666666666666667
06000114,3.8,3.25,2.8,3.283333333333333
06000115,2.4,2.75,0,1.7166666666666668
06000116,7.4,0,0,2.466666666666667
06000117,6.2,7.75,2.6,5.516666666666667
06000118,7.8,7.0,4.4,6.400000000000001
06000119,7.0,6.5,3.8,5.766666666666667
06000120,6.4,6.5,5.0,5.966666666666666
06000121,3.8,6.75,3.6,4.716666666666667
06000122,3.6,5.75,2.2,3.85
06000123,5.4,3.75,3.0,4.05
06000124,3.8,6.0,2.0,3.9333333333333336
06000125,4.4,3.5,3.0,3.6333333333333333
06000126,4.2,4.75,2.8,3.9166666666666665
06000127,5.0,6.0,3.4,4.8
06000128,2.4,4.25,4.0,3.5500000000000003
