SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
64000001,3.6,5.5,3.6,4.233333333333333
64000002,4.6,6.0,2.0,4.2
64000003,8.6,7.25,6.0,7.283333333333334
64000004,5.4,7.0,4.4,5.6000000000000005
64000005,5.8,6.0,4.0,5.266666666666667
64000006,5.8,6.25,4.6,5.55
64000007,6.2,6.75,4.6,5.849999999999999
64000008,6.4,5.75,4.4,5.516666666666667
64000009,5.2,5.0,3.4,4.533333333333333
64000010,5.8,7.5,5.0,6.1000000000000005
64000011,8.4,7.25,6.6,7.416666666666667
64000012,6.6,7.0,7.4,7.0
64000013,4.0,7.75,3.4,5.05
64000014,7.6,8.0,5.6,7.066666666666666
64000015,7.2,6.25,4.2,5.883333333333333
64000016,7.8,7.5,6.2,7.166666666666667
64000017,4.8,5.0,3.0,4.266666666666667
64000018,7.0,7.0,3.8,5.933333333333334
64000019,4.8,5.0,3.0,4.266666666666667
64000020,6.2,6.75,4.2,5.716666666666666
64000021,6.2,7.25,5.8,6.416666666666667
64000022,7.2,6.25,7.4,6.95
64000023,6.6,4.75,6.2,5.8500000000000005
64000024,7.8,5.42,5.0,6.073333333333333
64000025,7.0,8.0,6.6,7.2
64000026,7.6,8.25,7.4,7.75
64000027,8.2,7.25,5.8,7.083333333333333
64000028,4.4,6.5,4.4,5.1000000000000005
64000029,7.0,6.5,5.4,6.3
64000030,5.6,5.75,2.6,4.6499999999999995
64000031,4.6,4.25,4.6,4.483333333333333
64000032,8.8,4.5,6.6,6.633333333333333
64000033,3.4,5.0,3.4,3.9333333333333336
64000034,6.0,6.25,2.4,4.883333333333334
64000035,7.0,6.0,5.6,6.2
64000036,5.0,7.0,3.6,5.2
64000037,6.6,7.5,8.4,7.5
64000038,9.0,8.0,5.4,7.466666666666666
64000039,6.4,7.25,4.8,6.1499999999999995
64000040,6.8,8.0,3.6,6.133333333333334
64000041,7.0,7.0,4.0,6.0
64000042,7.2,7.0,4.8,6.333333333333333
64000043,6.8,8.75,4.6,6.716666666666666
64000044,6.0,7.25,3.2,5.483333333333333
64000045,6.0,8.75,5.4,6.716666666666666
64000046,8.0,6.5,5.6,6.7
64000047,6.6,5.5,4.0,5.366666666666667
64000048,5.0,6.5,4.4,5.3
64000049,7.6,6.75,3.4,5.916666666666667
64000050,5.6,5.25,5.4,5.416666666666667
64000051,7.0,7.25,6.2,6.816666666666666
64000052,7.4,7.25,7.0,7.216666666666666
64000053,7.2,6.5,4.6,6.099999999999999
64000054,6.2,6.5,3.2,5.3
64000055,5.6,7.25,5.2,6.016666666666667
64000056,5.2,7.25,3.0,5.1499999999999995
64000057,7.0,6.0,4.2,5.733333333333333
64000058,9.0,8.5,9.0,8.833333333333334
64000059,8.2,5.0,5.4,6.2
64000060,4.8,3.5,3.0,3.766666666666667
64000061,6.8,6.5,3.8,5.7
64000062,6.2,4.5,4.6,5.1
64000063,8.0,6.75,6.4,7.05
64000064,7.4,6.5,4.8,6.233333333333333
64000065,7.8,7.25,6.8,7.283333333333334
64000066,4.0,4.0,3.8,3.9333333333333336
64000067,6.8,7.75,5.8,6.783333333333334
64000068,6.4,6.08,3.8,5.426666666666667
64000069,6.6,6.25,3.8,5.55
64000070,7.6,6.5,5.8,6.633333333333333
64000071,7.2,5.75,4.2,5.716666666666666
64000072,4.8,7.0,3.6,5.133333333333334
64000073,4.0,6.25,2.2,4.1499999999999995
64000074,7.6,6.25,5.6,6.483333333333333
64000075,3.2,5.0,3.8,4.0
64000076,8.0,6.0,5.0,6.333333333333333
64000077,8.0,6.75,5.2,6.6499999999999995
64000078,7.2,6.25,4.0,5.816666666666666
64000079,4.0,5.0,2.0,3.6666666666666665
64000080,6.2,5.5,4.6,5.433333333333333
64000081,6.0,6.75,2.8,5.183333333333334
64000082,7.6,8.25,5.2,7.016666666666667
64000083,7.0,6.5,5.4,6.3
64000084,6.6,5.0,6.2,5.933333333333334
64000085,9.0,7.5,8.0,8.166666666666666
64000086,5.6,5.0,3.4,4.666666666666667
64000087,7.0,7.5,5.8,6.766666666666667
64000088,7.4,5.5,5.8,6.233333333333333
64000089,6.4,7.0,4.8,6.066666666666666
64000090,6.0,6.25,4.4,5.55
64000091,7.2,5.75,5.2,6.05
64000092,3.8,4.5,4.0,4.1000000000000005
64000093,6.8,8.25,3.8,6.283333333333334
64000094,5.0,6.0,4.0,5.0
64000095,5.4,7.5,2.6,5.166666666666667
64000096,6.4,7.0,4.4,5.933333333333334
64000097,7.4,8.0,6.8,7.3999999999999995
64000098,5.4,8.0,4.8,6.066666666666666
64000099,6.8,5.75,2.8,5.116666666666667
64000100,7.0,6.5,4.8,6.1000000000000005
64000101,8.0,8.0,5.8,7.266666666666667
64000102,4.6,6.75,2.0,4.45
64000103,5.8,6.0,3.8,5.2
64000104,7.0,6.5,5.4,6.3
64000105,7.8,6.75,5.0,6.516666666666667
64000106,8.0,7.5,3.6,6.366666666666667
64000107,7.4,7.25,6.4,7.016666666666667
64000108,8.0,7.5,8.2,7.8999999999999995
64000109,7.8,7.5,6.4,7.233333333333334
64000110,7.8,6.25,2.8,5.616666666666667
64000111,4.4,6.5,4.0,4.966666666666667
64000112,7.6,7.5,6.0,7.033333333333334
64000113,4.8,5.58,3.4,4.593333333333333
64000114,7.0,6.25,6.4,6.55
64000115,7.6,7.25,6.6,7.1499999999999995
64000116,8.2,7.0,5.4,6.866666666666667
64000117,6.6,5.75,2.8,5.05
64000118,4.4,5.25,3.4,4.3500000000000005
64000119,7.4,8.0,5.4,6.933333333333334
64000120,7.8,8.0,6.4,7.400000000000001
64000121,6.6,5.75,3.0,5.116666666666666
64000122,6.6,6.75,3.6,5.6499999999999995
64000123,7.6,7.75,8.2,7.849999999999999
64000124,7.4,8.5,7.4,7.766666666666667
64000125,7.2,7.0,5.6,6.599999999999999
64000126,4.6,6.0,3.6,4.733333333333333
64000127,7.8,6.25,5.0,6.3500000000000005
64000128,6.6,6.0,5.6,6.066666666666666
64000129,6.4,5.0,5.0,5.466666666666666
64000130,5.8,5.25,4.0,5.016666666666667
64000131,7.0,5.0,4.4,5.466666666666666
64000132,4.8,6.0,3.4,4.733333333333333
64000133,7.4,6.5,5.2,6.366666666666667
64000134,6.8,6.5,4.6,5.966666666666666
64000135,7.0,7.0,2.8,5.6000000000000005
64000136,7.2,5.0,3.4,5.2
64000137,4.2,5.75,3.0,4.316666666666666
64000138,5.4,6.25,3.2,4.95
64000139,8.4,5.75,7.4,7.183333333333334
64000140,6.8,6.75,4.0,5.8500000000000005
64000141,6.8,7.0,7.8,7.2
64000142,7.8,8.0,6.0,7.266666666666667
64000143,7.2,6.0,6.0,6.3999999999999995
64000144,4.2,5.5,5.6,5.1
64000145,3.2,3.75,2.8,3.25
64000146,6.2,7.0,5.6,6.266666666666666
64000147,7.0,7.0,4.4,6.133333333333333
64000148,7.0,6.25,7.0,6.75
64000149,6.8,7.25,4.0,6.016666666666667
64000150,5.0,5.75,2.6,4.45
64000151,7.4,6.75,6.6,6.916666666666667
64000152,4.6,2.5,1.4,2.8333333333333335
64000153,8.2,7.5,7.8,7.833333333333333
64000154,7.6,5.5,7.8,6.966666666666666
64000155,4.4,5.0,3.6,4.333333333333333
64000156,6.8,6.75,6.0,6.516666666666667
64000157,8.2,7.5,5.8,7.166666666666667
64000158,7.6,6.5,3.8,5.966666666666666
64000159,6.6,7.5,6.8,6.966666666666666
64000160,7.2,8.0,5.2,6.8
64000161,5.4,5.0,4.2,4.866666666666667
64000162,5.6,6.0,4.6,5.3999999999999995
64000163,6.4,6.5,4.4,5.766666666666667
64000164,7.4,5.5,4.6,5.833333333333333
64000165,5.2,5.0,3.2,4.466666666666666
64000166,5.4,4.5,2.6,4.166666666666667
64000167,6.2,4.5,3.2,4.633333333333333
64000168,8.2,6.25,8.0,7.483333333333333
64000169,7.6,5.5,4.0,5.7
64000170,3.8,6.5,3.8,4.7
