SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
36000001,2.4,3.0,0,1.8
36000002,6.2,6.0,4.8,5.666666666666667
36000003,8.0,7.25,8.8,8.016666666666667
36000004,7.4,6.75,5.6,6.583333333333333
36000005,8.6,4.0,8.8,7.133333333333333
36000006,8.6,7.0,9.4,8.333333333333334
36000007,8.8,7.75,8.0,8.183333333333334
36000008,8.4,6.5,7.6,7.5
36000009,8.0,6.25,8.6,7.616666666666667
36000010,7.6,8.0,7.2,7.6000000000000005
36000011,9.4,7.0,8.4,8.266666666666666
36000012,7.2,7.25,5.8,6.75
36000013,8.0,8.0,8.6,8.200000000000001
36000014,7.4,4.5,4.0,5.3
36000015,7.8,5.5,9.2,7.5
36000016,8.0,7.5,8.8,8.1
36000017,7.4,8.0,8.8,8.066666666666668
36000018,8.6,6.0,8.8,7.8
36000019,9.0,6.75,9.6,8.450000000000001
36000020,8.6,7.5,8.6,8.233333333333334
36000021,8.6,8.25,9.0,8.616666666666667
36000022,9.0,6.75,0,5.25
36000023,7.0,5.5,4.8,5.766666666666667
36000024,4.8,5.75,4.6,5.05
36000025,7.2,7.0,4.8,6.333333333333333
36000026,8.4,7.25,0,5.216666666666667
36000027,5.4,5.0,3.6,4.666666666666667
36000028,8.4,6.75,7.4,7.516666666666667
36000029,2.4,1.5,0,1.3
36000030,5.4,7.5,3.6,5.5
36000031,6.6,4.5,3.0,4.7
36000032,3.0,4.75,2.8,3.516666666666667
36000033,6.6,5.5,8.4,6.833333333333333
36000034,2.2,3.5,0,1.9000000000000001
36000035,3.6,4.0,3.2,3.6
36000036,4.2,5.75,2.6,4.183333333333333
36000037,7.6,7.0,9.2,7.933333333333333
36000038,8.0,5.75,0,4.583333333333333
36000039,9.2,7.25,8.0,8.15
36000040,7.8,7.25,8.0,7.683333333333334
36000041,8.4,6.25,0,4.883333333333334
36000042,7.0,8.5,8.6,8.033333333333333
36000043,7.6,6.5,6.8,6.966666666666666
36000044,5.0,6.75,4.6,5.45
36000045,6.8,8.0,4.0,6.266666666666667
36000046,7.8,6.25,8.8,7.616666666666667
36000047,5.2,6.25,4.6,5.349999999999999
36000048,4.2,3.5,4.0,3.9
36000049,4.8,6.75,4.6,5.383333333333333
36000050,8.0,6.25,8.8,7.683333333333334
36000051,8.4,6.75,8.4,7.8500000000000005
36000052,8.0,5.75,9.2,7.6499999999999995
36000053,7.4,7.75,4.6,6.583333333333333
36000054,8.8,8.75,9.4,8.983333333333334
36000055,8.0,6.25,9.4,7.883333333333333
36000056,3.4,5.75,0,3.0500000000000003
36000057,6.0,6.0,4.4,5.466666666666666
36000058,7.6,8.0,7.0,7.533333333333334
36000059,6.6,7.5,9.2,7.766666666666666
36000060,5.8,6.5,5.6,5.966666666666666
36000061,5.4,7.0,4.4,5.6000000000000005
36000062,7.2,5.25,3.6,5.3500000000000005
36000063,7.8,5.5,8.8,7.366666666666667
36000064,1.6,2.0,0,1.2
36000065,3.0,2.0,0,1.6666666666666667
36000066,5.4,5.75,3.8,4.983333333333333
36000067,7.4,7.0,3.6,6.0
36000068,5.8,7.25,3.8,5.616666666666667
36000069,6.6,7.5,4.2,6.1000000000000005
36000070,7.6,7.75,9.2,8.183333333333332
36000071,6.4,7.5,4.6,6.166666666666667
36000072,5.6,7.5,4.0,5.7
36000073,8.6,7.75,9.6,8.65
36000074,7.6,6.75,5.0,6.45
36000075,8.2,5.75,9.6,7.849999999999999
36000076,7.2,7.0,8.6,7.599999999999999
36000077,5.6,5.25,1.8,4.216666666666667
36000078,7.6,6.5,9.6,7.8999999999999995
36000079,8.4,5.25,7.2,6.95
36000080,8.8,5.75,6.0,6.8500000000000005
36000081,8.6,6.25,9.8,8.216666666666667
36000082,8.8,5.0,9.0,7.6000000000000005
36000083,7.4,3.75,6.2,5.783333333333334
36000084,7.8,5.75,9.4,7.650000000000001
36000085,8.8,6.5,8.8,8.033333333333333
36000086,8.4,8.75,10.0,9.049999999999999
36000087,8.6,7.5,9.4,8.5
36000088,7.2,8.5,7.4,7.7
36000090,3.4,3.25,2.4,3.016666666666667
36000091,7.8,6.5,9.2,7.833333333333333
36000092,7.8,7.25,5.2,6.75
36000093,9.2,6.0,9.4,8.200000000000001
36000094,6.4,5.5,4.8,5.566666666666666
36000095,8.8,6.5,9.6,8.299999999999999
36000096,7.4,6.0,8.2,7.2
36000097,8.0,7.0,9.4,8.133333333333333
36000098,8.4,5.75,6.0,6.716666666666666
36000099,9.0,6.5,0,5.166666666666667
36000100,9.0,7.0,9.4,8.466666666666667
36000101,9.0,6.0,8.8,7.933333333333334
