SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
39000001,6.0,5.75,4.6,5.45
39000002,6.0,4.0,3.4,4.466666666666667
39000003,8.0,7.75,8.2,7.983333333333333
39000004,7.8,4.0,7.8,6.533333333333334
39000005,8.8,4.0,5.4,6.066666666666667
39000006,6.8,6.5,7.2,6.833333333333333
39000007,4.0,2.75,3.4,3.3833333333333333
39000008,4.8,3.5,3.8,4.033333333333334
39000009,6.8,5.5,6.6,6.3
39000010,3.8,4.0,4.8,4.2
39000011,7.0,6.25,2.4,5.216666666666667
39000012,5.0,6.5,3.8,5.1000000000000005
39000013,8.8,6.5,7.6,7.633333333333333
39000014,4.0,5.25,4.4,4.55
39000015,7.0,6.5,5.0,6.166666666666667
39000016,6.6,6.25,5.2,6.016666666666667
39000017,5.4,5.5,7.0,5.966666666666666
39000018,6.4,7.0,6.0,6.466666666666666
39000019,7.4,6.0,5.8,6.3999999999999995
39000020,3.8,5.25,4.6,4.55
39000021,6.8,3.75,4.4,4.983333333333333
39000022,3.0,4.25,3.8,3.6833333333333336
39000023,7.6,5.75,5.8,6.383333333333333
39000024,7.6,6.25,9.4,7.75
39000025,6.2,6.5,4.8,5.833333333333333
39000026,7.6,7.0,7.0,7.2
39000027,6.4,7.25,3.4,5.683333333333334
39000028,5.4,3.25,3.0,3.8833333333333333
39000029,4.2,7.0,5.8,5.666666666666667
39000030,6.6,5.25,4.0,5.283333333333333
39000031,5.2,6.0,3.4,4.866666666666666
39000032,8.4,7.25,9.0,8.216666666666667
39000033,6.4,4.0,5.6,5.333333333333333
39000034,6.4,5.5,2.0,4.633333333333334
39000035,2.8,5.0,3.2,3.6666666666666665
39000036,4.8,5.75,2.8,4.45
39000037,4.8,4.25,3.4,4.15
39000038,8.4,7.25,5.8,7.1499999999999995
39000039,7.0,7.25,5.6,6.616666666666667
39000040,7.8,6.5,7.0,7.1000000000000005
39000041,6.8,6.0,4.2,5.666666666666667
39000042,3.8,5.25,4.0,4.3500000000000005
39000043,7.2,6.0,4.2,5.8
39000044,7.0,5.75,6.2,6.316666666666666
39000045,6.6,6.5,3.2,5.433333333333334
39000046,7.2,5.25,4.6,5.683333333333333
39000047,7.0,6.25,6.2,6.483333333333333
39000048,6.6,5.5,3.6,5.233333333333333
39000049,7.0,5.75,3.4,5.383333333333333
39000050,5.8,6.75,3.6,5.383333333333334
39000051,8.6,5.75,5.2,6.516666666666667
39000052,5.8,6.0,3.2,5.0
39000053,7.6,6.5,5.0,6.366666666666667
39000054,5.4,6.0,4.2,5.2
39000055,3.8,4.0,3.8,3.8666666666666667
39000056,7.8,7.0,8.2,7.666666666666667
39000057,6.8,6.0,7.0,6.6000000000000005
39000058,6.4,6.25,6.4,6.3500000000000005
39000059,6.2,4.0,3.0,4.3999999999999995
39000060,5.6,6.0,5.0,5.533333333333334
39000061,3.2,6.5,2.8,4.166666666666667
39000062,8.4,5.0,6.8,6.733333333333333
39000063,8.4,7.25,7.2,7.616666666666667
39000064,7.8,6.5,7.6,7.3
39000065,7.0,5.75,8.8,7.183333333333334
39000066,6.0,5.75,4.8,5.516666666666667
39000067,8.0,7.5,7.0,7.5
39000068,6.4,3.25,4.8,4.816666666666666
39000069,8.6,5.0,9.4,7.666666666666667
