SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
28000001,8.6,8.75,9.0,8.783333333333333
28000002,8.8,9.25,10.0,9.35
28000003,5.2,5.0,0,3.4
28000004,6.6,5.25,0,3.9499999999999997
28000005,8.8,7.5,6.8,7.7
28000006,7.8,5.0,8.8,7.2
28000007,6.8,7.25,0,4.683333333333334
28000008,5.8,8.25,9.2,7.75
28000009,4.8,7.25,0,4.016666666666667
28000010,7.6,9.0,9.0,8.533333333333333
28000011,7.6,7.25,9.4,8.083333333333334
28000012,8.2,6.75,8.0,7.6499999999999995
28000013,7.6,7.75,9.0,8.116666666666667
28000014,7.4,6.75,6.2,6.783333333333334
28000015,3.6,7.75,3.0,4.783333333333333
28000016,8.0,8.25,9.2,8.483333333333333
28000017,7.2,8.75,6.6,7.516666666666666
28000018,5.0,6.25,3.8,5.016666666666667
28000019,8.4,8.5,9.2,8.7
28000020,5.0,5.5,0,3.5
28000021,8.4,8.5,9.4,8.766666666666666
28000022,8.2,7.5,8.6,8.1
28000023,2.6,7.5,3.2,4.433333333333334
28000024,8.0,6.25,6.0,6.75
28000025,8.6,7.25,8.4,8.083333333333334
28000026,9.2,5.5,8.8,7.833333333333333
28000027,7.2,8.0,4.4,6.533333333333334
28000028,7.4,9.0,9.4,8.6
28000029,8.0,6.0,10.0,8.0
28000030,4.4,5.0,0,3.1333333333333333
28000031,8.0,8.25,10.0,8.75
28000032,7.8,5.5,4.4,5.900000000000001
28000033,8.4,9.0,9.8,9.066666666666666
28000034,8.0,8.25,8.4,8.216666666666667
28000035,5.6,7.0,6.6,6.3999999999999995
28000036,6.0,8.25,8.6,7.616666666666667
28000037,7.6,8.0,9.6,8.4
28000038,8.4,7.5,9.6,8.5
28000039,7.2,7.5,8.0,7.566666666666666
28000040,8.2,8.5,9.6,8.766666666666666
28000041,7.4,8.5,8.0,7.966666666666666
28000042,8.4,8.75,9.0,8.716666666666667
28000043,7.8,5.58,9.2,7.526666666666666
28000044,6.6,7.75,6.4,6.916666666666667
28000045,2.0,4.25,0,2.0833333333333335
28000046,8.0,7.75,9.6,8.450000000000001
28000047,8.8,8.0,8.6,8.466666666666667
28000048,8.6,8.75,9.4,8.916666666666666
28000049,7.6,8.25,8.6,8.15
28000050,9.2,7.25,8.8,8.416666666666666
28000051,7.4,8.0,3.2,6.2
28000052,8.6,8.0,7.6,8.066666666666668
28000053,4.2,4.75,0,2.983333333333333
28000054,5.2,6.0,0,3.733333333333333
28000055,8.0,7.75,8.6,8.116666666666667
28000056,3.8,6.25,7.4,5.816666666666667
28000057,7.8,8.5,7.6,7.966666666666666
28000058,8.6,8.5,8.6,8.566666666666668
28000059,8.2,8.5,8.6,8.433333333333332
28000060,8.4,5.75,6.8,6.983333333333333
28000061,2.8,2.25,0,1.6833333333333333
28000062,7.8,6.0,6.4,6.733333333333334
28000063,6.2,8.25,9.2,7.883333333333333
28000064,8.2,7.25,3.6,6.3500000000000005
28000065,2.0,3.75,0,1.9166666666666667
28000066,3.6,6.5,6.6,5.566666666666666
28000067,7.6,7.0,9.4,8.0
28000068,5.2,7.75,0,4.316666666666666
28000069,9.0,7.0,9.4,8.466666666666667
28000070,8.0,9.0,9.0,8.666666666666666
28000071,7.8,8.5,9.2,8.5
28000072,7.4,6.75,8.0,7.383333333333333
28000073,5.8,8.0,7.6,7.133333333333333
