SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
58000001,6.2,5.5,4.0,5.233333333333333
58000002,5.8,6.75,0,4.183333333333334
58000003,6.4,7.25,9.0,7.55
58000004,5.4,5.75,2.4,4.516666666666667
58000005,4.8,6.25,0,3.6833333333333336
58000006,6.8,6.5,5.4,6.233333333333334
58000007,8.4,6.25,8.8,7.816666666666667
58000008,8.4,7.0,4.2,6.533333333333334
58000009,7.4,7.0,8.2,7.533333333333334
58000010,5.6,6.75,6.6,6.316666666666666
58000011,4.0,6.0,2.4,4.133333333333334
58000012,6.0,8.0,4.6,6.2
58000013,5.8,7.5,4.6,5.966666666666666
58000014,4.6,7.5,3.2,5.1000000000000005
58000015,3.4,6.75,0,3.3833333333333333
58000016,8.6,7.25,7.4,7.75
58000017,5.8,6.25,5.8,5.95
58000018,6.8,6.5,0,4.433333333333334
58000019,6.2,8.0,6.2,6.8
58000021,3.8,6.5,2.8,4.366666666666667
58000022,8.0,7.0,4.4,6.466666666666666
58000023,4.2,7.0,3.2,4.8
58000024,5.2,7.0,3.8,5.333333333333333
58000025,4.0,5.0,2.6,3.8666666666666667
58000026,6.8,6.0,7.0,6.6000000000000005
58000027,7.4,7.75,8.2,7.783333333333334
58000028,7.4,7.25,8.8,7.816666666666667
58000029,2.0,6.25,3.6,3.9499999999999997
58000030,6.8,4.25,4.0,5.016666666666667
58000031,8.0,9.0,8.2,8.4
58000032,3.0,7.0,0,3.3333333333333335
58000033,6.0,6.75,4.0,5.583333333333333
58000034,8.4,7.0,8.2,7.866666666666667
58000035,5.2,6.0,3.8,5.0
58000036,5.8,7.5,3.8,5.7
58000037,5.0,5.75,4.0,4.916666666666667
58000038,3.8,7.75,3.8,5.116666666666667
58000039,7.8,8.0,5.8,7.2
58000040,8.0,7.0,7.4,7.466666666666666
58000041,4.2,5.0,0,3.0666666666666664
58000042,8.8,8.5,8.0,8.433333333333334
58000043,5.8,5.5,2.8,4.7
58000044,4.8,5.0,2.6,4.133333333333334
58000045,7.6,7.75,5.4,6.916666666666667
58000046,5.6,6.25,2.6,4.816666666666666
58000047,7.4,7.25,5.6,6.75
58000048,6.8,7.75,5.8,6.783333333333334
58000049,5.0,6.0,0,3.6666666666666665
58000050,8.8,6.75,6.8,7.45
58000051,4.0,5.25,3.4,4.216666666666667
58000052,6.4,7.5,5.0,6.3
58000053,8.4,7.0,8.8,8.066666666666668
58000054,8.6,6.5,7.0,7.366666666666667
58000055,8.0,7.0,7.4,7.466666666666666
58000056,6.6,5.75,2.8,5.05
58000057,6.0,7.5,5.2,6.233333333333333
58000058,4.2,6.75,2.4,4.45
58000059,5.4,7.25,4.6,5.75
58000060,7.2,4.25,6.0,5.816666666666666
58000061,8.0,7.25,8.8,8.016666666666667
58000062,7.2,8.25,5.6,7.016666666666666
58000063,8.4,7.25,9.0,8.216666666666667
58000064,6.0,5.5,3.8,5.1000000000000005
58000065,7.0,5.75,5.4,6.05
58000066,7.0,7.0,7.8,7.266666666666667
58000067,7.0,7.25,4.4,6.216666666666666
58000068,4.0,7.5,4.6,5.366666666666667
58000069,4.0,6.0,3.0,4.333333333333333
58000070,7.6,7.75,7.8,7.716666666666666
58000071,7.6,6.25,7.0,6.95
58000072,6.6,6.5,4.4,5.833333333333333
58000073,8.0,7.5,6.8,7.433333333333334
58000074,8.0,6.5,5.4,6.633333333333333
58000075,6.6,7.25,5.8,6.55
58000076,5.6,8.0,3.2,5.6000000000000005
58000077,5.0,4.0,2.6,3.8666666666666667
58000078,6.0,6.0,3.8,5.266666666666667
58000079,5.4,6.5,7.0,6.3
58000080,7.4,6.5,8.2,7.366666666666667
58000081,5.8,6.0,4.6,5.466666666666666
58000082,6.8,7.5,4.6,6.3
58000083,5.8,5.0,4.0,4.933333333333334
58000084,5.4,5.0,3.6,4.666666666666667
58000085,7.0,8.0,6.2,7.066666666666666
58000086,6.6,6.0,4.6,5.733333333333333
58000087,6.2,5.25,3.2,4.883333333333333
58000088,6.2,5.0,3.4,4.866666666666666
58000089,7.2,5.25,4.6,5.683333333333333
58000090,5.4,6.75,3.6,5.25
58000091,6.8,3.75,8.4,6.316666666666667
58000092,6.4,6.5,4.6,5.833333333333333
58000093,7.8,7.5,7.2,7.5
58000094,8.0,6.25,4.0,6.083333333333333
58000095,4.4,5.5,5.6,5.166666666666667
58000096,6.4,5.75,4.6,5.583333333333333
58000097,3.4,6.5,0,3.3000000000000003
58000098,7.6,7.0,8.0,7.533333333333334
58000099,7.2,7.5,4.4,6.366666666666667
58000100,5.8,4.75,3.2,4.583333333333333
58000101,8.0,6.75,5.0,6.583333333333333
58000102,5.2,4.75,3.0,4.316666666666666
58000103,4.6,4.0,3.0,3.8666666666666667
58000104,7.4,6.25,5.4,6.3500000000000005
58000105,7.0,7.0,7.4,7.133333333333333
58000106,4.8,5.0,4.0,4.6000000000000005
58000107,8.8,7.5,5.8,7.366666666666667
58000108,3.8,5.0,0,2.9333333333333336
58000109,7.2,5.5,4.4,5.7
58000110,5.4,5.75,3.8,4.983333333333333
58000111,7.6,6.0,3.0,5.533333333333334
58000112,5.2,6.25,4.2,5.216666666666666
58000113,4.6,5.25,1.6,3.8166666666666664
58000114,3.6,3.25,0,2.283333333333333
58000115,6.6,6.75,4.4,5.916666666666667
58000116,6.8,6.0,3.8,5.533333333333334
58000117,4.8,5.25,0,3.35
58000118,7.6,7.75,5.8,7.05
58000119,8.0,7.0,5.4,6.8
58000120,4.0,6.5,0,3.5
58000121,8.4,7.5,7.0,7.633333333333333
58000122,6.4,8.0,7.6,7.333333333333333
58000123,3.6,6.0,0,3.1999999999999997
58000124,5.0,5.25,3.4,4.55
