SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
62000001,6.6,7.75,6.8,7.05
62000002,5.4,8.0,7.0,6.8
62000003,5.4,6.25,2.8,4.816666666666666
62000004,7.4,6.5,5.4,6.433333333333334
62000005,6.2,6.5,4.0,5.566666666666666
62000006,6.0,8.25,3.8,6.016666666666667
62000007,8.2,9.0,9.8,9.0
62000008,8.6,6.5,3.2,6.1000000000000005
62000009,4.2,5.0,3.4,4.2
62000010,4.4,7.5,4.2,5.366666666666667
62000011,8.2,7.75,5.0,6.983333333333333
62000012,7.0,9.0,5.6,7.2
62000013,7.0,7.5,8.2,7.566666666666666
62000014,5.4,7.0,6.0,6.133333333333333
62000015,6.8,7.0,8.8,7.533333333333334
62000016,7.4,0,0,2.466666666666667
62000017,7.0,7.25,7.0,7.083333333333333
62000018,6.8,8.0,5.0,6.6000000000000005
62000019,7.8,8.75,4.4,6.983333333333334
62000020,6.8,6.0,6.6,6.466666666666666
62000021,5.2,6.5,3.6,5.1
62000022,3.0,5.25,2.4,3.5500000000000003
62000023,5.0,7.0,3.0,5.0
62000024,5.4,8.5,4.8,6.233333333333333
62000025,5.6,6.25,3.6,5.1499999999999995
62000026,3.2,6.5,3.8,4.5
62000027,0,6.0,0,2.0
62000028,4.6,6.25,4.0,4.95
62000029,4.8,7.5,3.2,5.166666666666667
62000030,2.8,6.5,2.6,3.966666666666667
62000031,5.0,7.0,2.4,4.8
62000032,8.4,8.0,7.4,7.933333333333333
62000033,5.8,6.75,8.0,6.8500000000000005
62000034,7.6,7.0,9.4,8.0
62000035,5.6,7.75,4.6,5.983333333333333
62000036,8.0,7.75,3.8,6.516666666666667
62000037,8.0,7.0,4.4,6.466666666666666
62000038,4.8,6.75,6.6,6.05
62000039,9.0,7.75,8.0,8.25
62000040,7.4,7.5,4.4,6.433333333333334
62000041,0,7.75,0,2.5833333333333335
62000042,8.4,6.5,4.4,6.433333333333334
62000043,8.0,4.25,8.8,7.016666666666667
62000044,3.8,8.25,5.6,5.883333333333333
62000045,7.6,8.25,5.6,7.1499999999999995
62000046,6.6,7.0,7.4,7.0
62000047,5.8,7.5,8.0,7.1000000000000005
62000048,5.6,7.5,3.6,5.566666666666666
62000049,7.6,9.0,8.6,8.4
62000050,6.2,6.0,5.6,5.933333333333333
62000051,8.0,7.25,9.4,8.216666666666667
62000052,7.0,7.5,9.0,7.833333333333333
62000053,7.8,7.25,4.8,6.616666666666667
62000054,6.6,8.25,8.0,7.616666666666667
62000055,7.2,7.0,4.8,6.333333333333333
62000056,5.2,6.25,4.8,5.416666666666667
62000057,7.4,6.75,7.0,7.05
62000058,0,4.75,0,1.5833333333333333
62000059,6.6,8.5,3.0,6.033333333333334
62000060,4.0,5.5,4.8,4.766666666666667
62000061,3.4,4.25,4.6,4.083333333333333
62000062,8.6,6.5,6.4,7.166666666666667
62000063,7.6,6.75,4.2,6.183333333333334
62000064,8.0,0,9.4,5.8
62000065,6.2,6.25,3.0,5.1499999999999995
62000066,8.0,6.75,6.6,7.116666666666667
62000067,7.4,5.5,8.4,7.1000000000000005
62000068,4.2,6.25,3.0,4.483333333333333
62000069,6.2,7.0,4.6,5.933333333333333
62000070,4.0,6.0,3.0,4.333333333333333
62000071,6.4,6.25,2.8,5.1499999999999995
62000072,4.6,8.25,4.6,5.816666666666666
62000073,7.6,8.0,9.4,8.333333333333334
62000074,7.6,7.5,6.4,7.166666666666667
62000075,6.2,6.75,4.8,5.916666666666667
62000076,7.6,8.5,7.6,7.900000000000001
62000077,7.8,8.0,8.8,8.200000000000001
62000078,4.0,7.25,3.2,4.816666666666666
62000079,2.0,6.0,2.4,3.466666666666667
62000080,4.4,5.75,2.2,4.116666666666667
62000081,5.0,0,0,1.6666666666666667
62000082,3.6,6.25,3.8,4.55
62000083,3.6,4.5,3.6,3.9
62000084,4.6,7.25,5.4,5.75
62000085,4.2,5.75,3.2,4.383333333333333
62000086,6.4,8.25,3.4,6.016666666666667
62000087,0,7.25,0,2.4166666666666665
62000088,7.0,6.75,6.4,6.716666666666666
62000089,0,5.5,0,1.8333333333333333
62000090,4.4,4.25,3.6,4.083333333333333
62000091,8.8,0,0,2.9333333333333336
62000092,4.2,6.0,4.6,4.933333333333333
62000093,8.0,5.5,6.6,6.7
62000094,7.4,5.0,5.8,6.066666666666666
62000095,6.2,6.0,6.8,6.333333333333333
62000096,6.0,6.75,4.0,5.583333333333333
62000097,0,4.5,0,1.5
62000098,0,5.75,0,1.9166666666666667
62000099,7.0,7.25,6.0,6.75
62000100,0,5.5,0,1.8333333333333333
62000101,5.2,7.5,4.4,5.7
62000102,0,7.0,0,2.3333333333333335
62000103,0,5.75,0,1.9166666666666667
62000104,5.0,8.25,8.6,7.283333333333334
62000105,6.6,8.0,9.2,7.933333333333333
62000106,3.0,6.0,2.8,3.9333333333333336
62000107,3.8,6.0,3.8,4.533333333333334
62000108,7.4,7.5,3.2,6.033333333333334
62000109,7.2,6.75,7.0,6.983333333333333
62000111,7.6,8.5,5.4,7.166666666666667
62000113,5.0,6.25,3.4,4.883333333333334
62000114,6.0,8.0,6.4,6.8
62000115,5.2,7.0,4.2,5.466666666666666
62000116,8.2,7.5,4.8,6.833333333333333
62000117,8.2,7.5,5.4,7.033333333333334
62000118,8.0,7.5,6.6,7.366666666666667
62000119,9.6,5.75,3.6,6.316666666666666
62000120,6.2,8.0,8.4,7.533333333333334
62000121,6.4,8.5,7.0,7.3
62000122,7.8,6.0,3.8,5.866666666666667
62000123,8.6,6.25,5.2,6.683333333333334
62000124,5.2,6.75,7.0,6.316666666666666
62000125,0,8.5,0,2.8333333333333335
62000126,4.8,7.25,5.0,5.683333333333334
62000127,5.6,8.0,8.0,7.2
62000128,5.0,7.5,2.8,5.1000000000000005
62000129,0,7.25,0,2.4166666666666665
62000130,4.8,7.0,5.4,5.733333333333334
62000131,9.0,0,0,3.0
62000132,5.6,7.0,5.2,5.933333333333334
62000133,5.6,7.0,3.0,5.2
62000134,3.0,5.25,3.4,3.8833333333333333
62000135,0,7.5,0,2.5
62000136,6.8,5.75,6.0,6.183333333333334
62000137,4.8,6.25,3.8,4.95
62000138,6.0,7.5,3.0,5.5
62000139,7.8,6.75,3.6,6.050000000000001
62000140,7.2,9.0,6.2,7.466666666666666
62000141,5.4,7.75,4.6,5.916666666666667
62000142,3.6,8.0,3.0,4.866666666666666
62000143,0,2.75,0,0.9166666666666666
62000144,6.2,8.0,0,4.733333333333333
62000145,5.8,6.0,4.2,5.333333333333333
62000146,7.4,7.0,7.4,7.266666666666667
62000147,7.6,8.0,5.2,6.933333333333334
62000148,4.8,6.75,2.6,4.716666666666667
62000149,0,6.5,0,2.1666666666666665
62000150,4.2,5.5,4.0,4.566666666666666
62000151,4.2,7.75,4.0,5.316666666666666
62000152,4.8,7.0,4.2,5.333333333333333
62000153,4.8,5.75,2.8,4.45
62000154,8.0,5.25,5.8,6.3500000000000005
62000155,2.6,7.25,4.2,4.683333333333334
62000156,4.2,7.25,4.0,5.1499999999999995
62000157,7.2,0,0,2.4
62000158,6.4,7.5,4.0,5.966666666666666
62000159,6.2,6.0,6.0,6.066666666666666
62000160,8.4,6.75,8.2,7.783333333333334
62000161,5.4,6.25,3.0,4.883333333333334
62000162,6.2,7.5,9.4,7.7
62000163,4.2,7.5,4.6,5.433333333333333
62000164,5.4,7.75,3.8,5.6499999999999995
62000165,4.2,7.25,2.4,4.616666666666666
62000166,6.8,7.0,3.8,5.866666666666667
62000168,6.2,7.5,4.8,6.166666666666667
62000169,9.0,9.25,8.8,9.016666666666667
62000170,5.4,6.5,2.8,4.8999999999999995
62000171,7.0,6.75,1.8,5.183333333333334
62000172,5.4,6.75,4.0,5.383333333333333
62000173,8.4,7.25,5.0,6.883333333333333
62000174,6.6,7.25,6.2,6.683333333333334
62000175,8.0,7.75,8.6,8.116666666666667
62000176,6.8,6.75,3.6,5.716666666666668
62000177,6.4,6.0,4.0,5.466666666666666
62000178,0,7.75,0,2.5833333333333335
62000179,0,8.0,0,2.6666666666666665
62000180,7.4,5.25,2.8,5.1499999999999995
62000181,6.2,8.5,2.6,5.766666666666667
62000182,8.6,7.75,7.4,7.916666666666667
62000183,5.6,6.25,2.8,4.883333333333333
62000184,8.0,8.0,7.4,7.8
62000185,7.4,7.25,4.4,6.3500000000000005
62000186,6.0,8.25,4.8,6.3500000000000005
62000187,7.2,8.75,4.8,6.916666666666667
62000188,7.6,7.5,4.6,6.566666666666666
62000189,5.2,6.0,4.8,5.333333333333333
62000190,5.6,6.0,4.2,5.266666666666667
62000191,4.0,5.25,3.0,4.083333333333333
62000192,4.4,7.5,7.4,6.433333333333334
62000193,7.2,8.25,8.2,7.883333333333333
62000194,8.2,7.5,5.2,6.966666666666666
62000195,6.4,8.0,3.8,6.066666666666666
62000196,0,6.0,0,2.0
62000197,8.2,7.5,9.0,8.233333333333333
62000198,5.2,7.0,4.4,5.533333333333334
62000199,8.8,8.25,9.8,8.950000000000001
62000200,6.2,7.5,6.0,6.566666666666666
62000201,7.6,6.5,7.2,7.1000000000000005
62000202,5.8,6.75,9.2,7.25
62000203,5.4,8.0,9.0,7.466666666666666
62000204,4.8,6.5,3.8,5.033333333333334
62000205,6.4,7.5,2.4,5.433333333333334
62000206,6.0,8.5,4.2,6.233333333333333
62000207,3.6,6.5,4.4,4.833333333333333
62000208,7.6,7.5,8.4,7.833333333333333
62000209,7.8,8.0,7.2,7.666666666666667
62000210,5.6,8.0,4.6,6.066666666666666
62000211,0,7.0,0,2.3333333333333335
62000212,6.6,6.75,3.6,5.6499999999999995
62000213,7.4,6.75,4.4,6.183333333333334
62000214,0,6.25,0,2.0833333333333335
62000215,5.0,7.0,3.8,5.266666666666667
