SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
40000001,2.6,5.5,4.4,4.166666666666667
40000002,4.8,6.75,4.6,5.383333333333333
40000003,7.4,6.5,8.2,7.366666666666667
40000004,7.4,6.25,8.4,7.3500000000000005
40000005,5.8,6.5,2.6,4.966666666666667
40000006,2.2,5.5,2.4,3.3666666666666667
40000007,5.6,7.25,6.0,6.283333333333334
40000008,7.6,7.5,7.2,7.433333333333334
40000009,5.8,4.5,4.4,4.9
40000010,3.8,5.25,2.8,3.9500000000000006
40000011,4.8,5.25,2.2,4.083333333333333
40000012,7.8,6.25,5.4,6.483333333333334
40000013,8.0,8.25,6.0,7.416666666666667
40000014,6.0,5.75,3.0,4.916666666666667
40000015,8.0,7.25,6.6,7.283333333333334
40000016,3.6,5.25,2.8,3.883333333333333
40000017,7.4,8.0,7.4,7.6000000000000005
40000018,2.4,3.75,2.8,2.983333333333333
40000019,4.4,5.0,3.2,4.2
40000020,3.2,6.75,2.8,4.25
40000021,7.8,7.75,7.6,7.716666666666666
40000022,4.2,6.5,3.2,4.633333333333333
40000023,2.8,4.5,2.8,3.3666666666666667
40000024,2.0,5.0,0,2.3333333333333335
40000025,3.0,5.25,3.4,3.8833333333333333
40000026,3.4,3.75,3.0,3.3833333333333333
40000027,1.8,5.42,1.6,2.94
40000028,2.4,4.0,3.2,3.2000000000000006
40000029,3.6,3.75,2.2,3.1833333333333336
40000030,8.2,7.5,4.6,6.766666666666666
40000031,7.6,6.5,7.6,7.233333333333333
40000032,8.0,6.75,5.4,6.716666666666666
40000033,7.2,7.0,2.6,5.6000000000000005
40000034,7.8,6.5,4.2,6.166666666666667
40000035,8.6,8.75,8.2,8.516666666666667
40000036,3.4,4.25,2.4,3.35
40000037,5.0,5.75,3.8,4.8500000000000005
40000038,8.4,6.75,3.4,6.183333333333334
40000039,3.8,5.0,2.8,3.866666666666667
40000041,6.8,6.75,5.4,6.316666666666667
40000042,6.0,7.0,3.8,5.6000000000000005
40000043,4.8,5.25,2.4,4.15
40000044,3.0,6.75,3.0,4.25
40000045,5.6,6.5,2.6,4.8999999999999995
40000046,7.0,6.92,3.6,5.84
40000047,7.0,8.25,2.0,5.75
40000048,8.4,8.25,6.0,7.55
40000049,6.6,8.0,5.0,6.533333333333334
40000050,7.2,7.25,4.4,6.283333333333334
40000051,7.8,6.5,6.0,6.766666666666667
40000052,5.8,6.0,4.2,5.333333333333333
40000053,5.2,6.25,4.2,5.216666666666666
40000054,7.8,6.75,4.8,6.45
40000055,3.2,6.5,4.0,4.566666666666666
40000056,8.2,6.0,7.6,7.266666666666666
40000057,4.8,5.25,2.6,4.216666666666667
40000058,5.2,6.75,4.2,5.383333333333333
40000059,6.8,8.0,4.8,6.533333333333334
40000060,4.4,4.0,4.0,4.133333333333334
40000061,5.0,7.5,6.0,6.166666666666667
