SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
47000001,7.2,8.5,8.4,8.033333333333333
47000002,8.6,6.0,8.0,7.533333333333334
47000003,5.6,6.5,5.0,5.7
47000004,8.2,4.75,7.4,6.783333333333334
47000005,8.4,7.0,6.0,7.133333333333333
47000006,6.6,6.33,5.4,6.109999999999999
47000007,7.2,7.0,7.4,7.2
47000008,8.0,8.0,0,5.333333333333333
47000009,8.8,5.75,2.8,5.783333333333334
47000010,8.0,8.25,9.4,8.549999999999999
47000011,5.2,6.0,5.0,5.3999999999999995
47000012,6.4,6.5,7.4,6.766666666666667
47000013,6.8,8.25,9.4,8.15
47000014,5.2,5.75,3.8,4.916666666666667
47000015,8.8,5.5,6.8,7.033333333333334
47000016,7.2,7.75,8.0,7.6499999999999995
47000017,7.4,8.5,6.0,7.3
47000018,7.4,6.5,6.4,6.766666666666667
47000019,8.2,7.75,5.8,7.25
47000020,7.2,7.5,8.0,7.566666666666666
47000021,5.4,8.25,6.8,6.816666666666666
47000022,8.0,7.5,8.0,7.833333333333333
47000023,9.0,8.25,7.2,8.15
47000024,8.6,8.75,8.8,8.716666666666667
47000025,6.2,8.0,8.0,7.3999999999999995
47000026,7.4,7.5,8.4,7.766666666666667
47000027,8.0,5.75,4.8,6.183333333333334
47000028,8.4,8.25,6.4,7.683333333333333
47000029,8.2,6.75,6.6,7.183333333333333
47000030,6.4,6.5,5.8,6.233333333333333
47000031,7.0,7.5,7.6,7.366666666666667
47000032,6.4,6.25,8.2,6.95
47000033,7.8,6.5,6.6,6.966666666666666
47000034,7.0,8.25,7.6,7.616666666666667
47000035,7.8,7.25,7.6,7.55
47000036,8.6,7.25,6.2,7.3500000000000005
47000037,8.2,7.75,9.0,8.316666666666666
47000038,7.8,7.5,7.0,7.433333333333334
47000039,7.6,8.25,7.4,7.75
47000040,7.2,8.0,6.8,7.333333333333333
47000041,6.6,6.0,6.0,6.2
47000042,6.4,7.5,7.0,6.966666666666666
47000043,7.4,6.0,9.0,7.466666666666666
47000044,7.6,7.5,8.0,7.7
47000045,7.6,6.75,6.6,6.983333333333333
47000046,7.2,7.5,6.6,7.099999999999999
47000047,6.0,7.0,6.6,6.533333333333334
47000048,6.4,5.5,0,3.966666666666667
47000049,8.6,7.0,8.2,7.933333333333333
47000050,5.2,4.75,0,3.3166666666666664
47000051,6.0,6.75,7.8,6.8500000000000005
47000052,8.0,8.5,5.8,7.433333333333334
47000053,7.6,6.5,5.2,6.433333333333334
47000054,8.0,4.5,6.4,6.3
47000055,5.2,6.25,4.6,5.349999999999999
47000056,3.2,3.0,0,2.066666666666667
47000057,5.6,6.25,6.6,6.1499999999999995
47000058,7.0,5.25,6.8,6.3500000000000005
