SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
11000001,3.8,6.75,2.2,4.25
11000002,9.0,8.0,6.4,7.8
11000003,5.6,7.25,3.0,5.283333333333333
11000004,7.0,7.0,5.4,6.466666666666666
11000005,4.4,4.75,2.2,3.7833333333333337
11000006,6.2,6.5,4.2,5.633333333333333
11000007,6.2,7.0,4.0,5.733333333333333
11000008,5.4,7.25,1.8,4.816666666666667
11000009,4.0,5.25,0,3.0833333333333335
11000010,5.6,5.5,2.4,4.5
11000011,5.4,5.5,4.0,4.966666666666667
11000012,5.8,8.0,4.0,5.933333333333334
11000013,5.4,5.5,2.4,4.433333333333334
11000014,3.4,7.25,5.6,5.416666666666667
11000015,4.2,5.5,2.4,4.033333333333333
11000016,4.4,5.0,2.8,4.066666666666666
11000017,4.8,6.5,3.6,4.966666666666667
11000018,2.4,3.5,0,1.9666666666666668
11000019,5.0,5.5,3.4,4.633333333333334
11000020,5.6,7.5,3.2,5.433333333333334
11000021,7.2,7.91,4.4,6.503333333333333
11000022,6.2,7.75,3.0,5.6499999999999995
11000023,3.4,5.0,3.0,3.8000000000000003
11000024,5.8,7.75,4.0,5.8500000000000005
11000025,5.2,6.5,3.0,4.8999999999999995
11000026,6.2,8.5,3.8,6.166666666666667
11000027,5.6,6.0,3.2,4.933333333333334
11000028,5.4,5.0,3.0,4.466666666666667
11000029,6.0,6.0,4.2,5.3999999999999995
11000030,6.6,7.0,4.0,5.866666666666667
11000031,5.0,5.25,3.6,4.616666666666666
11000032,4.4,6.5,2.8,4.566666666666666
11000033,7.6,8.5,5.8,7.300000000000001
11000034,4.8,6.25,4.0,5.016666666666667
11000035,4.2,6.25,2.4,4.283333333333333
11000036,6.8,6.75,4.4,5.983333333333334
11000037,7.4,8.5,3.6,6.5
11000038,6.4,4.5,3.6,4.833333333333333
11000039,6.6,6.25,3.6,5.483333333333333
11000040,3.4,4.25,2.6,3.4166666666666665
11000041,5.2,7.0,3.8,5.333333333333333
11000042,5.2,6.5,3.0,4.8999999999999995
11000043,5.0,7.0,3.2,5.066666666666666
11000044,7.2,6.25,3.6,5.683333333333334
11000045,6.2,6.0,6.0,6.066666666666666
11000046,5.4,6.5,3.4,5.1000000000000005
11000047,7.2,8.75,3.0,6.316666666666666
11000048,5.0,6.25,2.2,4.483333333333333
11000049,7.4,7.0,3.6,6.0
11000050,3.0,4.25,3.4,3.5500000000000003
11000051,3.8,4.5,3.8,4.033333333333334
11000052,5.8,6.5,2.2,4.833333333333333
11000053,4.4,4.75,3.0,4.05
11000054,4.2,6.5,2.4,4.366666666666666
11000055,5.2,6.0,3.0,4.733333333333333
11000056,7.2,9.0,4.4,6.866666666666667
11000057,5.6,7.0,3.6,5.3999999999999995
11000058,0,6.25,0,2.0833333333333335
11000059,3.6,6.75,3.0,4.45
11000060,5.8,7.75,3.6,5.716666666666668
11000061,5.8,6.75,3.0,5.183333333333334
11000062,6.4,7.25,3.4,5.683333333333334
11000063,8.4,6.5,4.4,6.433333333333334
11000064,2.2,4.5,3.0,3.233333333333333
11000065,7.6,7.75,3.4,6.25
11000066,7.4,5.25,5.2,5.95
11000067,7.8,8.5,8.4,8.233333333333334
11000068,5.6,6.5,2.8,4.966666666666666
11000069,5.8,5.0,2.6,4.466666666666667
11000070,4.2,7.75,2.2,4.716666666666666
11000071,3.4,6.25,2.8,4.1499999999999995
11000072,0,6.0,0,2.0
11000073,7.2,8.25,4.8,6.75
11000074,3.6,4.5,1.8,3.3000000000000003
11000075,7.6,8.5,5.0,7.033333333333334
11000076,4.2,7.75,5.2,5.716666666666666
11000077,6.8,6.25,4.2,5.75
11000078,3.6,6.5,0,3.3666666666666667
11000079,4.0,5.25,0,3.0833333333333335
11000080,6.6,7.5,3.0,5.7
11000081,5.2,7.25,4.6,5.683333333333333
11000082,5.0,5.5,4.0,4.833333333333333
11000083,3.2,5.5,2.2,3.633333333333333
11000084,7.6,7.5,4.6,6.566666666666666
11000085,6.0,7.25,3.2,5.483333333333333
11000086,5.4,8.75,3.8,5.983333333333333
11000087,3.0,8.0,2.6,4.533333333333333
11000088,5.8,7.5,3.6,5.633333333333334
11000089,4.0,6.5,4.8,5.1000000000000005
11000090,6.4,5.0,2.0,4.466666666666667
11000091,4.6,7.5,4.2,5.433333333333334
11000092,4.8,6.25,3.8,4.95
11000093,5.2,7.25,1.8,4.75
11000094,4.4,6.5,4.8,5.233333333333333
11000095,7.6,8.5,6.4,7.5
11000096,6.2,7.5,4.6,6.099999999999999
11000097,3.8,6.0,3.2,4.333333333333333
11000098,6.0,6.75,2.8,5.183333333333334
11000099,4.2,6.5,2.4,4.366666666666666
11000100,5.6,6.25,4.4,5.416666666666667
11000101,5.0,7.5,4.2,5.566666666666666
11000102,3.8,2.75,3.2,3.25
11000103,4.6,6.75,1.8,4.383333333333334
11000104,4.0,6.5,3.4,4.633333333333334
11000105,6.8,5.75,4.0,5.516666666666667
11000106,5.2,7.75,3.8,5.583333333333333
11000107,3.0,5.25,3.2,3.8166666666666664
11000108,6.6,8.25,4.0,6.283333333333334
11000109,2.8,4.25,2.4,3.15
11000110,3.0,6.25,0,3.0833333333333335
11000111,0,2.25,0,0.75
11000112,3.4,4.75,3.6,3.9166666666666665
11000113,8.6,8.25,9.6,8.816666666666668
11000114,7.0,8.25,6.2,7.1499999999999995
11000115,2.4,2.5,0,1.6333333333333335
11000116,6.2,7.75,4.6,6.183333333333333
11000117,5.0,7.75,3.2,5.316666666666666
11000118,7.0,7.75,3.6,6.116666666666667
11000119,7.8,8.0,8.6,8.133333333333333
11000120,4.6,7.75,2.4,4.916666666666667
11000121,6.0,7.5,4.8,6.1000000000000005
11000122,5.0,7.0,4.8,5.6000000000000005
11000123,5.8,6.5,3.0,5.1000000000000005
11000124,6.4,5.5,4.8,5.566666666666666
11000125,0,3.0,0,1.0
11000126,5.6,0,0,1.8666666666666665
11000127,6.2,6.25,4.8,5.75
11000128,4.8,6.5,2.2,4.5
11000129,5.0,6.75,2.4,4.716666666666667
11000130,7.2,8.0,7.4,7.533333333333334
11000131,4.4,5.75,3.8,4.6499999999999995
11000132,7.8,7.25,3.6,6.216666666666668
11000133,7.0,9.0,3.6,6.533333333333334
11000134,3.4,3.0,0,2.1333333333333333
11000135,4.4,5.25,3.2,4.283333333333334
11000136,6.0,8.75,3.6,6.116666666666667
11000137,6.6,8.5,6.2,7.1000000000000005
11000138,5.2,7.0,3.0,5.066666666666666
11000139,6.0,6.5,4.4,5.633333333333333
11000140,1.8,2.75,2.2,2.25
11000141,6.4,6.75,6.4,6.516666666666667
11000142,5.0,7.5,4.6,5.7
11000143,3.2,4.25,2.2,3.216666666666667
11000144,5.4,6.25,2.6,4.75
11000145,3.0,3.0,0,2.0
11000146,3.8,3.75,2.4,3.3166666666666664
11000147,3.8,5.0,2.8,3.866666666666667
11000148,4.8,4.5,2.8,4.033333333333334
11000149,5.0,7.5,3.0,5.166666666666667
11000150,8.6,7.75,2.4,6.25
11000151,5.4,6.25,2.2,4.616666666666667
11000152,3.6,7.0,2.6,4.3999999999999995
11000153,5.2,7.0,4.0,5.3999999999999995
11000154,4.0,6.75,3.2,4.6499999999999995
11000155,6.2,9.0,6.0,7.066666666666666
11000156,6.0,5.5,3.8,5.1000000000000005
11000157,5.8,6.0,3.2,5.0
11000158,5.6,6.25,3.6,5.1499999999999995
11000159,6.6,6.0,0,4.2
11000160,5.6,8.5,4.4,6.166666666666667
11000161,5.6,4.75,3.2,4.516666666666667
11000162,7.0,6.0,2.6,5.2
11000163,5.6,7.5,5.0,6.033333333333334
11000164,4.6,6.5,5.2,5.433333333333334
11000165,7.4,7.5,4.0,6.3
11000166,6.0,5.5,3.6,5.033333333333333
11000167,8.0,8.5,4.0,6.833333333333333
11000168,5.8,6.0,4.4,5.400000000000001
11000169,8.2,8.0,5.6,7.266666666666666
11000170,4.8,5.0,3.4,4.4
11000171,6.4,5.5,3.6,5.166666666666667
11000172,6.2,7.0,3.0,5.3999999999999995
11000173,4.6,6.5,3.4,4.833333333333333
11000174,6.2,7.75,5.2,6.383333333333333
11000175,5.8,5.75,2.6,4.716666666666667
11000176,4.0,4.0,2.4,3.466666666666667
11000177,5.4,8.5,3.8,5.8999999999999995
11000178,6.4,5.75,3.4,5.183333333333334
11000179,7.2,6.75,3.2,5.716666666666666
11000180,3.8,5.5,2.6,3.966666666666667
11000181,6.2,6.0,4.0,5.3999999999999995
11000182,6.2,7.5,3.2,5.633333333333333
11000183,6.0,6.5,4.0,5.5
11000184,6.4,9.0,4.6,6.666666666666667
11000185,7.4,8.5,3.8,6.566666666666666
11000186,4.2,6.5,2.4,4.366666666666666
11000187,5.4,5.0,3.6,4.666666666666667
11000188,8.4,8.25,5.8,7.483333333333333
11000189,5.8,6.75,0,4.183333333333334
11000190,5.8,5.75,3.4,4.983333333333333
11000191,6.8,5.5,4.2,5.5
11000192,3.2,4.75,3.6,3.85
11000193,5.6,4.75,2.0,4.116666666666666
11000194,5.0,5.0,2.6,4.2
11000195,3.0,4.5,4.4,3.966666666666667
11000196,4.4,2.75,0,2.3833333333333333
11000197,0,6.0,0,2.0
11000198,8.2,0,7.2,5.133333333333333
11000199,3.0,6.75,0,3.25
11000200,5.8,7.5,3.8,5.7
11000201,4.4,5.0,3.0,4.133333333333334
11000202,3.0,7.0,3.4,4.466666666666667
11000203,4.6,5.0,4.2,4.6000000000000005
11000204,3.2,4.25,0,2.4833333333333334
11000205,4.6,5.75,1.8,4.05
11000206,4.4,6.0,3.6,4.666666666666667
11000207,6.0,5.5,3.4,4.966666666666667
11000208,5.4,7.0,2.8,5.066666666666666
11000209,6.4,8.75,5.8,6.983333333333333
11000210,3.8,5.5,3.6,4.3
11000211,0,6.0,0,2.0
11000212,7.6,7.75,4.4,6.583333333333333
11000213,3.4,5.5,2.6,3.8333333333333335
11000214,7.8,7.75,6.2,7.25
11000215,5.6,5.25,4.4,5.083333333333333
11000216,6.8,7.25,3.8,5.95
11000217,5.8,6.5,3.4,5.233333333333333
11000218,4.6,6.75,4.4,5.25
11000219,7.8,7.5,4.6,6.633333333333333
11000220,7.8,6.5,4.4,6.233333333333334
11000221,5.0,7.5,4.2,5.566666666666666
11000222,6.2,5.75,4.4,5.45
11000223,3.8,5.0,3.2,4.0
11000224,4.6,5.5,2.4,4.166666666666667
11000225,6.0,6.0,3.0,5.0
11000226,2.2,4.0,0,2.066666666666667
11000227,2.8,5.5,0,2.766666666666667
11000228,7.2,7.75,6.0,6.983333333333333
11000229,6.8,5.5,2.8,5.033333333333334
11000230,5.0,6.0,2.2,4.3999999999999995
11000231,6.8,7.5,4.8,6.366666666666667
11000232,6.2,7.5,5.4,6.366666666666667
11000233,4.0,7.25,2.6,4.616666666666666
11000234,6.6,6.5,3.8,5.633333333333333
11000235,4.4,7.25,2.8,4.816666666666666
11000236,6.0,8.25,3.6,5.95
11000237,3.2,5.0,3.2,3.7999999999999994
11000238,6.0,6.75,3.2,5.316666666666666
11000239,3.4,6.5,3.2,4.366666666666667
11000240,4.0,4.5,0,2.8333333333333335
11000241,5.4,7.0,3.0,5.133333333333334
11000242,3.6,5.75,2.4,3.9166666666666665
11000243,6.8,7.5,2.2,5.5
11000244,3.8,4.5,0,2.766666666666667
11000245,4.8,6.0,0,3.6
11000246,5.4,7.0,3.4,5.266666666666667
11000247,3.4,6.0,2.8,4.066666666666666
11000248,5.8,7.75,4.4,5.983333333333334
11000249,2.0,5.25,0,2.4166666666666665
11000250,7.2,7.0,2.0,5.3999999999999995
11000251,5.6,6.0,2.4,4.666666666666667
11000252,4.2,5.5,0,3.233333333333333
11000253,7.4,8.75,3.4,6.516666666666666
11000254,7.2,8.0,6.0,7.066666666666666
11000255,5.4,7.5,2.8,5.233333333333333
11000256,5.4,9.0,4.4,6.266666666666667
11000257,3.6,4.5,2.8,3.633333333333333
11000258,3.8,6.0,3.0,4.266666666666667
11000259,4.8,8.0,3.8,5.533333333333334
11000260,3.6,7.0,2.0,4.2
11000261,5.0,5.0,2.6,4.2
11000262,4.4,6.5,3.2,4.7
11000263,8.0,8.5,5.4,7.3
11000264,4.6,4.0,3.6,4.066666666666666
11000265,4.4,6.25,3.2,4.616666666666667
11000266,4.0,6.0,0,3.3333333333333335
11000267,5.6,6.0,3.6,5.066666666666666
11000268,4.6,5.25,3.4,4.416666666666667
11000269,3.4,5.5,2.8,3.9
11000270,8.0,7.5,3.6,6.366666666666667
11000271,0,7.25,0,2.4166666666666665
11000272,6.6,7.0,2.6,5.3999999999999995
11000273,6.6,6.5,2.8,5.3
11000274,5.0,6.75,3.0,4.916666666666667
11000275,6.6,6.0,3.6,5.3999999999999995
11000276,6.6,8.5,3.6,6.233333333333333
11000277,6.0,8.0,2.4,5.466666666666666
11000278,7.0,8.0,2.0,5.666666666666667
11000279,7.8,7.75,4.8,6.783333333333334
11000280,6.6,8.75,3.6,6.316666666666666
11000281,2.2,6.25,2.8,3.75
11000282,5.0,6.25,2.8,4.683333333333334
11000283,4.8,7.5,2.8,5.033333333333334
11000284,5.2,6.5,3.4,5.033333333333333
11000285,5.4,6.5,1.6,4.5
11000286,5.8,8.0,4.2,6.0
11000287,3.0,5.5,2.0,3.5
11000288,8.2,8.5,8.2,8.299999999999999
11000289,3.6,4.25,2.6,3.483333333333333
11000290,7.4,6.0,3.8,5.733333333333333
11000291,4.8,6.25,0,3.6833333333333336
11000292,5.4,6.0,1.4,4.266666666666667
11000293,5.2,6.0,3.4,4.866666666666666
11000294,7.0,9.0,7.0,7.666666666666667
11000295,5.8,6.0,3.4,5.066666666666667
11000296,4.2,6.75,0,3.65
11000297,7.2,7.25,5.4,6.616666666666667
11000298,7.0,6.0,5.6,6.2
11000299,4.8,7.0,4.0,5.266666666666667
11000300,3.8,5.5,0,3.1
11000301,3.0,6.0,2.2,3.733333333333333
11000302,4.6,5.75,2.4,4.25
11000303,4.6,8.5,3.6,5.566666666666666
11000304,4.6,7.5,2.6,4.8999999999999995
11000305,7.6,7.5,7.2,7.433333333333334
11000306,2.8,3.75,2.2,2.9166666666666665
11000307,4.0,6.0,2.8,4.266666666666667
11000308,5.4,7.75,4.8,5.983333333333333
11000309,7.6,8.25,0,5.283333333333333
11000310,7.6,7.75,3.6,6.316666666666666
11000311,7.0,6.75,3.6,5.783333333333334
11000312,6.8,7.25,2.8,5.616666666666667
11000313,6.0,7.5,2.2,5.233333333333333
11000314,2.2,5.75,4.4,4.116666666666667
11000315,7.6,7.75,2.8,6.05
11000316,3.0,6.75,3.6,4.45
11000317,7.6,9.0,8.0,8.200000000000001
11000318,5.4,4.0,3.4,4.266666666666667
11000319,5.6,6.75,2.8,5.05
11000320,4.0,6.75,4.0,4.916666666666667
11000321,6.8,8.25,5.4,6.816666666666667
11000322,0,6.0,0,2.0
11000323,5.8,4.5,1.8,4.033333333333334
11000324,4.6,4.25,3.6,4.1499999999999995
11000325,4.4,6.0,4.0,4.8
11000326,4.2,6.75,3.6,4.85
11000327,6.4,7.0,4.4,5.933333333333334
11000328,3.6,4.0,2.2,3.266666666666667
11000329,2.2,2.75,0,1.6500000000000001
11000330,8.2,8.5,6.8,7.833333333333333
11000331,5.0,7.75,4.2,5.6499999999999995
11000332,7.8,7.5,4.0,6.433333333333334
11000333,7.0,7.0,7.6,7.2
11000334,3.0,5.75,0,2.9166666666666665
11000335,4.8,7.5,4.4,5.566666666666667
11000336,8.0,7.5,3.6,6.366666666666667
11000337,4.8,6.75,3.0,4.8500000000000005
11000338,5.8,7.0,3.8,5.533333333333334
11000339,2.0,5.5,0,2.5
11000340,7.2,7.5,3.6,6.1000000000000005
11000341,4.6,5.25,2.8,4.216666666666666
11000342,3.0,3.75,0,2.25
11000343,5.8,7.5,4.2,5.833333333333333
11000345,5.2,8.0,1.0,4.733333333333333
11000346,4.8,5.75,2.4,4.316666666666667
11000347,4.4,5.0,2.0,3.8000000000000003
11000348,3.2,7.25,2.2,4.216666666666666
11000349,3.6,3.25,0,2.283333333333333
11000350,3.6,6.5,3.4,4.5
11000351,2.8,5.0,2.0,3.266666666666667
