SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
24000001,9.0,7.75,8.4,8.383333333333333
24000002,8.2,8.75,9.6,8.85
24000003,8.0,7.5,5.0,6.833333333333333
24000004,7.6,9.0,8.0,8.200000000000001
24000005,8.4,9.5,9.0,8.966666666666667
24000006,8.4,7.25,7.4,7.683333333333334
24000007,7.8,8.5,8.8,8.366666666666667
24000008,8.2,9.5,9.0,8.9
24000009,8.2,9.0,9.6,8.933333333333332
24000010,8.8,8.0,6.2,7.666666666666667
24000011,9.2,8.75,8.0,8.65
24000012,8.4,8.5,0,5.633333333333333
24000013,7.8,9.0,8.8,8.533333333333333
24000014,9.0,9.0,9.4,9.133333333333333
24000015,8.8,7.75,6.0,7.516666666666667
24000016,8.6,6.75,5.6,6.983333333333333
24000017,9.2,7.0,6.6,7.599999999999999
24000018,7.4,9.0,8.8,8.4
24000019,8.4,9.0,9.2,8.866666666666665
24000020,7.8,9.25,7.4,8.15
24000021,8.2,9.5,9.6,9.1
24000022,8.8,8.5,6.2,7.833333333333333
24000023,8.2,9.0,9.0,8.733333333333333
24000024,9.0,8.25,7.6,8.283333333333333
24000025,8.2,8.5,9.6,8.766666666666666
24000026,8.6,9.0,9.6,9.066666666666668
24000027,8.2,8.5,8.2,8.299999999999999
24000028,9.0,9.0,9.8,9.266666666666667
24000029,8.0,9.25,9.4,8.883333333333333
24000030,8.4,9.0,9.8,9.066666666666666
24000031,7.2,8.75,9.0,8.316666666666666
24000032,9.0,7.75,8.2,8.316666666666666
24000033,7.8,6.0,7.0,6.933333333333334
24000034,8.2,8.0,7.2,7.8
24000035,8.4,9.25,5.0,7.55
24000036,8.0,0,0,2.6666666666666665
24000037,9.4,7.5,8.6,8.5
24000038,8.4,7.0,8.4,7.933333333333334
24000039,6.0,8.25,4.0,6.083333333333333
24000040,8.4,9.5,10.0,9.299999999999999
24000041,5.2,8.75,2.0,5.316666666666666
24000042,7.8,9.5,8.2,8.5
24000043,8.8,6.25,8.6,7.883333333333333
24000044,8.4,7.0,4.6,6.666666666666667
24000045,8.0,9.0,7.2,8.066666666666666
24000046,7.8,8.0,7.2,7.666666666666667
24000047,7.4,8.0,0,5.133333333333334
24000048,9.0,7.25,4.2,6.816666666666666
24000049,9.2,9.25,6.0,8.15
24000050,8.6,8.75,8.8,8.716666666666667
24000051,6.6,8.0,5.4,6.666666666666667
24000052,8.2,9.5,9.0,8.9
24000053,8.6,8.25,6.4,7.75
24000054,3.6,8.5,3.6,5.233333333333333
24000055,8.6,8.25,5.6,7.483333333333334
24000056,8.8,0,0,2.9333333333333336
24000057,8.2,7.0,6.6,7.266666666666666
24000058,9.2,8.0,8.4,8.533333333333333
24000059,8.4,7.5,9.8,8.566666666666668
24000060,7.4,7.25,9.4,8.016666666666667
24000061,7.6,8.0,5.6,7.066666666666666
24000062,8.2,0,0,2.733333333333333
24000063,8.6,9.0,8.6,8.733333333333334
24000064,8.6,7.75,7.4,7.916666666666667
24000065,7.8,9.0,6.8,7.866666666666667
24000066,8.0,7.25,7.0,7.416666666666667
24000067,9.2,8.0,7.2,8.133333333333333
24000068,8.8,9.0,9.2,9.0
24000069,8.4,7.75,8.8,8.316666666666666
24000070,8.6,8.25,9.6,8.816666666666668
24000071,7.2,9.0,7.4,7.866666666666667
24000072,9.0,7.75,6.2,7.6499999999999995
24000073,8.4,8.25,8.8,8.483333333333333
24000074,9.6,8.5,7.8,8.633333333333335
24000075,8.6,8.5,9.6,8.9
24000076,7.6,8.0,8.8,8.133333333333333
24000077,7.8,8.0,4.8,6.866666666666667
24000078,7.6,8.25,7.8,7.883333333333333
24000079,8.8,7.5,6.8,7.7
24000080,8.8,0,0,2.9333333333333336
24000081,8.6,7.5,6.8,7.633333333333334
24000082,8.2,9.0,8.4,8.533333333333333
24000083,8.8,7.25,8.8,8.283333333333333
24000084,7.2,7.75,5.0,6.6499999999999995
24000085,8.4,7.75,8.4,8.183333333333332
24000086,8.8,7.5,5.6,7.3
24000087,8.2,7.75,6.6,7.516666666666666
24000088,9.0,7.5,7.4,7.966666666666666
24000089,8.4,7.5,9.6,8.5
24000090,8.2,8.0,5.8,7.333333333333333
24000091,7.8,8.25,8.8,8.283333333333333
24000092,8.6,8.5,7.4,8.166666666666666
24000093,8.4,8.0,6.8,7.733333333333333
24000094,8.4,7.5,7.2,7.7
24000095,8.2,9.0,7.2,8.133333333333333
24000096,8.4,8.5,6.2,7.699999999999999
24000097,8.0,9.0,7.6,8.200000000000001
24000098,8.4,8.5,9.0,8.633333333333333
24000099,8.6,7.5,7.4,7.833333333333333
24000100,8.4,8.25,6.2,7.616666666666666
24000101,8.0,8.0,7.4,7.8
24000102,7.2,8.75,6.4,7.45
24000103,9.2,9.25,9.0,9.15
24000104,8.8,9.25,10.0,9.35
24000105,8.2,9.25,7.8,8.416666666666666
24000106,7.6,9.25,8.4,8.416666666666666
24000107,5.2,8.0,9.0,7.3999999999999995
24000108,8.0,8.25,9.6,8.616666666666667
24000109,8.0,8.0,5.8,7.266666666666667
24000110,7.8,8.75,8.6,8.383333333333333
24000111,8.0,8.25,5.4,7.216666666666666
24000112,8.2,9.0,9.0,8.733333333333333
24000113,7.8,9.0,9.4,8.733333333333334
24000114,8.6,7.25,4.8,6.883333333333333
24000115,7.8,8.0,7.0,7.6000000000000005
24000116,8.2,7.75,5.6,7.183333333333333
24000117,8.0,9.25,9.6,8.950000000000001
24000118,8.8,8.75,7.8,8.450000000000001
24000119,7.0,8.75,7.6,7.783333333333334
24000120,8.6,7.0,6.6,7.3999999999999995
24000121,8.0,8.0,8.2,8.066666666666666
24000122,9.4,7.25,8.4,8.35
24000123,7.2,8.0,5.6,6.933333333333333
24000124,7.8,9.25,9.0,8.683333333333334
24000125,8.8,7.5,8.2,8.166666666666666
24000126,8.6,8.0,8.2,8.266666666666667
24000127,8.8,6.0,6.8,7.2
24000128,8.6,6.5,8.4,7.833333333333333
24000129,4.8,8.25,7.6,6.883333333333333
24000130,7.4,8.75,6.0,7.383333333333333
24000131,8.6,9.0,9.0,8.866666666666667
24000132,7.8,9.5,9.2,8.833333333333334
24000133,9.4,0,0,3.1333333333333333
24000134,8.2,8.75,6.8,7.916666666666667
24000135,8.8,6.75,6.8,7.45
24000136,9.6,8.5,8.2,8.766666666666667
24000137,7.2,9.25,8.2,8.216666666666667
24000138,7.4,8.25,7.2,7.616666666666667
24000139,8.0,7.75,5.4,7.05
24000140,8.2,8.25,4.8,7.083333333333333
24000141,9.0,7.25,6.0,7.416666666666667
24000142,7.0,7.5,7.0,7.166666666666667
24000143,8.6,9.0,7.6,8.4
24000144,7.6,9.0,8.6,8.4
24000145,8.8,7.5,7.6,7.966666666666666
24000146,8.6,7.0,6.0,7.2
24000147,8.4,7.0,0,5.133333333333334
24000148,8.0,7.5,6.8,7.433333333333334
24000149,9.2,8.0,7.6,8.266666666666666
24000150,8.6,8.5,8.2,8.433333333333334
24000151,9.0,8.5,9.2,8.9
24000152,8.2,9.0,9.0,8.733333333333333
24000153,8.4,8.0,6.2,7.533333333333332
24000154,8.4,9.0,9.6,9.0
24000155,7.4,8.0,7.4,7.6000000000000005
24000156,8.8,7.5,8.6,8.299999999999999
24000157,7.6,8.0,6.8,7.466666666666666
24000158,8.6,8.25,5.0,7.283333333333334
24000159,8.0,9.0,7.8,8.266666666666667
24000160,8.8,7.75,7.6,8.049999999999999
24000161,5.6,8.25,4.6,6.1499999999999995
24000162,8.6,6.0,9.8,8.133333333333333
24000163,8.6,9.0,9.4,9.0
24000164,7.8,9.0,9.6,8.799999999999999
24000165,7.0,8.75,9.4,8.383333333333333
24000166,8.2,8.75,7.4,8.116666666666667
24000167,7.8,9.25,7.6,8.216666666666667
24000168,8.6,8.5,6.0,7.7
24000169,7.6,9.25,9.0,8.616666666666667
24000170,7.2,7.0,6.4,6.866666666666667
