SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình
53000001,7.2,8.25,6.0,7.1499999999999995
53000002,7.4,7.25,4.2,6.283333333333334
53000003,7.2,8.5,7.6,7.766666666666666
53000004,6.0,7.75,5.2,6.316666666666666
53000005,4.8,6.75,6.6,6.05
53000006,8.2,7.75,5.0,6.983333333333333
53000007,7.2,8.0,4.0,6.3999999999999995
53000008,7.8,8.75,7.6,8.049999999999999
53000009,7.8,8.25,4.0,6.683333333333334
53000010,7.6,8.75,6.2,7.516666666666667
53000011,6.4,7.75,5.4,6.516666666666667
53000012,7.2,6.5,3.8,5.833333333333333
53000013,8.0,8.08,7.2,7.759999999999999
53000014,7.0,7.5,5.6,6.7
53000015,7.2,8.5,7.8,7.833333333333333
53000016,8.0,7.25,8.2,7.816666666666666
53000017,7.8,7.75,7.6,7.716666666666666
53000018,6.2,8.25,3.6,6.016666666666667
53000019,4.0,7.75,4.6,5.45
53000020,7.4,8.5,5.8,7.233333333333333
53000021,7.2,9.25,4.4,6.95
53000022,7.4,9.5,7.6,8.166666666666666
53000023,5.8,7.5,6.6,6.633333333333333
53000024,8.0,8.25,6.6,7.616666666666667
53000025,7.6,7.5,7.8,7.633333333333333
53000026,4.8,7.0,7.0,6.266666666666667
53000027,5.0,7.25,4.2,5.483333333333333
53000028,7.2,6.0,6.4,6.533333333333334
53000029,7.2,7.0,3.2,5.8
53000030,7.4,7.5,7.8,7.566666666666666
53000031,3.8,8.0,3.2,5.0
53000032,7.0,7.0,6.8,6.933333333333334
53000033,7.6,8.0,3.6,6.3999999999999995
53000034,3.6,7.5,5.4,5.5
53000035,6.6,7.5,2.6,5.566666666666666
53000036,7.2,6.75,9.2,7.716666666666666
53000037,5.4,6.5,2.2,4.7
53000038,9.0,7.25,3.6,6.616666666666667
53000039,7.8,7.0,8.0,7.6000000000000005
53000040,7.6,6.25,4.4,6.083333333333333
53000041,6.4,7.0,5.0,6.133333333333333
53000042,6.0,5.5,2.8,4.766666666666667
53000043,6.2,7.25,3.8,5.75
53000044,4.0,7.25,3.0,4.75
53000045,7.8,8.5,6.4,7.566666666666667
53000046,5.0,9.0,4.4,6.133333333333333
53000047,6.4,7.5,5.0,6.3
53000048,8.2,8.5,8.6,8.433333333333332
53000049,5.0,6.5,4.6,5.366666666666667
53000050,6.8,7.75,7.2,7.25
53000051,8.2,7.5,7.2,7.633333333333333
53000052,6.0,5.5,4.6,5.366666666666667
53000053,7.8,7.0,7.6,7.466666666666666
53000054,3.8,8.0,4.2,5.333333333333333
53000055,7.2,7.5,4.0,6.233333333333333
53000056,7.6,7.5,5.2,6.766666666666667
53000057,7.2,8.5,6.2,7.3
53000058,7.6,6.5,5.0,6.366666666666667
53000059,7.4,4.75,4.0,5.383333333333333
53000060,6.8,5.5,5.0,5.766666666666667
53000061,5.6,6.25,3.2,5.016666666666667
53000062,8.4,7.0,7.0,7.466666666666666
53000063,5.8,6.75,5.4,5.983333333333334
53000064,7.0,8.5,6.8,7.433333333333334
53000065,6.2,8.75,6.0,6.983333333333333
53000066,4.4,7.75,2.8,4.983333333333333
53000067,6.8,7.75,3.0,5.8500000000000005
53000068,8.2,7.75,5.4,7.116666666666667
53000069,7.8,7.75,3.8,6.45
53000070,4.4,7.5,3.2,5.033333333333334
53000071,8.4,9.5,8.8,8.9
53000072,5.8,7.5,3.6,5.633333333333334
53000073,7.4,6.75,6.0,6.716666666666666
53000074,7.2,8.25,5.8,7.083333333333333
53000075,5.6,6.5,3.8,5.3
53000076,4.8,8.25,5.2,6.083333333333333
53000077,5.0,7.75,2.4,5.05
53000078,5.0,7.75,2.8,5.183333333333334
53000079,6.0,5.5,4.4,5.3
53000080,8.0,7.75,5.0,6.916666666666667
53000081,5.4,7.5,4.6,5.833333333333333
53000082,7.4,6.5,6.4,6.766666666666667
53000083,7.4,8.75,6.8,7.6499999999999995
53000084,8.2,7.0,7.8,7.666666666666667
53000085,8.2,6.5,6.4,7.033333333333334
53000086,4.4,5.25,4.6,4.75
53000087,6.6,7.75,3.2,5.8500000000000005
53000088,7.0,6.5,3.6,5.7
53000089,6.8,5.25,5.2,5.75
53000090,6.6,7.75,3.8,6.05
53000091,5.6,7.75,3.2,5.516666666666667
53000092,6.6,6.75,2.8,5.383333333333333
53000093,8.0,8.25,4.0,6.75
53000094,5.8,5.25,3.2,4.75
53000095,7.8,6.75,3.2,5.916666666666667
53000096,6.4,3.25,3.2,4.283333333333334
53000097,5.8,6.25,4.4,5.483333333333334
53000098,6.2,5.75,2.6,4.85
53000099,7.6,8.25,5.4,7.083333333333333
53000100,5.0,7.25,3.8,5.3500000000000005
53000101,7.2,6.75,7.0,6.983333333333333
53000102,6.2,7.5,4.2,5.966666666666666
53000103,6.0,6.5,4.8,5.766666666666667
53000104,7.4,8.0,6.4,7.266666666666667
53000106,8.8,7.5,7.4,7.900000000000001
53000107,8.4,7.0,6.6,7.333333333333333
53000108,7.6,7.25,4.8,6.55
53000109,4.4,7.0,2.4,4.6000000000000005
53000110,7.0,8.5,5.6,7.033333333333334
53000111,7.8,7.25,6.2,7.083333333333333
53000112,6.2,7.75,3.4,5.783333333333332
53000113,5.2,6.25,2.8,4.75
53000114,5.8,6.25,3.6,5.216666666666667
53000115,8.4,8.5,8.0,8.299999999999999
53000116,4.4,6.0,3.6,4.666666666666667
53000117,7.0,7.5,5.6,6.7
53000118,7.0,7.25,3.4,5.883333333333333
53000119,6.2,8.75,6.8,7.25
53000120,5.0,4.75,4.2,4.6499999999999995
53000121,7.4,8.0,5.4,6.933333333333334
53000122,7.8,8.75,8.2,8.25
53000123,7.6,8.75,3.4,6.583333333333333
53000124,6.2,5.75,2.6,4.85
53000125,6.8,6.5,3.4,5.566666666666666
53000126,4.8,6.75,4.6,5.383333333333333
53000127,8.0,8.0,4.4,6.8
53000128,8.2,8.25,8.0,8.15
53000129,5.2,5.25,3.8,4.75
53000130,6.2,6.25,4.8,5.75
53000131,7.8,8.25,9.2,8.416666666666666
53000132,7.4,8.0,3.4,6.266666666666667
53000133,6.4,6.75,3.4,5.516666666666667
53000134,6.4,8.25,3.0,5.883333333333333
53000135,5.0,5.75,2.4,4.383333333333334
53000136,8.6,8.5,5.6,7.566666666666667
53000137,8.6,8.5,7.4,8.166666666666666
53000138,7.2,8.0,4.8,6.666666666666667
53000139,6.8,8.25,4.2,6.416666666666667
53000140,8.2,9.0,8.8,8.666666666666666
53000141,7.0,6.0,3.6,5.533333333333334
53000142,7.8,8.0,5.6,7.133333333333333
53000143,5.4,7.75,5.0,6.05
53000144,6.6,7.75,4.2,6.183333333333334
53000145,7.8,7.75,7.0,7.516666666666667
53000146,5.4,5.75,2.6,4.583333333333333
53000147,7.6,7.25,5.0,6.616666666666667
53000148,7.0,6.5,3.8,5.766666666666667
53000149,7.0,8.75,8.0,7.916666666666667
53000150,8.8,7.0,6.4,7.400000000000001
53000151,8.4,7.25,4.8,6.816666666666666
53000152,7.6,8.0,8.2,7.933333333333333
53000153,4.8,7.5,4.0,5.433333333333334
53000154,6.8,8.25,3.2,6.083333333333333
53000155,6.8,7.25,4.6,6.216666666666666
53000156,7.6,6.75,3.0,5.783333333333334
53000157,7.2,8.0,4.0,6.3999999999999995
53000158,6.0,6.75,3.8,5.516666666666667
53000159,4.4,7.0,3.8,5.066666666666666
53000160,6.4,7.25,4.0,5.883333333333333
53000161,8.0,7.5,3.0,6.166666666666667
53000162,5.6,7.25,3.0,5.283333333333333
53000163,6.0,6.0,3.0,5.0
53000164,8.2,5.75,6.4,6.783333333333334
53000165,8.2,7.25,8.0,7.816666666666666
53000166,7.6,7.0,7.4,7.333333333333333
53000167,8.2,6.5,8.8,7.833333333333333
53000168,5.0,5.75,3.8,4.8500000000000005
53000169,5.4,4.75,3.2,4.45
53000170,7.8,7.0,7.4,7.400000000000001
53000171,8.4,7.5,7.6,7.833333333333333
53000172,5.8,7.0,4.2,5.666666666666667
53000173,6.6,4.75,4.6,5.316666666666666
53000174,7.8,4.5,7.0,6.433333333333334
53000175,7.8,8.0,7.0,7.6000000000000005
53000176,7.8,6.5,5.4,6.566666666666667
53000177,8.6,8.25,8.6,8.483333333333334
53000178,6.0,7.0,5.4,6.133333333333333
53000179,7.8,7.25,5.6,6.883333333333333
53000180,8.2,9.0,4.2,7.133333333333333
53000181,6.6,7.0,4.2,5.933333333333334
53000182,7.2,7.5,5.6,6.766666666666666
53000183,5.6,6.75,4.6,5.6499999999999995
53000184,7.2,6.75,3.2,5.716666666666666
53000185,7.8,7.5,9.0,8.1
53000186,6.8,6.75,4.0,5.8500000000000005
53000187,7.8,9.0,7.6,8.133333333333333
53000188,5.6,7.25,4.8,5.883333333333333
53000189,7.6,7.75,7.4,7.583333333333333
53000190,6.0,7.0,7.8,6.933333333333334
53000191,7.0,8.0,8.4,7.8
53000192,7.6,6.25,3.6,5.816666666666666
